Code,Date,Open,High,Low,Close,Volume
ADANIENT,2016-03-15 09:15:00, 66.1, 67, 66, 66.8, 911873
ADANIENT,2016-03-15 09:45:00, 66.75, 67.5, 66.6, 66.6, 478458
ADANIENT,2016-03-15 10:15:00, 66.65, 67.75, 66.25, 67.4, 577740
ADANIENT,2016-03-15 10:45:00, 67.45, 67.7, 67.05, 67.55, 332546
ADANIENT,2016-03-15 11:15:00, 67.55, 67.6, 67, 67.2, 516955
ADANIENT,2016-03-15 11:45:00, 67.2, 67.5, 66.5, 66.8, 1555202
ADANIENT,2016-03-15 12:15:00, 66.8, 67.1, 66.75, 66.95, 232171
ADANIENT,2016-03-15 12:45:00, 66.95, 67.15, 66.45, 66.8, 401084
ADANIENT,2016-03-15 13:15:00, 66.8, 66.9, 66.15, 66.6, 1162089
ADANIENT,2016-03-15 13:45:00, 66.6, 66.7, 66.3, 66.45, 255809
ADANIENT,2016-03-15 14:15:00, 66.45, 66.8, 66.4, 66.8, 172368
ADANIENT,2016-03-15 14:45:00, 66.8, 66.85, 66.45, 66.55, 271093
ADANIENT,2016-03-15 15:15:00, 66.55, 66.85, 66.5, 66.55, 288093
ADANIENT,2016-03-16 09:45:00, 67.4, 67.5, 66.9, 67.15, 315258
ADANIENT,2016-03-16 09:15:00, 67.9, 68.3, 67.2, 67.4, 935352
ADANIENT,2016-03-16 10:15:00, 67.15, 67.2, 66.7, 66.8, 174703
ADANIENT,2016-03-16 10:45:00, 66.8, 67.15, 66.75, 66.95, 113980
ADANIENT,2016-03-16 11:15:00, 66.95, 66.95, 66.35, 66.45, 221878
ADANIENT,2016-03-16 11:45:00, 66.45, 66.45, 65.3, 65.7, 363721
ADANIENT,2016-03-16 12:15:00, 65.7, 66.1, 65.45, 65.55, 267905
ADANIENT,2016-03-16 13:15:00, 65.7, 66.2, 65.6, 65.95, 135852
ADANIENT,2016-03-16 12:45:00, 65.55, 65.8, 65.5, 65.7, 67988
ADANIENT,2016-03-16 13:45:00, 65.95, 66.3, 65.75, 65.9, 128592
ADANIENT,2016-03-16 14:15:00, 65.9, 66.45, 65.8, 66.35, 175943
ADANIENT,2016-03-16 14:45:00, 66.35, 66.4, 65.7, 65.8, 308318
ADANIENT,2016-03-16 15:15:00, 65.9, 66.5, 65.8, 66.3, 382990
ADANIENT,2016-03-17 09:15:00, 67, 67.25, 66.65, 67, 258344
ADANIENT,2016-03-17 09:45:00, 66.95, 67.05, 66.7, 66.8, 177225
ADANIENT,2016-03-17 10:15:00, 66.8, 66.85, 66.4, 66.45, 161154
ADANIENT,2016-03-17 10:45:00, 66.45, 66.55, 66.3, 66.45, 88080
ADANIENT,2016-03-17 11:15:00, 66.45, 66.9, 66.4, 66.9, 57716
ADANIENT,2016-03-17 11:45:00, 66.9, 69.1, 66.75, 68.35, 1292579
ADANIENT,2016-03-17 12:15:00, 68.4, 68.4, 67.8, 67.95, 268499
ADANIENT,2016-03-17 12:45:00, 67.85, 68, 67.8, 67.9, 111429
ADANIENT,2016-03-17 13:15:00, 67.9, 68, 67.8, 67.9, 93982
ADANIENT,2016-03-17 13:45:00, 67.9, 67.95, 67.55, 67.7, 92805
ADANIENT,2016-03-17 14:15:00, 67.7, 67.75, 67.15, 67.5, 247819
ADANIENT,2016-03-17 14:45:00, 67.55, 67.7, 67.1, 67.4, 297240
ADANIENT,2016-03-17 15:15:00, 67.4, 67.45, 67, 67.25, 220844
