Code,Date,Open,High,Low,Close,Volume
ALBK,2016-03-15 09:15:00, 51.45, 52.3, 51.3, 52.2, 378116
ALBK,2016-03-15 09:45:00, 52.2, 52.25, 51.5, 51.65, 132732
ALBK,2016-03-15 10:15:00, 51.6, 52.05, 51.45, 51.85, 202452
ALBK,2016-03-15 10:45:00, 51.85, 52.4, 51.85, 51.95, 196296
ALBK,2016-03-15 11:15:00, 52, 52.25, 51.9, 52.1, 91612
ALBK,2016-03-15 12:15:00, 52.05, 52.15, 51.9, 52.05, 82551
ALBK,2016-03-15 11:45:00, 52.2, 52.2, 52, 52.05, 51320
ALBK,2016-03-15 12:45:00, 52.05, 52.25, 51.75, 51.85, 219929
ALBK,2016-03-15 13:15:00, 51.85, 51.95, 51.45, 51.55, 237308
ALBK,2016-03-15 13:45:00, 51.6, 51.9, 51.5, 51.6, 99128
ALBK,2016-03-15 14:15:00, 51.6, 51.9, 51.55, 51.8, 86557
ALBK,2016-03-15 14:45:00, 51.8, 51.95, 51.55, 51.8, 200799
ALBK,2016-03-15 15:15:00, 51.85, 52.1, 51.5, 51.75, 343684
ALBK,2016-03-16 09:15:00, 51.85, 52.25, 51.65, 51.9, 224811
ALBK,2016-03-16 09:45:00, 51.9, 51.95, 51.75, 51.8, 32809
ALBK,2016-03-16 10:15:00, 51.8, 51.85, 51.2, 51.35, 157204
ALBK,2016-03-16 10:45:00, 51.35, 51.55, 51.25, 51.3, 103998
ALBK,2016-03-16 11:15:00, 51.3, 51.35, 50.8, 50.9, 159568
ALBK,2016-03-16 11:45:00, 50.9, 51.05, 50.25, 50.25, 295724
ALBK,2016-03-16 12:15:00, 50.25, 50.7, 50.25, 50.35, 79913
ALBK,2016-03-16 12:45:00, 50.35, 50.75, 50.35, 50.65, 92085
ALBK,2016-03-16 13:15:00, 50.65, 51, 50.55, 50.9, 84332
ALBK,2016-03-16 13:45:00, 50.9, 51.35, 50.75, 51, 137549
ALBK,2016-03-16 14:15:00, 51, 51.6, 51, 51.45, 172743
ALBK,2016-03-16 14:45:00, 51.45, 52, 51.35, 51.9, 235703
ALBK,2016-03-16 15:15:00, 51.9, 52.15, 51.65, 51.7, 168333
ALBK,2016-03-17 09:15:00, 52.75, 53.15, 52.4, 52.95, 537199
ALBK,2016-03-17 09:45:00, 52.9, 52.95, 52.25, 52.5, 182978
ALBK,2016-03-17 10:15:00, 52.5, 52.5, 51.6, 51.8, 436693
ALBK,2016-03-17 10:45:00, 51.8, 52, 51.75, 51.95, 131485
ALBK,2016-03-17 11:15:00, 51.95, 52.35, 51.85, 52.15, 106310
ALBK,2016-03-17 11:45:00, 52.15, 52.4, 52.05, 52.1, 101578
ALBK,2016-03-17 12:15:00, 52.05, 52.2, 52, 52.15, 80317
ALBK,2016-03-17 12:45:00, 52.15, 52.25, 52, 52.2, 92028
ALBK,2016-03-17 13:15:00, 52.2, 52.45, 52.05, 52.3, 192570
ALBK,2016-03-17 13:45:00, 52.3, 52.5, 52.15, 52.2, 167586
ALBK,2016-03-17 14:15:00, 52.15, 52.25, 51.85, 51.95, 169298
ALBK,2016-03-17 14:45:00, 51.95, 52.1, 51.8, 52, 171562
ALBK,2016-03-17 15:15:00, 52, 52.35, 51.8, 52.1, 281910
ALBK,2016-03-18 09:15:00, 52.3, 52.65, 51.9, 51.95, 335621
ALBK,2016-03-18 09:45:00, 51.95, 52.25, 51.9, 52.1, 151858
ALBK,2016-03-18 10:15:00, 52.1, 52.2, 51.85, 52, 91760
ALBK,2016-03-18 10:45:00, 52, 52, 51.65, 51.75, 108828
ALBK,2016-03-18 11:15:00, 51.7, 51.75, 51.4, 51.55, 152523
ALBK,2016-03-18 11:45:00, 51.55, 51.8, 51.5, 51.65, 89060
ALBK,2016-03-18 12:15:00, 51.65, 52.25, 51.6, 52.25, 151046
ALBK,2016-03-18 12:45:00, 52.3, 52.35, 52, 52, 118485
ALBK,2016-03-18 13:15:00, 52, 52.15, 51.55, 51.9, 99939
ALBK,2016-03-18 13:45:00, 51.9, 52.1, 51.8, 52.05, 98022
ALBK,2016-03-18 14:15:00, 52.05, 52.2, 51.9, 52.15, 75105
ALBK,2016-03-18 14:45:00, 52.05, 52.8, 52, 52.75, 394446
ALBK,2016-03-18 15:15:00, 52.75, 53.45, 52.75, 53.3, 376336
ALBK,2016-03-21 09:15:00, 53.4, 53.4, 53, 53.3, 206969
ALBK,2016-03-21 09:45:00, 53.3, 53.9, 53.25, 53.7, 152231
ALBK,2016-03-21 10:15:00, 53.7, 53.95, 53.45, 53.9, 107312
ALBK,2016-03-21 10:45:00, 53.9, 54, 53.75, 53.85, 120270
ALBK,2016-03-21 11:15:00, 53.85, 53.9, 53.6, 53.65, 54729
ALBK,2016-03-21 11:45:00, 53.65, 53.8, 53.65, 53.75, 35080
ALBK,2016-03-21 12:15:00, 53.7, 53.8, 53.35, 53.45, 81589
ALBK,2016-03-21 12:45:00, 53.45, 53.65, 53.3, 53.5, 60489
ALBK,2016-03-21 13:15:00, 53.5, 53.75, 53.35, 53.75, 130954
ALBK,2016-03-21 13:45:00, 53.75, 53.9, 53.5, 53.6, 91215
ALBK,2016-03-21 14:15:00, 53.6, 53.9, 53.55, 53.8, 131313
ALBK,2016-03-21 14:45:00, 53.8, 53.95, 53.6, 53.85, 212611
ALBK,2016-03-21 15:15:00, 53.85, 53.95, 53.75, 53.8, 143466
ALBK,2016-03-22 09:15:00, 53.8, 53.8, 53.35, 53.5, 181221
ALBK,2016-03-22 09:45:00, 53.5, 53.95, 53.45, 53.5, 111341
ALBK,2016-03-22 10:15:00, 53.5, 53.95, 53.5, 53.85, 60418
ALBK,2016-03-22 10:45:00, 53.85, 54, 53.5, 53.6, 129083
ALBK,2016-03-22 11:15:00, 53.6, 53.7, 53.5, 53.65, 77760
ALBK,2016-03-22 11:45:00, 53.65, 53.65, 53.25, 53.35, 141845
ALBK,2016-03-22 12:15:00, 53.35, 53.45, 53.2, 53.25, 69748
ALBK,2016-03-22 12:45:00, 53.25, 53.3, 53.05, 53.05, 83848
ALBK,2016-03-22 13:15:00, 53.05, 53.2, 52.55, 52.65, 193034
ALBK,2016-03-22 13:45:00, 52.7, 52.75, 52.3, 52.75, 143506
ALBK,2016-03-22 14:15:00, 52.75, 53.2, 52.7, 53, 117676
ALBK,2016-03-22 14:45:00, 53, 53.25, 52.85, 53.15, 117966
ALBK,2016-03-22 15:15:00, 53.15, 53.35, 53.1, 53.15, 170856
ALBK,2016-03-23 09:15:00, 53.15, 53.35, 52.7, 53.2, 176534
ALBK,2016-03-23 09:45:00, 53.25, 53.5, 53.2, 53.3, 100297
ALBK,2016-03-23 10:15:00, 53.3, 53.7, 52.9, 53, 128008
ALBK,2016-03-23 10:45:00, 53, 53.3, 52.9, 53.05, 108517
ALBK,2016-03-23 11:15:00, 53.05, 53.2, 52.9, 53.1, 46547
ALBK,2016-03-23 11:45:00, 53.1, 53.25, 53, 53.1, 28978
ALBK,2016-03-23 12:15:00, 53.1, 53.2, 52.7, 52.7, 81639
ALBK,2016-03-23 12:45:00, 52.7, 52.95, 52.65, 52.75, 111771
ALBK,2016-03-23 13:15:00, 52.75, 52.95, 52.55, 52.75, 144051
ALBK,2016-03-23 13:45:00, 52.75, 52.9, 52.7, 52.8, 49188
ALBK,2016-03-23 14:15:00, 52.8, 52.85, 52.7, 52.75, 42694
ALBK,2016-03-23 14:45:00, 52.75, 52.85, 52.6, 52.8, 112369
ALBK,2016-03-23 15:15:00, 52.8, 53.25, 52.75, 52.8, 175593
ALBK,2016-03-28 09:15:00, 52.8, 53.1, 52.4, 52.6, 148744
ALBK,2016-03-28 09:45:00, 52.6, 52.65, 52.3, 52.45, 77991
ALBK,2016-03-28 10:15:00, 52.45, 52.6, 52.4, 52.5, 23733
ALBK,2016-03-28 10:45:00, 52.5, 52.55, 52, 52.05, 111831
ALBK,2016-03-28 11:15:00, 52.05, 52.1, 51.75, 51.75, 92385
ALBK,2016-03-28 11:45:00, 51.75, 52.25, 51.75, 52.1, 68791
ALBK,2016-03-28 12:15:00, 52.15, 52.2, 51.95, 52, 36855
ALBK,2016-03-28 12:45:00, 52, 52.2, 52, 52.05, 26739
ALBK,2016-03-28 13:15:00, 52.05, 52.25, 51.95, 52, 43109
ALBK,2016-03-28 13:45:00, 52, 52.05, 51.65, 51.85, 101447
ALBK,2016-03-28 14:15:00, 51.85, 51.85, 51.25, 51.55, 198091
ALBK,2016-03-28 14:45:00, 51.55, 51.65, 50.85, 51.4, 264526
ALBK,2016-03-28 15:15:00, 51.4, 51.8, 51.3, 51.6, 135429
ALBK,2016-03-29 09:15:00, 51.75, 52.8, 51.75, 52.6, 562380
ALBK,2016-03-29 09:45:00, 52.6, 52.7, 52.25, 52.4, 203402
ALBK,2016-03-29 10:15:00, 52.4, 52.6, 52.35, 52.45, 130157
ALBK,2016-03-29 10:45:00, 52.45, 52.55, 52.15, 52.25, 170509
ALBK,2016-03-29 11:15:00, 52.25, 52.5, 52.25, 52.5, 104728
ALBK,2016-03-29 11:45:00, 52.5, 52.55, 52.35, 52.45, 106725
ALBK,2016-03-29 12:15:00, 52.45, 52.7, 52.4, 52.5, 168122
ALBK,2016-03-29 12:45:00, 52.5, 52.65, 52.4, 52.45, 111091
ALBK,2016-03-29 13:15:00, 52.45, 52.6, 52.3, 52.35, 105073
ALBK,2016-03-29 13:45:00, 52.35, 52.9, 52.35, 52.75, 178571
ALBK,2016-03-29 14:15:00, 52.75, 53.05, 52.65, 52.8, 190312
ALBK,2016-03-29 14:45:00, 52.8, 52.9, 52.5, 52.75, 291412
ALBK,2016-03-29 15:15:00, 52.75, 53, 52.35, 52.5, 412781
ALBK,2016-03-30 09:15:00, 53.2, 53.45, 52.7, 52.85, 300362
ALBK,2016-03-30 09:45:00, 52.85, 52.9, 52.25, 52.6, 292556
ALBK,2016-03-30 10:15:00, 52.6, 52.75, 52.5, 52.5, 94524
ALBK,2016-03-30 10:45:00, 52.5, 52.65, 52.4, 52.5, 79582
ALBK,2016-03-30 11:15:00, 52.6, 52.6, 52.45, 52.5, 52612
ALBK,2016-03-30 11:45:00, 52.5, 52.55, 52.4, 52.5, 38632
ALBK,2016-03-30 12:15:00, 52.5, 53.25, 52.5, 53.25, 345240
ALBK,2016-03-30 12:45:00, 53.25, 53.35, 53.1, 53.2, 162622
ALBK,2016-03-30 13:15:00, 53.2, 53.45, 53.15, 53.35, 157162
ALBK,2016-03-30 13:45:00, 53.35, 54, 53.3, 53.5, 278855
ALBK,2016-03-30 14:15:00, 53.5, 53.65, 53.35, 53.55, 89194
ALBK,2016-03-30 14:45:00, 53.55, 53.7, 53.35, 53.45, 167344
ALBK,2016-03-30 15:15:00, 53.45, 53.6, 53.4, 53.5, 258424
ALBK,2016-03-31 09:15:00, 53.4, 53.8, 53.05, 53.1, 265849
ALBK,2016-03-31 09:45:00, 53.1, 53.7, 53.1, 53.55, 180159
ALBK,2016-03-31 10:15:00, 53.55, 54, 53.55, 53.7, 133641
ALBK,2016-03-31 10:45:00, 53.7, 54, 53.45, 53.95, 143830
ALBK,2016-03-31 11:15:00, 53.95, 54.15, 53.45, 53.65, 226131
ALBK,2016-03-31 11:45:00, 53.65, 53.85, 53.55, 53.7, 61038
ALBK,2016-03-31 12:15:00, 53.7, 53.9, 53.65, 53.8, 50045
ALBK,2016-03-31 12:45:00, 53.8, 54, 53.55, 53.75, 92254
ALBK,2016-03-31 13:15:00, 53.75, 53.95, 53.65, 53.9, 110971
ALBK,2016-03-31 13:45:00, 53.9, 54.5, 53.75, 54.5, 230327
ALBK,2016-03-31 14:15:00, 54.5, 54.8, 53.9, 54.25, 282043
ALBK,2016-03-31 14:45:00, 54.25, 55, 54.05, 54.95, 282713
ALBK,2016-03-31 15:15:00, 54.95, 55.3, 54.85, 55.1, 225722
ALBK,2016-04-01 09:15:00, 54.5, 55.65, 54.05, 55.65, 306953
ALBK,2016-04-01 09:45:00, 55.6, 56.5, 55.3, 55.85, 341799
ALBK,2016-04-01 10:15:00, 55.85, 56.2, 55.7, 55.85, 156647
ALBK,2016-04-01 10:45:00, 55.85, 56.35, 55.7, 55.9, 170631
ALBK,2016-04-01 11:15:00, 55.9, 55.95, 55.4, 55.5, 120442
ALBK,2016-04-01 11:45:00, 55.5, 55.7, 55.45, 55.6, 92056
ALBK,2016-04-01 12:15:00, 55.6, 55.75, 55.35, 55.55, 137086
ALBK,2016-04-01 12:45:00, 55.55, 55.8, 55.25, 55.75, 96299
ALBK,2016-04-01 13:15:00, 55.75, 56.35, 55.7, 56, 189355
ALBK,2016-04-01 13:45:00, 56, 57.55, 55.8, 57, 545388
ALBK,2016-04-01 14:15:00, 57, 57.55, 56.85, 57.3, 254335
ALBK,2016-04-01 14:45:00, 57.35, 58.15, 57.15, 57.75, 417977
ALBK,2016-04-01 15:15:00, 57.8, 57.8, 57.35, 57.75, 220037
ALBK,2016-04-04 09:15:00, 58.5, 58.5, 57, 57.35, 414654
ALBK,2016-04-04 09:45:00, 57.35, 57.8, 57.15, 57.55, 138137
ALBK,2016-04-04 10:15:00, 57.55, 57.65, 56.85, 57.1, 224075
ALBK,2016-04-04 10:45:00, 57.1, 57.6, 57.05, 57.55, 105637
ALBK,2016-04-04 11:15:00, 57.55, 57.6, 56.7, 56.75, 196570
ALBK,2016-04-04 11:45:00, 56.75, 57.3, 56.75, 56.9, 208012
ALBK,2016-04-04 12:15:00, 56.9, 57.05, 56.75, 56.8, 92101
ALBK,2016-04-04 12:45:00, 56.75, 57.2, 56.65, 57.15, 131481
ALBK,2016-04-04 13:15:00, 57.15, 57.4, 57.05, 57.2, 109606
ALBK,2016-04-04 13:45:00, 57.2, 57.25, 57, 57.2, 82338
ALBK,2016-04-04 14:15:00, 57.2, 57.3, 56.75, 56.8, 98944
ALBK,2016-04-04 14:45:00, 56.8, 57.3, 56.75, 57.15, 294269
ALBK,2016-04-04 15:15:00, 57.15, 57.55, 57.05, 57.3, 266241
ALBK,2016-04-05 09:15:00, 56.65, 57.1, 56.25, 56.9, 314734
ALBK,2016-04-05 10:15:00, 56.8, 57.8, 56.6, 57.4, 311299
