Code,Date,Open,High,Low,Close,Volume
AMARAJABAT,2016-03-15 09:15:00, 918, 925.8, 917.85, 924.95, 73830
AMARAJABAT,2016-03-15 09:45:00, 924.95, 926.5, 918.5, 918.5, 40586
AMARAJABAT,2016-03-15 10:15:00, 919.5, 920.1, 913, 919, 27037
AMARAJABAT,2016-03-15 10:45:00, 919, 920.45, 918.25, 919, 4845
AMARAJABAT,2016-03-15 11:15:00, 919, 919.9, 915.15, 917.1, 8426
AMARAJABAT,2016-03-15 11:45:00, 917.1, 918.95, 915.35, 916, 6387
AMARAJABAT,2016-03-15 12:15:00, 916, 917.85, 915.15, 916.1, 2537
AMARAJABAT,2016-03-15 12:45:00, 916.1, 917, 908, 910.25, 14814
AMARAJABAT,2016-03-15 13:45:00, 913.85, 916, 910, 913.95, 24019
AMARAJABAT,2016-03-15 13:15:00, 910.25, 919.1, 910.1, 913.85, 13305
AMARAJABAT,2016-03-15 14:15:00, 913.95, 914.25, 912.15, 913.95, 14272
AMARAJABAT,2016-03-15 14:45:00, 913.95, 914, 903.25, 906.7, 28449
AMARAJABAT,2016-03-15 15:15:00, 906.9, 909.25, 904.9, 904.9, 19522
AMARAJABAT,2016-03-16 09:15:00, 908, 911.55, 901.8, 903.75, 21339
AMARAJABAT,2016-03-16 09:45:00, 903.75, 903.75, 898.25, 900.15, 13163
AMARAJABAT,2016-03-16 10:15:00, 900.05, 900.8, 892.6, 894, 9728
AMARAJABAT,2016-03-16 10:45:00, 894, 900, 893.6, 893.95, 14755
AMARAJABAT,2016-03-16 11:15:00, 894, 894.95, 889.25, 891.5, 56379
AMARAJABAT,2016-03-16 12:15:00, 892.35, 893.45, 889.2, 891.55, 3918
AMARAJABAT,2016-03-16 11:45:00, 891.5, 893.75, 891.1, 892.35, 5144
AMARAJABAT,2016-03-16 12:45:00, 891.55, 897.95, 891.3, 894.25, 4935
AMARAJABAT,2016-03-16 13:45:00, 896.55, 902.35, 896.2, 899, 10621
AMARAJABAT,2016-03-16 13:15:00, 894.25, 897.35, 894.05, 896.55, 5158
AMARAJABAT,2016-03-16 14:15:00, 899, 903.95, 895.05, 903, 8497
AMARAJABAT,2016-03-16 14:45:00, 903, 903, 898, 901, 6834
AMARAJABAT,2016-03-16 15:15:00, 901.3, 903.3, 900.3, 900.7, 8224
AMARAJABAT,2016-03-17 09:15:00, 907.75, 915, 903.5, 913.4, 36209
AMARAJABAT,2016-03-17 09:45:00, 913.4, 914.45, 909.1, 910.55, 19588
AMARAJABAT,2016-03-17 10:15:00, 910.55, 910.55, 902, 906, 20762
AMARAJABAT,2016-03-17 10:45:00, 906, 907.4, 904.2, 905.7, 13267
AMARAJABAT,2016-03-17 11:15:00, 905.7, 908.95, 904.05, 908.8, 11594
AMARAJABAT,2016-03-17 11:45:00, 908.95, 909, 905.05, 906.5, 11393
AMARAJABAT,2016-03-17 12:45:00, 909, 910.4, 905.3, 905.35, 13620
AMARAJABAT,2016-03-17 12:15:00, 906.5, 909.9, 906.5, 909, 4042
AMARAJABAT,2016-03-17 13:15:00, 905.35, 911, 905.15, 908, 2665
AMARAJABAT,2016-03-17 13:45:00, 908, 908.45, 905, 905.25, 18892
AMARAJABAT,2016-03-17 14:15:00, 905.25, 906.95, 902, 902, 6240
AMARAJABAT,2016-03-17 14:45:00, 902, 907.8, 902, 905.45, 17730
AMARAJABAT,2016-03-17 15:15:00, 905.45, 905.85, 899.05, 904.05, 20670
AMARAJABAT,2016-03-18 09:15:00, 907.5, 908.6, 901.5, 902, 11241
AMARAJABAT,2016-03-18 09:45:00, 902, 905, 901.15, 904.15, 4045
AMARAJABAT,2016-03-18 10:15:00, 904.15, 905.05, 898.9, 904.8, 2483
AMARAJABAT,2016-03-18 10:45:00, 904.8, 904.8, 900, 902.5, 3817
AMARAJABAT,2016-03-18 11:15:00, 902.5, 903.7, 897, 897.2, 5247
AMARAJABAT,2016-03-18 12:15:00, 890.6, 892.9, 890.6, 892.1, 4296
AMARAJABAT,2016-03-18 11:45:00, 897.2, 899, 887.05, 890.6, 15917
AMARAJABAT,2016-03-18 12:45:00, 892.1, 893, 885, 889, 8788
AMARAJABAT,2016-03-18 13:15:00, 889, 890.4, 886.8, 888, 6578
AMARAJABAT,2016-03-18 13:45:00, 888.55, 890.05, 888.55, 889.8, 7355
AMARAJABAT,2016-03-18 14:15:00, 889.8, 895.55, 887, 893.65, 15323
AMARAJABAT,2016-03-18 14:45:00, 893.65, 899.55, 890.75, 899.1, 24687
AMARAJABAT,2016-03-18 15:15:00, 899.85, 900, 895.5, 897, 18258
AMARAJABAT,2016-03-21 09:15:00, 900, 903.9, 893.8, 896.3, 11704
AMARAJABAT,2016-03-21 09:45:00, 896.3, 904.8, 896.3, 902.9, 8503
AMARAJABAT,2016-03-21 10:15:00, 902.9, 907.95, 901.5, 907.95, 5362
AMARAJABAT,2016-03-21 10:45:00, 908, 909, 905.45, 906, 10507
AMARAJABAT,2016-03-21 11:15:00, 906.4, 906.5, 900.4, 904.95, 6676
AMARAJABAT,2016-03-21 11:45:00, 904.95, 907.05, 904.25, 905.5, 4463
AMARAJABAT,2016-03-21 12:15:00, 906.9, 907, 905.05, 905.15, 2486
AMARAJABAT,2016-03-21 12:45:00, 903, 904.95, 902.55, 904.45, 3728
AMARAJABAT,2016-03-21 13:15:00, 904.45, 907, 902.5, 904.95, 6647
AMARAJABAT,2016-03-21 13:45:00, 904.95, 908, 903.95, 907.8, 3621
AMARAJABAT,2016-03-21 14:15:00, 907.8, 909, 906.5, 908.6, 6897
AMARAJABAT,2016-03-21 14:45:00, 908.6, 908.6, 903, 907, 7162
AMARAJABAT,2016-03-21 15:15:00, 907, 908.55, 902.5, 907, 14292
AMARAJABAT,2016-03-22 09:15:00, 905.8, 907, 898.75, 906.4, 11120
AMARAJABAT,2016-03-22 09:45:00, 906.4, 906.75, 900.85, 903.4, 9560
AMARAJABAT,2016-03-22 10:15:00, 903.4, 905.95, 901.5, 903.05, 6024
AMARAJABAT,2016-03-22 10:45:00, 903.05, 908.75, 902.5, 905.95, 7467
AMARAJABAT,2016-03-22 11:15:00, 905.95, 914, 905.4, 911.85, 28296
AMARAJABAT,2016-03-22 11:45:00, 911.85, 913, 908.75, 909.5, 4487
AMARAJABAT,2016-03-22 12:15:00, 909.5, 910.75, 906.65, 906.65, 5151
AMARAJABAT,2016-03-22 12:45:00, 906.65, 908.4, 906.05, 907.2, 3581
AMARAJABAT,2016-03-22 13:15:00, 907.2, 908, 901, 904, 10426
AMARAJABAT,2016-03-22 13:45:00, 904, 904.35, 897, 902.1, 7107
AMARAJABAT,2016-03-22 14:15:00, 902.1, 903.7, 901.3, 903.7, 3857
AMARAJABAT,2016-03-22 14:45:00, 903.7, 904.7, 901.4, 903.4, 10101
AMARAJABAT,2016-03-22 15:15:00, 903.4, 904.45, 902, 903.3, 10194
AMARAJABAT,2016-03-23 09:15:00, 908.9, 908.9, 901, 907, 9840
AMARAJABAT,2016-03-23 09:45:00, 907, 907.6, 904, 905.5, 2867
AMARAJABAT,2016-03-23 10:15:00, 905.5, 906, 904, 904.95, 1307
AMARAJABAT,2016-03-23 10:45:00, 904.95, 904.95, 900.3, 903.05, 5039
AMARAJABAT,2016-03-23 11:15:00, 903.05, 904, 900.55, 903.75, 4745
AMARAJABAT,2016-03-23 11:45:00, 903.75, 904, 901.3, 902.05, 1581
AMARAJABAT,2016-03-23 12:15:00, 902.05, 906.5, 902.05, 904.95, 4544
