Code,Date,Open,High,Low,Close,Volume
ASHOKLEY,2016-03-15 09:15:00, 97.35, 97.65, 96.7, 97.35, 907891
ASHOKLEY,2016-03-15 09:45:00, 97.35, 97.45, 96.1, 96.25, 603966
ASHOKLEY,2016-03-15 10:15:00, 96.25, 96.85, 96.15, 96.4, 552488
ASHOKLEY,2016-03-15 10:45:00, 96.4, 96.8, 96.3, 96.45, 669248
ASHOKLEY,2016-03-15 11:15:00, 96.45, 96.55, 96.1, 96.15, 474659
ASHOKLEY,2016-03-15 11:45:00, 96.15, 96.25, 95.9, 96.1, 464701
ASHOKLEY,2016-03-15 12:15:00, 96.1, 96.15, 95.65, 95.95, 321562
ASHOKLEY,2016-03-15 12:45:00, 95.95, 96.05, 95.45, 95.6, 345908
ASHOKLEY,2016-03-15 13:15:00, 95.6, 95.75, 95, 95.45, 539695
ASHOKLEY,2016-03-15 13:45:00, 95.45, 95.95, 95.35, 95.8, 569520
ASHOKLEY,2016-03-15 14:15:00, 95.8, 96.3, 95.7, 96.2, 602848
ASHOKLEY,2016-03-15 14:45:00, 96.2, 96.25, 95.8, 95.95, 647299
ASHOKLEY,2016-03-15 15:15:00, 95.95, 96.1, 95.6, 95.85, 455421
ASHOKLEY,2016-03-16 09:15:00, 95.9, 96.5, 95.6, 95.9, 643051
ASHOKLEY,2016-03-16 09:45:00, 95.9, 96.3, 95.25, 95.4, 1049987
ASHOKLEY,2016-03-16 10:15:00, 95.35, 95.6, 94.6, 94.9, 688963
ASHOKLEY,2016-03-16 10:45:00, 94.9, 95.25, 94.85, 94.95, 273927
ASHOKLEY,2016-03-16 11:15:00, 95, 95.05, 94.5, 94.6, 291943
ASHOKLEY,2016-03-16 11:45:00, 94.6, 94.95, 94.55, 94.75, 270119
ASHOKLEY,2016-03-16 12:15:00, 94.75, 94.95, 94.2, 94.2, 295598
ASHOKLEY,2016-03-16 12:45:00, 94.2, 94.55, 94.2, 94.45, 178536
ASHOKLEY,2016-03-16 13:15:00, 94.45, 95.1, 94.4, 94.9, 328285
ASHOKLEY,2016-03-16 13:45:00, 95, 95.55, 94.8, 95.35, 577612
ASHOKLEY,2016-03-16 14:15:00, 95.4, 96.3, 95.25, 96.15, 1253621
ASHOKLEY,2016-03-16 14:45:00, 96.15, 96.2, 95.65, 95.85, 1073004
ASHOKLEY,2016-03-16 15:15:00, 95.85, 96.95, 95.8, 96.25, 1048396
ASHOKLEY,2016-03-17 09:15:00, 96.95, 97.85, 96.95, 97.45, 1174393
ASHOKLEY,2016-03-17 09:45:00, 97.45, 97.5, 97.05, 97.1, 544049
ASHOKLEY,2016-03-17 10:15:00, 97.2, 97.25, 96.8, 96.9, 728528
ASHOKLEY,2016-03-17 10:45:00, 96.9, 97.15, 96.7, 96.9, 258161
ASHOKLEY,2016-03-17 11:15:00, 96.9, 97.75, 96.8, 97.3, 474018
ASHOKLEY,2016-03-17 11:45:00, 97.3, 97.5, 97.05, 97.2, 232398
ASHOKLEY,2016-03-17 12:15:00, 97.2, 97.3, 97, 97.2, 199955
ASHOKLEY,2016-03-17 12:45:00, 97.2, 97.35, 97.15, 97.3, 251332
ASHOKLEY,2016-03-17 13:45:00, 97.5, 97.5, 97.2, 97.2, 332415
ASHOKLEY,2016-03-17 13:15:00, 97.3, 97.5, 97.2, 97.5, 330286
ASHOKLEY,2016-03-17 14:15:00, 97.2, 97.25, 95, 95.25, 1408048
ASHOKLEY,2016-03-17 14:45:00, 95.3, 95.9, 94.8, 95.4, 1121769
ASHOKLEY,2016-03-17 15:15:00, 95.45, 95.45, 94.8, 95.05, 692261
ASHOKLEY,2016-03-18 09:45:00, 95.4, 96.4, 95.35, 95.9, 501775
ASHOKLEY,2016-03-18 09:15:00, 96, 96.15, 95.3, 95.4, 856130
ASHOKLEY,2016-03-18 10:15:00, 95.9, 96.2, 95.65, 95.9, 275593
ASHOKLEY,2016-03-18 10:45:00, 95.9, 95.95, 95.7, 95.95, 193527
ASHOKLEY,2016-03-18 11:15:00, 95.95, 96.05, 95.55, 95.85, 265052
ASHOKLEY,2016-03-18 12:15:00, 95.8, 95.95, 95.65, 95.85, 194950
ASHOKLEY,2016-03-18 11:45:00, 95.85, 96, 95.55, 95.7, 275101
ASHOKLEY,2016-03-18 13:15:00, 95.75, 95.85, 95, 95.2, 539469
ASHOKLEY,2016-03-18 12:45:00, 95.85, 95.95, 95.7, 95.75, 259274
ASHOKLEY,2016-03-18 14:15:00, 95.55, 95.9, 95.35, 95.9, 671015
ASHOKLEY,2016-03-18 13:45:00, 95.3, 95.65, 95.05, 95.55, 426429
ASHOKLEY,2016-03-18 15:15:00, 97.85, 97.9, 97.45, 97.45, 1406824
ASHOKLEY,2016-03-18 14:45:00, 95.8, 97.85, 95.65, 97.8, 2816749
ASHOKLEY,2016-03-21 09:45:00, 97.85, 100.75, 97.85, 100.2, 5533697
ASHOKLEY,2016-03-21 09:15:00, 97.5, 98.45, 97.45, 97.95, 1470933
ASHOKLEY,2016-03-21 10:45:00, 100.95, 100.95, 100.35, 100.6, 1250371
ASHOKLEY,2016-03-21 10:15:00, 100.2, 101, 99.85, 100.95, 2126376
ASHOKLEY,2016-03-21 11:15:00, 100.6, 101.7, 100.35, 101.45, 3233599
ASHOKLEY,2016-03-21 11:45:00, 101.45, 102.25, 101.3, 101.75, 2755447
ASHOKLEY,2016-03-21 12:15:00, 101.75, 102.2, 101.1, 101.4, 1566358
ASHOKLEY,2016-03-21 12:45:00, 101.35, 101.95, 101.3, 101.85, 910356
ASHOKLEY,2016-03-21 13:15:00, 101.85, 102.25, 101.4, 101.9, 1352600
ASHOKLEY,2016-03-21 13:45:00, 101.9, 102.5, 101.85, 102.35, 1821385
ASHOKLEY,2016-03-21 14:15:00, 102.35, 102.95, 102.15, 102.9, 1871366
ASHOKLEY,2016-03-22 09:15:00, 103.9, 104.55, 103.25, 103.9, 4184746
ASHOKLEY,2016-03-21 14:45:00, 102.95, 103, 102.3, 102.85, 3066012
ASHOKLEY,2016-03-21 15:15:00, 102.85, 103.45, 102.75, 103.2, 2382511
ASHOKLEY,2016-03-22 10:15:00, 103.8, 104.3, 103.7, 104, 845481
ASHOKLEY,2016-03-22 10:45:00, 104.1, 104.15, 103.8, 104, 822756
ASHOKLEY,2016-03-22 11:15:00, 104, 104.4, 103.9, 104.05, 1041361
ASHOKLEY,2016-03-22 11:45:00, 104.05, 104.3, 103.9, 104.1, 616154
ASHOKLEY,2016-03-22 12:15:00, 104.1, 104.2, 103.55, 103.95, 1378234
ASHOKLEY,2016-03-22 12:45:00, 103.95, 104, 103.75, 103.8, 532381
ASHOKLEY,2016-03-22 13:15:00, 103.8, 103.95, 102.85, 103.15, 1604221
ASHOKLEY,2016-03-22 13:45:00, 103.2, 103.2, 102.05, 102.9, 1700972
ASHOKLEY,2016-03-22 14:15:00, 102.85, 103.6, 102.8, 103.2, 1222551
ASHOKLEY,2016-03-22 14:45:00, 103.2, 103.85, 103.1, 103.7, 1633608
ASHOKLEY,2016-03-22 15:15:00, 103.8, 103.8, 103.25, 103.35, 1624949
ASHOKLEY,2016-03-23 09:15:00, 103.8, 104.45, 103.25, 103.45, 1804288
ASHOKLEY,2016-03-23 09:45:00, 103.5, 104.2, 103.45, 103.9, 766898
ASHOKLEY,2016-03-23 10:15:00, 103.9, 104.75, 103.8, 103.95, 1242602
ASHOKLEY,2016-03-23 10:45:00, 103.95, 104.5, 103.85, 104.35, 927400
ASHOKLEY,2016-03-23 11:15:00, 104.35, 105.5, 103.9, 105.45, 1878068
ASHOKLEY,2016-03-23 11:45:00, 105.5, 106.15, 105.3, 106.05, 3102233
ASHOKLEY,2016-03-23 12:15:00, 105.95, 106, 105.5, 105.65, 732939
ASHOKLEY,2016-03-23 12:45:00, 105.6, 105.8, 105.25, 105.5, 663356
ASHOKLEY,2016-03-23 13:15:00, 105.55, 105.9, 105.3, 105.8, 617615
ASHOKLEY,2016-03-23 13:45:00, 105.8, 105.9, 105.35, 105.35, 709186
ASHOKLEY,2016-03-23 14:15:00, 105.35, 105.7, 105.15, 105.35, 716044
ASHOKLEY,2016-03-23 14:45:00, 105.4, 106.25, 105.35, 106.2, 1767028
ASHOKLEY,2016-03-23 15:15:00, 106.15, 106.35, 105.75, 105.75, 1283264
ASHOKLEY,2016-03-28 09:15:00, 106.55, 107.35, 106.35, 106.65, 2395208
ASHOKLEY,2016-03-28 09:45:00, 106.7, 106.7, 105.75, 106.15, 1178951
ASHOKLEY,2016-03-28 10:15:00, 106.15, 106.7, 106.1, 106.5, 439621
ASHOKLEY,2016-03-28 10:45:00, 106.5, 106.5, 106.1, 106.25, 432736
ASHOKLEY,2016-03-28 11:15:00, 106.2, 106.8, 106, 106.45, 788683
ASHOKLEY,2016-03-28 11:45:00, 106.45, 107.15, 106.45, 106.65, 915263
ASHOKLEY,2016-03-28 12:15:00, 106.65, 106.7, 106.25, 106.3, 344616
ASHOKLEY,2016-03-28 12:45:00, 106.25, 106.6, 106.2, 106.5, 352227
ASHOKLEY,2016-03-28 13:15:00, 106.4, 107.2, 106.3, 106.55, 1053247
ASHOKLEY,2016-03-28 13:45:00, 106.6, 106.6, 105.45, 105.75, 1285788
ASHOKLEY,2016-03-28 14:15:00, 105.75, 105.8, 104.2, 104.25, 1763241
ASHOKLEY,2016-03-28 14:45:00, 104.25, 105.15, 103.4, 104.75, 1909427
