Code,Date,Open,High,Low,Close,Volume
ASIANPAINT,2016-03-15 09:15:00, 903.05, 906.5, 898, 898.55, 103748
ASIANPAINT,2016-03-15 09:45:00, 898.55, 898.9, 891.4, 893.1, 75477
ASIANPAINT,2016-03-15 10:15:00, 893.1, 898, 892.85, 896.5, 28745
ASIANPAINT,2016-03-15 10:45:00, 896.5, 896.5, 886.4, 886.75, 128863
ASIANPAINT,2016-03-15 11:15:00, 886.6, 890.8, 886.25, 887.9, 79478
ASIANPAINT,2016-03-15 12:15:00, 882, 885.1, 882, 884.05, 40572
ASIANPAINT,2016-03-15 11:45:00, 887.9, 889.5, 881.5, 882, 64407
ASIANPAINT,2016-03-15 12:45:00, 884.05, 886.45, 882.5, 883.45, 21471
ASIANPAINT,2016-03-15 13:45:00, 882.5, 886.55, 876.35, 882.5, 190690
ASIANPAINT,2016-03-15 13:15:00, 883.45, 883.95, 879.85, 882.5, 41493
ASIANPAINT,2016-03-15 14:15:00, 882.5, 884.45, 880, 883.7, 52260
ASIANPAINT,2016-03-15 14:45:00, 883.7, 884.6, 882.55, 883.95, 46960
ASIANPAINT,2016-03-15 15:15:00, 884, 886.7, 883.25, 884.55, 78105
ASIANPAINT,2016-03-16 09:15:00, 880, 880.3, 868.2, 868.6, 203821
ASIANPAINT,2016-03-16 09:45:00, 868.6, 870, 866.05, 869.1, 69035
ASIANPAINT,2016-03-16 10:15:00, 869.1, 870.2, 867.2, 867.8, 40421
ASIANPAINT,2016-03-16 10:45:00, 867.8, 871, 867.1, 869.85, 54299
ASIANPAINT,2016-03-16 11:15:00, 869.85, 870.35, 864, 864.45, 112618
ASIANPAINT,2016-03-16 11:45:00, 864.1, 865.5, 862.1, 864.65, 78129
ASIANPAINT,2016-03-16 12:15:00, 864.4, 866.75, 864.3, 865.5, 127243
ASIANPAINT,2016-03-16 12:45:00, 865.2, 866.25, 864.8, 865.75, 36662
ASIANPAINT,2016-03-16 13:15:00, 865.75, 869.7, 863.65, 867.5, 119560
