Code,Date,Open,High,Low,Close,Volume
AUROPHARMA,2016-03-15 09:15:00, 736.2, 737.5, 725.1, 727.35, 440372
AUROPHARMA,2016-03-15 09:45:00, 727.35, 730.5, 720.5, 720.7, 252301
AUROPHARMA,2016-03-15 10:15:00, 720.55, 723.55, 720, 722.6, 156394
AUROPHARMA,2016-03-15 11:15:00, 720.1, 721.5, 712.55, 715.7, 223902
AUROPHARMA,2016-03-15 10:45:00, 722.6, 722.9, 718.25, 720.1, 198036
AUROPHARMA,2016-03-15 11:45:00, 715.7, 717.9, 712.25, 715.45, 142578
AUROPHARMA,2016-03-15 12:15:00, 715.3, 716.4, 712.65, 713.75, 114972
AUROPHARMA,2016-03-15 12:45:00, 713.5, 714.1, 710.1, 711.2, 109158
AUROPHARMA,2016-03-15 13:45:00, 707.55, 709, 704.25, 708, 145116
AUROPHARMA,2016-03-15 13:15:00, 711.2, 711.95, 706.5, 707.55, 153297
AUROPHARMA,2016-03-15 14:15:00, 708, 712, 707, 711, 154259
AUROPHARMA,2016-03-15 14:45:00, 711.05, 711.25, 708.4, 710.3, 218709
AUROPHARMA,2016-03-15 15:15:00, 710.2, 710.9, 707.15, 708.05, 165581
AUROPHARMA,2016-03-16 09:15:00, 709.75, 722.4, 709.7, 716.6, 356345
AUROPHARMA,2016-03-16 09:45:00, 716.6, 717.5, 707.75, 714.4, 201849
AUROPHARMA,2016-03-16 10:15:00, 714, 716.2, 711.2, 714.8, 99705
AUROPHARMA,2016-03-16 10:45:00, 714.75, 717.25, 713.75, 715.05, 95857
AUROPHARMA,2016-03-16 11:15:00, 715.05, 715.8, 712.55, 713.85, 52005
AUROPHARMA,2016-03-16 11:45:00, 713.85, 716, 713, 714.85, 45768
AUROPHARMA,2016-03-16 12:15:00, 714.85, 715.4, 710, 711, 72810
AUROPHARMA,2016-03-16 12:45:00, 711, 713.65, 710, 713.4, 40397
AUROPHARMA,2016-03-16 13:15:00, 713.4, 719.6, 713.1, 718.7, 101600
AUROPHARMA,2016-03-16 13:45:00, 718.7, 719, 716, 717.3, 85316
AUROPHARMA,2016-03-16 14:15:00, 717.3, 726.45, 716.2, 725.6, 253496
AUROPHARMA,2016-03-16 14:45:00, 725.6, 726, 722.5, 723.55, 151345
AUROPHARMA,2016-03-16 15:15:00, 723.9, 729, 723.35, 728.55, 133259
AUROPHARMA,2016-03-17 09:15:00, 732.1, 734.45, 724, 730.2, 304367
AUROPHARMA,2016-03-17 09:45:00, 730.05, 732.5, 726.05, 726.65, 209130
AUROPHARMA,2016-03-17 10:15:00, 726.65, 728.5, 725.75, 728.05, 76513
AUROPHARMA,2016-03-17 10:45:00, 728.05, 731.5, 727.5, 730.7, 57726
AUROPHARMA,2016-03-17 11:15:00, 730.7, 732.35, 729.35, 731.85, 58386
AUROPHARMA,2016-03-17 11:45:00, 731.95, 733.5, 731, 732.25, 60606
AUROPHARMA,2016-03-17 12:15:00, 732.25, 733, 731.5, 731.85, 22660
AUROPHARMA,2016-03-17 12:45:00, 731.85, 734.35, 731.15, 732.75, 51521
AUROPHARMA,2016-03-17 13:15:00, 732.75, 735, 731.65, 732.7, 84904
AUROPHARMA,2016-03-17 13:45:00, 732.7, 733, 728.05, 728.6, 77481
AUROPHARMA,2016-03-17 14:15:00, 728.8, 731.15, 727.05, 729.05, 127460
AUROPHARMA,2016-03-17 14:45:00, 729.05, 729.5, 725.05, 726.4, 179235
AUROPHARMA,2016-03-17 15:15:00, 726.4, 727.55, 722.35, 723.05, 120970
AUROPHARMA,2016-03-18 09:15:00, 724.95, 726.3, 697.5, 700.4, 569752
AUROPHARMA,2016-03-18 09:45:00, 700.35, 711, 699, 710.25, 819251
AUROPHARMA,2016-03-18 10:15:00, 711.3, 714, 705.2, 713.8, 263215
AUROPHARMA,2016-03-18 10:45:00, 713.75, 714.75, 706.6, 707.4, 213959
AUROPHARMA,2016-03-18 11:15:00, 707.65, 709.2, 701.55, 702.55, 223057
AUROPHARMA,2016-03-18 11:45:00, 702.55, 706.8, 702, 704.5, 145781
AUROPHARMA,2016-03-18 12:15:00, 705, 715.65, 704.55, 715, 266271
AUROPHARMA,2016-03-18 12:45:00, 715, 716.8, 710.5, 716.55, 205544
AUROPHARMA,2016-03-18 13:15:00, 716.55, 718.75, 711, 715.05, 280542
AUROPHARMA,2016-03-18 13:45:00, 714.9, 715, 710, 710.45, 141379
AUROPHARMA,2016-03-18 14:15:00, 710.4, 711.8, 706.1, 711.2, 226577
AUROPHARMA,2016-03-18 14:45:00, 711.1, 721.9, 709.6, 721.45, 401346
AUROPHARMA,2016-03-18 15:15:00, 721.5, 725.4, 719, 719.2, 228707
AUROPHARMA,2016-03-21 09:15:00, 730.9, 737.85, 728.2, 729.9, 376569
AUROPHARMA,2016-03-21 09:45:00, 730.3, 735.55, 730, 733.5, 124291
AUROPHARMA,2016-03-21 10:15:00, 733.5, 737, 732.15, 736.6, 119961
AUROPHARMA,2016-03-21 10:45:00, 736.5, 736.95, 733.1, 734.4, 92552
AUROPHARMA,2016-03-21 11:15:00, 734.4, 735, 733.05, 734.45, 50996
AUROPHARMA,2016-03-21 11:45:00, 734.45, 739.15, 733.5, 737, 132035
AUROPHARMA,2016-03-21 12:15:00, 736.9, 737.45, 735.1, 736, 59198
AUROPHARMA,2016-03-21 12:45:00, 736, 737.5, 735.15, 737.05, 58315
AUROPHARMA,2016-03-21 13:15:00, 737.05, 742, 736.4, 741.2, 324882
AUROPHARMA,2016-03-21 13:45:00, 741.4, 743.5, 739.15, 739.15, 336280
AUROPHARMA,2016-03-21 14:15:00, 739.15, 740.95, 737.5, 740, 111899
AUROPHARMA,2016-03-21 14:45:00, 740, 743.5, 737.7, 742.9, 193694
AUROPHARMA,2016-03-21 15:15:00, 742.6, 747.15, 742, 747.15, 161842
AUROPHARMA,2016-03-22 09:15:00, 745.95, 752.55, 745.2, 748.8, 236201
AUROPHARMA,2016-03-22 09:45:00, 748.8, 754.4, 748, 750, 132759
AUROPHARMA,2016-03-22 10:15:00, 750, 750.95, 749.05, 749.8, 107364
