Code,Date,Open,High,Low,Close,Volume
AXISBANK,2016-03-15 09:15:00, 417.7, 419.5, 416.1, 416.9, 1289144
AXISBANK,2016-03-15 09:45:00, 416.95, 418.95, 416.4, 417.6, 609946
AXISBANK,2016-03-15 10:15:00, 417.4, 420.5, 416.9, 419.8, 645923
AXISBANK,2016-03-15 10:45:00, 419.8, 421.75, 419.35, 420.5, 675445
AXISBANK,2016-03-15 11:15:00, 420.6, 421.2, 419.7, 420.95, 374382
AXISBANK,2016-03-15 11:45:00, 420.85, 421.5, 420.5, 421, 508070
AXISBANK,2016-03-15 12:15:00, 421.05, 421.2, 419.4, 419.95, 506667
AXISBANK,2016-03-15 12:45:00, 419.95, 420.2, 417.8, 418.8, 377869
AXISBANK,2016-03-15 13:15:00, 418.8, 419.3, 417.25, 418, 405938
AXISBANK,2016-03-15 13:45:00, 418, 419.15, 417.25, 418.7, 343815
AXISBANK,2016-03-15 14:15:00, 418.7, 421.3, 418.55, 421.05, 408112
AXISBANK,2016-03-15 14:45:00, 421.15, 421.4, 418.1, 418.75, 1022056
AXISBANK,2016-03-15 15:15:00, 418.8, 419.95, 417.9, 418.8, 1013039
AXISBANK,2016-03-16 09:15:00, 419.45, 420, 416.2, 417.9, 820078
AXISBANK,2016-03-16 09:45:00, 417.9, 418.4, 417, 418.1, 300599
AXISBANK,2016-03-16 10:15:00, 418.05, 418.8, 415.65, 416.6, 407400
AXISBANK,2016-03-16 10:45:00, 416.8, 416.85, 414.55, 415.55, 255685
AXISBANK,2016-03-16 11:15:00, 415.55, 416.25, 412, 413.15, 369932
AXISBANK,2016-03-16 11:45:00, 413.1, 413.1, 411.4, 412.2, 467586
AXISBANK,2016-03-16 12:15:00, 412.2, 413.55, 411.4, 412, 226771
AXISBANK,2016-03-16 12:45:00, 412, 412.95, 411, 411.8, 306225
AXISBANK,2016-03-16 13:15:00, 411.95, 414.3, 411.75, 414, 488412
AXISBANK,2016-03-16 13:45:00, 414, 415.9, 413.25, 414.6, 401979
AXISBANK,2016-03-16 14:15:00, 414.55, 421.2, 414.45, 420.3, 1272695
AXISBANK,2016-03-16 14:45:00, 420.35, 425, 419.35, 424.7, 2173033
AXISBANK,2016-03-16 15:15:00, 424.7, 426.2, 424.35, 425.9, 789822
AXISBANK,2016-03-17 09:15:00, 429.7, 431.7, 427.7, 430.2, 1848104
AXISBANK,2016-03-17 09:45:00, 430.3, 430.9, 428.5, 428.7, 806795
AXISBANK,2016-03-17 10:15:00, 428.7, 428.8, 426.7, 427.85, 655892
AXISBANK,2016-03-17 10:45:00, 427.85, 429.3, 427.55, 428.5, 393566
AXISBANK,2016-03-17 11:15:00, 428.7, 431.75, 428.4, 431.2, 634632
AXISBANK,2016-03-17 11:45:00, 431.25, 432.3, 428.75, 429.75, 678032
AXISBANK,2016-03-17 12:15:00, 429.75, 432, 429.55, 431, 575693
AXISBANK,2016-03-17 12:45:00, 430.95, 431.6, 429.8, 431, 600819
AXISBANK,2016-03-17 13:15:00, 430.95, 434, 430.9, 433.75, 788660
AXISBANK,2016-03-17 13:45:00, 433.75, 435, 432.8, 433.6, 785192
AXISBANK,2016-03-17 14:15:00, 433.6, 433.85, 431.3, 432.1, 1016239
AXISBANK,2016-03-17 14:45:00, 432.2, 432.55, 428.2, 428.5, 1421534
AXISBANK,2016-03-17 15:15:00, 428.5, 428.75, 425.5, 426.6, 834889
AXISBANK,2016-03-18 09:15:00, 429.4, 432.4, 429.1, 429.65, 800864
AXISBANK,2016-03-18 09:45:00, 429.95, 433.2, 429.75, 432.3, 559811
AXISBANK,2016-03-18 10:15:00, 432.3, 432.75, 431.05, 432.2, 271741
AXISBANK,2016-03-18 10:45:00, 432.25, 432.5, 431.5, 432.15, 263757
AXISBANK,2016-03-18 11:15:00, 432.15, 432.25, 430.8, 431.15, 348010
AXISBANK,2016-03-18 11:45:00, 431.15, 431.3, 430, 430.95, 406132
AXISBANK,2016-03-18 12:15:00, 430.95, 433.5, 430.85, 433.5, 478058
AXISBANK,2016-03-18 12:45:00, 433.5, 433.8, 431.7, 432.25, 270425
AXISBANK,2016-03-18 13:15:00, 432.25, 433.25, 430.4, 431.95, 368787
AXISBANK,2016-03-18 13:45:00, 431.95, 433.3, 431.1, 432.75, 300514
AXISBANK,2016-03-18 14:15:00, 432.55, 435.55, 432.25, 434.9, 701989
AXISBANK,2016-03-18 14:45:00, 434.9, 437, 434.3, 436.65, 1044001
AXISBANK,2016-03-18 15:15:00, 436.65, 437.5, 435.1, 437, 851918
AXISBANK,2016-03-21 09:15:00, 440, 443.95, 439.5, 439.95, 1802219
AXISBANK,2016-03-21 09:45:00, 439.95, 441.9, 439.95, 441.7, 637772
AXISBANK,2016-03-21 10:15:00, 441.65, 442.8, 441, 442.65, 462623
AXISBANK,2016-03-21 10:45:00, 442.65, 442.85, 441.65, 441.95, 490906
AXISBANK,2016-03-21 11:15:00, 441.95, 442.4, 441.4, 441.85, 554989
AXISBANK,2016-03-21 11:45:00, 441.85, 442.35, 441.85, 441.95, 280860
AXISBANK,2016-03-21 12:15:00, 441.95, 442.4, 441.3, 441.5, 480374
AXISBANK,2016-03-21 12:45:00, 441.55, 442, 441.25, 441.35, 604024
AXISBANK,2016-03-21 13:15:00, 441.35, 441.8, 438.25, 440.95, 782343
AXISBANK,2016-03-21 13:45:00, 440.95, 445, 440.85, 443.65, 855017
AXISBANK,2016-03-21 14:15:00, 443.8, 444.8, 442.95, 443.9, 515405
AXISBANK,2016-03-21 14:45:00, 444, 444.9, 442.5, 444.6, 776603
AXISBANK,2016-03-21 15:15:00, 444.6, 445.45, 444.05, 444.55, 657197
AXISBANK,2016-03-22 09:15:00, 446.8, 446.8, 440.55, 443, 981858
AXISBANK,2016-03-22 09:45:00, 443.1, 444.75, 441.6, 441.95, 528277
AXISBANK,2016-03-22 10:15:00, 441.85, 445, 441.85, 444.2, 468895
