Code,Date,Open,High,Low,Close,Volume
BOSCHLTD,2016-03-15 09:15:00, 18100, 18206.55, 18000, 18192.45, 2117
BOSCHLTD,2016-03-15 09:45:00, 18192.45, 18199, 17819.15, 17889.45, 2135
BOSCHLTD,2016-03-15 10:15:00, 17889.45, 17889.45, 17840.55, 17871.05, 523
BOSCHLTD,2016-03-15 11:15:00, 17897.85, 17925.05, 17880.15, 17919.95, 136
BOSCHLTD,2016-03-15 10:45:00, 17871.05, 17980, 17871.05, 17897.85, 476
BOSCHLTD,2016-03-15 11:45:00, 17919.95, 18010, 17919.95, 17981, 620
BOSCHLTD,2016-03-15 12:15:00, 17981, 18125, 17981, 18110.7, 912
BOSCHLTD,2016-03-15 12:45:00, 18110.7, 18110.7, 18005, 18012.6, 371
BOSCHLTD,2016-03-15 13:15:00, 18012.6, 18050, 17995, 18022, 467
BOSCHLTD,2016-03-15 14:15:00, 18028.25, 18070.5, 18020, 18025.3, 514
BOSCHLTD,2016-03-15 13:45:00, 18022, 18116.2, 18000, 18028.25, 620
BOSCHLTD,2016-03-15 14:45:00, 18025.3, 18159.6, 18025, 18115.65, 2605
BOSCHLTD,2016-03-15 15:15:00, 18125, 18200, 18120, 18190, 2016
BOSCHLTD,2016-03-16 09:15:00, 18200.3, 18250, 18008, 18050, 3281
BOSCHLTD,2016-03-16 09:45:00, 18050, 18114.95, 18001.1, 18040.2, 1622
BOSCHLTD,2016-03-16 10:15:00, 18042.05, 18142.8, 18030.15, 18070.95, 988
BOSCHLTD,2016-03-16 11:15:00, 18092.3, 18140.45, 18052.15, 18096.85, 708
BOSCHLTD,2016-03-16 10:45:00, 18070.95, 18115.5, 18061.75, 18092.3, 482
BOSCHLTD,2016-03-16 11:45:00, 18096.85, 18113.15, 18040, 18064.8, 6800
BOSCHLTD,2016-03-16 12:15:00, 18064.8, 18082.45, 17930, 17950, 1374
BOSCHLTD,2016-03-16 12:45:00, 17950, 18038, 17940.6, 18022.65, 461
BOSCHLTD,2016-03-16 13:15:00, 18022.75, 18095.85, 18022.75, 18080, 541
BOSCHLTD,2016-03-16 13:45:00, 18080, 18178.3, 18048.5, 18132.55, 1440
BOSCHLTD,2016-03-16 14:15:00, 18132.55, 18191, 18100.2, 18174, 2021
BOSCHLTD,2016-03-16 14:45:00, 18174, 18180, 17985.35, 18020, 5429
BOSCHLTD,2016-03-16 15:15:00, 18020.05, 18040, 17910, 18000.05, 2583
BOSCHLTD,2016-03-17 09:15:00, 18150, 18220, 18104.45, 18160.45, 5075
BOSCHLTD,2016-03-17 09:45:00, 18160.8, 18190.95, 18118, 18118, 1109
BOSCHLTD,2016-03-17 10:15:00, 18118, 18171, 18103.3, 18170.7, 572
BOSCHLTD,2016-03-17 10:45:00, 18170.7, 18178.6, 18129, 18152.5, 558
BOSCHLTD,2016-03-17 11:15:00, 18152.5, 18200, 18144, 18190.3, 750
BOSCHLTD,2016-03-17 11:45:00, 18190.3, 18299, 18189.85, 18260, 1837
BOSCHLTD,2016-03-17 12:15:00, 18260, 18260.05, 18150, 18151, 541
BOSCHLTD,2016-03-17 12:45:00, 18151, 18205, 18150.3, 18205, 646
BOSCHLTD,2016-03-17 13:15:00, 18205, 18226.2, 18174.8, 18200, 3007
BOSCHLTD,2016-03-17 13:45:00, 18200, 18227.35, 18198.75, 18205.6, 606
BOSCHLTD,2016-03-17 14:15:00, 18205.6, 18221, 18166.05, 18200, 1131
BOSCHLTD,2016-03-17 14:45:00, 18200, 18220, 18170.7, 18200.25, 2677
BOSCHLTD,2016-03-17 15:15:00, 18200.25, 18219, 18199.95, 18200, 2852
BOSCHLTD,2016-03-18 09:45:00, 18125.75, 18163, 18100, 18152.7, 1085
BOSCHLTD,2016-03-18 09:15:00, 18244.7, 18244.7, 18012.1, 18125.75, 4601
BOSCHLTD,2016-03-18 10:15:00, 18152.7, 18157, 18130.1, 18157, 605
BOSCHLTD,2016-03-18 10:45:00, 18157, 18160, 18096.1, 18153, 819
BOSCHLTD,2016-03-18 11:15:00, 18153, 18208.45, 18121.6, 18190.3, 1802
BOSCHLTD,2016-03-18 11:45:00, 18190.3, 18194.2, 18110.1, 18147.95, 979
BOSCHLTD,2016-03-18 12:15:00, 18147.95, 18233, 18137.1, 18206.05, 1652
BOSCHLTD,2016-03-18 12:45:00, 18206.05, 18222.75, 18170.25, 18191.5, 1631
BOSCHLTD,2016-03-18 13:15:00, 18191.5, 18200, 18148, 18164.4, 1462
BOSCHLTD,2016-03-18 13:45:00, 18164.4, 18231.65, 18141.45, 18225, 2696
BOSCHLTD,2016-03-18 14:15:00, 18190.3, 18668.75, 18190.3, 18646, 10099
BOSCHLTD,2016-03-18 14:45:00, 18644.4, 18840, 18632.25, 18722.65, 8653
BOSCHLTD,2016-03-18 15:15:00, 18722, 18850, 18721.15, 18798.55, 7500
BOSCHLTD,2016-03-21 09:15:00, 18749.95, 19035, 18734.1, 19001.5, 6400
BOSCHLTD,2016-03-21 09:45:00, 19000, 19060, 19000, 19045, 1407
BOSCHLTD,2016-03-21 10:15:00, 19045, 19080.4, 19025, 19080, 1070
BOSCHLTD,2016-03-21 10:45:00, 19080.5, 19099.95, 19001, 19008.5, 784
BOSCHLTD,2016-03-21 11:15:00, 19008.75, 19030, 19000, 19020, 1208
BOSCHLTD,2016-03-21 11:45:00, 19020, 19146.8, 19004.6, 19140, 1456
BOSCHLTD,2016-03-21 12:15:00, 19136.6, 19300, 19070.3, 19199.9, 3308
BOSCHLTD,2016-03-21 12:45:00, 19189.95, 19298.85, 19152.35, 19250, 1701
BOSCHLTD,2016-03-21 13:15:00, 19232.05, 19290, 19108, 19122.8, 2418
BOSCHLTD,2016-03-21 13:45:00, 19106.05, 19148, 19015.5, 19087.1, 2039
BOSCHLTD,2016-03-21 14:15:00, 19087.1, 19247.7, 19067.1, 19239.8, 1204
BOSCHLTD,2016-03-21 14:45:00, 19239.8, 19400, 19228.2, 19394.9, 3826
BOSCHLTD,2016-03-21 15:15:00, 19394.9, 19480, 19300.2, 19420, 2750
BOSCHLTD,2016-03-22 09:15:00, 19400, 19630.2, 19339.95, 19413.45, 3451
BOSCHLTD,2016-03-22 09:45:00, 19413.5, 19520.2, 19403.7, 19487.95, 1318
BOSCHLTD,2016-03-22 10:15:00, 19481.2, 19600, 19451.65, 19562.45, 1555
BOSCHLTD,2016-03-22 10:45:00, 19562.45, 19590, 19536, 19550.05, 613
BOSCHLTD,2016-03-22 11:15:00, 19550.05, 19724, 19536.2, 19712.8, 2643
BOSCHLTD,2016-03-22 11:45:00, 19712.8, 19725, 19690, 19691.55, 1720
BOSCHLTD,2016-03-22 12:15:00, 19700, 19707.95, 19625, 19674.35, 1471
BOSCHLTD,2016-03-22 12:45:00, 19674.45, 19700, 19609.45, 19674.05, 1499
BOSCHLTD,2016-03-22 13:15:00, 19674.05, 19710, 19590.05, 19669.7, 2911
BOSCHLTD,2016-03-22 13:45:00, 19669.7, 19747.95, 19640, 19743, 3275
BOSCHLTD,2016-03-22 14:15:00, 19732.45, 19960.75, 19732.45, 19940.05, 5107
BOSCHLTD,2016-03-22 14:45:00, 19949.95, 20210, 19925.6, 20149, 8064
BOSCHLTD,2016-03-22 15:15:00, 20149, 20405.05, 20035, 20150, 5004
BOSCHLTD,2016-03-23 09:15:00, 20100, 20526.95, 20100, 20155.15, 7435
BOSCHLTD,2016-03-23 09:45:00, 20155.15, 20238.75, 20000, 20215.9, 3607
BOSCHLTD,2016-03-23 10:15:00, 20215.9, 20250, 20143.6, 20150, 1681
BOSCHLTD,2016-03-23 10:45:00, 20157.6, 20160, 20025, 20050, 2041
BOSCHLTD,2016-03-23 11:15:00, 20050, 20080, 19935.5, 19959.25, 2255
BOSCHLTD,2016-03-23 11:45:00, 19959.25, 20076.65, 19936.1, 20013.8, 2012
BOSCHLTD,2016-03-23 12:15:00, 20013.8, 20019.95, 19970.2, 19999.95, 1394
BOSCHLTD,2016-03-23 12:45:00, 19999.95, 20048.95, 19985.65, 20048.95, 1752
BOSCHLTD,2016-03-23 13:15:00, 20048.95, 20312.5, 20038.2, 20230, 3567
BOSCHLTD,2016-03-23 13:45:00, 20230, 20300, 20190, 20205.5, 2775
BOSCHLTD,2016-03-23 14:15:00, 20205.5, 20260, 20114, 20184.55, 1851
BOSCHLTD,2016-03-23 14:45:00, 20180.05, 20250, 20151, 20230.05, 2818
BOSCHLTD,2016-03-23 15:15:00, 20230.05, 20248.95, 20150, 20150, 2533
BOSCHLTD,2016-03-28 09:15:00, 20000, 20325, 20000, 20165, 1516
BOSCHLTD,2016-03-28 09:45:00, 20165, 20300, 20153.95, 20280, 824
BOSCHLTD,2016-03-28 10:15:00, 20280, 20350, 20261.85, 20350, 906
BOSCHLTD,2016-03-28 10:45:00, 20350, 20394.95, 20293.15, 20307.95, 1056
BOSCHLTD,2016-03-28 11:15:00, 20307.95, 20330, 20250, 20319.95, 1030
BOSCHLTD,2016-03-28 11:45:00, 20308, 20400, 20308, 20379.35, 1198
BOSCHLTD,2016-03-28 12:15:00, 20379.35, 20398.9, 20337.85, 20360.75, 1208
BOSCHLTD,2016-03-28 12:45:00, 20350, 20499, 20330.4, 20460.85, 2374
BOSCHLTD,2016-03-28 13:15:00, 20461.3, 20640.15, 20460.5, 20560, 3493
BOSCHLTD,2016-03-28 13:45:00, 20560, 20610, 20530, 20563.5, 2105
BOSCHLTD,2016-03-28 14:15:00, 20557.6, 20575, 20340, 20363.85, 3067
BOSCHLTD,2016-03-28 14:45:00, 20343.05, 20429.95, 20300, 20365.85, 3559
BOSCHLTD,2016-03-28 15:15:00, 20362.05, 20595, 20362.05, 20515, 2945
BOSCHLTD,2016-03-29 09:15:00, 20450, 20671, 20404.1, 20630.05, 2076
BOSCHLTD,2016-03-29 09:45:00, 20630.05, 20690, 20588.9, 20601.9, 1267
BOSCHLTD,2016-03-29 10:15:00, 20601.9, 20664, 20588.9, 20620, 910
BOSCHLTD,2016-03-29 10:45:00, 20620, 20640, 20570, 20596.7, 667
BOSCHLTD,2016-03-29 11:15:00, 20596.55, 20600.05, 20571.05, 20600, 249
BOSCHLTD,2016-03-29 11:45:00, 20600, 20600.05, 20521.4, 20559.85, 369
BOSCHLTD,2016-03-29 12:15:00, 20559.85, 20650, 20559.85, 20608.9, 541
BOSCHLTD,2016-03-29 12:45:00, 20608.9, 20650, 20555, 20556.1, 548
BOSCHLTD,2016-03-29 13:15:00, 20572.4, 20605.2, 20550, 20565.05, 665
BOSCHLTD,2016-03-29 13:45:00, 20579.75, 20638, 20565.25, 20634.95, 1080
BOSCHLTD,2016-03-29 14:15:00, 20634.95, 20664, 20615.1, 20638.35, 1238
BOSCHLTD,2016-03-29 14:45:00, 20638.35, 20689, 20555.1, 20575.65, 2686
BOSCHLTD,2016-03-29 15:15:00, 20575.65, 20641.75, 20560, 20560, 2397
BOSCHLTD,2016-03-30 09:15:00, 20679.8, 20749.7, 20670, 20679, 1413
BOSCHLTD,2016-03-30 09:45:00, 20679, 20699, 20475.4, 20489.95, 1773
BOSCHLTD,2016-03-30 10:15:00, 20489.95, 20671.35, 20485.25, 20671.35, 992
BOSCHLTD,2016-03-30 10:45:00, 20671.35, 20732.55, 20654.9, 20730, 874
BOSCHLTD,2016-03-30 11:15:00, 20730, 20749, 20676.8, 20733.9, 1214
BOSCHLTD,2016-03-30 11:45:00, 20733.9, 20770, 20718.15, 20749.95, 746
BOSCHLTD,2016-03-30 12:15:00, 20748.35, 20789.9, 20733.95, 20789.9, 572
BOSCHLTD,2016-03-30 12:45:00, 20789.9, 20790, 20723.5, 20781.85, 595
BOSCHLTD,2016-03-30 13:15:00, 20781.85, 20781.85, 20721.05, 20760.95, 370
BOSCHLTD,2016-03-30 13:45:00, 20765.1, 20836.15, 20734.1, 20757.95, 1420
BOSCHLTD,2016-03-30 14:15:00, 20757.95, 20768.75, 20701.05, 20715.3, 1073
BOSCHLTD,2016-03-30 14:45:00, 20715.3, 20780, 20711, 20737.6, 2138
BOSCHLTD,2016-03-30 15:15:00, 20740.75, 20750, 20670.05, 20710, 1658
BOSCHLTD,2016-03-31 09:15:00, 20600, 20732.7, 20490.05, 20570.05, 2151
BOSCHLTD,2016-03-31 09:45:00, 20570.05, 20649.6, 20545, 20564.3, 1223
