Code,Date,Open,High,Low,Close,Volume
BPCL,2016-03-15 09:15:00, 403, 408.23, 402.78, 408.13, 235604
BPCL,2016-03-15 09:45:00, 408.13, 409.95, 408.1, 408.95, 345498
BPCL,2016-03-15 10:15:00, 409, 409.18, 407.8, 408.95, 146022
BPCL,2016-03-15 10:45:00, 408.95, 409.83, 407.1, 409.35, 209624
BPCL,2016-03-15 11:15:00, 409.43, 409.43, 408.2, 409.23, 121682
BPCL,2016-03-15 11:45:00, 409.23, 409.3, 408.2, 409.13, 65816
BPCL,2016-03-15 12:15:00, 409, 409.13, 407.75, 408.1, 90506
BPCL,2016-03-15 12:45:00, 408.1, 408.5, 406.1, 407.63, 151006
BPCL,2016-03-15 13:15:00, 407.63, 407.68, 406.6, 406.9, 124480
BPCL,2016-03-15 13:45:00, 406.9, 407.75, 406.75, 407.35, 107788
BPCL,2016-03-15 14:15:00, 407.35, 408, 407.13, 407.5, 139770
BPCL,2016-03-15 14:45:00, 407.5, 407.5, 404.38, 406.25, 212056
BPCL,2016-03-15 15:15:00, 406.25, 406.35, 403.93, 404.68, 208142
BPCL,2016-03-16 09:15:00, 409.68, 411.6, 407.55, 409.73, 638652
BPCL,2016-03-16 10:15:00, 409.43, 409.88, 407.75, 409.2, 200192
BPCL,2016-03-16 09:45:00, 409.75, 410.33, 408.88, 409.43, 257808
BPCL,2016-03-16 10:45:00, 409.2, 411, 408.5, 410.03, 198820
BPCL,2016-03-16 11:15:00, 410.03, 410.25, 408.13, 408.85, 480118
BPCL,2016-03-16 12:15:00, 409.5, 410.23, 409, 409.5, 314174
BPCL,2016-03-16 11:45:00, 408.85, 410.05, 407.75, 409.53, 284054
BPCL,2016-03-16 12:45:00, 409.5, 410, 408.65, 409.13, 245996
BPCL,2016-03-16 13:15:00, 409.13, 410, 408.15, 409.65, 63536
BPCL,2016-03-16 13:45:00, 409.8, 410, 408.55, 408.65, 56100
BPCL,2016-03-16 14:15:00, 408.65, 410, 408.65, 409.6, 160278
BPCL,2016-03-16 14:45:00, 409.6, 409.75, 408.53, 409.5, 188898
BPCL,2016-03-16 15:15:00, 409.4, 409.7, 408.85, 409.1, 198032
BPCL,2016-03-17 09:15:00, 413.83, 428.48, 412.5, 427.65, 1879332
BPCL,2016-03-17 09:45:00, 427.65, 429.85, 427.25, 429.4, 769124
BPCL,2016-03-17 10:15:00, 429.4, 432.25, 429, 431.95, 846114
BPCL,2016-03-17 10:45:00, 431.98, 433.88, 431.1, 431.65, 619870
BPCL,2016-03-17 11:15:00, 431.65, 433.73, 431.13, 432.98, 386128
BPCL,2016-03-17 11:45:00, 432.98, 433.5, 431.98, 431.98, 282242
BPCL,2016-03-17 12:15:00, 432, 433.08, 431.88, 432.35, 322186
BPCL,2016-03-17 12:45:00, 432.35, 432.88, 432.13, 432.5, 520212
BPCL,2016-03-17 13:15:00, 432.48, 434.28, 432.48, 433.25, 455928
BPCL,2016-03-17 13:45:00, 433.25, 434, 432.25, 433.63, 305106
BPCL,2016-03-17 14:15:00, 433.63, 433.7, 430.5, 431.68, 597930
BPCL,2016-03-17 14:45:00, 431.95, 432.95, 431.1, 432.13, 624264
BPCL,2016-03-17 15:15:00, 432, 433.5, 431.9, 432.5, 529618
BPCL,2016-03-18 09:15:00, 430, 431.93, 427.15, 428.95, 410636
BPCL,2016-03-18 09:45:00, 428.95, 429.6, 428.03, 428.85, 218528
BPCL,2016-03-18 10:15:00, 428.85, 429.15, 426.15, 427.38, 207722
BPCL,2016-03-18 11:15:00, 429.33, 430, 427.85, 430, 162146
BPCL,2016-03-18 10:45:00, 427.38, 430.43, 426.78, 429.33, 198542
BPCL,2016-03-18 11:45:00, 430, 430.2, 428.83, 429.8, 174744
BPCL,2016-03-18 12:15:00, 429.8, 429.93, 429.05, 429.68, 147428
BPCL,2016-03-18 12:45:00, 429.68, 429.95, 427.75, 428.05, 124378
BPCL,2016-03-18 13:15:00, 428.05, 428.35, 427.5, 428.2, 250132
BPCL,2016-03-18 13:45:00, 428.2, 428.55, 427.75, 428.25, 227480
BPCL,2016-03-18 14:15:00, 428.25, 428.75, 427.6, 427.75, 271710
BPCL,2016-03-18 14:45:00, 427.75, 428.6, 427.53, 428.53, 568874
BPCL,2016-03-18 15:15:00, 428.53, 428.65, 428.13, 428.5, 436088
BPCL,2016-03-21 09:15:00, 432.35, 439.28, 430.18, 437.25, 616814
BPCL,2016-03-21 09:45:00, 437, 438.3, 435.23, 436.98, 255356
BPCL,2016-03-21 10:15:00, 436.98, 439.93, 436.65, 439.5, 340162
BPCL,2016-03-21 10:45:00, 439.5, 439.5, 437.08, 437.08, 350158
BPCL,2016-03-21 11:15:00, 437.05, 438.25, 436.75, 437.23, 120152
BPCL,2016-03-21 11:45:00, 437.2, 438.25, 436.68, 437.75, 173722
BPCL,2016-03-21 12:15:00, 437.6, 437.75, 437, 437.53, 199778
BPCL,2016-03-21 12:45:00, 437.53, 437.8, 435.98, 437.13, 415904
BPCL,2016-03-21 13:15:00, 437.35, 437.38, 435.5, 436.15, 131724
