Code,Date,Open,High,Low,Close,Volume
CANBK,2016-03-15 09:15:00, 186, 187.9, 184.5, 187.7, 545514
CANBK,2016-03-15 09:45:00, 187.6, 187.8, 186.25, 186.35, 302233
CANBK,2016-03-15 10:15:00, 186.35, 187.45, 186.25, 187.2, 159456
CANBK,2016-03-15 10:45:00, 187.2, 188.4, 187, 188.2, 252318
CANBK,2016-03-15 11:15:00, 188.2, 188.25, 187.2, 187.5, 148088
CANBK,2016-03-15 11:45:00, 187.4, 188, 187.35, 187.55, 98745
CANBK,2016-03-15 12:15:00, 187.55, 187.85, 187.1, 187.55, 84929
CANBK,2016-03-15 12:45:00, 187.55, 188.05, 186.75, 187, 150864
CANBK,2016-03-15 13:15:00, 187, 187.75, 186.1, 186.65, 182884
CANBK,2016-03-15 13:45:00, 186.65, 187, 185.7, 186.3, 204090
CANBK,2016-03-15 14:15:00, 186.3, 187.7, 186.2, 187.45, 149291
CANBK,2016-03-15 15:15:00, 186.55, 186.8, 186.35, 186.5, 188810
CANBK,2016-03-15 14:45:00, 187.45, 187.55, 186.5, 186.6, 158852
CANBK,2016-03-16 09:15:00, 187, 187.4, 184.45, 186.1, 348286
CANBK,2016-03-16 09:45:00, 186.05, 186.05, 185.15, 185.55, 98488
CANBK,2016-03-16 10:15:00, 185.55, 185.7, 184.4, 184.65, 214620
CANBK,2016-03-16 11:15:00, 185, 185.3, 183.5, 183.95, 254402
CANBK,2016-03-16 10:45:00, 184.65, 185.25, 184.5, 185, 128835
CANBK,2016-03-16 12:15:00, 183.35, 183.95, 182.9, 182.95, 173598
CANBK,2016-03-16 11:45:00, 183.95, 184.2, 183, 183.35, 285489
CANBK,2016-03-16 12:45:00, 182.95, 183.9, 182.75, 183.7, 135048
CANBK,2016-03-16 13:15:00, 183.7, 184.7, 183.3, 184.35, 124114
CANBK,2016-03-16 13:45:00, 184.35, 185.15, 183.8, 184.75, 143904
CANBK,2016-03-16 14:15:00, 184.75, 186.8, 184.7, 186.35, 320140
CANBK,2016-03-16 14:45:00, 186.35, 188.3, 185.7, 188, 378833
CANBK,2016-03-16 15:15:00, 187.95, 188.7, 187.6, 188.1, 317430
CANBK,2016-03-17 09:15:00, 191.1, 191.35, 189.1, 190.6, 532014
CANBK,2016-03-17 09:45:00, 190.6, 190.7, 189.05, 189.1, 291358
CANBK,2016-03-17 10:15:00, 189.1, 189.45, 187.2, 187.95, 330643
CANBK,2016-03-17 10:45:00, 187.95, 188.3, 187.1, 187.8, 169177
CANBK,2016-03-17 11:15:00, 187.8, 189.3, 187.6, 188.8, 165063
CANBK,2016-03-17 11:45:00, 188.8, 189.1, 188.45, 188.55, 111586
CANBK,2016-03-17 12:15:00, 188.55, 189.2, 188.4, 189.05, 105874
CANBK,2016-03-17 12:45:00, 189.05, 189.4, 188.75, 189.05, 84311
CANBK,2016-03-17 13:15:00, 189.15, 190.1, 189.05, 189.9, 217198
CANBK,2016-03-17 13:45:00, 189.9, 190.3, 189.2, 189.25, 180745
CANBK,2016-03-17 14:45:00, 187.9, 188.15, 187.05, 187.35, 333768
CANBK,2016-03-17 14:15:00, 189.25, 189.3, 187.75, 187.9, 239084
CANBK,2016-03-17 15:15:00, 187.35, 187.7, 186, 186.4, 231668
CANBK,2016-03-18 09:15:00, 187.65, 188.5, 186.7, 187.1, 206676
CANBK,2016-03-18 09:45:00, 187.1, 188.65, 186.9, 188, 154275
CANBK,2016-03-18 10:15:00, 188, 188.6, 187.35, 188.05, 103308
CANBK,2016-03-18 10:45:00, 188.05, 188.35, 187.5, 188, 83105
CANBK,2016-03-18 11:15:00, 188.05, 188.1, 186.8, 187.65, 114015
CANBK,2016-03-18 11:45:00, 187.65, 187.95, 187, 187.7, 118502
CANBK,2016-03-18 12:15:00, 187.7, 188.85, 187.7, 188.75, 197220
CANBK,2016-03-18 12:45:00, 188.75, 189, 187.6, 188.15, 138879
CANBK,2016-03-18 13:15:00, 188.15, 188.65, 187.65, 188.3, 141342
CANBK,2016-03-18 13:45:00, 188.3, 188.65, 188.05, 188.2, 102321
CANBK,2016-03-18 14:15:00, 188.2, 189, 187.95, 188.7, 159166
CANBK,2016-03-18 14:45:00, 188.7, 190.4, 188.25, 190.25, 366727
CANBK,2016-03-18 15:15:00, 190.4, 191.1, 190.15, 190.55, 299366
CANBK,2016-03-21 09:15:00, 192.3, 193.45, 191.2, 191.6, 429629
CANBK,2016-03-21 09:45:00, 191.6, 192.55, 191.5, 191.8, 185452
CANBK,2016-03-21 10:15:00, 191.85, 193.2, 191.75, 193, 171190
CANBK,2016-03-21 10:45:00, 193, 193.7, 192.6, 192.7, 184398
CANBK,2016-03-21 11:15:00, 192.65, 193, 192.2, 192.55, 85954
CANBK,2016-03-21 11:45:00, 192.5, 192.95, 192.25, 192.8, 52626
CANBK,2016-03-21 12:15:00, 192.8, 192.95, 192, 192.25, 60499
CANBK,2016-03-21 12:45:00, 192.25, 192.45, 191.75, 192.4, 72779
CANBK,2016-03-21 13:45:00, 192.65, 193.45, 192.6, 193.25, 111706
CANBK,2016-03-21 13:15:00, 192.4, 193.2, 191.8, 192.65, 121694
CANBK,2016-03-21 14:15:00, 193.25, 193.5, 192.6, 193.25, 133960
CANBK,2016-03-21 14:45:00, 193.35, 193.5, 192.55, 193.05, 181238
CANBK,2016-03-21 15:15:00, 193.05, 193.25, 192.6, 192.8, 182514
CANBK,2016-03-22 09:15:00, 194.3, 194.3, 192.2, 192.85, 234476
CANBK,2016-03-22 09:45:00, 192.85, 194.55, 192.7, 193.2, 145885
CANBK,2016-03-22 10:15:00, 193.2, 194.35, 193.05, 194, 110034
CANBK,2016-03-22 10:45:00, 194, 194.5, 193.3, 193.6, 88850
CANBK,2016-03-22 11:15:00, 193.6, 194.15, 193.5, 193.8, 54187
CANBK,2016-03-22 11:45:00, 193.8, 194, 193.35, 193.55, 40739
CANBK,2016-03-22 12:15:00, 193.55, 193.7, 192.55, 193.1, 87255
CANBK,2016-03-22 12:45:00, 193.1, 193.2, 192, 192.1, 138535
CANBK,2016-03-22 13:15:00, 192.15, 192.3, 190.85, 191.2, 190512
CANBK,2016-03-22 13:45:00, 191.2, 191.25, 189.7, 190.9, 223923
CANBK,2016-03-22 14:15:00, 190.85, 192.15, 190.7, 191.8, 167816
CANBK,2016-03-22 14:45:00, 191.8, 193.25, 191.65, 193.25, 237901
CANBK,2016-03-22 15:15:00, 193.2, 193.9, 193.1, 193.25, 225353
