Code,Date,Open,High,Low,Close,Volume
CONCOR,2016-03-15 09:15:00, 1163, 1163, 1144.95, 1146.1, 29148
CONCOR,2016-03-15 09:45:00, 1146.1, 1147.9, 1142.65, 1144.5, 12591
CONCOR,2016-03-15 10:15:00, 1144.5, 1147.25, 1143.35, 1146.5, 7234
CONCOR,2016-03-15 10:45:00, 1146.5, 1146.75, 1142.65, 1146, 16442
CONCOR,2016-03-15 11:15:00, 1146, 1146.8, 1145.05, 1146.55, 4966
CONCOR,2016-03-15 12:15:00, 1150.25, 1152.45, 1148.6, 1152.4, 20901
CONCOR,2016-03-15 11:45:00, 1146.55, 1151.55, 1145.55, 1150.25, 29966
CONCOR,2016-03-15 12:45:00, 1151.55, 1153.8, 1150.65, 1151, 19858
CONCOR,2016-03-15 13:15:00, 1151, 1151.85, 1150.45, 1151.2, 19245
CONCOR,2016-03-15 13:45:00, 1151.2, 1151.9, 1150.8, 1151, 19839
CONCOR,2016-03-15 14:15:00, 1151, 1151.65, 1150.7, 1151, 28051
CONCOR,2016-03-15 14:45:00, 1151, 1151.25, 1150.3, 1151, 31412
CONCOR,2016-03-15 15:15:00, 1151.05, 1151.05, 1143.45, 1144.85, 40152
CONCOR,2016-03-16 09:15:00, 1145.1, 1153.1, 1145, 1151.8, 15805
CONCOR,2016-03-16 09:45:00, 1151.8, 1155, 1151.5, 1151.65, 12862
CONCOR,2016-03-16 10:15:00, 1151.65, 1152, 1151, 1151, 10356
CONCOR,2016-03-16 10:45:00, 1151, 1151.05, 1148.85, 1149.95, 18112
CONCOR,2016-03-16 11:15:00, 1149.95, 1151.75, 1149.95, 1151.15, 10385
CONCOR,2016-03-16 11:45:00, 1151.15, 1151.9, 1150.95, 1151.45, 17484
CONCOR,2016-03-16 12:15:00, 1151.45, 1151.45, 1150, 1150.6, 5714
CONCOR,2016-03-16 12:45:00, 1150.6, 1151.15, 1150, 1150.9, 10242
CONCOR,2016-03-16 13:15:00, 1150.9, 1151.9, 1149.95, 1151.85, 2545
CONCOR,2016-03-16 13:45:00, 1151, 1152, 1151, 1151.55, 1659
CONCOR,2016-03-16 14:15:00, 1151.55, 1151.95, 1151, 1151.65, 7135
CONCOR,2016-03-16 14:45:00, 1151.65, 1154, 1151.3, 1153, 26141
CONCOR,2016-03-16 15:15:00, 1153, 1157.9, 1152, 1154.9, 18764
CONCOR,2016-03-17 09:15:00, 1157.75, 1162.8, 1155, 1158.8, 19276
CONCOR,2016-03-17 09:45:00, 1158.8, 1162.45, 1157.25, 1160, 12656
CONCOR,2016-03-17 10:15:00, 1160, 1160.9, 1160, 1160.15, 9963
CONCOR,2016-03-17 10:45:00, 1160.15, 1161.9, 1160, 1160.85, 7750
CONCOR,2016-03-17 11:15:00, 1161, 1161.9, 1160, 1161.85, 6555
CONCOR,2016-03-17 11:45:00, 1161.85, 1167.8, 1161.75, 1165, 23745
CONCOR,2016-03-17 12:15:00, 1165, 1166.9, 1164.95, 1166.65, 6669
CONCOR,2016-03-17 12:45:00, 1166.45, 1166.9, 1165.2, 1165.8, 12668
CONCOR,2016-03-17 13:15:00, 1165.8, 1167.8, 1165.4, 1167.7, 16494
CONCOR,2016-03-17 13:45:00, 1167.7, 1167.9, 1165.9, 1167, 15724
CONCOR,2016-03-17 14:15:00, 1167, 1168.9, 1166.85, 1168.9, 29271
CONCOR,2016-03-17 14:45:00, 1168.9, 1173.95, 1167.45, 1170, 44253
CONCOR,2016-03-17 15:15:00, 1170.1, 1170.9, 1166.1, 1170, 32422
CONCOR,2016-03-18 09:15:00, 1174, 1174, 1156.45, 1159.9, 29493
CONCOR,2016-03-18 09:45:00, 1159.9, 1160.8, 1152, 1154, 9087
CONCOR,2016-03-18 10:15:00, 1154, 1156.4, 1153.15, 1154.1, 8043
CONCOR,2016-03-18 10:45:00, 1154.1, 1164.95, 1153.8, 1162.75, 11997
CONCOR,2016-03-18 11:15:00, 1162.75, 1163.2, 1154.75, 1156.5, 11550
CONCOR,2016-03-18 11:45:00, 1156.5, 1157.4, 1153, 1153.1, 11732
CONCOR,2016-03-18 12:15:00, 1153.1, 1154.45, 1150.05, 1150.8, 16288
CONCOR,2016-03-18 12:45:00, 1150.8, 1151.2, 1143.3, 1145.2, 33834
CONCOR,2016-03-18 13:15:00, 1145.4, 1149.6, 1142, 1142.2, 21680
CONCOR,2016-03-18 13:45:00, 1142.2, 1145, 1136.45, 1140, 37482
CONCOR,2016-03-18 14:15:00, 1140, 1149, 1138.8, 1147.95, 55774
CONCOR,2016-03-18 14:45:00, 1147.95, 1147.95, 1142.25, 1145.9, 116075
CONCOR,2016-03-18 15:15:00, 1145.9, 1155, 1145.9, 1152.9, 80656
CONCOR,2016-03-21 09:15:00, 1152.85, 1160.3, 1152.3, 1154.95, 11988
CONCOR,2016-03-21 09:45:00, 1155, 1166, 1153.25, 1165.85, 18894
CONCOR,2016-03-21 10:15:00, 1165.85, 1172, 1165, 1170.5, 21084
CONCOR,2016-03-21 10:45:00, 1170.5, 1173.55, 1167.6, 1169.95, 13784
CONCOR,2016-03-21 11:15:00, 1169.95, 1170.5, 1164.5, 1169, 10796
CONCOR,2016-03-21 11:45:00, 1169, 1175, 1165.4, 1173.3, 17368
CONCOR,2016-03-21 12:15:00, 1173.3, 1174, 1170.3, 1171.5, 8048
CONCOR,2016-03-21 12:45:00, 1171.6, 1173.9, 1169, 1173.9, 9581
CONCOR,2016-03-21 13:15:00, 1173.9, 1174.5, 1172.5, 1173.95, 10225
CONCOR,2016-03-21 13:45:00, 1173.95, 1193.95, 1173.2, 1191.35, 51582
CONCOR,2016-03-21 14:15:00, 1192, 1203, 1188, 1200.5, 63727
CONCOR,2016-03-21 14:45:00, 1200.5, 1204.9, 1197.8, 1201.15, 38570
CONCOR,2016-03-21 15:15:00, 1201.75, 1203.85, 1195.5, 1203.5, 28870
CONCOR,2016-03-22 09:15:00, 1196.95, 1205, 1194.6, 1196, 16800
CONCOR,2016-03-22 09:45:00, 1196, 1216.85, 1195.35, 1213, 24461
CONCOR,2016-03-22 10:15:00, 1213.5, 1220, 1209.65, 1218.5, 14263
CONCOR,2016-03-22 10:45:00, 1218.5, 1219.5, 1213.1, 1213.1, 5539
CONCOR,2016-03-22 11:15:00, 1213.15, 1214.5, 1204.05, 1207, 5505
CONCOR,2016-03-22 11:45:00, 1208, 1216, 1206.75, 1212.05, 5494
CONCOR,2016-03-22 12:15:00, 1212.05, 1214.5, 1207, 1207, 6373
CONCOR,2016-03-22 12:45:00, 1207, 1207.95, 1203, 1206.55, 4467
CONCOR,2016-03-22 13:15:00, 1206.55, 1207, 1200, 1203.75, 4743
CONCOR,2016-03-22 13:45:00, 1203.75, 1204.8, 1184.05, 1194.55, 17245
CONCOR,2016-03-22 14:15:00, 1194.55, 1206, 1194.55, 1204.65, 7696
CONCOR,2016-03-22 14:45:00, 1204.65, 1216, 1204.65, 1214.3, 16746
CONCOR,2016-03-22 15:15:00, 1214.3, 1218, 1210.15, 1210.15, 15872
CONCOR,2016-03-23 09:15:00, 1214, 1220.6, 1202.65, 1220.3, 12974
CONCOR,2016-03-23 09:45:00, 1220, 1226.9, 1219, 1219.95, 17365
CONCOR,2016-03-23 10:15:00, 1219.95, 1223.5, 1219, 1220.5, 5044
CONCOR,2016-03-23 10:45:00, 1220.6, 1220.8, 1214.05, 1214.5, 12800
CONCOR,2016-03-23 11:15:00, 1214.5, 1214.5, 1208.8, 1211.45, 6513
CONCOR,2016-03-23 11:45:00, 1211.45, 1212.6, 1210.35, 1212.4, 1234
CONCOR,2016-03-23 12:15:00, 1212.4, 1213.45, 1212, 1212.7, 4541
CONCOR,2016-03-23 12:45:00, 1212.7, 1214, 1212, 1214, 1902
CONCOR,2016-03-23 13:15:00, 1214, 1217.9, 1212.7, 1216.45, 3374
CONCOR,2016-03-23 13:45:00, 1214.95, 1222.9, 1214.95, 1219.95, 3830
CONCOR,2016-03-23 14:15:00, 1219.95, 1219.95, 1212.9, 1217.75, 4584
CONCOR,2016-03-23 14:45:00, 1217.75, 1223.5, 1212.35, 1222.75, 25179
CONCOR,2016-03-23 15:15:00, 1222.75, 1224.5, 1218.4, 1220.1, 20731
CONCOR,2016-03-28 09:15:00, 1221.25, 1236.9, 1220, 1227.35, 14087
CONCOR,2016-03-28 09:45:00, 1227.35, 1227.35, 1220.05, 1223, 3827
CONCOR,2016-03-28 10:15:00, 1223, 1223.75, 1220.2, 1221.55, 1754
CONCOR,2016-03-28 10:45:00, 1221.55, 1222.8, 1218.5, 1221, 4602
CONCOR,2016-03-28 11:15:00, 1221.5, 1223.95, 1219.65, 1223.6, 6043
CONCOR,2016-03-28 11:45:00, 1224, 1225, 1221.65, 1223.55, 2055
CONCOR,2016-03-28 12:15:00, 1223.55, 1225, 1221.7, 1223.4, 1851
CONCOR,2016-03-28 12:45:00, 1223.4, 1223.95, 1218.7, 1223.4, 2476
CONCOR,2016-03-28 13:15:00, 1223.4, 1235, 1220.25, 1234.85, 23942
CONCOR,2016-03-28 13:45:00, 1234.9, 1235, 1228, 1232.95, 7895
CONCOR,2016-03-28 14:15:00, 1232.95, 1232.95, 1224.2, 1226.3, 9426
CONCOR,2016-03-28 14:45:00, 1226.3, 1229.55, 1219.85, 1228.4, 21655
CONCOR,2016-03-28 15:15:00, 1228.4, 1233.1, 1227.55, 1231, 8173
CONCOR,2016-03-29 09:15:00, 1234.9, 1234.9, 1224.45, 1225.8, 18263
CONCOR,2016-03-29 09:45:00, 1225.8, 1227.9, 1222.7, 1224.5, 15385
CONCOR,2016-03-29 10:15:00, 1224.9, 1227.4, 1220.7, 1220.7, 8890
CONCOR,2016-03-29 10:45:00, 1220.7, 1221.5, 1207.95, 1209.8, 166681
CONCOR,2016-03-29 11:15:00, 1209.8, 1214.5, 1208.6, 1211.05, 12177
CONCOR,2016-03-29 11:45:00, 1211.05, 1213.15, 1211, 1212, 7422
CONCOR,2016-03-29 12:15:00, 1212, 1212.5, 1210, 1211.9, 9649
