Code,Date,Open,High,Low,Close,Volume
DLF,2016-03-15 09:15:00, 105.65, 106.95, 105.6, 106.35, 1255342
DLF,2016-03-15 09:45:00, 106.35, 106.5, 105.3, 105.45, 747025
DLF,2016-03-15 10:15:00, 105.4, 106.3, 105.3, 105.95, 590524
DLF,2016-03-15 10:45:00, 105.95, 106.2, 105.75, 105.9, 332033
DLF,2016-03-15 11:45:00, 105.75, 107.55, 105.55, 107.45, 1218563
DLF,2016-03-15 12:15:00, 107.4, 107.5, 106.1, 106.25, 793829
DLF,2016-03-15 11:15:00, 105.9, 106, 105.15, 105.75, 530637
DLF,2016-03-15 12:45:00, 106.25, 106.45, 105.3, 105.9, 1052670
DLF,2016-03-15 13:15:00, 105.9, 106, 105.3, 105.7, 421443
DLF,2016-03-15 13:45:00, 105.7, 106.1, 105.55, 105.7, 386453
DLF,2016-03-15 14:15:00, 105.7, 106.25, 105.6, 106.05, 402106
DLF,2016-03-15 14:45:00, 106.05, 106.1, 105.6, 105.65, 630202
DLF,2016-03-15 15:15:00, 105.65, 105.75, 105.15, 105.15, 763311
DLF,2016-03-16 09:15:00, 106.75, 108.15, 106.75, 107.75, 2369145
DLF,2016-03-16 09:45:00, 107.75, 107.8, 106.85, 107.15, 712315
DLF,2016-03-16 10:15:00, 107.15, 107.15, 106.2, 106.7, 699101
DLF,2016-03-16 10:45:00, 106.55, 106.95, 106.5, 106.65, 427959
DLF,2016-03-16 11:15:00, 106.65, 106.8, 105.45, 105.6, 895336
DLF,2016-03-16 11:45:00, 105.6, 105.65, 104.8, 105.15, 754355
DLF,2016-03-16 12:15:00, 105.15, 105.55, 105, 105.2, 277699
DLF,2016-03-16 13:15:00, 105.65, 106.35, 105.45, 106.2, 505015
DLF,2016-03-16 12:45:00, 105.15, 105.75, 105.05, 105.4, 408771
DLF,2016-03-16 13:45:00, 106.1, 106.5, 105.8, 106.2, 517035
DLF,2016-03-16 14:15:00, 106.2, 106.9, 106, 106.55, 740513
DLF,2016-03-16 14:45:00, 106.55, 106.75, 106.25, 106.55, 765348
DLF,2016-03-16 15:15:00, 106.55, 106.85, 106.45, 106.65, 871225
DLF,2016-03-17 09:15:00, 108.1, 108.4, 107.15, 107.55, 1026444
DLF,2016-03-17 09:45:00, 107.55, 107.55, 106.65, 106.8, 565043
DLF,2016-03-17 10:15:00, 106.8, 106.9, 106.25, 106.6, 526065
DLF,2016-03-17 10:45:00, 106.6, 106.8, 106.25, 106.3, 386292
DLF,2016-03-17 11:15:00, 106.25, 107.1, 106.1, 106.95, 686195
DLF,2016-03-17 11:45:00, 106.95, 107.2, 106.45, 106.75, 306343
DLF,2016-03-17 12:15:00, 106.75, 107.7, 106.65, 107.15, 576018
DLF,2016-03-17 12:45:00, 107.15, 107.4, 107, 107.05, 173338
DLF,2016-03-17 13:15:00, 107.05, 107.4, 106.85, 107.3, 216275
DLF,2016-03-17 13:45:00, 107.3, 107.3, 106.6, 106.7, 417948
DLF,2016-03-17 14:15:00, 106.75, 106.9, 106.1, 106.3, 638293
DLF,2016-03-17 14:45:00, 106.3, 106.35, 104.85, 105.25, 1402625
DLF,2016-03-17 15:15:00, 105.3, 105.4, 104.7, 104.8, 599767
DLF,2016-03-18 09:15:00, 107.5, 107.9, 106.55, 106.6, 2033601
DLF,2016-03-18 09:45:00, 106.6, 107.2, 106.4, 106.95, 563759
DLF,2016-03-18 10:15:00, 106.95, 107.15, 106.6, 106.8, 284579
DLF,2016-03-18 10:45:00, 106.75, 107.3, 106.6, 106.9, 491489
DLF,2016-03-18 11:15:00, 106.9, 107, 106.35, 106.6, 357837
DLF,2016-03-18 11:45:00, 106.6, 106.75, 105.95, 106.3, 630848
DLF,2016-03-18 12:15:00, 106.3, 106.85, 106.2, 106.7, 336117
DLF,2016-03-18 12:45:00, 106.7, 107, 106.45, 106.55, 282048
DLF,2016-03-18 13:15:00, 106.55, 106.65, 105.75, 106.1, 498758
DLF,2016-03-18 13:45:00, 106.1, 106.75, 106, 106.65, 372363
DLF,2016-03-18 14:15:00, 106.65, 107.25, 106.35, 106.9, 627043
DLF,2016-03-18 14:45:00, 106.9, 107.75, 106.65, 107.7, 1141166
DLF,2016-03-18 15:15:00, 107.6, 107.8, 107.45, 107.55, 790568
DLF,2016-03-21 09:15:00, 107.7, 108, 106.8, 107.05, 789369
DLF,2016-03-21 09:45:00, 107.05, 108.85, 107, 108.35, 1114424
DLF,2016-03-21 10:15:00, 108.35, 110.1, 108.2, 109.55, 1526366
DLF,2016-03-21 10:45:00, 109.55, 109.65, 108.85, 109.15, 414252
DLF,2016-03-21 11:15:00, 109.1, 109.25, 108.85, 109.2, 281703
DLF,2016-03-21 11:45:00, 109.15, 109.7, 109, 109.4, 277686
DLF,2016-03-21 12:15:00, 109.4, 109.5, 108.5, 108.8, 588527
DLF,2016-03-21 12:45:00, 108.8, 108.95, 108.1, 108.2, 461144
DLF,2016-03-21 13:15:00, 108.15, 108.5, 107.8, 108.45, 511807
DLF,2016-03-21 13:45:00, 108.5, 108.95, 108.4, 108.7, 358915
DLF,2016-03-21 14:15:00, 108.7, 109.5, 108.55, 109.1, 362357
DLF,2016-03-21 14:45:00, 109.1, 109.3, 108.75, 109.1, 721517
DLF,2016-03-21 15:15:00, 109.1, 109.45, 108.8, 109.3, 719334
DLF,2016-03-22 09:15:00, 109.4, 111.9, 108.8, 111.1, 2873369
DLF,2016-03-22 09:45:00, 111.1, 111.6, 110.8, 110.95, 874511
DLF,2016-03-22 10:15:00, 110.95, 111.25, 110.6, 111, 632855
DLF,2016-03-22 10:45:00, 111, 111.5, 110.9, 111.1, 616584
DLF,2016-03-22 11:15:00, 111.1, 112.3, 111, 112, 1291527
DLF,2016-03-22 11:45:00, 112, 112.7, 111.75, 111.8, 827909
DLF,2016-03-22 12:15:00, 111.8, 112.1, 111, 111.7, 774446
DLF,2016-03-22 12:45:00, 111.7, 112.5, 111.5, 111.85, 1169130
DLF,2016-03-22 13:15:00, 111.85, 112.05, 111.05, 111.6, 1185150
DLF,2016-03-22 13:45:00, 111.55, 111.85, 110.8, 111.75, 1148165
DLF,2016-03-22 14:15:00, 111.75, 112.4, 111.65, 112.2, 1201583
DLF,2016-03-22 14:45:00, 112.2, 114.95, 112.05, 114.7, 4061296
DLF,2016-03-22 15:15:00, 114.65, 115.55, 114.5, 114.85, 2186303
DLF,2016-03-23 09:15:00, 115.45, 116.35, 114.6, 115.05, 2467808
DLF,2016-03-23 09:45:00, 115.15, 116.4, 115.1, 115.8, 1310717
DLF,2016-03-23 10:15:00, 115.8, 116.55, 115.6, 115.6, 961818
DLF,2016-03-23 10:45:00, 115.6, 115.85, 115, 115.4, 724696
DLF,2016-03-23 11:15:00, 115.4, 116.2, 115.1, 116, 798566
DLF,2016-03-23 11:45:00, 116, 116.2, 115.8, 115.8, 385638
DLF,2016-03-23 12:15:00, 115.8, 116, 115.3, 115.5, 309110
DLF,2016-03-23 12:45:00, 115.5, 115.85, 115.35, 115.55, 227827
DLF,2016-03-23 13:15:00, 115.55, 115.8, 115.3, 115.65, 300741
DLF,2016-03-23 13:45:00, 115.65, 116, 115.4, 115.5, 354710
