Code,Date,Open,High,Low,Close,Volume
GRASIM,2016-03-15 09:15:00, 3628, 3628, 3571.75, 3580, 3660
GRASIM,2016-03-15 09:45:00, 3580, 3580, 3569.5, 3569.5, 2244
GRASIM,2016-03-15 10:15:00, 3569.5, 3580, 3566.3, 3567.15, 7705
GRASIM,2016-03-15 10:45:00, 3567.15, 3571, 3552.75, 3556, 7902
GRASIM,2016-03-15 11:15:00, 3556, 3561.4, 3550.75, 3554.65, 7886
GRASIM,2016-03-15 11:45:00, 3554.65, 3560, 3548.4, 3555.05, 3725
GRASIM,2016-03-15 12:15:00, 3555.05, 3555.9, 3550, 3554.15, 6973
GRASIM,2016-03-15 12:45:00, 3554.15, 3557.9, 3552.05, 3553.1, 3406
GRASIM,2016-03-15 13:15:00, 3553.1, 3558.1, 3552.1, 3554, 6415
GRASIM,2016-03-15 13:45:00, 3555, 3558.05, 3545.05, 3550, 5262
GRASIM,2016-03-15 14:15:00, 3550, 3555, 3548.05, 3553, 5419
GRASIM,2016-03-15 14:45:00, 3553, 3554, 3548, 3551, 9719
GRASIM,2016-03-15 15:15:00, 3551, 3554.85, 3550, 3552.4, 42419
GRASIM,2016-03-16 09:15:00, 3557, 3571.65, 3541.3, 3559.8, 1941
GRASIM,2016-03-16 09:45:00, 3559.8, 3564.75, 3555.65, 3563.8, 368
GRASIM,2016-03-16 10:15:00, 3563.8, 3563.8, 3555, 3562.1, 1440
GRASIM,2016-03-16 10:45:00, 3562.1, 3562.1, 3555, 3559.7, 4620
GRASIM,2016-03-16 11:15:00, 3559.7, 3561.55, 3545.05, 3549, 2010
GRASIM,2016-03-16 11:45:00, 3549, 3562.9, 3539.9, 3558.95, 2430
GRASIM,2016-03-16 12:15:00, 3558.95, 3566.1, 3558.1, 3566.1, 1875
GRASIM,2016-03-16 12:45:00, 3566.1, 3566.1, 3557, 3564.9, 806
GRASIM,2016-03-16 13:15:00, 3564.9, 3577, 3562.65, 3577, 1342
GRASIM,2016-03-16 13:45:00, 3577, 3597.3, 3575.4, 3588, 3165
GRASIM,2016-03-16 14:15:00, 3588, 3597.6, 3587, 3588, 3462
GRASIM,2016-03-16 14:45:00, 3588, 3588, 3567.4, 3577.45, 3394
GRASIM,2016-03-16 15:15:00, 3577.45, 3583, 3577.45, 3582, 6540
GRASIM,2016-03-17 09:15:00, 3606, 3640, 3594.35, 3639.7, 7610
GRASIM,2016-03-17 09:45:00, 3639.7, 3653.95, 3633, 3653.95, 10301
GRASIM,2016-03-17 10:15:00, 3653.95, 3654.4, 3628, 3637.6, 6678
GRASIM,2016-03-17 10:45:00, 3637.6, 3659.95, 3636, 3657.95, 6036
GRASIM,2016-03-17 11:15:00, 3657.95, 3659.25, 3643, 3649, 3326
GRASIM,2016-03-17 11:45:00, 3649, 3649.25, 3640.05, 3642.75, 1556
GRASIM,2016-03-17 12:15:00, 3642.75, 3645, 3630.9, 3637.65, 3803
GRASIM,2016-03-17 12:45:00, 3637.95, 3642.5, 3631.25, 3640, 3281
GRASIM,2016-03-17 13:15:00, 3640, 3650, 3638, 3650, 13433
GRASIM,2016-03-17 13:45:00, 3648.05, 3650, 3640.3, 3647, 7134
GRASIM,2016-03-17 14:15:00, 3643.65, 3655, 3636, 3642.05, 9859
GRASIM,2016-03-17 14:45:00, 3642.05, 3648.95, 3633, 3640, 6002
GRASIM,2016-03-17 15:15:00, 3640, 3640, 3617.55, 3625.05, 3813
GRASIM,2016-03-18 09:15:00, 3650, 3684.45, 3645.15, 3676.45, 7158
GRASIM,2016-03-18 09:45:00, 3676.45, 3704.95, 3676.45, 3694.45, 10511
GRASIM,2016-03-18 10:15:00, 3694.45, 3703.7, 3692, 3693, 5484
GRASIM,2016-03-18 10:45:00, 3693, 3697.95, 3691, 3693, 4848
GRASIM,2016-03-18 11:15:00, 3693, 3693, 3676, 3678.1, 2366
GRASIM,2016-03-18 11:45:00, 3678.1, 3680.15, 3671.7, 3674.1, 5683
GRASIM,2016-03-18 12:15:00, 3674.1, 3680.75, 3662.5, 3679.9, 11254
GRASIM,2016-03-18 12:45:00, 3679.9, 3683.2, 3675, 3677, 2152
GRASIM,2016-03-18 13:15:00, 3677, 3681, 3666, 3677.15, 3841
GRASIM,2016-03-18 13:45:00, 3677.15, 3678.75, 3665.15, 3672.55, 2771
GRASIM,2016-03-18 14:15:00, 3672.55, 3676.85, 3667.5, 3673.65, 3351
GRASIM,2016-03-18 14:45:00, 3673.95, 3680, 3651.55, 3658.9, 8744
GRASIM,2016-03-18 15:15:00, 3658.9, 3667.3, 3646, 3648.65, 5813
GRASIM,2016-03-21 09:15:00, 3662, 3710, 3640.25, 3702.3, 11388
GRASIM,2016-03-21 09:45:00, 3702.3, 3725, 3686.1, 3708.05, 7034
GRASIM,2016-03-21 10:15:00, 3708.6, 3724.5, 3708.1, 3710, 4260
GRASIM,2016-03-21 10:45:00, 3710, 3722.3, 3708.1, 3708.1, 4166
GRASIM,2016-03-21 11:15:00, 3708.1, 3715.9, 3702.65, 3706.5, 5944
GRASIM,2016-03-21 11:45:00, 3706.5, 3708, 3704, 3704.45, 4490
GRASIM,2016-03-21 12:15:00, 3704.45, 3707, 3700, 3705.35, 4557
GRASIM,2016-03-21 12:45:00, 3705.35, 3717.15, 3703.55, 3714, 14777
GRASIM,2016-03-21 13:15:00, 3714, 3714.45, 3709.3, 3712, 4567
GRASIM,2016-03-21 13:45:00, 3712, 3720, 3710.95, 3715.05, 6345
GRASIM,2016-03-21 14:15:00, 3715.05, 3723.95, 3708.3, 3710.4, 17682
GRASIM,2016-03-21 14:45:00, 3710.4, 3745.8, 3710.15, 3745.8, 38464
GRASIM,2016-03-21 15:15:00, 3745.8, 3749.8, 3726.7, 3730.3, 23748
