Code,Date,Open,High,Low,Close,Volume
HEROMOTOCO,2016-03-15 09:15:00, 2820, 2820, 2806.5, 2817.1, 13080
HEROMOTOCO,2016-03-15 09:45:00, 2817.1, 2837.8, 2816.5, 2833.85, 43066
HEROMOTOCO,2016-03-15 10:15:00, 2832, 2833, 2825.05, 2831, 29082
HEROMOTOCO,2016-03-15 10:45:00, 2830.1, 2832.45, 2828.1, 2830, 53335
HEROMOTOCO,2016-03-15 11:15:00, 2830, 2831.45, 2829.1, 2831, 22281
HEROMOTOCO,2016-03-15 11:45:00, 2831, 2831.05, 2828.45, 2830.1, 20389
HEROMOTOCO,2016-03-15 12:45:00, 2830, 2831.5, 2828.2, 2831, 17298
HEROMOTOCO,2016-03-15 12:15:00, 2830.1, 2831.25, 2825, 2830, 19845
HEROMOTOCO,2016-03-15 13:15:00, 2831.25, 2831.55, 2815, 2823.45, 24050
HEROMOTOCO,2016-03-15 13:45:00, 2823.45, 2825, 2813.05, 2817, 12076
HEROMOTOCO,2016-03-15 14:15:00, 2817, 2821.4, 2813.3, 2815.4, 26304
HEROMOTOCO,2016-03-15 14:45:00, 2815.4, 2818, 2809.1, 2815, 29561
HEROMOTOCO,2016-03-15 15:15:00, 2814.85, 2816, 2809.15, 2814, 23538
HEROMOTOCO,2016-03-16 09:45:00, 2833.05, 2833.5, 2822.05, 2823, 25712
HEROMOTOCO,2016-03-16 09:15:00, 2811.95, 2835.95, 2803.05, 2833.05, 52035
HEROMOTOCO,2016-03-16 10:15:00, 2823.75, 2827.65, 2815.4, 2819.9, 30358
HEROMOTOCO,2016-03-16 10:45:00, 2819.9, 2823, 2816.35, 2816.6, 25060
HEROMOTOCO,2016-03-16 11:15:00, 2816.6, 2818.1, 2795.2, 2798.15, 29885
HEROMOTOCO,2016-03-16 11:45:00, 2799.55, 2804, 2779.9, 2780, 38362
HEROMOTOCO,2016-03-16 12:15:00, 2780, 2785, 2762.5, 2773, 31129
HEROMOTOCO,2016-03-16 12:45:00, 2773, 2788, 2771, 2788, 12690
HEROMOTOCO,2016-03-16 13:45:00, 2787.3, 2804.05, 2785, 2791.5, 16126
HEROMOTOCO,2016-03-16 13:15:00, 2788, 2795.35, 2780.15, 2787.3, 14464
HEROMOTOCO,2016-03-16 14:15:00, 2791.5, 2813.05, 2791.05, 2810, 21873
HEROMOTOCO,2016-03-16 14:45:00, 2809.25, 2811, 2796.6, 2798.6, 36405
HEROMOTOCO,2016-03-16 15:15:00, 2798.6, 2800.45, 2790.9, 2800, 33470
HEROMOTOCO,2016-03-17 09:15:00, 2815.05, 2828.55, 2805, 2828.45, 41967
