Code,Date,Open,High,Low,Close,Volume
INFRATEL,2016-03-15 09:15:00, 378.55, 378.6, 373, 374.75, 48649
INFRATEL,2016-03-15 09:45:00, 374.75, 374.9, 370.25, 370.85, 32563
INFRATEL,2016-03-15 10:15:00, 370.85, 371.1, 368.1, 368.5, 54052
INFRATEL,2016-03-15 10:45:00, 368.5, 369.5, 366.2, 366.7, 74706
INFRATEL,2016-03-15 11:15:00, 366.7, 368.85, 366.7, 368.6, 58315
INFRATEL,2016-03-15 11:45:00, 368.6, 368.7, 367.75, 368.35, 33081
INFRATEL,2016-03-15 12:15:00, 368.35, 368.4, 366.5, 366.75, 38870
INFRATEL,2016-03-15 12:45:00, 366.55, 368.2, 366.55, 368.05, 49918
INFRATEL,2016-03-15 13:15:00, 368.05, 368.2, 367.5, 367.6, 17639
INFRATEL,2016-03-15 13:45:00, 367.6, 367.7, 366.3, 367, 25229
INFRATEL,2016-03-15 14:15:00, 367, 368.2, 366.85, 368, 20237
INFRATEL,2016-03-15 14:45:00, 368, 368.6, 367.2, 368.3, 118785
INFRATEL,2016-03-15 15:15:00, 368.35, 369.6, 368, 368.5, 73128
INFRATEL,2016-03-16 09:15:00, 369, 369, 361.8, 362.8, 451021
INFRATEL,2016-03-16 09:45:00, 362.8, 363.7, 360.65, 362, 140904
INFRATEL,2016-03-16 10:15:00, 362, 362, 358.75, 360.05, 147365
INFRATEL,2016-03-16 10:45:00, 360.05, 360.4, 359.05, 359.8, 172077
INFRATEL,2016-03-16 11:15:00, 359.85, 360.95, 358.5, 360.55, 163844
INFRATEL,2016-03-16 11:45:00, 360.55, 360.9, 359.9, 360.4, 78756
INFRATEL,2016-03-16 12:15:00, 360.4, 360.8, 360.15, 360.5, 65691
INFRATEL,2016-03-16 12:45:00, 360.5, 363.4, 360.3, 362.15, 110675
INFRATEL,2016-03-16 13:15:00, 362.15, 363.8, 361.05, 363.35, 100734
INFRATEL,2016-03-16 13:45:00, 363.35, 363.75, 362.1, 363.05, 90030
INFRATEL,2016-03-16 14:15:00, 363.05, 364.8, 363, 363.4, 95782
INFRATEL,2016-03-16 14:45:00, 363.4, 367.45, 363.1, 366.35, 302895
INFRATEL,2016-03-16 15:15:00, 366.35, 370.75, 366.35, 368, 182658
INFRATEL,2016-03-17 09:15:00, 370.7, 370.7, 368.25, 370.35, 60827
INFRATEL,2016-03-17 09:45:00, 370.35, 372.8, 370.05, 371, 51477
INFRATEL,2016-03-17 10:15:00, 371, 371, 369.35, 370.5, 35550
INFRATEL,2016-03-17 10:45:00, 370.5, 371.55, 369.3, 370, 50286
INFRATEL,2016-03-17 11:15:00, 369.85, 369.95, 368.7, 369.45, 23268
INFRATEL,2016-03-17 11:45:00, 369.4, 369.9, 368.25, 369.1, 606917
INFRATEL,2016-03-17 12:15:00, 369.1, 370, 369, 369.5, 16311
INFRATEL,2016-03-17 12:45:00, 369.65, 369.75, 368.3, 369.4, 15962
INFRATEL,2016-03-17 13:15:00, 369.3, 369.75, 368.15, 368.8, 19920
INFRATEL,2016-03-17 13:45:00, 368.8, 370.2, 367.4, 367.6, 43164
INFRATEL,2016-03-17 14:15:00, 367.75, 369.95, 365.75, 369.4, 48425
INFRATEL,2016-03-17 14:45:00, 369.35, 373.9, 368.45, 369.95, 423733
INFRATEL,2016-03-17 15:15:00, 370, 371.45, 368.1, 370, 127564
INFRATEL,2016-03-18 09:15:00, 370, 374.85, 369.5, 369.8, 115219
INFRATEL,2016-03-18 09:45:00, 369.7, 371.7, 368.5, 368.85, 210679
INFRATEL,2016-03-18 10:15:00, 368.85, 370.95, 368.85, 370.25, 45709
INFRATEL,2016-03-18 10:45:00, 370.25, 371, 369.65, 370.65, 143126
INFRATEL,2016-03-18 11:15:00, 370.65, 372, 370.65, 372, 38525
INFRATEL,2016-03-18 11:45:00, 372, 372.1, 371.2, 371.7, 44129
INFRATEL,2016-03-18 12:15:00, 371.7, 372, 371.65, 371.9, 19667
INFRATEL,2016-03-18 12:45:00, 371.9, 373.5, 371.8, 373.2, 95316
INFRATEL,2016-03-18 13:15:00, 373.05, 374.4, 371.45, 373.1, 101081
INFRATEL,2016-03-18 13:45:00, 373.1, 374.85, 372.9, 374.85, 70828
INFRATEL,2016-03-18 14:15:00, 374.85, 378.7, 373.85, 375.9, 93436
INFRATEL,2016-03-18 14:45:00, 375.75, 382.9, 375.05, 380, 563909
INFRATEL,2016-03-18 15:15:00, 379.9, 382.1, 379, 379.95, 389611
