Code,Date,Open,High,Low,Close,Volume
KSCL,2016-03-15 09:15:00, 398.05, 398.15, 396.25, 397.8, 45886
KSCL,2016-03-15 09:45:00, 397.85, 397.9, 393.05, 393.45, 40546
KSCL,2016-03-15 10:15:00, 393.45, 395.8, 392.8, 394.7, 22189
KSCL,2016-03-15 10:45:00, 394.7, 395, 393.4, 394.1, 16805
KSCL,2016-03-15 11:15:00, 394.1, 394.95, 393.2, 393.2, 11220
KSCL,2016-03-15 11:45:00, 393.2, 393.55, 383.9, 388.6, 152227
KSCL,2016-03-15 12:15:00, 388.6, 390.8, 387.25, 389.55, 35679
KSCL,2016-03-15 13:45:00, 387.85, 389.9, 387.2, 389.25, 33528
KSCL,2016-03-15 12:45:00, 389.55, 389.95, 387.7, 388.2, 20387
KSCL,2016-03-15 13:15:00, 388.2, 388.85, 387.5, 387.85, 17169
KSCL,2016-03-15 14:15:00, 389.5, 393, 389.3, 391.75, 39006
KSCL,2016-03-15 14:45:00, 391.75, 391.75, 387, 389.5, 40125
KSCL,2016-03-16 09:45:00, 390.5, 391.75, 389.15, 390.85, 23511
KSCL,2016-03-16 09:15:00, 393.35, 394.15, 388.4, 390.5, 67104
KSCL,2016-03-15 15:15:00, 389.6, 393.3, 389.3, 391.05, 54263
KSCL,2016-03-16 10:15:00, 390.85, 391, 388.45, 388.8, 18034
KSCL,2016-03-16 10:45:00, 388.8, 391.95, 388.5, 390.25, 18083
KSCL,2016-03-16 11:45:00, 388.15, 389.4, 387.05, 387.5, 21379
KSCL,2016-03-16 11:15:00, 390.25, 391.4, 386.55, 388.15, 16574
KSCL,2016-03-16 12:15:00, 387.5, 388.5, 384.5, 385.85, 25825
KSCL,2016-03-16 12:45:00, 385.85, 388, 385.65, 386.15, 15143
KSCL,2016-03-16 13:15:00, 386.5, 389, 386.1, 387.55, 15234
KSCL,2016-03-16 13:45:00, 387.85, 388.4, 386.25, 386.25, 6599
KSCL,2016-03-16 14:15:00, 386.25, 389.55, 386, 388.45, 24080
