Code,Date,Open,High,Low,Close,Volume
M&MFIN,2016-03-15 09:15:00, 230.75, 231.5, 227.3, 227.75, 60958
M&MFIN,2016-03-15 09:45:00, 227.75, 228.25, 226.3, 226.45, 181616
M&MFIN,2016-03-15 10:15:00, 226.45, 227, 225.75, 226.4, 49051
M&MFIN,2016-03-15 10:45:00, 226.4, 226.6, 225.45, 226, 82422
M&MFIN,2016-03-15 11:15:00, 226, 226.4, 225.7, 225.85, 34861
M&MFIN,2016-03-15 11:45:00, 225.9, 226, 225.25, 225.75, 29644
M&MFIN,2016-03-15 12:45:00, 224.65, 225.45, 224.1, 224.25, 81992
M&MFIN,2016-03-15 12:15:00, 225.75, 226.35, 224.65, 224.65, 100662
M&MFIN,2016-03-15 13:15:00, 224.25, 225.15, 224, 224.75, 46355
M&MFIN,2016-03-15 13:45:00, 224.75, 225.2, 224, 224.3, 347007
M&MFIN,2016-03-15 14:15:00, 224.3, 225.15, 224.2, 225, 76483
M&MFIN,2016-03-15 15:15:00, 224.95, 225, 224, 224, 49205
M&MFIN,2016-03-15 14:45:00, 225, 225.1, 222.65, 224.95, 122033
M&MFIN,2016-03-16 09:15:00, 224.45, 224.5, 221.5, 221.8, 65464
M&MFIN,2016-03-16 09:45:00, 221.8, 222.65, 221.55, 222.4, 18340
M&MFIN,2016-03-16 10:15:00, 222.4, 222.6, 221.45, 221.8, 17186
M&MFIN,2016-03-16 10:45:00, 221.8, 221.9, 220.1, 221.1, 77265
M&MFIN,2016-03-16 11:15:00, 221.1, 221.2, 220.55, 220.6, 17278
M&MFIN,2016-03-16 11:45:00, 220.6, 220.85, 220.2, 220.4, 21342
M&MFIN,2016-03-16 12:15:00, 220.25, 220.5, 220.05, 220.1, 14841
M&MFIN,2016-03-16 12:45:00, 220.1, 222.3, 219.1, 222.2, 545672
M&MFIN,2016-03-16 13:15:00, 222.1, 223.45, 222.05, 222.8, 23948
M&MFIN,2016-03-16 13:45:00, 222.8, 226.1, 221.9, 226, 68347
M&MFIN,2016-03-16 14:15:00, 226.05, 232.3, 226, 230.95, 164654
M&MFIN,2016-03-16 14:45:00, 230.95, 231.15, 229.4, 230.7, 63722
M&MFIN,2016-03-16 15:15:00, 230.7, 230.85, 229, 229.3, 57914
M&MFIN,2016-03-17 09:15:00, 232.4, 232.7, 230.7, 232.1, 91412
M&MFIN,2016-03-17 09:45:00, 231.8, 234, 231.4, 232.75, 112558
M&MFIN,2016-03-17 10:45:00, 232.25, 232.8, 231.55, 232.35, 51482
M&MFIN,2016-03-17 10:15:00, 232.75, 232.8, 231.85, 232.25, 19233
M&MFIN,2016-03-17 11:15:00, 232.35, 233.5, 231.65, 232.55, 50095
M&MFIN,2016-03-17 11:45:00, 232.55, 235, 232.55, 233.85, 90498
M&MFIN,2016-03-17 12:15:00, 233.85, 234.8, 233.75, 234.75, 28042
M&MFIN,2016-03-17 12:45:00, 234.75, 235.75, 233.9, 235.2, 49106
M&MFIN,2016-03-17 13:15:00, 235.05, 236.5, 234.2, 236.2, 43121
M&MFIN,2016-03-17 13:45:00, 236.2, 236.2, 235.25, 235.55, 25157
M&MFIN,2016-03-17 14:15:00, 235.55, 235.85, 234.5, 235.5, 39006
M&MFIN,2016-03-17 14:45:00, 235.5, 235.9, 233.8, 235.25, 94681
M&MFIN,2016-03-17 15:15:00, 235.35, 235.35, 231.1, 232.2, 78524
M&MFIN,2016-03-18 09:15:00, 233.1, 234.7, 232.7, 233.75, 40793
M&MFIN,2016-03-18 09:45:00, 233.65, 233.65, 231.9, 233.4, 30771
M&MFIN,2016-03-18 10:15:00, 233.4, 234.5, 233.1, 233.95, 21405
M&MFIN,2016-03-18 10:45:00, 233.95, 234.25, 233.2, 233.3, 15135
M&MFIN,2016-03-18 11:15:00, 233.3, 233.45, 230.95, 232.7, 24946
M&MFIN,2016-03-18 11:45:00, 232.7, 232.75, 231.4, 231.9, 12825
M&MFIN,2016-03-18 12:15:00, 231.95, 232.95, 231.9, 232.7, 18253
M&MFIN,2016-03-18 12:45:00, 232.7, 232.8, 231.8, 232.4, 4230
M&MFIN,2016-03-18 13:15:00, 232.25, 232.3, 230.5, 231.35, 24947
M&MFIN,2016-03-18 13:45:00, 231.35, 232.5, 231.05, 231.9, 26239
M&MFIN,2016-03-18 14:15:00, 231.9, 232.95, 231.5, 232.3, 31161
