Code,Date,Open,High,Low,Close,Volume
MCLEODRUSS,2016-03-15 09:15:00, 181.5, 182.8, 179.6, 181.75, 13788
MCLEODRUSS,2016-03-15 09:45:00, 181.95, 182.2, 180, 180, 26840
MCLEODRUSS,2016-03-15 10:15:00, 180, 180.7, 180, 180.05, 5372
MCLEODRUSS,2016-03-15 10:45:00, 180.05, 181.25, 180.05, 180.75, 2665
MCLEODRUSS,2016-03-15 11:15:00, 180.75, 181, 179, 180.05, 29660
MCLEODRUSS,2016-03-15 11:45:00, 180.05, 180.6, 179.65, 180.55, 4893
MCLEODRUSS,2016-03-15 12:15:00, 180.6, 183.9, 179.25, 180.3, 92379
MCLEODRUSS,2016-03-15 12:45:00, 180.1, 180.15, 178.25, 179.6, 24241
MCLEODRUSS,2016-03-15 13:15:00, 179.6, 179.7, 179, 179.2, 5290
MCLEODRUSS,2016-03-15 13:45:00, 179.2, 179.5, 179, 179.45, 2467
MCLEODRUSS,2016-03-15 14:15:00, 179.45, 179.8, 178.9, 179.35, 5231
MCLEODRUSS,2016-03-15 14:45:00, 179.35, 179.6, 178.4, 178.4, 6938
MCLEODRUSS,2016-03-16 09:15:00, 177.85, 178.8, 176.15, 176.8, 22919
MCLEODRUSS,2016-03-15 15:15:00, 178.4, 179.45, 178.25, 178.25, 17986
MCLEODRUSS,2016-03-16 09:45:00, 176.8, 177, 175.4, 175.95, 11631
MCLEODRUSS,2016-03-16 10:15:00, 175.95, 176.65, 175.65, 175.85, 8940
MCLEODRUSS,2016-03-16 10:45:00, 175.85, 178, 175.5, 177.65, 23783
MCLEODRUSS,2016-03-16 11:15:00, 177.65, 177.65, 176, 176.05, 13287
MCLEODRUSS,2016-03-16 11:45:00, 176.05, 176.85, 176.05, 176.6, 2677
MCLEODRUSS,2016-03-16 12:15:00, 176.6, 177.3, 176.6, 176.95, 2283
MCLEODRUSS,2016-03-16 12:45:00, 176.9, 177.4, 176.75, 177, 1800
MCLEODRUSS,2016-03-16 13:15:00, 177, 177.55, 176.8, 177.4, 4044
MCLEODRUSS,2016-03-16 13:45:00, 177.4, 177.75, 177.05, 177.45, 2291
MCLEODRUSS,2016-03-16 14:15:00, 177.45, 178.4, 176.75, 178, 12520
MCLEODRUSS,2016-03-16 14:45:00, 178, 179.4, 177.1, 178.9, 15876
MCLEODRUSS,2016-03-16 15:15:00, 178.9, 179.5, 178.7, 179, 183748
MCLEODRUSS,2016-03-17 09:15:00, 181.85, 181.85, 179.75, 181.75, 21203
MCLEODRUSS,2016-03-17 09:45:00, 181.75, 181.8, 179, 179, 18930
MCLEODRUSS,2016-03-17 10:15:00, 179, 179.45, 177, 178.3, 27509
MCLEODRUSS,2016-03-17 10:45:00, 178.3, 179, 178.2, 178.75, 1535
MCLEODRUSS,2016-03-17 11:15:00, 178.75, 179.5, 178.35, 179.35, 4042
MCLEODRUSS,2016-03-17 11:45:00, 179, 179.5, 178.85, 179, 14113
MCLEODRUSS,2016-03-17 12:15:00, 179.1, 179.45, 179, 179.3, 739
MCLEODRUSS,2016-03-17 12:45:00, 179.3, 179.4, 178.5, 178.85, 4089
MCLEODRUSS,2016-03-17 13:15:00, 178.85, 179.3, 178.75, 179.05, 6921
MCLEODRUSS,2016-03-17 13:45:00, 179.05, 179.25, 178.8, 179.25, 1400
MCLEODRUSS,2016-03-17 14:15:00, 179.25, 180.25, 178.8, 179.6, 52405
MCLEODRUSS,2016-03-17 14:45:00, 179.6, 179.8, 178.75, 179, 499260
MCLEODRUSS,2016-03-17 15:15:00, 179, 179, 178.05, 178.4, 20263
MCLEODRUSS,2016-03-18 09:15:00, 179, 179, 177.1, 177.5, 13303
MCLEODRUSS,2016-03-18 09:45:00, 177.5, 177.7, 177, 177.2, 14355
MCLEODRUSS,2016-03-18 10:15:00, 177.25, 177.75, 177.2, 177.45, 10914
MCLEODRUSS,2016-03-18 10:45:00, 177.45, 178.5, 177.4, 178.25, 10747
MCLEODRUSS,2016-03-18 11:15:00, 178.35, 178.6, 178.05, 178.05, 7121
MCLEODRUSS,2016-03-18 11:45:00, 178.1, 178.35, 177.25, 177.6, 15948
MCLEODRUSS,2016-03-18 12:15:00, 177.6, 178.05, 176.55, 177, 11187
MCLEODRUSS,2016-03-18 12:45:00, 177, 177.45, 177, 177, 1875
MCLEODRUSS,2016-03-18 13:15:00, 177, 177.2, 177, 177.15, 1563
MCLEODRUSS,2016-03-18 13:45:00, 177.15, 177.8, 177, 177.6, 3124
MCLEODRUSS,2016-03-18 14:15:00, 177.6, 178.1, 177.1, 177.75, 11967
MCLEODRUSS,2016-03-18 14:45:00, 177.75, 179.25, 177.75, 178.6, 28869
MCLEODRUSS,2016-03-18 15:15:00, 178.6, 179, 178.2, 178.75, 130149
MCLEODRUSS,2016-03-21 09:15:00, 180, 180, 178.1, 178.6, 12701
MCLEODRUSS,2016-03-21 09:45:00, 178.6, 178.75, 178.05, 178.5, 3641
MCLEODRUSS,2016-03-21 10:15:00, 178.6, 179.05, 178.5, 178.9, 47235
MCLEODRUSS,2016-03-21 10:45:00, 178.9, 179.4, 178.6, 178.65, 717199
MCLEODRUSS,2016-03-21 11:15:00, 178.8, 178.8, 177.5, 177.6, 4484
MCLEODRUSS,2016-03-21 11:45:00, 177.95, 178, 177.25, 177.5, 12163
MCLEODRUSS,2016-03-21 12:15:00, 177.5, 177.5, 176.3, 176.6, 19210
