Code,Date,Open,High,Low,Close,Volume
NCC,2016-03-15 09:15:00, 67.9, 68.8, 67.5, 68.6, 368434
NCC,2016-03-15 09:45:00, 68.65, 69, 68.2, 68.25, 259548
NCC,2016-03-15 10:15:00, 68.25, 68.3, 67.9, 68.15, 197586
NCC,2016-03-15 10:45:00, 68.15, 68.5, 68.05, 68.35, 105814
NCC,2016-03-15 11:45:00, 67.85, 68.3, 67.75, 68, 130905
NCC,2016-03-15 11:15:00, 68.35, 68.4, 67.75, 67.85, 128052
NCC,2016-03-15 12:15:00, 68, 68.3, 67.95, 68.15, 98123
NCC,2016-03-15 12:45:00, 68.15, 68.25, 67.8, 67.85, 69531
NCC,2016-03-15 13:45:00, 67.7, 68, 67.6, 67.9, 132684
NCC,2016-03-15 13:15:00, 67.85, 67.95, 67.6, 67.7, 101250
NCC,2016-03-15 14:15:00, 67.9, 68.8, 67.85, 68.7, 350918
NCC,2016-03-15 14:45:00, 68.7, 69.9, 68.7, 69.15, 1242125
NCC,2016-03-15 15:15:00, 69.15, 69.7, 69.15, 69.6, 431492
NCC,2016-03-16 09:15:00, 70.1, 70.55, 69.55, 69.95, 898113
NCC,2016-03-16 09:45:00, 69.95, 70.15, 69.55, 69.75, 235247
NCC,2016-03-16 10:15:00, 69.7, 69.95, 69.4, 69.65, 206036
NCC,2016-03-16 10:45:00, 69.65, 71.2, 69.65, 71.1, 1018845
NCC,2016-03-16 11:15:00, 71.1, 71.3, 70.25, 70.35, 516903
NCC,2016-03-16 11:45:00, 70.35, 70.7, 70.25, 70.35, 256967
NCC,2016-03-16 12:15:00, 70.35, 70.65, 69.8, 70, 290882
NCC,2016-03-16 12:45:00, 70, 70.25, 69.75, 70.15, 165807
NCC,2016-03-16 13:15:00, 70.15, 70.75, 70.15, 70.6, 262324
NCC,2016-03-16 13:45:00, 70.6, 71, 70.4, 70.5, 306682
NCC,2016-03-16 14:15:00, 70.55, 71.2, 70.45, 71, 564274
NCC,2016-03-16 14:45:00, 71, 71.85, 70.9, 71.6, 1519198
NCC,2016-03-16 15:15:00, 71.6, 71.9, 71.55, 71.65, 712663
NCC,2016-03-17 09:15:00, 72.7, 73.5, 72.35, 73.1, 1089186
NCC,2016-03-17 09:45:00, 73.1, 73.1, 72.55, 72.6, 276750
NCC,2016-03-17 10:15:00, 72.6, 73.55, 72.55, 73, 499316
NCC,2016-03-17 10:45:00, 73, 73.1, 72.6, 73, 394747
NCC,2016-03-17 11:15:00, 73, 73.2, 72.65, 73.15, 347008
NCC,2016-03-17 11:45:00, 73.15, 73.25, 72.95, 73.15, 273912
NCC,2016-03-17 12:15:00, 73.1, 73.45, 73, 73.35, 279164
NCC,2016-03-17 12:45:00, 73.4, 74.3, 73.3, 74.05, 1014942
NCC,2016-03-17 13:15:00, 74.05, 74.25, 73.95, 74.2, 328904
NCC,2016-03-17 13:45:00, 74.2, 74.2, 73.8, 73.85, 255889
NCC,2016-03-17 14:15:00, 73.85, 73.85, 73.2, 73.25, 387315
NCC,2016-03-17 14:45:00, 73.25, 73.5, 73, 73.2, 598950
NCC,2016-03-17 15:15:00, 73.25, 73.3, 72.5, 72.55, 754931
NCC,2016-03-18 09:15:00, 72.9, 73.6, 71.5, 71.5, 489573
NCC,2016-03-18 09:45:00, 71.5, 72.2, 71.4, 71.55, 250220
NCC,2016-03-18 10:15:00, 71.55, 71.75, 71.4, 71.65, 131997
NCC,2016-03-18 10:45:00, 71.65, 71.8, 71.35, 71.35, 86828
NCC,2016-03-18 11:15:00, 71.35, 71.4, 70.2, 70.75, 445475
NCC,2016-03-18 11:45:00, 70.7, 70.85, 69.75, 69.9, 333514
NCC,2016-03-18 12:15:00, 69.85, 70.65, 69.85, 70.4, 311648
NCC,2016-03-18 12:45:00, 70.4, 70.5, 69.95, 70, 254108
NCC,2016-03-18 13:15:00, 70, 70.05, 69.85, 70, 188285
NCC,2016-03-18 13:45:00, 70, 70.05, 69.85, 70, 241748
NCC,2016-03-18 14:15:00, 70, 70.45, 69.85, 70.25, 411767
NCC,2016-03-18 14:45:00, 70.25, 72.1, 70, 71.7, 1288645
NCC,2016-03-18 15:15:00, 71.7, 71.8, 70.8, 71, 651575
NCC,2016-03-21 09:15:00, 70.95, 71.75, 70.8, 71.25, 314407
NCC,2016-03-21 09:45:00, 71.25, 72.45, 71.25, 72.25, 232537
NCC,2016-03-21 10:15:00, 72.25, 72.6, 71.85, 72.5, 241369
NCC,2016-03-21 10:45:00, 72.5, 73.25, 72.25, 72.85, 341893
NCC,2016-03-21 11:15:00, 72.85, 72.95, 72.2, 72.5, 241249
NCC,2016-03-21 11:45:00, 72.5, 72.6, 72.4, 72.5, 143955
NCC,2016-03-21 12:15:00, 72.5, 72.55, 71.9, 72, 210325
NCC,2016-03-21 12:45:00, 72, 72.05, 71.9, 71.95, 173034
NCC,2016-03-21 13:15:00, 71.95, 72.7, 71.9, 72.05, 574146
NCC,2016-03-21 13:45:00, 72.05, 72.25, 71.95, 72.25, 311328
NCC,2016-03-21 14:15:00, 72.25, 72.75, 71.9, 72.65, 361372
NCC,2016-03-21 14:45:00, 72.65, 73.05, 72.5, 72.95, 380216
NCC,2016-03-22 09:15:00, 73.2, 73.45, 72.45, 73.2, 268942
NCC,2016-03-21 15:15:00, 72.95, 73, 72.75, 72.9, 224742
NCC,2016-03-22 09:45:00, 73.2, 74.45, 72.95, 74.1, 483601
NCC,2016-03-22 10:15:00, 74.05, 74.2, 73.8, 73.95, 123062
NCC,2016-03-22 10:45:00, 73.95, 74, 73.65, 73.9, 74866
NCC,2016-03-22 11:15:00, 73.9, 74.1, 73.8, 74, 109117
NCC,2016-03-22 11:45:00, 74, 74.1, 73.85, 73.85, 82779
