Code,Date,Open,High,Low,Close,Volume
NIITTECH,2016-03-15 09:15:00, 472.55, 474.95, 465, 471.2, 21546
NIITTECH,2016-03-15 10:15:00, 471.15, 472, 470, 471, 4311
NIITTECH,2016-03-15 09:45:00, 471.2, 473.95, 469.7, 471.15, 7763
NIITTECH,2016-03-15 10:45:00, 471, 474.75, 470.8, 472.95, 5011
NIITTECH,2016-03-15 11:15:00, 472.95, 474, 468, 468, 4922
NIITTECH,2016-03-15 11:45:00, 468, 470, 468, 468.45, 2961
NIITTECH,2016-03-15 12:15:00, 468.45, 469.95, 466.05, 467, 3521
NIITTECH,2016-03-15 12:45:00, 467, 470, 467, 468, 4138
NIITTECH,2016-03-15 13:15:00, 467.95, 468.8, 466.75, 467.3, 5693
NIITTECH,2016-03-15 13:45:00, 467.9, 468.8, 464.3, 467.95, 5219
NIITTECH,2016-03-15 14:15:00, 468, 468, 467.25, 467.6, 7475
NIITTECH,2016-03-15 14:45:00, 467.6, 472, 466.55, 469.55, 19331
NIITTECH,2016-03-15 15:15:00, 469.6, 470.9, 467.3, 468, 11304
NIITTECH,2016-03-16 09:15:00, 470.85, 483.5, 468.3, 479.05, 77158
NIITTECH,2016-03-16 09:45:00, 479.05, 480, 477, 479.65, 16431
NIITTECH,2016-03-16 10:15:00, 479.65, 482, 476.45, 476.8, 21791
NIITTECH,2016-03-16 10:45:00, 476.8, 481, 476.55, 479.25, 12311
NIITTECH,2016-03-16 11:15:00, 479.25, 480, 477, 477, 6258
NIITTECH,2016-03-16 11:45:00, 477, 478.1, 476.3, 477.35, 15703
NIITTECH,2016-03-16 12:15:00, 477.35, 478.3, 472.95, 473.35, 10957
NIITTECH,2016-03-16 12:45:00, 473.35, 478, 473, 477.95, 6499
NIITTECH,2016-03-16 13:15:00, 477.95, 481.75, 477.05, 480.85, 11322
NIITTECH,2016-03-16 13:45:00, 480.85, 481, 476.5, 479.75, 9187
NIITTECH,2016-03-16 14:15:00, 479.75, 481, 478, 479.95, 10514
NIITTECH,2016-03-16 14:45:00, 479.95, 486.3, 478, 483.2, 55147
NIITTECH,2016-03-16 15:15:00, 483.2, 483.5, 479, 480.05, 27343
NIITTECH,2016-03-17 09:15:00, 486.55, 486.55, 480.1, 483.15, 26864
NIITTECH,2016-03-17 09:45:00, 483.15, 484, 479, 480.5, 7788
NIITTECH,2016-03-17 10:15:00, 480.5, 482.5, 479.2, 480.2, 7010
NIITTECH,2016-03-17 10:45:00, 480.2, 482, 479.55, 481.55, 2402
NIITTECH,2016-03-17 11:15:00, 481.55, 481.6, 479.55, 481.1, 2412
NIITTECH,2016-03-17 11:45:00, 481.1, 481.5, 480, 480, 3433
NIITTECH,2016-03-17 12:15:00, 480.05, 481, 479.25, 479.75, 2270
NIITTECH,2016-03-17 12:45:00, 479.75, 481.5, 478, 480.95, 3410
NIITTECH,2016-03-17 13:15:00, 480.95, 484, 480.75, 483.85, 4212
NIITTECH,2016-03-17 13:45:00, 483.6, 483.95, 482, 482.5, 2852
NIITTECH,2016-03-17 14:15:00, 482.75, 483, 478.3, 479, 5760
NIITTECH,2016-03-17 14:45:00, 479, 481.35, 476.85, 478.1, 10921
NIITTECH,2016-03-17 15:15:00, 478.1, 479, 464.35, 469.55, 29304
NIITTECH,2016-03-18 09:15:00, 470.85, 478, 470.85, 474.5, 16746
NIITTECH,2016-03-18 09:45:00, 474.5, 477.15, 474, 476.8, 9949
NIITTECH,2016-03-18 10:15:00, 476.8, 477.15, 472.3, 474.75, 6715
NIITTECH,2016-03-18 10:45:00, 474.7, 475.35, 472.65, 473.75, 3289
NIITTECH,2016-03-18 11:15:00, 473.85, 475, 472, 473.45, 6559
NIITTECH,2016-03-18 11:45:00, 473.25, 474.6, 471, 471.4, 5406
NIITTECH,2016-03-18 12:15:00, 471.4, 473, 471, 473, 4243
NIITTECH,2016-03-18 12:45:00, 473, 473.9, 471.05, 472.6, 4565
NIITTECH,2016-03-18 13:15:00, 472.6, 473.45, 471.15, 471.55, 4181
NIITTECH,2016-03-18 13:45:00, 471.55, 474.75, 471.3, 474, 6841
NIITTECH,2016-03-18 14:15:00, 474, 476.3, 473.35, 475, 9916
NIITTECH,2016-03-18 14:45:00, 475, 494.95, 474.5, 492.6, 73053
NIITTECH,2016-03-18 15:15:00, 492.95, 498.8, 492, 495, 49853
NIITTECH,2016-03-21 09:15:00, 497, 497, 483, 483, 14434
NIITTECH,2016-03-21 09:45:00, 483, 492.4, 481.5, 491.35, 13939
NIITTECH,2016-03-21 10:15:00, 491.35, 494.95, 490, 490.05, 8168
NIITTECH,2016-03-21 10:45:00, 490.05, 492.2, 490, 490.15, 3596
NIITTECH,2016-03-21 11:15:00, 490.15, 492, 489.5, 491.5, 2849
NIITTECH,2016-03-21 11:45:00, 491.5, 493, 490.15, 490.9, 2052
NIITTECH,2016-03-21 12:15:00, 490.9, 491.05, 489.75, 490.05, 1487
NIITTECH,2016-03-21 12:45:00, 490.05, 490.65, 489.3, 490.05, 2156
NIITTECH,2016-03-21 13:15:00, 490, 490.5, 489.05, 490.1, 5775
NIITTECH,2016-03-21 13:45:00, 490.1, 499.95, 490, 495.15, 16765
NIITTECH,2016-03-21 14:15:00, 495.15, 496, 491.25, 492.3, 12630
NIITTECH,2016-03-21 14:45:00, 492.3, 494.75, 490, 491.5, 7478
NIITTECH,2016-03-21 15:15:00, 491.5, 491.95, 490, 490.95, 8712
NIITTECH,2016-03-22 09:15:00, 494.8, 506.8, 486.6, 500.8, 46195
NIITTECH,2016-03-22 09:45:00, 500.8, 504, 498.3, 500, 10650
NIITTECH,2016-03-22 10:15:00, 500, 503.5, 499, 503, 7106
NIITTECH,2016-03-22 10:45:00, 503, 503, 500, 501.6, 5799
NIITTECH,2016-03-22 11:15:00, 501.6, 501.95, 500, 501.05, 3061
NIITTECH,2016-03-22 11:45:00, 501.05, 502, 500.1, 500.9, 2767
NIITTECH,2016-03-22 12:15:00, 500.95, 502.8, 499.5, 502.1, 4523
NIITTECH,2016-03-22 12:45:00, 502.1, 502.75, 499.1, 499.1, 3690
NIITTECH,2016-03-22 13:15:00, 499.1, 499.1, 492, 494.35, 9523
NIITTECH,2016-03-22 13:45:00, 494.35, 494.9, 490, 494.9, 7893
NIITTECH,2016-03-22 14:15:00, 494.9, 495, 491.5, 491.5, 5997
NIITTECH,2016-03-22 14:45:00, 491.5, 494.65, 490, 492.85, 10701
NIITTECH,2016-03-22 15:15:00, 492.9, 493.9, 490, 490.6, 14576
NIITTECH,2016-03-23 09:15:00, 493.95, 496.05, 489.95, 493.7, 8336
NIITTECH,2016-03-23 09:45:00, 493.7, 498.65, 493.7, 495, 5380
NIITTECH,2016-03-23 10:15:00, 494.95, 497, 493.1, 493.1, 2852
NIITTECH,2016-03-23 10:45:00, 493.1, 495.45, 492.7, 493.7, 1683
NIITTECH,2016-03-23 11:15:00, 493.7, 494, 492.7, 494, 3452
NIITTECH,2016-03-23 11:45:00, 494, 494.95, 493.85, 494.75, 1659
NIITTECH,2016-03-23 12:15:00, 494.95, 498.2, 494.8, 497.55, 4109
NIITTECH,2016-03-23 12:45:00, 497.55, 503, 495.5, 499.7, 13629
NIITTECH,2016-03-23 13:15:00, 499.7, 508.75, 499.5, 504.4, 21735
NIITTECH,2016-03-23 13:45:00, 504.4, 514.7, 503, 508.85, 29920
NIITTECH,2016-03-23 14:15:00, 508.9, 509.85, 502.2, 503.85, 8335
NIITTECH,2016-03-23 14:45:00, 503.85, 506.85, 498, 505.8, 20994
NIITTECH,2016-03-23 15:15:00, 505, 508.9, 503.2, 504.95, 15927
NIITTECH,2016-03-28 09:15:00, 509, 520, 509, 512.5, 27306
NIITTECH,2016-03-28 09:45:00, 512.5, 512.5, 507, 509, 13980
NIITTECH,2016-03-28 10:15:00, 509, 510.1, 507.15, 509.75, 5056
NIITTECH,2016-03-28 10:45:00, 509.55, 510, 505.1, 507.2, 5460
NIITTECH,2016-03-28 11:15:00, 507.2, 507.2, 502.15, 503.3, 4531
NIITTECH,2016-03-28 11:45:00, 503.3, 506, 503.05, 504.5, 4341
NIITTECH,2016-03-28 12:15:00, 504.5, 506.1, 500.1, 500.6, 3823
NIITTECH,2016-03-28 12:45:00, 500.6, 503.95, 500.6, 501.8, 3490
NIITTECH,2016-03-28 13:15:00, 501.8, 502.45, 493.05, 496, 5580
NIITTECH,2016-03-28 13:45:00, 496.6, 496.8, 491.95, 495.6, 7261
NIITTECH,2016-03-28 14:15:00, 495.6, 496.3, 490, 490.7, 6485
NIITTECH,2016-03-28 14:45:00, 490.7, 491.65, 486.4, 488.05, 27207
NIITTECH,2016-03-28 15:15:00, 488.05, 489.5, 487.75, 489, 15118
NIITTECH,2016-03-29 09:15:00, 491.1, 498.8, 489.75, 495, 13619
NIITTECH,2016-03-29 09:45:00, 494.7, 494.95, 489.75, 493.75, 8849
NIITTECH,2016-03-29 10:15:00, 493.75, 494, 490, 490.3, 2798
NIITTECH,2016-03-29 10:45:00, 490.3, 491.3, 489.9, 490, 6089
NIITTECH,2016-03-29 11:15:00, 490, 490.95, 489, 489.6, 3679
NIITTECH,2016-03-29 11:45:00, 489.6, 490, 488.6, 489.9, 4413
NIITTECH,2016-03-29 12:15:00, 489.9, 490, 488.55, 490, 1830
NIITTECH,2016-03-29 12:45:00, 489.95, 490.25, 488.5, 489.05, 2375
NIITTECH,2016-03-29 13:15:00, 489.05, 489.6, 488.25, 488.3, 3248
NIITTECH,2016-03-29 13:45:00, 488.3, 492, 488.25, 490.1, 4160
NIITTECH,2016-03-29 14:15:00, 490.1, 492, 490.05, 490.9, 2460
NIITTECH,2016-03-29 14:45:00, 491, 493.6, 486.05, 486.8, 31338
NIITTECH,2016-03-29 15:15:00, 486.8, 493.4, 483, 493, 15154
NIITTECH,2016-03-30 09:15:00, 497.95, 502, 495, 495, 10291
NIITTECH,2016-03-30 09:45:00, 495, 499, 494.1, 496.8, 4419
NIITTECH,2016-03-30 10:15:00, 496.8, 502, 496.25, 499.7, 6945
NIITTECH,2016-03-30 10:45:00, 499.7, 510.2, 499.7, 510.15, 26549
NIITTECH,2016-03-30 11:15:00, 510.15, 511.2, 505.6, 505.6, 16313
NIITTECH,2016-03-30 11:45:00, 505.6, 506.85, 505.2, 505.65, 3230
NIITTECH,2016-03-30 12:15:00, 505.2, 506.4, 504.75, 505, 4300
NIITTECH,2016-03-30 12:45:00, 505, 505.5, 501.65, 504.15, 5007
NIITTECH,2016-03-30 13:15:00, 504.15, 504.8, 501, 501.5, 3035
NIITTECH,2016-03-30 13:45:00, 501.5, 503.1, 496, 499, 9658
NIITTECH,2016-03-30 14:15:00, 499, 500.8, 499, 499.9, 3844
NIITTECH,2016-03-30 14:45:00, 499.9, 502, 494, 495.05, 10932
NIITTECH,2016-03-30 15:15:00, 495, 495.6, 492.65, 495, 10044
NIITTECH,2016-03-31 09:15:00, 498.7, 502.7, 496, 496.5, 12402
NIITTECH,2016-03-31 09:45:00, 496.75, 499, 495, 498, 12048
NIITTECH,2016-03-31 10:15:00, 498, 500, 496.5, 497.9, 3524
NIITTECH,2016-03-31 10:45:00, 497.9, 497.95, 496.15, 497.8, 2030
NIITTECH,2016-03-31 11:15:00, 497.8, 498, 496.5, 496.8, 1039
NIITTECH,2016-03-31 11:45:00, 496.8, 502.45, 496.8, 497.1, 7687
NIITTECH,2016-03-31 12:15:00, 497.1, 498.95, 497.1, 498.1, 1282
NIITTECH,2016-03-31 12:45:00, 498.1, 498.15, 495.5, 495.8, 2085
NIITTECH,2016-03-31 13:15:00, 495.8, 496.95, 495.5, 495.9, 1449
NIITTECH,2016-03-31 13:45:00, 495.9, 501, 495.9, 500.7, 4268
NIITTECH,2016-03-31 14:15:00, 501, 501, 490, 493.65, 11614
NIITTECH,2016-03-31 14:45:00, 493.65, 498, 490.85, 494.05, 11929
NIITTECH,2016-03-31 15:15:00, 494.05, 499.45, 493.5, 495.5, 8489
NIITTECH,2016-04-01 09:15:00, 495, 501.85, 495, 501.85, 18160
NIITTECH,2016-04-01 09:45:00, 501, 507, 500, 502.25, 25623
NIITTECH,2016-04-01 10:15:00, 502.25, 502.6, 500, 500.1, 9259
NIITTECH,2016-04-01 10:45:00, 500.1, 500.45, 497, 498.25, 9659
NIITTECH,2016-04-01 11:15:00, 498.25, 498.9, 495.1, 496.6, 10353
NIITTECH,2016-04-01 11:45:00, 496.55, 498.9, 496.5, 498, 5374
NIITTECH,2016-04-01 12:15:00, 497.95, 497.95, 494.95, 495.55, 9194
NIITTECH,2016-04-01 12:45:00, 495.55, 495.75, 493.1, 494.6, 7861
NIITTECH,2016-04-01 13:15:00, 494.6, 494.7, 493.25, 493.95, 10633
NIITTECH,2016-04-01 13:45:00, 493.95, 496.7, 493.2, 494.3, 12473
NIITTECH,2016-04-01 14:15:00, 494.2, 495.55, 493.15, 494.5, 14470
