Code,Date,Open,High,Low,Close,Volume
NTPC,2016-03-15 09:15:00, 127.65, 127.9, 126.5, 126.75, 118978
NTPC,2016-03-15 09:45:00, 126.7, 127.15, 126.6, 126.6, 78222
NTPC,2016-03-15 10:15:00, 126.5, 126.7, 126, 126.7, 208686
NTPC,2016-03-15 10:45:00, 126.7, 127.7, 126.45, 127.05, 299049
NTPC,2016-03-15 11:15:00, 127.05, 127.25, 126.75, 127, 57264
NTPC,2016-03-15 11:45:00, 127, 127.3, 126.8, 127, 63380
NTPC,2016-03-15 12:45:00, 127.35, 127.4, 127.15, 127.25, 43825
NTPC,2016-03-15 12:15:00, 127.05, 127.35, 126.85, 127.35, 78449
NTPC,2016-03-15 13:15:00, 127.25, 127.5, 127.15, 127.45, 51942
NTPC,2016-03-15 13:45:00, 127.45, 127.5, 127.05, 127.35, 99193
NTPC,2016-03-15 14:15:00, 127.35, 127.4, 127.05, 127.1, 100178
NTPC,2016-03-15 14:45:00, 127.1, 127.4, 126.9, 127.35, 552919
NTPC,2016-03-15 15:15:00, 127.35, 127.75, 126.9, 127.15, 291208
NTPC,2016-03-16 09:15:00, 127.55, 128.15, 127.05, 127.25, 580951
NTPC,2016-03-16 09:45:00, 127.3, 127.75, 127.05, 127.25, 304083
NTPC,2016-03-16 10:15:00, 127.25, 127.5, 127.15, 127.4, 209455
NTPC,2016-03-16 10:45:00, 127.4, 127.7, 127.25, 127.7, 399837
NTPC,2016-03-16 11:15:00, 127.7, 127.9, 127.2, 127.4, 357057
NTPC,2016-03-16 11:45:00, 127.4, 127.9, 127.3, 127.55, 302718
NTPC,2016-03-16 12:15:00, 127.5, 127.75, 127.45, 127.65, 164625
NTPC,2016-03-16 12:45:00, 127.75, 127.8, 127.5, 127.8, 173136
NTPC,2016-03-16 13:15:00, 127.8, 127.85, 127.1, 127.2, 276845
NTPC,2016-03-16 13:45:00, 127.2, 127.35, 127, 127, 224613
NTPC,2016-03-16 14:15:00, 127, 127.65, 126.65, 127.4, 418974
NTPC,2016-03-16 14:45:00, 127.5, 127.75, 127.05, 127.6, 984108
NTPC,2016-03-16 15:15:00, 127.5, 127.8, 127.25, 127.3, 639299
NTPC,2016-03-17 09:15:00, 127.9, 128.25, 127.35, 127.45, 538459
NTPC,2016-03-17 09:45:00, 127.45, 127.7, 127.05, 127.55, 590619
NTPC,2016-03-17 10:15:00, 127.55, 127.8, 127.4, 127.55, 403341
NTPC,2016-03-17 10:45:00, 127.55, 127.8, 127.55, 127.8, 389610
NTPC,2016-03-17 11:15:00, 127.8, 128, 127.75, 127.9, 174323
NTPC,2016-03-17 11:45:00, 127.9, 128.05, 127.8, 127.95, 323963
NTPC,2016-03-17 12:15:00, 127.95, 128.05, 127.8, 128.05, 157739
NTPC,2016-03-17 12:45:00, 128.05, 128.15, 128, 128.05, 127361
NTPC,2016-03-17 13:15:00, 128.05, 128.2, 127.85, 128.15, 283387
NTPC,2016-03-17 13:45:00, 128.15, 128.25, 127.75, 127.85, 349397
NTPC,2016-03-17 14:15:00, 127.85, 128, 127.8, 127.8, 259391
NTPC,2016-03-17 14:45:00, 127.8, 127.85, 126.8, 127.05, 483712
NTPC,2016-03-17 15:15:00, 127, 127.1, 126, 126.05, 334396
NTPC,2016-03-18 09:15:00, 126.9, 127.5, 126.35, 127.2, 212718
NTPC,2016-03-18 09:45:00, 127.2, 127.5, 127, 127.45, 282564
NTPC,2016-03-18 10:15:00, 127.45, 127.9, 127.4, 127.7, 206321
NTPC,2016-03-18 10:45:00, 127.7, 127.75, 127.2, 127.65, 116569
NTPC,2016-03-18 11:15:00, 127.65, 127.7, 127.2, 127.4, 1554795
NTPC,2016-03-18 12:15:00, 127.4, 127.9, 127.4, 127.7, 200010
NTPC,2016-03-18 11:45:00, 127.4, 127.65, 127.35, 127.4, 90112
NTPC,2016-03-18 12:45:00, 127.7, 127.9, 127.65, 127.8, 66793
NTPC,2016-03-18 13:15:00, 127.8, 127.8, 127.3, 127.35, 216415
NTPC,2016-03-18 13:45:00, 127.35, 127.45, 126.8, 127.05, 271186
NTPC,2016-03-18 14:45:00, 127.25, 127.7, 127.1, 127.35, 968219
NTPC,2016-03-18 14:15:00, 127.05, 127.5, 127, 127.25, 410307
NTPC,2016-03-18 15:15:00, 127.35, 127.8, 127.25, 127.5, 729787
NTPC,2016-03-21 09:15:00, 127.5, 128.7, 127.3, 128.4, 283382
NTPC,2016-03-21 09:45:00, 128.4, 128.65, 127.8, 128, 179424
NTPC,2016-03-21 10:15:00, 128, 128.1, 127.5, 128, 205833
