Code,Date,Open,High,Low,Close,Volume
OIL,2016-03-15 09:15:00, 310, 310.7, 309.05, 309.15, 15104
OIL,2016-03-15 09:45:00, 309.15, 310, 308.65, 308.65, 8887
OIL,2016-03-15 10:15:00, 308.7, 309.2, 307.3, 307.75, 20781
OIL,2016-03-15 10:45:00, 308, 308.25, 307, 307.9, 10637
OIL,2016-03-15 11:15:00, 307.8, 308.5, 307.55, 308.4, 48169
OIL,2016-03-15 11:45:00, 308.4, 308.75, 308.1, 308.5, 2307
OIL,2016-03-15 12:15:00, 308.25, 308.75, 308, 308.5, 40548
OIL,2016-03-15 12:45:00, 308.5, 308.6, 308.3, 308.4, 20319
OIL,2016-03-15 13:15:00, 308.4, 308.8, 308.3, 308.3, 10178
OIL,2016-03-15 13:45:00, 308.3, 308.9, 308.3, 308.55, 6294
OIL,2016-03-15 14:15:00, 308.55, 308.85, 308.35, 308.5, 18244
OIL,2016-03-15 14:45:00, 308.5, 308.85, 308.25, 308.4, 12892
OIL,2016-03-15 15:15:00, 308.3, 308.6, 307.5, 308.15, 15972
OIL,2016-03-16 09:15:00, 309.4, 310, 307.05, 307.25, 24794
OIL,2016-03-16 09:45:00, 307.2, 307.45, 306.25, 306.6, 17137
OIL,2016-03-16 10:15:00, 306.55, 306.6, 304, 304.45, 26394
OIL,2016-03-16 10:45:00, 304.45, 305.75, 304.3, 305.35, 24016
OIL,2016-03-16 11:15:00, 305.35, 305.55, 304.05, 304.05, 26604
OIL,2016-03-16 11:45:00, 304.05, 304.7, 304.05, 304.45, 45111
OIL,2016-03-16 12:15:00, 304.5, 304.75, 304.35, 304.5, 24153
OIL,2016-03-16 12:45:00, 304.5, 304.7, 304.2, 304.5, 268766
OIL,2016-03-16 13:15:00, 304.5, 304.7, 304.25, 304.5, 97613
OIL,2016-03-16 13:45:00, 304.35, 304.35, 302.55, 303, 25501
OIL,2016-03-16 14:15:00, 303, 304.75, 301.05, 303.85, 73495
OIL,2016-03-16 14:45:00, 303.85, 304.05, 302.5, 303.25, 46844
OIL,2016-03-16 15:15:00, 303.25, 303.75, 303, 303.3, 31296
