Code,Date,Open,High,Low,Close,Volume
ONGC,2016-03-15 09:15:00, 206.45, 207.1, 205.1, 205.45, 385384
ONGC,2016-03-15 10:15:00, 205.6, 206, 205.05, 205.75, 171611
ONGC,2016-03-15 09:45:00, 205.4, 205.9, 205.25, 205.65, 189370
ONGC,2016-03-15 10:45:00, 205.75, 206.2, 205.5, 206.15, 128574
ONGC,2016-03-15 11:15:00, 206.2, 206.35, 205.5, 205.85, 276920
ONGC,2016-03-15 11:45:00, 205.85, 206, 205.55, 205.75, 148117
ONGC,2016-03-15 12:15:00, 205.8, 206.2, 205.7, 206, 103304
ONGC,2016-03-15 12:45:00, 206, 206.35, 205.6, 206.05, 225463
ONGC,2016-03-15 13:15:00, 206.05, 206.15, 205.65, 205.65, 133121
ONGC,2016-03-15 13:45:00, 205.65, 206.15, 205.65, 205.85, 174825
ONGC,2016-03-15 14:15:00, 205.85, 207.55, 205.65, 206.75, 521106
ONGC,2016-03-15 14:45:00, 206.75, 207.75, 206.1, 207.5, 727989
ONGC,2016-03-15 15:15:00, 207.5, 207.65, 207.2, 207.6, 476334
ONGC,2016-03-16 09:15:00, 207.1, 208.75, 206.7, 207, 458244
ONGC,2016-03-16 09:45:00, 207, 207.05, 206.75, 206.85, 114599
ONGC,2016-03-16 10:15:00, 206.85, 207, 204.9, 205.35, 250953
ONGC,2016-03-16 10:45:00, 205.35, 206.1, 205, 205.95, 134777
ONGC,2016-03-16 11:15:00, 206, 206.3, 205.3, 205.5, 260883
ONGC,2016-03-16 11:45:00, 205.5, 206.15, 205.5, 205.75, 154734
ONGC,2016-03-16 12:15:00, 205.75, 206, 205.7, 205.75, 51817
ONGC,2016-03-16 12:45:00, 205.75, 205.95, 205.75, 205.85, 57630
ONGC,2016-03-16 13:15:00, 205.85, 206.2, 205.85, 206, 101647
ONGC,2016-03-16 13:45:00, 206, 206.25, 205.65, 205.7, 124407
ONGC,2016-03-16 14:15:00, 205.7, 206.6, 205.6, 206.4, 230922
ONGC,2016-03-16 14:45:00, 206.4, 206.7, 206.1, 206.45, 798714
ONGC,2016-03-16 15:15:00, 206.55, 206.7, 206, 206, 714494
ONGC,2016-03-17 09:45:00, 210.3, 211.5, 210.1, 211.5, 516647
ONGC,2016-03-17 09:15:00, 209, 210.9, 208.5, 210.3, 750227
ONGC,2016-03-17 10:15:00, 211.5, 211.55, 210, 210.25, 236377
ONGC,2016-03-17 10:45:00, 210.25, 210.9, 210.1, 210.8, 139155
ONGC,2016-03-17 11:15:00, 210.85, 213.35, 210.65, 213.15, 546377
ONGC,2016-03-17 11:45:00, 213.15, 213.5, 212.05, 213, 365728
ONGC,2016-03-17 12:15:00, 213, 213.4, 212.55, 213.1, 264704
ONGC,2016-03-17 12:45:00, 213.1, 213.7, 213, 213.45, 162806
ONGC,2016-03-17 13:15:00, 213.45, 214.5, 213.15, 214.25, 291871
ONGC,2016-03-17 13:45:00, 214.3, 214.9, 214.1, 214.2, 330261
ONGC,2016-03-17 14:15:00, 214.2, 214.2, 213, 213.05, 524677
ONGC,2016-03-17 14:45:00, 213.1, 213.3, 211.8, 212.75, 965172
ONGC,2016-03-17 15:15:00, 212.75, 212.75, 211, 211.3, 486807
ONGC,2016-03-18 09:15:00, 213.55, 215, 212.5, 212.8, 405582
ONGC,2016-03-18 09:45:00, 212.8, 214.5, 212.8, 214.4, 225509
ONGC,2016-03-18 10:15:00, 214.4, 214.5, 213.75, 214.3, 136082
ONGC,2016-03-18 10:45:00, 214.3, 214.45, 213.8, 214.2, 139245
ONGC,2016-03-18 11:15:00, 214.2, 214.25, 213.35, 213.8, 93527
ONGC,2016-03-18 11:45:00, 213.8, 214.1, 213.45, 213.85, 76267
ONGC,2016-03-18 12:15:00, 213.85, 214.45, 213.65, 214.25, 104517
ONGC,2016-03-18 12:45:00, 214.25, 214.4, 213.1, 214.3, 147819
ONGC,2016-03-18 13:15:00, 214.3, 214.55, 214.15, 214.35, 248028
ONGC,2016-03-18 13:45:00, 214.35, 214.6, 214.25, 214.35, 127671
ONGC,2016-03-18 14:15:00, 214.35, 214.6, 214.25, 214.5, 494712
ONGC,2016-03-18 14:45:00, 214.45, 214.9, 214.3, 214.45, 1294430
ONGC,2016-03-18 15:15:00, 214.45, 214.75, 214.2, 214.2, 1016365
ONGC,2016-03-21 09:15:00, 213.9, 215.7, 213.1, 215.25, 380829
ONGC,2016-03-21 09:45:00, 215.25, 215.3, 213.7, 214.4, 201608
ONGC,2016-03-21 10:15:00, 214.4, 215.45, 214.3, 215.4, 138736
ONGC,2016-03-21 10:45:00, 215.4, 215.5, 214.75, 215, 105215
ONGC,2016-03-21 11:15:00, 214.95, 215.35, 214.5, 215.35, 109730
ONGC,2016-03-21 11:45:00, 215.35, 215.4, 214.95, 215, 104890
ONGC,2016-03-21 12:15:00, 215, 215.2, 214.8, 214.9, 103237
ONGC,2016-03-21 12:45:00, 214.9, 215, 214.75, 214.9, 98267
ONGC,2016-03-21 13:15:00, 214.9, 215.5, 214.55, 215.35, 209635
ONGC,2016-03-21 13:45:00, 215.35, 216.7, 215.05, 216.45, 508466
ONGC,2016-03-21 14:15:00, 216.4, 217.45, 215.95, 217.45, 419481
ONGC,2016-03-21 14:45:00, 217.4, 217.45, 216.05, 216.4, 798756
ONGC,2016-03-21 15:15:00, 216.4, 217.5, 216.05, 217, 683095
ONGC,2016-03-22 09:15:00, 217.05, 219.15, 215.2, 218.5, 343932
ONGC,2016-03-22 09:45:00, 218.6, 218.65, 217.35, 217.5, 134606
ONGC,2016-03-22 10:15:00, 217.5, 218.4, 216.8, 216.95, 216612
ONGC,2016-03-22 10:45:00, 216.95, 216.95, 216, 216.25, 174083
ONGC,2016-03-22 11:15:00, 216.25, 216.4, 215.8, 216.05, 149001
ONGC,2016-03-22 11:45:00, 216.05, 216.7, 216, 216.3, 185839
ONGC,2016-03-22 12:15:00, 216.3, 216.6, 215.7, 215.9, 351863
ONGC,2016-03-22 12:45:00, 215.9, 216.4, 215.85, 215.85, 233259
ONGC,2016-03-22 13:15:00, 216, 216.3, 215.4, 216, 398007
ONGC,2016-03-22 13:45:00, 216.05, 216.45, 215.2, 215.85, 471047
ONGC,2016-03-22 14:45:00, 216.05, 216.5, 215.55, 216, 572763
ONGC,2016-03-22 15:15:00, 216.05, 216.9, 215.9, 216.3, 556048
