Code,Date,Open,High,Low,Close,Volume
PAGEIND,2016-03-15 09:15:00, 11519.1, 11585.15, 11412.1, 11460.1, 942
PAGEIND,2016-03-15 09:45:00, 11460.1, 11465, 11420, 11439.7, 948
PAGEIND,2016-03-15 10:15:00, 11439.7, 11458.9, 11415, 11416, 549
PAGEIND,2016-03-15 10:45:00, 11416, 11416.1, 11385, 11390, 679
PAGEIND,2016-03-15 11:15:00, 11390, 11399.9, 11355.05, 11360, 557
PAGEIND,2016-03-15 11:45:00, 11360, 11386.1, 11323.25, 11373.3, 746
PAGEIND,2016-03-15 12:15:00, 11373.3, 11393.9, 11340, 11340, 834
PAGEIND,2016-03-15 12:45:00, 11340, 11350.55, 11301, 11303.3, 666
PAGEIND,2016-03-15 13:15:00, 11303.3, 11335, 11303.3, 11312.3, 860
PAGEIND,2016-03-15 13:45:00, 11312.3, 11340.5, 11306, 11306, 625
PAGEIND,2016-03-15 14:15:00, 11306, 11325.35, 11300, 11301, 806
PAGEIND,2016-03-15 14:45:00, 11301, 11365, 11301, 11330.75, 971
PAGEIND,2016-03-15 15:15:00, 11330.75, 11330.75, 11090, 11120.7, 825
PAGEIND,2016-03-16 09:15:00, 11240, 11271.9, 11126.15, 11199.1, 435
PAGEIND,2016-03-16 09:45:00, 11199.1, 11288.95, 11190, 11251, 443
PAGEIND,2016-03-16 10:15:00, 11251, 11251, 11210.1, 11210.1, 136
PAGEIND,2016-03-16 10:45:00, 11210.1, 11250.5, 11210.1, 11246.3, 131
PAGEIND,2016-03-16 11:15:00, 11246.3, 11246.3, 11195.2, 11210.25, 244
PAGEIND,2016-03-16 11:45:00, 11210.25, 11246.3, 11191, 11244, 4243
PAGEIND,2016-03-16 12:15:00, 11244, 11244, 11221.25, 11240, 78
PAGEIND,2016-03-16 12:45:00, 11240, 11244, 11223.05, 11237.8, 202
PAGEIND,2016-03-16 13:15:00, 11237.8, 11274, 11230, 11270, 588
PAGEIND,2016-03-16 13:45:00, 11270, 11290, 11270, 11274.05, 595
PAGEIND,2016-03-16 14:15:00, 11274.05, 11290, 11274.05, 11290, 99
PAGEIND,2016-03-16 14:45:00, 11290, 11290, 11100.6, 11100.6, 594
PAGEIND,2016-03-17 09:15:00, 11275, 11514.35, 11275, 11375.05, 1233
PAGEIND,2016-03-17 09:45:00, 11375.05, 11391.4, 11344.2, 11347.15, 170
