Code,Date,Open,High,Low,Close,Volume
PNB,2016-03-15 09:15:00, 82.5, 83.35, 82.1, 83.25, 1071178
PNB,2016-03-15 09:45:00, 83.25, 83.5, 82.85, 82.85, 558348
PNB,2016-03-15 10:15:00, 82.85, 83.65, 82.8, 83.65, 605598
PNB,2016-03-15 10:45:00, 83.55, 84.45, 83.45, 84.4, 1198774
PNB,2016-03-15 11:15:00, 84.4, 84.4, 83.7, 84.05, 434101
PNB,2016-03-15 11:45:00, 84.05, 84.35, 83.9, 84, 366452
PNB,2016-03-15 12:15:00, 84, 84.15, 83.8, 84, 287326
PNB,2016-03-15 12:45:00, 84, 84.1, 83.4, 83.5, 544075
PNB,2016-03-15 13:15:00, 83.5, 83.9, 83.1, 83.65, 334498
PNB,2016-03-15 13:45:00, 83.65, 83.85, 83.3, 83.4, 258688
PNB,2016-03-15 14:15:00, 83.4, 84, 83.4, 84, 388025
PNB,2016-03-15 14:45:00, 84, 84, 83.1, 83.25, 869854
PNB,2016-03-15 15:15:00, 83.2, 83.55, 83.1, 83.35, 625585
PNB,2016-03-16 09:15:00, 83.6, 84.2, 83.1, 83.65, 751673
PNB,2016-03-16 09:45:00, 83.65, 83.7, 83.15, 83.6, 419787
PNB,2016-03-16 10:15:00, 83.6, 83.6, 82.9, 83.1, 304534
PNB,2016-03-16 10:45:00, 83.1, 83.35, 82.75, 82.85, 241768
PNB,2016-03-16 11:15:00, 82.95, 82.95, 81.9, 82.1, 586266
PNB,2016-03-16 11:45:00, 82.1, 82.2, 81.4, 81.55, 403686
PNB,2016-03-16 12:15:00, 81.55, 82, 80.95, 81.15, 557951
PNB,2016-03-16 12:45:00, 81.15, 81.4, 81, 81.35, 328031
PNB,2016-03-16 13:15:00, 81.35, 82.1, 81.3, 81.95, 512104
PNB,2016-03-16 13:45:00, 82, 82.1, 81.5, 81.8, 315250
PNB,2016-03-16 14:15:00, 81.8, 82.75, 81.75, 82.55, 741793
PNB,2016-03-16 14:45:00, 82.55, 82.75, 82.25, 82.75, 939941
PNB,2016-03-16 15:15:00, 82.75, 83.05, 82.7, 83, 674547
PNB,2016-03-17 09:15:00, 84.25, 84.75, 84, 84.45, 959239
PNB,2016-03-17 09:45:00, 84.4, 84.5, 83.75, 83.95, 506736
PNB,2016-03-17 10:15:00, 83.95, 83.95, 83.4, 83.6, 413203
PNB,2016-03-17 10:45:00, 83.6, 83.85, 83.55, 83.65, 206996
PNB,2016-03-17 11:15:00, 83.7, 84.1, 83.55, 84.1, 299598
PNB,2016-03-17 11:45:00, 84.1, 84.2, 83.8, 83.85, 226256
PNB,2016-03-17 12:15:00, 83.85, 84.05, 83.85, 83.85, 131662
PNB,2016-03-17 12:45:00, 83.85, 83.95, 83.6, 83.85, 114848
PNB,2016-03-17 13:15:00, 83.85, 84.35, 83.8, 84.3, 424535
PNB,2016-03-17 13:45:00, 84.3, 84.45, 83.8, 83.85, 413188
PNB,2016-03-17 14:15:00, 83.85, 83.9, 83.3, 83.4, 615264
PNB,2016-03-17 14:45:00, 83.4, 83.5, 82.65, 82.95, 1006541
PNB,2016-03-17 15:15:00, 82.95, 82.95, 82.3, 82.55, 655450
PNB,2016-03-18 09:15:00, 83.5, 83.5, 82.45, 82.55, 632513
PNB,2016-03-18 09:45:00, 82.6, 83.55, 82.55, 83.2, 419907
PNB,2016-03-18 10:15:00, 83.2, 83.3, 83, 83.2, 152618
PNB,2016-03-18 10:45:00, 83.25, 83.3, 83, 83.1, 111096
PNB,2016-03-18 11:15:00, 83.1, 83.1, 82.6, 82.8, 218940
PNB,2016-03-18 11:45:00, 82.8, 83, 82.65, 82.95, 210972
PNB,2016-03-18 12:15:00, 82.95, 83.9, 82.9, 83.85, 579286
PNB,2016-03-18 12:45:00, 83.85, 83.95, 83.4, 83.55, 345684
PNB,2016-03-18 13:15:00, 83.55, 83.95, 83.25, 83.45, 343781
PNB,2016-03-18 13:45:00, 83.45, 83.85, 83.3, 83.85, 263244
PNB,2016-03-18 14:15:00, 83.85, 84.15, 83.6, 83.9, 569760
PNB,2016-03-18 14:45:00, 83.9, 84.4, 83.75, 84.25, 621258
PNB,2016-03-18 15:15:00, 84.2, 84.5, 84.2, 84.5, 724173
PNB,2016-03-21 09:15:00, 85.2, 86.55, 85.15, 86.15, 1914758
PNB,2016-03-21 09:45:00, 86.15, 87.15, 86.15, 86.85, 1097729
PNB,2016-03-21 10:15:00, 86.9, 87.4, 86.65, 87.35, 730239
PNB,2016-03-21 10:45:00, 87.3, 87.5, 86.9, 86.95, 650209
PNB,2016-03-21 11:15:00, 86.95, 86.95, 86.5, 86.6, 537416
PNB,2016-03-21 11:45:00, 86.6, 86.95, 86.6, 86.9, 228557
PNB,2016-03-21 12:15:00, 86.9, 86.9, 85.85, 86.1, 709611
PNB,2016-03-21 12:45:00, 86.1, 86.4, 85.7, 86.2, 529909
PNB,2016-03-21 13:15:00, 86.2, 86.35, 85.6, 86.15, 456069
PNB,2016-03-21 13:45:00, 86.2, 86.6, 86, 86.3, 582092
PNB,2016-03-21 14:15:00, 86.35, 86.7, 86.1, 86.45, 375510
PNB,2016-03-21 14:45:00, 86.45, 86.8, 86.15, 86.5, 755800
PNB,2016-03-21 15:15:00, 86.5, 86.55, 86.15, 86.25, 940892
PNB,2016-03-22 09:15:00, 86.7, 86.95, 85.55, 85.65, 900625
PNB,2016-03-22 09:45:00, 85.75, 86.05, 85.4, 85.45, 451939
PNB,2016-03-22 10:15:00, 85.45, 86.35, 85.4, 86.1, 463620
PNB,2016-03-22 10:45:00, 86.1, 86.35, 85.75, 86.05, 341007
PNB,2016-03-22 11:15:00, 86.05, 86.1, 85.9, 86, 149957
PNB,2016-03-22 11:45:00, 86, 86.15, 85.6, 85.8, 250684
PNB,2016-03-22 12:15:00, 85.8, 85.85, 85.45, 85.6, 316162
PNB,2016-03-22 12:45:00, 85.6, 85.65, 85.45, 85.5, 178959
PNB,2016-03-22 13:15:00, 85.45, 85.55, 85, 85.3, 471976
PNB,2016-03-22 13:45:00, 85.3, 85.45, 84.8, 85.4, 448691
PNB,2016-03-22 14:15:00, 85.45, 85.75, 85.3, 85.6, 412757
PNB,2016-03-22 14:45:00, 85.6, 86.1, 85.5, 86, 691478
PNB,2016-03-22 15:15:00, 86.05, 86.1, 85.85, 85.95, 549924
PNB,2016-03-23 09:15:00, 85.8, 85.8, 84.9, 85.4, 898295
PNB,2016-03-23 09:45:00, 85.4, 85.55, 84.9, 85.15, 493398
PNB,2016-03-23 10:15:00, 85.1, 85.35, 84.5, 84.7, 421634
PNB,2016-03-23 10:45:00, 84.65, 84.8, 84.3, 84.6, 563653
PNB,2016-03-23 11:15:00, 84.6, 84.95, 84.3, 84.55, 350799
PNB,2016-03-23 11:45:00, 84.55, 84.85, 84.5, 84.7, 213746
PNB,2016-03-23 12:15:00, 84.7, 84.85, 84.3, 84.4, 357102
PNB,2016-03-23 12:45:00, 84.4, 84.8, 84.35, 84.6, 213251
PNB,2016-03-23 13:15:00, 84.6, 84.95, 84.5, 84.6, 331720
PNB,2016-03-23 13:45:00, 84.6, 84.85, 84.55, 84.75, 198621
PNB,2016-03-23 14:15:00, 84.75, 84.75, 84.45, 84.55, 247933
PNB,2016-03-23 14:45:00, 84.55, 84.8, 84.4, 84.75, 659137
PNB,2016-03-23 15:15:00, 84.8, 85, 84.4, 84.45, 749681
PNB,2016-03-28 09:15:00, 84.9, 85.25, 84.1, 84.3, 890169
