Code,Date,Open,High,Low,Close,Volume
SAIL,2016-03-15 09:15:00, 42.05, 42.65, 41.65, 42.5, 408116
SAIL,2016-03-15 09:45:00, 42.5, 42.55, 41.9, 42, 203130
SAIL,2016-03-15 10:15:00, 42, 42.75, 41.9, 42.5, 302571
SAIL,2016-03-15 10:45:00, 42.5, 42.75, 42.5, 42.65, 177812
SAIL,2016-03-15 11:15:00, 42.65, 43.95, 42.6, 43.5, 1504467
SAIL,2016-03-15 11:45:00, 43.5, 44, 43.35, 43.55, 666650
SAIL,2016-03-15 12:15:00, 43.55, 43.6, 43.35, 43.45, 302590
SAIL,2016-03-15 12:45:00, 43.45, 43.5, 43, 43.15, 281537
SAIL,2016-03-15 13:15:00, 43.15, 43.45, 42.8, 43.3, 468221
SAIL,2016-03-15 13:45:00, 43.25, 43.6, 43, 43.25, 485766
SAIL,2016-03-15 14:15:00, 43.25, 43.5, 43.2, 43.3, 239177
SAIL,2016-03-15 14:45:00, 43.3, 43.5, 43.1, 43.2, 421981
SAIL,2016-03-15 15:15:00, 43.15, 43.45, 43.15, 43.25, 482873
SAIL,2016-03-16 09:15:00, 43, 43, 42.65, 42.8, 984391
SAIL,2016-03-16 09:45:00, 42.8, 42.8, 42.6, 42.7, 179067
SAIL,2016-03-16 10:15:00, 42.7, 42.75, 42.1, 42.25, 312007
SAIL,2016-03-16 10:45:00, 42.3, 42.45, 42.1, 42.35, 224686
SAIL,2016-03-16 11:45:00, 41.9, 41.95, 41.6, 41.65, 277296
SAIL,2016-03-16 11:15:00, 42.4, 42.4, 41.8, 41.9, 245117
SAIL,2016-03-16 12:15:00, 41.65, 41.95, 41.6, 41.75, 111094
SAIL,2016-03-16 12:45:00, 41.75, 42.1, 41.7, 41.95, 133607
SAIL,2016-03-16 13:15:00, 42, 42.4, 42, 42.35, 332663
SAIL,2016-03-16 13:45:00, 42.35, 42.7, 42.1, 42.6, 374306
SAIL,2016-03-16 14:15:00, 42.6, 42.7, 42.35, 42.5, 246244
SAIL,2016-03-16 14:45:00, 42.5, 42.6, 42.25, 42.6, 269348
SAIL,2016-03-16 15:15:00, 42.6, 42.7, 42.4, 42.5, 353461
SAIL,2016-03-17 09:15:00, 43, 43.55, 42.95, 43.35, 1231950
SAIL,2016-03-17 09:45:00, 43.35, 43.45, 43, 43.15, 439571
