Code,Date,Open,High,Low,Close,Volume
TV18BRDCST,2016-03-15 09:15:00, 38.65, 38.8, 38.35, 38.5, 264091
TV18BRDCST,2016-03-15 09:45:00, 38.45, 38.65, 38.2, 38.2, 122394
TV18BRDCST,2016-03-15 10:15:00, 38.2, 38.4, 38.1, 38.3, 119897
TV18BRDCST,2016-03-15 10:45:00, 38.3, 38.4, 38.25, 38.3, 38178
TV18BRDCST,2016-03-15 11:15:00, 38.3, 38.4, 38.1, 38.2, 204555
TV18BRDCST,2016-03-15 11:45:00, 38.2, 38.25, 38.15, 38.15, 45195
TV18BRDCST,2016-03-15 12:15:00, 38.15, 38.2, 38, 38.1, 75695
TV18BRDCST,2016-03-15 13:15:00, 38, 38.05, 37.7, 37.85, 119073
TV18BRDCST,2016-03-15 13:45:00, 37.85, 37.95, 37.75, 37.75, 76188
TV18BRDCST,2016-03-15 12:45:00, 38.15, 38.2, 37.9, 38, 110114
TV18BRDCST,2016-03-15 14:15:00, 37.75, 38, 37.75, 37.9, 87748
TV18BRDCST,2016-03-15 14:45:00, 37.9, 38.05, 37.7, 37.75, 124809
TV18BRDCST,2016-03-16 09:15:00, 38.05, 38.45, 37.8, 38.45, 398825
TV18BRDCST,2016-03-15 15:15:00, 37.8, 37.95, 37.8, 37.95, 213328
TV18BRDCST,2016-03-16 09:45:00, 38.45, 38.7, 38.3, 38.55, 238109
TV18BRDCST,2016-03-16 10:15:00, 38.55, 38.7, 38.35, 38.35, 142259
TV18BRDCST,2016-03-16 11:15:00, 38.65, 38.95, 38.55, 38.55, 268712
TV18BRDCST,2016-03-16 10:45:00, 38.4, 38.7, 38.35, 38.7, 127310
TV18BRDCST,2016-03-16 11:45:00, 38.55, 38.75, 38.15, 38.35, 207956
TV18BRDCST,2016-03-16 12:15:00, 38.35, 38.5, 38.3, 38.35, 67489
TV18BRDCST,2016-03-16 12:45:00, 38.4, 38.65, 38.4, 38.5, 170061
TV18BRDCST,2016-03-16 13:15:00, 38.55, 38.85, 38.5, 38.85, 161256
TV18BRDCST,2016-03-16 13:45:00, 38.85, 38.95, 38.65, 38.75, 235718
TV18BRDCST,2016-03-16 14:15:00, 38.75, 39.05, 38.7, 38.95, 262540
TV18BRDCST,2016-03-16 14:45:00, 39, 39.2, 38.75, 39.15, 427784
TV18BRDCST,2016-03-16 15:15:00, 39.2, 39.7, 39.1, 39.45, 485992
TV18BRDCST,2016-03-17 09:15:00, 39.7, 39.85, 39.35, 39.5, 506561
TV18BRDCST,2016-03-17 09:45:00, 39.5, 39.55, 39.1, 39.5, 264109
TV18BRDCST,2016-03-17 10:15:00, 39.5, 39.55, 39.2, 39.2, 153180
TV18BRDCST,2016-03-17 10:45:00, 39.2, 39.4, 39.15, 39.4, 92888
TV18BRDCST,2016-03-17 11:15:00, 39.4, 39.55, 39.35, 39.35, 151657
TV18BRDCST,2016-03-17 12:15:00, 39.45, 39.5, 39.35, 39.4, 37604
TV18BRDCST,2016-03-17 11:45:00, 39.35, 39.6, 39.35, 39.45, 163394
TV18BRDCST,2016-03-17 12:45:00, 39.4, 39.45, 39.25, 39.4, 41295
TV18BRDCST,2016-03-17 13:15:00, 39.4, 39.6, 39.3, 39.4, 132536
TV18BRDCST,2016-03-17 13:45:00, 39.4, 39.5, 39.3, 39.35, 54112
TV18BRDCST,2016-03-17 14:15:00, 39.35, 39.4, 38.95, 39, 234956
TV18BRDCST,2016-03-17 14:45:00, 39, 39.15, 38.9, 38.95, 186899
TV18BRDCST,2016-03-17 15:15:00, 38.95, 39, 38.5, 38.7, 345175
TV18BRDCST,2016-03-18 09:15:00, 39.15, 39.15, 38.65, 38.85, 398603
TV18BRDCST,2016-03-18 09:45:00, 38.9, 39.2, 38.7, 39.05, 278773
TV18BRDCST,2016-03-18 10:15:00, 39.05, 39.4, 38.95, 39.05, 299360
TV18BRDCST,2016-03-18 10:45:00, 39.1, 39.25, 39, 39, 188250
TV18BRDCST,2016-03-18 11:15:00, 39, 39.05, 38.85, 38.85, 87771
TV18BRDCST,2016-03-18 11:45:00, 38.9, 39, 38.75, 38.9, 211794
TV18BRDCST,2016-03-18 12:15:00, 38.95, 39.35, 38.9, 39.3, 151265
TV18BRDCST,2016-03-18 12:45:00, 39.3, 39.3, 39.05, 39.1, 61974
TV18BRDCST,2016-03-18 13:15:00, 39.1, 39.15, 38.8, 39.05, 403392
TV18BRDCST,2016-03-18 13:45:00, 39.05, 39.2, 38.9, 39.15, 256340
TV18BRDCST,2016-03-18 14:15:00, 39.1, 39.8, 39, 39.55, 885225
TV18BRDCST,2016-03-18 14:45:00, 39.6, 39.8, 39.35, 39.55, 2799277
TV18BRDCST,2016-03-18 15:15:00, 39.5, 39.6, 39.15, 39.25, 2671489
TV18BRDCST,2016-03-21 09:15:00, 39.25, 39.5, 39.1, 39.45, 352663
TV18BRDCST,2016-03-21 09:45:00, 39.45, 39.85, 39.4, 39.65, 534760
TV18BRDCST,2016-03-21 10:15:00, 39.65, 39.85, 39.55, 39.8, 183577
TV18BRDCST,2016-03-21 10:45:00, 39.8, 39.85, 39.65, 39.75, 141585
TV18BRDCST,2016-03-21 11:15:00, 39.75, 39.8, 39.55, 39.65, 86151
TV18BRDCST,2016-03-21 11:45:00, 39.65, 39.7, 39.55, 39.55, 111872
TV18BRDCST,2016-03-21 12:15:00, 39.55, 39.65, 39.45, 39.5, 122283
TV18BRDCST,2016-03-21 12:45:00, 39.5, 39.65, 39.35, 39.55, 64729
TV18BRDCST,2016-03-21 13:15:00, 39.55, 39.6, 39.4, 39.5, 189399
TV18BRDCST,2016-03-21 13:45:00, 39.5, 39.6, 39.5, 39.6, 116389
TV18BRDCST,2016-03-21 14:15:00, 39.6, 39.9, 39.45, 39.7, 462215
TV18BRDCST,2016-03-21 14:45:00, 39.7, 41.2, 39.65, 41, 2474389
TV18BRDCST,2016-03-21 15:15:00, 41, 41.25, 40.85, 40.9, 705360
TV18BRDCST,2016-03-22 09:15:00, 41.25, 41.25, 40.6, 40.7, 813313
TV18BRDCST,2016-03-22 09:45:00, 40.7, 41.6, 40.65, 41.1, 785703
TV18BRDCST,2016-03-22 10:15:00, 41.1, 41.45, 41.05, 41.3, 334224
TV18BRDCST,2016-03-22 10:45:00, 41.3, 41.4, 40.8, 41.05, 250044
TV18BRDCST,2016-03-22 11:15:00, 41.05, 41.2, 41, 41.1, 149089
TV18BRDCST,2016-03-22 11:45:00, 41.1, 41.15, 41, 41.1, 113738
TV18BRDCST,2016-03-22 12:15:00, 41.1, 41.1, 40.75, 40.95, 246218
TV18BRDCST,2016-03-22 12:45:00, 40.95, 40.95, 40.6, 40.65, 121365
TV18BRDCST,2016-03-22 13:15:00, 40.65, 40.8, 40.2, 40.5, 398544
TV18BRDCST,2016-03-22 13:45:00, 40.5, 40.6, 40.2, 40.5, 362559
TV18BRDCST,2016-03-22 14:15:00, 40.5, 40.8, 40.45, 40.7, 151776
TV18BRDCST,2016-03-22 14:45:00, 40.65, 41.25, 40.6, 40.9, 368167
TV18BRDCST,2016-03-22 15:15:00, 40.9, 41, 40.75, 40.8, 232624
TV18BRDCST,2016-03-23 09:15:00, 40.9, 40.95, 40.35, 40.5, 331996
TV18BRDCST,2016-03-23 09:45:00, 40.4, 40.8, 40.4, 40.8, 133377
TV18BRDCST,2016-03-23 10:15:00, 40.8, 41.4, 40.7, 41.15, 473624
TV18BRDCST,2016-03-23 10:45:00, 41.1, 41.3, 40.8, 41.25, 174902
TV18BRDCST,2016-03-23 11:15:00, 41.25, 41.6, 41.15, 41.2, 344169
TV18BRDCST,2016-03-23 11:45:00, 41.2, 41.45, 41.2, 41.3, 95858
TV18BRDCST,2016-03-23 12:15:00, 41.3, 41.35, 41.1, 41.25, 58673
TV18BRDCST,2016-03-23 12:45:00, 41.25, 41.3, 40.95, 41.05, 299528
TV18BRDCST,2016-03-23 13:15:00, 41.05, 41.3, 41, 41.2, 44211
TV18BRDCST,2016-03-23 13:45:00, 41.2, 41.35, 41.1, 41.2, 107079
TV18BRDCST,2016-03-23 14:15:00, 41.15, 41.25, 40.85, 41, 223463
TV18BRDCST,2016-03-23 14:45:00, 41, 41.55, 40.9, 41.2, 577302
TV18BRDCST,2016-03-23 15:15:00, 41.2, 41.25, 40.9, 41, 289628
TV18BRDCST,2016-03-28 09:15:00, 41.15, 41.35, 40.85, 40.85, 356929
TV18BRDCST,2016-03-28 09:45:00, 40.85, 40.85, 40.05, 40.15, 490655
TV18BRDCST,2016-03-28 10:15:00, 40.15, 40.45, 39.9, 40.1, 973026
TV18BRDCST,2016-03-28 10:45:00, 40.1, 40.1, 39.65, 39.75, 455474
TV18BRDCST,2016-03-28 11:15:00, 39.75, 39.85, 39.65, 39.75, 122319
TV18BRDCST,2016-03-28 11:45:00, 39.75, 40, 39.75, 39.9, 148180
TV18BRDCST,2016-03-28 12:15:00, 39.9, 39.9, 39.7, 39.7, 84855
TV18BRDCST,2016-03-28 12:45:00, 39.7, 40.05, 39.7, 39.9, 99656
TV18BRDCST,2016-03-28 13:15:00, 39.9, 40.1, 39.75, 40, 188970
TV18BRDCST,2016-03-28 13:45:00, 40, 40, 39.7, 39.8, 191263
TV18BRDCST,2016-03-28 14:15:00, 39.8, 40, 39.45, 39.5, 339715
TV18BRDCST,2016-03-28 14:45:00, 39.5, 39.65, 39.15, 39.3, 328801
TV18BRDCST,2016-03-28 15:15:00, 39.3, 39.7, 39.05, 39.25, 313790
TV18BRDCST,2016-03-29 09:15:00, 39.35, 39.65, 39.2, 39.6, 201142
TV18BRDCST,2016-03-29 09:45:00, 39.6, 39.65, 39.45, 39.55, 502574
TV18BRDCST,2016-03-29 10:15:00, 39.55, 39.65, 39.5, 39.55, 137449
TV18BRDCST,2016-03-29 10:45:00, 39.55, 39.6, 39.05, 39.4, 328469
TV18BRDCST,2016-03-29 11:15:00, 39.4, 39.5, 39.35, 39.4, 296801
TV18BRDCST,2016-03-29 11:45:00, 39.4, 39.65, 39.4, 39.6, 115993
TV18BRDCST,2016-03-29 12:15:00, 39.6, 40.1, 39.55, 40, 416850
TV18BRDCST,2016-03-29 12:45:00, 40, 40.05, 39.7, 39.7, 72181
