Date,Open,High,Low,Close,Volume
2016-09-30 09:15:00, 255.15, 256, 253.3, 255.85, 55909
2016-09-30 09:16:00, 255.85, 255.85, 255.1, 255.4, 37557
2016-09-30 09:17:00, 255.5, 255.9, 254.15, 254.15, 50427
2016-09-30 09:18:00, 254.2, 254.95, 253.9, 254.95, 15396
2016-09-30 09:19:00, 254.75, 254.95, 253.85, 253.85, 26968
2016-09-30 09:20:00, 253.85, 254, 252.35, 252.4, 24970
2016-09-30 09:21:00, 252.4, 252.95, 250.85, 252.6, 27513
2016-09-30 09:22:00, 252.85, 252.85, 250.1, 250.7, 72911
2016-09-30 09:23:00, 250.7, 251.85, 250.65, 251.1, 57290
2016-09-30 09:24:00, 251.1, 251.7, 250.7, 251.7, 16312
2016-09-30 09:25:00, 252, 252.4, 251.9, 251.9, 20027
2016-09-30 09:26:00, 251.85, 252.25, 251.75, 252.25, 39120
2016-09-30 09:27:00, 252, 252, 251.2, 251.4, 96524
2016-09-30 09:28:00, 251.4, 251.55, 250.75, 250.75, 81355
2016-09-30 09:29:00, 250.85, 250.85, 249.3, 249.75, 103322
2016-09-30 09:30:00, 250, 250.85, 249.85, 249.85, 81892
2016-09-30 09:31:00, 250, 250.65, 249.8, 250.5, 52477
2016-09-30 09:32:00, 250.65, 250.75, 250, 250, 527410
2016-09-30 09:33:00, 250, 251, 249.7, 251, 59328
2016-09-30 09:34:00, 250.95, 251.75, 250.95, 251.45, 58692
2016-09-30 09:35:00, 251.45, 251.75, 251.1, 251.25, 39126
2016-09-30 09:36:00, 251.25, 251.25, 251, 251.15, 45301
2016-09-30 09:37:00, 251.15, 251.25, 250.9, 251, 38304
2016-09-30 09:38:00, 251, 251.35, 251, 251.25, 26087
2016-09-30 09:39:00, 251.25, 251.5, 250.9, 251, 45752
2016-09-30 09:40:00, 251, 251, 250.75, 251, 29688
2016-09-30 09:41:00, 251, 251, 250.8, 250.95, 28033
2016-09-30 09:42:00, 250.95, 251, 250.9, 251, 19554
2016-09-30 09:43:00, 250.95, 251, 250.95, 251, 56140
2016-09-30 09:44:00, 251, 251, 250.95, 251, 32179
2016-09-30 09:45:00, 251, 251.5, 251, 251.5, 33080
2016-09-30 09:46:00, 251.5, 251.5, 251, 251, 61162
2016-09-30 09:47:00, 251, 251.25, 251, 251.2, 23194
2016-09-30 09:48:00, 251.2, 251.25, 251.05, 251.2, 25534
2016-09-30 09:49:00, 251.15, 251.45, 250.9, 251, 50155
2016-09-30 09:50:00, 250.9, 251.25, 250.9, 251.25, 14365
2016-09-30 09:51:00, 251.3, 251.5, 251.3, 251.3, 16946
2016-09-30 09:52:00, 251.25, 251.5, 251.25, 251.4, 518787
2016-09-30 09:53:00, 251.5, 251.5, 251.2, 251.2, 18200
2016-09-30 09:54:00, 251.2, 251.3, 251.05, 251.1, 20700
2016-09-30 09:55:00, 251.1, 251.25, 251, 251.05, 11639
2016-09-30 09:56:00, 251.1, 251.1, 250.75, 250.75, 20017
2016-09-30 09:57:00, 250.9, 251.2, 250.7, 250.8, 21422
2016-09-30 09:58:00, 250.75, 250.85, 250.65, 250.85, 6801
2016-09-30 09:59:00, 250.85, 250.9, 250.6, 250.65, 17646
2016-09-30 10:00:00, 250.65, 250.65, 250.3, 250.3, 24667
2016-09-30 10:01:00, 250.3, 250.75, 250.3, 250.5, 428992
2016-09-30 10:02:00, 250.5, 250.5, 250.3, 250.5, 110832
2016-09-30 10:03:00, 250.5, 250.5, 250.25, 250.4, 5656
2016-09-30 10:04:00, 250.4, 250.5, 250.25, 250.5, 2604
2016-09-30 10:05:00, 250.45, 250.65, 250.4, 250.65, 14299
2016-09-30 10:06:00, 250.65, 251, 250.65, 251, 4130
2016-09-30 10:07:00, 250.85, 251.25, 250.85, 251.2, 10958
2016-09-30 10:08:00, 251.2, 251.65, 251.1, 251.65, 13349
2016-09-30 10:09:00, 251.65, 251.7, 251.5, 251.65, 7390
2016-09-30 10:10:00, 251.65, 251.9, 251.6, 251.6, 11565
2016-09-30 10:11:00, 251.6, 251.7, 251.5, 251.55, 6769
2016-09-30 10:12:00, 251.45, 251.7, 251.45, 251.7, 4548
2016-09-30 10:13:00, 251.7, 251.75, 251.6, 251.75, 10230
2016-09-30 10:14:00, 251.75, 251.75, 251.5, 251.65, 5497
2016-09-30 10:15:00, 251.6, 251.6, 251.35, 251.45, 8889
2016-09-30 10:16:00, 251.45, 251.5, 251.35, 251.5, 7161
2016-09-30 10:17:00, 251.5, 251.6, 251.45, 251.6, 8791
2016-09-30 10:18:00, 251.6, 252, 251.6, 251.75, 17143
2016-09-30 10:19:00, 251.75, 251.95, 251.75, 251.8, 5810
2016-09-30 10:20:00, 251.8, 252, 251.75, 251.95, 10662
2016-09-30 10:21:00, 251.95, 252, 251.85, 251.9, 16650
2016-09-30 10:22:00, 251.85, 252, 251.85, 252, 7355
2016-09-30 10:23:00, 252, 252, 251.9, 252, 31045
2016-09-30 10:24:00, 252, 252, 251.9, 252, 21210
2016-09-30 10:25:00, 252, 252, 251.95, 251.95, 16738
2016-09-30 10:26:00, 252, 252, 251.95, 251.95, 40444
2016-09-30 10:27:00, 251.95, 252.15, 251.95, 252, 33671
2016-09-30 10:28:00, 252, 252.1, 251.95, 251.95, 29038
2016-09-30 10:29:00, 252.1, 252.1, 251.95, 252, 19625
2016-09-30 10:30:00, 252, 252.35, 252, 252, 39644
2016-09-30 10:31:00, 252.15, 252.2, 252.05, 252.2, 4414
2016-09-30 10:32:00, 252.25, 252.5, 251.95, 252, 786043
2016-09-30 10:33:00, 252, 252.8, 252, 252.75, 5657
2016-09-30 10:34:00, 252.8, 252.8, 252.6, 252.75, 8815
2016-09-30 10:35:00, 252.75, 252.75, 252.55, 252.75, 6558
2016-09-30 10:36:00, 252.75, 252.95, 252.75, 252.8, 27427
2016-09-30 10:37:00, 252.75, 252.95, 252.6, 252.8, 6974
2016-09-30 10:38:00, 252.8, 252.95, 252.55, 252.85, 12633
2016-09-30 10:39:00, 252.85, 252.9, 252.7, 252.75, 3764
2016-09-30 10:40:00, 252.75, 253, 252.75, 252.8, 21695
2016-09-30 10:41:00, 252.9, 253, 252.9, 253, 8239
2016-09-30 10:42:00, 253, 253, 252.75, 252.8, 18951
2016-09-30 10:43:00, 252.8, 252.9, 252.75, 252.85, 5363
2016-09-30 10:44:00, 252.85, 253, 252.75, 252.8, 5949
2016-09-30 10:45:00, 252.8, 252.85, 252.45, 252.45, 10628
2016-09-30 10:46:00, 252.45, 252.45, 252.2, 252.3, 16804
2016-09-30 10:47:00, 252.3, 252.9, 252.25, 252.5, 9922
2016-09-30 10:48:00, 252.5, 252.75, 252.5, 252.5, 8081
2016-09-30 10:49:00, 252.45, 252.65, 252.35, 252.5, 12982
2016-09-30 10:50:00, 252.35, 252.7, 252.35, 252.35, 4099
2016-09-30 10:51:00, 252.35, 252.5, 252.35, 252.4, 1085
2016-09-30 10:52:00, 252.5, 252.9, 252.5, 252.85, 6128
