Date,Open,High,Low,Close,Volume
2016-09-30 09:15:00, 55.8, 55.8, 55.45, 55.6, 28132
2016-09-30 09:16:00, 55.6, 55.9, 55.6, 55.9, 16978
2016-09-30 09:17:00, 56, 56.15, 55.9, 56, 33160
2016-09-30 09:18:00, 56.1, 56.15, 56, 56, 21134
2016-09-30 09:19:00, 56.05, 56.1, 55.8, 55.8, 59993
2016-09-30 09:20:00, 55.8, 55.9, 55.45, 55.5, 23425
2016-09-30 09:21:00, 55.35, 55.45, 55.15, 55.4, 18994
2016-09-30 09:22:00, 55.4, 55.45, 55.2, 55.3, 15957
2016-09-30 09:23:00, 55.4, 55.65, 55.25, 55.5, 8751
2016-09-30 09:24:00, 55.45, 55.55, 55.3, 55.55, 3536
2016-09-30 09:25:00, 55.6, 55.7, 55.45, 55.5, 10795
2016-09-30 09:26:00, 55.45, 55.7, 55.35, 55.6, 14904
2016-09-30 09:27:00, 55.65, 55.75, 55.6, 55.7, 13088
2016-09-30 09:28:00, 55.8, 56, 55.75, 55.95, 16592
2016-09-30 09:29:00, 55.85, 55.85, 55.65, 55.7, 16052
2016-09-30 09:30:00, 55.65, 55.95, 55.65, 55.9, 13919
2016-09-30 09:31:00, 55.9, 55.9, 55.7, 55.8, 18908
2016-09-30 09:32:00, 55.7, 55.9, 55.7, 55.9, 4934
2016-09-30 09:34:00, 55.9, 56.2, 55.9, 56.2, 20636
2016-09-30 09:33:00, 55.9, 56, 55.9, 55.95, 10137
2016-09-30 09:35:00, 56.25, 56.3, 56.2, 56.2, 10745
2016-09-30 09:36:00, 56.15, 56.35, 56.15, 56.25, 23649
2016-09-30 09:37:00, 56.3, 56.35, 56.25, 56.3, 33151
2016-09-30 09:38:00, 56.35, 56.4, 56.25, 56.25, 49859
2016-09-30 09:39:00, 56.35, 56.35, 56.2, 56.25, 7580
2016-09-30 09:40:00, 56.2, 56.3, 56.15, 56.25, 10067
2016-09-30 09:41:00, 56.25, 56.3, 56.2, 56.25, 12614
2016-09-30 09:42:00, 56.3, 56.3, 56.15, 56.2, 4468
2016-09-30 09:43:00, 56.2, 56.3, 56, 56.2, 18679
2016-09-30 09:44:00, 56.2, 56.25, 56.2, 56.25, 9055
2016-09-30 09:45:00, 56.25, 56.3, 56.2, 56.25, 3939
2016-09-30 09:46:00, 56.25, 56.3, 56.2, 56.25, 7222
2016-09-30 09:47:00, 56.25, 56.4, 56.25, 56.4, 12035
2016-09-30 09:48:00, 56.4, 56.4, 56.2, 56.2, 35707
2016-09-30 09:49:00, 56.35, 56.35, 56.05, 56.05, 9177
2016-09-30 09:50:00, 56.1, 56.3, 56.1, 56.25, 24955
2016-09-30 09:51:00, 56.25, 56.25, 56.15, 56.15, 8040
2016-09-30 09:52:00, 56.15, 56.2, 56.1, 56.2, 12148
2016-09-30 09:53:00, 56.2, 56.4, 56, 56.3, 22992
2016-09-30 09:54:00, 56.25, 56.25, 56.2, 56.2, 5115
2016-09-30 09:55:00, 56.2, 56.25, 56.05, 56.05, 2913
2016-09-30 09:56:00, 56.05, 56.2, 56.05, 56.1, 5720
2016-09-30 09:57:00, 56.1, 56.25, 56.1, 56.2, 6193
2016-09-30 09:58:00, 56.2, 56.25, 56.1, 56.2, 11941
2016-09-30 09:59:00, 56.2, 56.2, 56.1, 56.2, 4170
2016-09-30 10:00:00, 56.15, 56.15, 56.05, 56.05, 13268
2016-09-30 10:01:00, 56.05, 56.1, 56, 56.05, 6154
2016-09-30 10:02:00, 56.1, 56.1, 55.85, 55.9, 29253
2016-09-30 10:03:00, 55.95, 55.95, 55.75, 55.9, 10059
2016-09-30 10:04:00, 55.9, 56.1, 55.9, 56, 7368
2016-09-30 10:05:00, 56, 56.25, 56, 56.2, 5896
2016-09-30 10:06:00, 56.25, 56.3, 56.15, 56.3, 10186
2016-09-30 10:07:00, 56.3, 56.35, 56.25, 56.35, 17912
2016-09-30 10:08:00, 56.35, 56.4, 56.3, 56.4, 57042
2016-09-30 10:09:00, 56.3, 56.35, 56.25, 56.25, 3092
2016-09-30 10:10:00, 56.25, 56.3, 56.2, 56.3, 3069
2016-09-30 10:11:00, 56.3, 56.3, 56.15, 56.25, 4076
2016-09-30 10:12:00, 56.25, 56.3, 56.2, 56.25, 9190
2016-09-30 10:13:00, 56.25, 56.25, 56.2, 56.2, 6156
2016-09-30 10:14:00, 56.25, 56.3, 56.15, 56.3, 17127
2016-09-30 10:15:00, 56.3, 56.3, 56.05, 56.1, 8786
2016-09-30 10:16:00, 56.1, 56.25, 56.1, 56.25, 11344
2016-09-30 10:17:00, 56.25, 56.25, 56.15, 56.15, 1470
2016-09-30 10:18:00, 56.15, 56.25, 56.1, 56.25, 2224
2016-09-30 10:19:00, 56.25, 56.3, 56.15, 56.25, 37714
2016-09-30 10:20:00, 56.25, 56.3, 56.15, 56.3, 6282
2016-09-30 10:21:00, 56.3, 56.3, 56.2, 56.2, 3770
2016-09-30 10:22:00, 56.2, 56.3, 56.2, 56.3, 817
2016-09-30 10:23:00, 56.3, 56.3, 56.2, 56.25, 2213
2016-09-30 10:24:00, 56.25, 56.5, 56.2, 56.5, 13762
