Date,Open,High,Low,Close,Volume
2016-09-30 09:16:00, 211.8, 212.9, 211.55, 212.65, 35144
2016-09-30 09:15:00, 210.55, 212.55, 210.35, 212.35, 27002
2016-09-30 09:17:00, 213.15, 214.4, 213.15, 213.8, 29137
2016-09-30 09:18:00, 213.9, 214.05, 213.35, 213.6, 33591
2016-09-30 09:19:00, 213.5, 213.9, 213.5, 213.6, 13889
2016-09-30 09:20:00, 213.5, 213.5, 211.6, 211.9, 40735
2016-09-30 09:21:00, 211.65, 212.75, 211.35, 212.75, 19160
2016-09-30 09:22:00, 212.75, 212.75, 211.6, 211.95, 24901
2016-09-30 09:23:00, 212.35, 212.4, 211.95, 212.3, 17106
2016-09-30 09:24:00, 212.3, 212.35, 212, 212.35, 17180
2016-09-30 09:25:00, 212.25, 212.9, 212.1, 212.65, 57897
2016-09-30 09:26:00, 212.65, 213.75, 212.25, 213.75, 21295
2016-09-30 09:27:00, 213.65, 214.35, 213.6, 214.1, 30740
2016-09-30 09:28:00, 214.1, 215, 214.1, 214.6, 21415
2016-09-30 09:30:00, 214.45, 215, 214.4, 214.75, 17722
2016-09-30 09:29:00, 214.6, 214.6, 214.2, 214.25, 19717
2016-09-30 09:32:00, 214.45, 215.3, 214.45, 214.9, 26727
2016-09-30 09:31:00, 214.75, 214.75, 214.05, 214.3, 19625
2016-09-30 09:33:00, 214.75, 214.75, 214.45, 214.65, 10254
2016-09-30 09:34:00, 214.8, 215, 214.45, 214.95, 7767
2016-09-30 09:35:00, 214.95, 215.45, 214.85, 215.45, 21264
2016-09-30 09:36:00, 215.45, 216, 215.4, 215.8, 22076
2016-09-30 09:37:00, 215.8, 215.85, 215.5, 215.65, 11354
2016-09-30 09:38:00, 215.65, 216.35, 215.35, 215.35, 17013
2016-09-30 09:39:00, 215.35, 216, 215.35, 215.95, 10530
2016-09-30 09:40:00, 215.95, 216.3, 215.6, 215.75, 8402
2016-09-30 09:41:00, 215.6, 215.9, 215.15, 215.9, 10987
2016-09-30 09:42:00, 215.9, 216.6, 215.5, 216.6, 11287
2016-09-30 09:43:00, 216.6, 216.65, 216.15, 216.5, 20778
2016-09-30 09:44:00, 216.5, 217.15, 216.5, 217.15, 39167
2016-09-30 09:45:00, 217.1, 217.45, 216.7, 216.85, 12949
