Date,Open,High,Low,Close,Volume
2016-09-30 09:15:00, 828.2, 831.35, 822.85, 830.75, 45194
2016-09-30 09:16:00, 830.75, 835.35, 827.1, 833.25, 30255
2016-09-30 09:17:00, 833.3, 837.65, 832.85, 836.9, 24061
2016-09-30 09:18:00, 836.9, 837.35, 834.3, 835, 11888
2016-09-30 09:19:00, 834.9, 835.4, 831.75, 832.5, 7576
2016-09-30 09:20:00, 832.2, 832.65, 824.75, 824.75, 25440
2016-09-30 09:21:00, 824.45, 824.75, 821.1, 821.55, 31717
2016-09-30 09:22:00, 822.35, 822.35, 819, 822, 31913
2016-09-30 09:23:00, 822.05, 823.2, 818.6, 819, 26010
2016-09-30 09:24:00, 819.75, 820.45, 818.1, 820.45, 23839
2016-09-30 09:25:00, 820.4, 821.95, 820, 820, 10638
2016-09-30 09:26:00, 820.35, 825.6, 820.05, 825.55, 14147
2016-09-30 09:28:00, 830.45, 833.45, 828.3, 831.95, 28783
2016-09-30 09:27:00, 825.55, 831.05, 825.45, 831.05, 27428
2016-09-30 09:29:00, 831.95, 833, 830.2, 832.75, 20994
2016-09-30 09:30:00, 832.8, 833.95, 832.1, 832.1, 12815
2016-09-30 09:31:00, 832.1, 832.8, 831.05, 832.75, 7090
2016-09-30 09:32:00, 832.75, 833.85, 832, 833.85, 7473
2016-09-30 09:33:00, 833.85, 838, 832.1, 837.95, 26852
2016-09-30 09:34:00, 837.85, 838.2, 835.55, 837.3, 13540
2016-09-30 09:35:00, 837.85, 840.85, 837.35, 839.9, 19870
2016-09-30 09:36:00, 840, 840.1, 839.5, 840, 17877
2016-09-30 09:37:00, 840, 840.6, 839.05, 839.7, 8888
2016-09-30 09:38:00, 839.95, 841.45, 839.8, 840.7, 10902
2016-09-30 09:39:00, 840.5, 840.7, 839.05, 839.45, 12143
2016-09-30 09:40:00, 839.45, 840.9, 838.5, 839, 12447
2016-09-30 09:41:00, 838.65, 839.95, 835, 835.8, 19731
2016-09-30 09:42:00, 836.05, 837.6, 834.65, 836.05, 16256
2016-09-30 09:43:00, 836.15, 836.6, 835, 835.65, 4767
