Date,Open,High,Low,Close,Volume
2016-09-30 09:15:00, 480, 486.85, 480, 486.25, 853
2016-09-30 09:16:00, 486.2, 488.5, 486, 488, 3410
2016-09-30 09:18:00, 489.7, 489.7, 487.55, 487.55, 3983
2016-09-30 09:17:00, 488.95, 490.2, 488.95, 489.8, 3295
2016-09-30 09:19:00, 486.05, 486.65, 484.65, 485, 4191
2016-09-30 09:20:00, 485, 485.3, 481, 481.9, 6200
2016-09-30 09:21:00, 481.4, 482.8, 479.85, 482.8, 6236
2016-09-30 09:22:00, 483.05, 483.55, 479.25, 482.1, 8295
2016-09-30 09:23:00, 482.75, 483.95, 481.65, 482.6, 2656
2016-09-30 09:24:00, 482.6, 483.8, 482.15, 483.8, 2763
2016-09-30 09:25:00, 484, 484.8, 483.2, 483.9, 497
2016-09-30 09:26:00, 484, 486.2, 483.95, 486.2, 1420
2016-09-30 09:27:00, 486, 486.6, 485.35, 486.6, 821
2016-09-30 09:28:00, 486.8, 490, 486.6, 488.6, 3348
2016-09-30 09:29:00, 488.05, 488.6, 487.55, 488.45, 909
2016-09-30 09:30:00, 488.25, 490.3, 487.8, 488.3, 5174
2016-09-30 09:31:00, 488.3, 489.05, 487.55, 488.4, 3937
2016-09-30 09:32:00, 488.35, 489.05, 488.35, 489.05, 955
2016-09-30 09:33:00, 489.05, 489.55, 489, 489.05, 542
2016-09-30 09:34:00, 489.05, 489.35, 488.75, 489.2, 2147
2016-09-30 09:35:00, 489.2, 490, 489.2, 490, 2811
2016-09-30 09:36:00, 490, 491, 489.4, 489.9, 2407
2016-09-30 09:37:00, 489.9, 490.35, 489.7, 489.7, 1566
2016-09-30 09:38:00, 489.7, 490.5, 489.6, 489.65, 1122
2016-09-30 09:39:00, 489.65, 490.4, 489.5, 490.4, 2842
2016-09-30 09:40:00, 490.4, 490.4, 490, 490, 1649
2016-09-30 09:41:00, 490, 490.85, 489.8, 490.85, 1902
2016-09-30 09:42:00, 490.7, 491, 490.2, 491, 1058
2016-09-30 09:43:00, 491, 491.8, 490.75, 491.8, 1588
