Date,Open,High,Low,Close,Volume
2016-09-30 09:15:00, 865.05, 867.9, 859.65, 867.9, 2064
2016-09-30 09:16:00, 868.7, 873.2, 867.9, 871.9, 2804
2016-09-30 09:17:00, 871.8, 878.35, 871.8, 878.35, 1356
2016-09-30 09:18:00, 878, 879.4, 877.4, 879.2, 1201
2016-09-30 09:19:00, 879.2, 879.2, 875.5, 875.65, 1595
2016-09-30 09:21:00, 868, 871.65, 866.6, 871.65, 1604
2016-09-30 09:20:00, 874.05, 874.6, 867.4, 867.4, 1639
2016-09-30 09:22:00, 871.55, 871.55, 867.2, 867.65, 1741
2016-09-30 09:23:00, 868, 868.8, 865.55, 866.55, 2037
2016-09-30 09:24:00, 867.7, 869, 865.6, 866.1, 1456
2016-09-30 09:26:00, 864.85, 869.2, 864, 868.9, 1957
2016-09-30 09:25:00, 868.1, 870.1, 864.05, 865.15, 5565
2016-09-30 09:27:00, 868.9, 870, 867.95, 868.5, 845
2016-09-30 09:28:00, 868.75, 870.4, 867.4, 867.9, 1639
2016-09-30 09:29:00, 867.95, 872.5, 866.5, 871.15, 1378
2016-09-30 09:30:00, 871.15, 873, 870.05, 871, 2905
2016-09-30 09:31:00, 871, 871, 868.75, 870.95, 416
2016-09-30 09:32:00, 870.95, 871.3, 869.7, 870.3, 490
2016-09-30 09:33:00, 870.3, 872, 870.3, 871.45, 1582
2016-09-30 09:34:00, 871.45, 872.4, 871.35, 871.95, 290
2016-09-30 09:35:00, 871.95, 874.2, 871.95, 873.75, 1128
2016-09-30 09:36:00, 873.75, 875, 873.75, 874.7, 966
2016-09-30 09:38:00, 873, 875.8, 873, 875.2, 1361
2016-09-30 09:37:00, 874.7, 875.5, 873, 873, 3311
2016-09-30 09:39:00, 875.2, 875.2, 874.15, 874.85, 201
2016-09-30 09:40:00, 874.85, 875.95, 873.05, 873.05, 1148
2016-09-30 09:41:00, 874.15, 874.5, 872, 872, 723
2016-09-30 09:42:00, 872, 873, 872, 873, 194
2016-09-30 09:43:00, 872.55, 872.6, 871.9, 872.6, 204
2016-09-30 09:44:00, 873, 874, 872.25, 874, 354
2016-09-30 09:45:00, 873.5, 874.15, 872.5, 874.15, 632
2016-09-30 09:46:00, 874.15, 876, 874.15, 876, 890
2016-09-30 09:47:00, 876, 879, 876, 878.15, 1320
2016-09-30 09:48:00, 876.7, 878, 875.1, 875.1, 913
2016-09-30 09:49:00, 875.1, 875.9, 874.2, 874.2, 1363
2016-09-30 09:50:00, 874.2, 875, 874.2, 874.8, 246
2016-09-30 09:51:00, 874.8, 875, 874.3, 874.5, 257
2016-09-30 09:52:00, 874.5, 875.4, 873.35, 873.35, 1140
2016-09-30 09:53:00, 873.85, 873.85, 871.55, 871.55, 629
2016-09-30 09:54:00, 871.55, 871.7, 869, 869, 4369
2016-09-30 09:55:00, 869.85, 874.05, 869.85, 873, 2033
2016-09-30 09:56:00, 873, 873, 871.55, 871.55, 324
2016-09-30 09:57:00, 871.55, 873.9, 870.5, 870.5, 482
2016-09-30 09:58:00, 871, 872.6, 871, 871.1, 273
2016-09-30 09:59:00, 871.1, 873, 870.25, 872.05, 167
2016-09-30 10:00:00, 872.05, 872.05, 872.05, 872.05, 0
2016-09-30 10:01:00, 871, 872, 870.05, 872, 215
2016-09-30 10:02:00, 872, 872, 870.25, 870.85, 285
2016-09-30 10:03:00, 870.85, 871.35, 868, 868.05, 2344
2016-09-30 10:04:00, 869.7, 869.7, 868, 868.8, 597
2016-09-30 10:05:00, 868.8, 871.65, 867.5, 871.5, 700
2016-09-30 10:06:00, 871.5, 873.35, 871, 872, 222
2016-09-30 10:07:00, 872, 872.7, 871, 871, 314
2016-09-30 10:08:00, 871, 872.4, 870.55, 871.25, 196
2016-09-30 10:09:00, 871.25, 872.15, 871.25, 872.1, 275
2016-09-30 10:10:00, 872.1, 872.1, 871.15, 871.75, 90
2016-09-30 10:11:00, 871.75, 871.75, 868.35, 868.95, 422
2016-09-30 10:12:00, 868.95, 870.25, 868.35, 870, 81
2016-09-30 10:13:00, 870, 870, 869.1, 869.1, 30
2016-09-30 10:14:00, 869.1, 869.75, 869.1, 869.75, 2
2016-09-30 10:15:00, 869.75, 869.95, 869, 869.85, 157
2016-09-30 10:16:00, 869.85, 871, 867.5, 871, 2108
2016-09-30 10:17:00, 871, 871, 869, 869, 434
2016-09-30 10:18:00, 869.2, 872.1, 869.2, 871.8, 736
2016-09-30 10:19:00, 871.8, 874.8, 871.2, 873.6, 1249
2016-09-30 10:20:00, 873.6, 874.4, 872.5, 873.85, 414
2016-09-30 10:21:00, 873.85, 875, 873.15, 874.85, 417
2016-09-30 10:22:00, 874.85, 875.4, 873.9, 875.1, 181
2016-09-30 10:23:00, 875.1, 876.5, 875.05, 876.05, 1146
2016-09-30 10:24:00, 876.05, 876.05, 875, 875, 234
2016-09-30 10:25:00, 874, 875.4, 873.8, 875.4, 608
2016-09-30 10:26:00, 875.4, 875.45, 874.3, 874.3, 252
2016-09-30 10:27:00, 874.3, 875.45, 874.3, 875.4, 75
2016-09-30 10:28:00, 875.4, 876.05, 874, 876.05, 966
2016-09-30 10:29:00, 876.05, 877, 875.6, 876, 1139
2016-09-30 10:30:00, 876.05, 877.25, 876.05, 877.25, 232
2016-09-30 10:31:00, 877.25, 877.4, 877.1, 877.1, 125
2016-09-30 10:32:00, 877.1, 877.1, 876.9, 876.9, 61
2016-09-30 10:33:00, 876.9, 876.9, 875.7, 876.4, 652
2016-09-30 10:34:00, 876.4, 876.5, 875.6, 876.3, 326
2016-09-30 10:35:00, 876.3, 876.3, 875.55, 876.3, 113
2016-09-30 10:36:00, 876.3, 876.3, 875.6, 875.6, 51
2016-09-30 10:37:00, 875.6, 875.9, 875.6, 875.9, 171
2016-09-30 10:38:00, 875.9, 876.4, 873.55, 873.55, 1389
2016-09-30 10:39:00, 873.55, 874.3, 873.55, 874.25, 169
2016-09-30 10:40:00, 874.25, 876, 873.6, 876, 681
2016-09-30 10:41:00, 876, 876, 875.9, 875.9, 156
2016-09-30 10:42:00, 875.9, 875.9, 875.5, 875.85, 191
2016-09-30 10:43:00, 875.85, 875.85, 875.25, 875.85, 61
2016-09-30 10:44:00, 875.85, 875.85, 874.35, 874.35, 144
2016-09-30 10:45:00, 874.35, 874.35, 873.9, 873.9, 71
2016-09-30 10:46:00, 873.7, 873.7, 870.8, 871.7, 725
2016-09-30 10:47:00, 871.7, 872.15, 871.7, 872, 112
2016-09-30 10:48:00, 872, 872.4, 871.05, 871.5, 281
2016-09-30 10:49:00, 871.5, 871.5, 871, 871.35, 422
2016-09-30 10:50:00, 871.35, 871.35, 870, 870.55, 883
2016-09-30 10:51:00, 870.55, 871.15, 870, 870, 122
2016-09-30 10:52:00, 870, 870.5, 870, 870.1, 105
2016-09-30 10:53:00, 870.1, 873.4, 870.1, 872.8, 413
2016-09-30 10:54:00, 872.45, 872.95, 871.65, 872.35, 101
2016-09-30 10:55:00, 872.35, 873.35, 872.35, 872.8, 126
2016-09-30 10:56:00, 872.8, 872.8, 870.75, 871.45, 407
2016-09-30 10:57:00, 871.25, 871.25, 870.6, 871.25, 187
2016-09-30 10:58:00, 871.25, 871.5, 870.4, 871.5, 324
2016-09-30 10:59:00, 871.5, 872.7, 871.5, 872.5, 88
2016-09-30 11:00:00, 872.5, 872.85, 872.5, 872.5, 193
2016-09-30 11:01:00, 872.5, 872.8, 871.65, 871.65, 77
2016-09-30 11:02:00, 871.65, 872, 871.65, 871.85, 278
2016-09-30 11:03:00, 871.85, 871.9, 871.2, 871.9, 15
2016-09-30 11:04:00, 871.9, 872.45, 871.25, 872.45, 250
2016-09-30 11:05:00, 872.45, 873, 871.6, 871.6, 543
2016-09-30 11:06:00, 871.6, 871.9, 871.4, 871.9, 120
2016-09-30 11:07:00, 871.9, 872.4, 871.9, 872.35, 78
2016-09-30 11:08:00, 872.35, 872.35, 871.5, 871.95, 109
2016-09-30 11:09:00, 872.4, 872.4, 871.95, 872.4, 110
2016-09-30 11:10:00, 872.4, 872.4, 871.25, 871.95, 160
2016-09-30 11:11:00, 871.95, 871.95, 871.8, 871.8, 8
2016-09-30 11:12:00, 871.8, 872.95, 871.8, 872.95, 96
2016-09-30 11:13:00, 872.1, 872.95, 872.1, 872.95, 102
2016-09-30 11:14:00, 872.95, 872.95, 871.8, 872.4, 330
2016-09-30 11:15:00, 872, 872, 871.35, 871.9, 51
2016-09-30 11:16:00, 871.9, 872, 871.35, 871.35, 335
2016-09-30 11:17:00, 871.35, 871.85, 870, 870.05, 1021
2016-09-30 11:18:00, 870.05, 870.75, 870, 870, 738
2016-09-30 11:19:00, 870, 870.45, 870, 870.45, 230
2016-09-30 11:20:00, 870.45, 871.05, 870.45, 871.05, 5
2016-09-30 11:21:00, 871.05, 871.05, 870, 870, 21
2016-09-30 11:22:00, 870, 870.55, 870, 870.55, 75
2016-09-30 11:23:00, 870.55, 870.55, 870, 870.35, 471
2016-09-30 11:24:00, 870.35, 870.35, 870.15, 870.3, 77
2016-09-30 11:25:00, 870, 870.9, 870, 870.55, 597
2016-09-30 11:26:00, 870.55, 870.7, 870, 870, 413
2016-09-30 11:27:00, 870, 870.4, 870, 870.4, 126
2016-09-30 11:28:00, 870.4, 871, 870.1, 870.4, 150
2016-09-30 11:29:00, 870.4, 871, 870.4, 871, 120
2016-09-30 11:30:00, 871, 871, 869.75, 869.75, 2542
2016-09-30 11:31:00, 869.8, 870.5, 869.8, 870, 1232
2016-09-30 11:32:00, 870, 870.5, 870, 870.5, 87
2016-09-30 11:33:00, 870.5, 870.95, 870.5, 870.95, 142
2016-09-30 11:34:00, 870.55, 870.95, 870.55, 870.95, 132
2016-09-30 11:35:00, 870.85, 871.1, 870, 871.1, 920
2016-09-30 11:36:00, 871.1, 871.6, 871.1, 871.6, 422
2016-09-30 11:37:00, 871.6, 871.6, 871.55, 871.55, 106
2016-09-30 11:38:00, 871.55, 871.55, 871, 871, 33
2016-09-30 11:39:00, 871, 871, 870.15, 870.2, 112
2016-09-30 11:40:00, 870.2, 871, 870.2, 871, 204
2016-09-30 11:41:00, 870.3, 871.75, 870, 871.15, 912
2016-09-30 11:42:00, 871.15, 871.15, 870, 870.15, 309
2016-09-30 11:43:00, 870.15, 870.8, 870, 870.8, 127
2016-09-30 11:44:00, 870.8, 870.8, 870.1, 870.1, 1
2016-09-30 11:45:00, 870.1, 870.75, 870.1, 870.75, 57
2016-09-30 11:46:00, 870.75, 870.75, 870.05, 870.05, 94
2016-09-30 11:47:00, 870.05, 870.75, 870.05, 870.75, 85
2016-09-30 11:48:00, 870.75, 871.5, 870.75, 871.5, 23
2016-09-30 11:49:00, 871.5, 871.5, 871.05, 871.05, 20
2016-09-30 11:50:00, 871.05, 872.1, 871.05, 872.1, 215
2016-09-30 11:51:00, 872.95, 872.95, 872.95, 872.95, 70
2016-09-30 11:52:00, 872.95, 873.5, 872.8, 873.5, 888
2016-09-30 11:53:00, 873.15, 873.85, 872.35, 872.85, 1236
2016-09-30 11:54:00, 872.85, 872.85, 872, 872, 30
2016-09-30 11:55:00, 872, 872, 872, 872, 0
2016-09-30 11:56:00, 872.05, 872.05, 872.05, 872.05, 21
