Date,Open,High,Low,Close,Volume
2016-09-30 09:15:00, 920.5, 938.45, 920.5, 928, 8804
2016-09-30 09:16:00, 928, 928.45, 925, 928.45, 4177
2016-09-30 09:17:00, 928.45, 931.55, 928, 931, 5060
2016-09-30 09:19:00, 931.85, 931.85, 929.65, 929.65, 3645
2016-09-30 09:18:00, 931.55, 933.75, 931.55, 931.85, 3237
2016-09-30 09:20:00, 929, 929.05, 921, 921, 5433
2016-09-30 09:21:00, 921.5, 924.95, 920.05, 924.7, 6072
2016-09-30 09:22:00, 924.7, 924.7, 920.05, 921.6, 3237
2016-09-30 09:24:00, 923, 923.95, 919.05, 923.15, 6213
2016-09-30 09:23:00, 921.6, 924, 920.9, 923, 3549
2016-09-30 09:25:00, 923.15, 923.9, 920.2, 920.7, 1868
2016-09-30 09:26:00, 920.7, 924.95, 920.65, 924.8, 1594
2016-09-30 09:27:00, 925, 925.5, 923.75, 924.85, 3338
2016-09-30 09:28:00, 924.55, 927.9, 924.55, 925.4, 4959
2016-09-30 09:29:00, 925.4, 927.7, 925, 927.1, 3683
2016-09-30 09:30:00, 927.1, 929.6, 925.2, 928.35, 5985
2016-09-30 09:31:00, 927.95, 928, 925.55, 927.3, 2561
2016-09-30 09:32:00, 927.3, 930.4, 927.3, 928, 4876
2016-09-30 09:34:00, 932.6, 933, 923.5, 924.95, 24753
2016-09-30 09:33:00, 928, 932.45, 927.55, 932.3, 10452
2016-09-30 09:35:00, 924.95, 927, 923.15, 924.15, 12802
2016-09-30 09:36:00, 924.15, 924.2, 922.1, 923.45, 5924
2016-09-30 09:37:00, 923.45, 925.1, 922.5, 923.2, 5575
2016-09-30 09:39:00, 923.1, 923.75, 921.5, 921.85, 5303
2016-09-30 09:38:00, 923.2, 924.3, 922.9, 923.1, 4384
2016-09-30 09:40:00, 921, 923, 920.4, 922.7, 6754
2016-09-30 09:41:00, 922.65, 923.5, 922.55, 923.5, 4232
2016-09-30 09:42:00, 923, 925.8, 923, 925, 3974
2016-09-30 09:43:00, 925.3, 926.35, 924.25, 926.3, 2304
2016-09-30 09:44:00, 925.05, 928, 925, 927.85, 3068
2016-09-30 09:45:00, 927.85, 928.9, 927.6, 928.4, 4804
2016-09-30 09:46:00, 928.45, 929.2, 927.05, 929.2, 6117
2016-09-30 09:47:00, 929.2, 929.7, 928.3, 928.3, 3197
2016-09-30 09:48:00, 928.35, 929.85, 927.6, 928.7, 4082
2016-09-30 09:49:00, 928.7, 929.55, 928.1, 928.65, 1544
2016-09-30 09:50:00, 928.65, 929, 927.95, 928.95, 1664
2016-09-30 09:51:00, 928.95, 928.95, 927.45, 928, 1301
2016-09-30 09:52:00, 928, 928.9, 927.45, 927.45, 1887
2016-09-30 09:53:00, 927.45, 927.9, 926.1, 926.1, 3159
2016-09-30 09:54:00, 926.05, 926.7, 925.1, 926.3, 2059
2016-09-30 09:55:00, 926.3, 927.15, 926.3, 926.3, 750
2016-09-30 09:56:00, 926.3, 927.1, 926.3, 926.3, 546
2016-09-30 09:57:00, 926.3, 927.85, 925.75, 926.35, 1512
2016-09-30 09:58:00, 926.35, 926.55, 924.9, 925, 6315
2016-09-30 09:59:00, 925, 925, 922.95, 923.2, 5711
2016-09-30 10:00:00, 923.2, 923.45, 922.65, 922.75, 732
2016-09-30 10:01:00, 922.75, 924.6, 922.05, 923.85, 1831
2016-09-30 10:02:00, 923.85, 923.85, 916.55, 917.5, 22266
2016-09-30 10:03:00, 917.5, 919.65, 914.4, 917.95, 10133
2016-09-30 10:04:00, 917.95, 919.15, 917.05, 918.7, 2725
2016-09-30 10:05:00, 919, 921.1, 919, 920.1, 6824
2016-09-30 10:06:00, 920.1, 921.9, 920, 921.5, 6531
2016-09-30 10:07:00, 921.5, 921.6, 919.55, 920.55, 11782
2016-09-30 10:08:00, 920, 921.05, 919.35, 921.05, 1547
2016-09-30 10:09:00, 921.05, 921.6, 920.25, 920.25, 2214
2016-09-30 10:10:00, 920.25, 921.8, 919.1, 920.85, 1459
2016-09-30 10:11:00, 920.85, 921, 919.5, 920.4, 311
2016-09-30 10:12:00, 920.4, 920.4, 919, 919.8, 1136
2016-09-30 10:13:00, 919.8, 920.6, 919.8, 920.15, 209
2016-09-30 10:14:00, 920.15, 920.75, 917, 917.95, 2479
2016-09-30 10:15:00, 917.95, 918.9, 917.95, 918.9, 759
2016-09-30 10:16:00, 918.9, 920, 918.2, 919.45, 1259
2016-09-30 10:17:00, 919.45, 920.85, 919.25, 919.3, 1707
2016-09-30 10:18:00, 919.3, 921.45, 919.3, 919.35, 1815
2016-09-30 10:19:00, 919.35, 921.5, 919.35, 921.45, 943
2016-09-30 10:20:00, 921.45, 921.45, 919.75, 920.45, 575
2016-09-30 10:21:00, 920.45, 921.2, 920.45, 920.65, 663
2016-09-30 10:22:00, 920.65, 921, 920.2, 921, 1170
2016-09-30 10:23:00, 921, 921.45, 920.6, 920.75, 490
2016-09-30 10:24:00, 920.75, 922.8, 920.75, 922.5, 1966
2016-09-30 10:25:00, 922.5, 923.55, 922.35, 923.5, 1405
2016-09-30 10:26:00, 923.5, 923.9, 923.1, 923.9, 991
2016-09-30 10:27:00, 923.9, 924.75, 923.9, 924.45, 2212
2016-09-30 10:28:00, 924.45, 924.75, 923.5, 924.75, 1005
2016-09-30 10:29:00, 924.75, 925.8, 924.35, 925.8, 4740
2016-09-30 10:30:00, 925.8, 926.9, 925.2, 926.35, 1385
2016-09-30 10:31:00, 926.35, 927, 925.8, 926.25, 4118
2016-09-30 10:32:00, 926.25, 926.5, 924.6, 924.6, 1366
2016-09-30 10:33:00, 924.6, 924.6, 924.1, 924.2, 346
2016-09-30 10:34:00, 924.75, 924.75, 924.2, 924.7, 352
2016-09-30 10:35:00, 924.7, 926.5, 924.3, 926.5, 1209
2016-09-30 10:36:00, 926.5, 927, 924.6, 924.85, 1579
2016-09-30 10:37:00, 924.85, 926.3, 924.85, 926.2, 722
2016-09-30 10:38:00, 926.4, 926.95, 926.3, 926.5, 585
2016-09-30 10:39:00, 926.5, 927.85, 926.5, 927.4, 2359
2016-09-30 10:40:00, 927.4, 927.4, 926.4, 926.5, 960
2016-09-30 10:41:00, 926.5, 927.5, 926.45, 926.95, 1322
2016-09-30 10:42:00, 926.95, 926.95, 926.1, 926.15, 314
2016-09-30 10:43:00, 926.15, 926.4, 924.85, 926.4, 493
2016-09-30 10:44:00, 926.4, 926.5, 925, 925, 636
2016-09-30 10:45:00, 925, 925, 922.85, 923.85, 1450
2016-09-30 10:46:00, 923.9, 923.95, 922.05, 922.4, 1596
2016-09-30 10:47:00, 922.4, 922.4, 920.9, 922.35, 1816
2016-09-30 10:48:00, 922.35, 922.4, 920.9, 921.4, 1558
2016-09-30 10:49:00, 921.4, 921.45, 919.05, 919.05, 3723
2016-09-30 10:50:00, 919.2, 922.2, 919.05, 921.55, 1497
2016-09-30 10:51:00, 921.55, 921.8, 921.1, 921.1, 553
2016-09-30 10:52:00, 921.35, 922, 921.1, 921.95, 376
2016-09-30 10:53:00, 921.95, 923.35, 921.3, 921.3, 1106
2016-09-30 10:54:00, 921.3, 922.5, 921.3, 921.8, 227
2016-09-30 10:55:00, 921.8, 921.9, 921.5, 921.75, 192
2016-09-30 10:56:00, 921.75, 921.9, 921.15, 921.6, 278
2016-09-30 10:57:00, 921.6, 921.8, 920.5, 921.8, 646
2016-09-30 10:58:00, 921.8, 921.8, 921.05, 921.05, 66
2016-09-30 10:59:00, 921.05, 922.55, 919.05, 920.05, 3871
2016-09-30 11:00:00, 920.05, 920.75, 920.05, 920.15, 486
2016-09-30 11:01:00, 920.15, 921.15, 920.15, 921.15, 370
2016-09-30 11:02:00, 921.15, 922, 921.15, 921.5, 136
2016-09-30 11:03:00, 921.5, 921.5, 921.3, 921.3, 252
2016-09-30 11:04:00, 921.3, 922.5, 921.3, 922.5, 291
2016-09-30 11:05:00, 922.5, 922.5, 920.6, 921, 884
2016-09-30 11:06:00, 921, 922.2, 920.95, 922.2, 1361
2016-09-30 11:07:00, 922.2, 922.55, 921.3, 921.3, 105
2016-09-30 11:08:00, 921.3, 921.9, 920.95, 921.05, 235
2016-09-30 11:09:00, 921.05, 921.75, 921.05, 921.6, 153
2016-09-30 11:10:00, 921.6, 921.6, 921.05, 921.6, 303
2016-09-30 11:11:00, 921.6, 921.6, 920.8, 920.8, 1390
2016-09-30 11:12:00, 920.8, 920.9, 920.6, 920.6, 592
2016-09-30 11:13:00, 920.6, 921.55, 920, 921.45, 2162
2016-09-30 11:14:00, 921.45, 922.45, 921.45, 922.4, 2071
2016-09-30 11:15:00, 922.4, 923.35, 922.35, 923.35, 3622
2016-09-30 11:16:00, 923.35, 923.35, 922.85, 923, 3248
2016-09-30 11:17:00, 923, 923, 922.55, 923, 465
2016-09-30 11:18:00, 923, 923, 922.55, 922.95, 419
2016-09-30 11:19:00, 922.95, 922.95, 922, 922.45, 674
2016-09-30 11:20:00, 922.45, 922.9, 922.4, 922.4, 695
2016-09-30 11:21:00, 922.4, 922.4, 922.05, 922.05, 25
2016-09-30 11:22:00, 922.05, 922.6, 922.05, 922.6, 127
2016-09-30 11:23:00, 922.6, 922.6, 922, 922.05, 1079
2016-09-30 11:24:00, 922.05, 922.05, 921.55, 921.75, 25
2016-09-30 11:25:00, 921.75, 922.05, 921.75, 921.75, 254
2016-09-30 11:26:00, 921.6, 921.6, 920.6, 921.2, 942
2016-09-30 11:27:00, 921.2, 921.3, 920.6, 921.2, 177
2016-09-30 11:28:00, 921.2, 921.9, 921.2, 921.7, 264
2016-09-30 11:29:00, 921.7, 922, 921.7, 921.95, 172
2016-09-30 11:30:00, 921.95, 921.95, 921.75, 921.75, 577
2016-09-30 11:31:00, 921.75, 921.8, 921, 921.1, 432
2016-09-30 11:32:00, 921.1, 921.3, 921, 921.25, 135
2016-09-30 11:33:00, 921.25, 921.25, 920.1, 920.6, 453
