Date,Open,High,Low,Close,Volume
2016-09-30 09:16:00, 299.25, 300.15, 299.15, 300.15, 40359
2016-09-30 09:15:00, 296.3, 299.4, 295.5, 299.25, 43138
2016-09-30 09:17:00, 300.25, 301.75, 300.1, 301.5, 70792
2016-09-30 09:18:00, 301.5, 301.6, 300.7, 300.95, 32025
2016-09-30 09:19:00, 300.65, 301.2, 299.9, 300, 42898
2016-09-30 09:20:00, 300, 300, 297.05, 297.2, 61279
2016-09-30 09:21:00, 297.15, 297.95, 296, 297.95, 67966
2016-09-30 09:22:00, 297.75, 298.45, 296.35, 298.45, 67113
2016-09-30 09:23:00, 298.45, 299.1, 298.15, 298.6, 28451
2016-09-30 09:24:00, 298.6, 298.65, 297.55, 298.4, 20412
2016-09-30 09:26:00, 298.05, 299.7, 297.65, 299.6, 50086
2016-09-30 09:25:00, 298.4, 298.9, 297.85, 297.85, 24353
2016-09-30 09:27:00, 299.6, 300.8, 299.5, 300.8, 38768
2016-09-30 09:28:00, 300.75, 301.7, 300.35, 300.9, 74499
2016-09-30 09:29:00, 300.85, 301.4, 300.25, 300.9, 38215
2016-09-30 09:30:00, 301, 302.35, 300.95, 301.55, 59253
2016-09-30 09:31:00, 301.5, 302.15, 301.35, 301.7, 30449
2016-09-30 09:32:00, 302.05, 302.55, 301.8, 302.2, 27569
2016-09-30 09:33:00, 302.45, 302.65, 302, 302.2, 30950
2016-09-30 09:35:00, 303.3, 303.75, 303, 303.65, 61163
2016-09-30 09:34:00, 302.2, 303.3, 302.2, 303.3, 42405
2016-09-30 09:36:00, 303.65, 304.35, 303.55, 304.25, 34501
2016-09-30 09:37:00, 304.15, 304.25, 303.7, 303.9, 31898
2016-09-30 09:38:00, 303.9, 304.8, 303.9, 304.4, 25979
2016-09-30 09:39:00, 304.35, 304.35, 303.45, 303.55, 21041
2016-09-30 09:40:00, 303.55, 304.5, 303.4, 303.95, 26337
2016-09-30 09:41:00, 304.05, 304.3, 303.5, 303.7, 19345
2016-09-30 09:42:00, 303.8, 304.3, 303.6, 304.15, 16853
2016-09-30 09:43:00, 304.15, 304.3, 303.5, 304.05, 12349
2016-09-30 09:44:00, 304.15, 304.7, 303.9, 304.7, 23663
2016-09-30 09:45:00, 304.7, 305, 304.2, 304.7, 29381
2016-09-30 09:46:00, 304.8, 304.85, 304.05, 304.05, 17002
2016-09-30 09:47:00, 304.2, 305.25, 304.2, 305.05, 42240
2016-09-30 09:48:00, 304.9, 305.2, 304.5, 305.15, 28790
2016-09-30 09:49:00, 305.1, 305.2, 304.8, 304.95, 17694
2016-09-30 09:50:00, 304.95, 305, 304.7, 304.75, 12638
2016-09-30 09:51:00, 304.75, 304.9, 304.2, 304.2, 17767
2016-09-30 09:52:00, 304.4, 304.8, 304.1, 304.2, 20426
