Date,Open,High,Low,Close,Volume
2016-09-30 09:15:00, 326.15, 327.95, 326.15, 327.3, 15352
2016-09-30 09:16:00, 327.2, 327.85, 327.15, 327.4, 10076
2016-09-30 09:17:00, 327.45, 328.6, 327.45, 328.1, 18620
2016-09-30 09:18:00, 327.85, 328.15, 327.05, 327.05, 8495
2016-09-30 09:20:00, 326.7, 326.7, 326.05, 326.2, 15483
2016-09-30 09:21:00, 326.25, 326.25, 325.55, 326.2, 23195
2016-09-30 09:19:00, 327, 327, 326.4, 326.7, 15117
2016-09-30 09:22:00, 326.45, 326.45, 325.2, 326.25, 17884
2016-09-30 09:23:00, 326.3, 326.6, 326.25, 326.4, 4837
2016-09-30 09:25:00, 326.45, 326.5, 325.35, 325.5, 10171
2016-09-30 09:26:00, 325.5, 325.5, 325.1, 325.5, 15844
2016-09-30 09:24:00, 326.4, 326.45, 326, 326.45, 4274
2016-09-30 09:27:00, 325.5, 325.75, 325.35, 325.4, 5087
2016-09-30 09:28:00, 325.4, 325.4, 324.5, 324.9, 23114
2016-09-30 09:29:00, 324.9, 324.9, 324.5, 324.75, 18002
2016-09-30 09:31:00, 324.85, 324.85, 324.4, 324.45, 8423
2016-09-30 09:30:00, 324.75, 325.3, 324.75, 324.95, 7629
2016-09-30 09:32:00, 324.45, 324.5, 324.15, 324.15, 14408
2016-09-30 09:33:00, 324.2, 324.2, 324, 324, 4530
2016-09-30 09:34:00, 324.05, 324.05, 324, 324.05, 4106
2016-09-30 09:35:00, 324.05, 324.2, 324, 324.2, 3683
2016-09-30 09:36:00, 324.2, 324.5, 324.15, 324.45, 2030
2016-09-30 09:37:00, 324.4, 324.6, 324.4, 324.4, 4280
2016-09-30 09:38:00, 324.6, 324.6, 324.45, 324.6, 4959
2016-09-30 09:39:00, 324.6, 324.75, 324.55, 324.65, 3954
2016-09-30 09:40:00, 324.7, 324.85, 324.6, 324.75, 5122
2016-09-30 09:41:00, 324.8, 325.1, 324.65, 324.65, 4325
2016-09-30 09:42:00, 324.5, 324.8, 324.5, 324.8, 5598
2016-09-30 09:43:00, 324.85, 324.85, 324.75, 324.85, 2455
2016-09-30 09:44:00, 324.85, 325.1, 324.8, 325, 5740
2016-09-30 09:45:00, 325, 325.15, 325, 325.15, 4056
2016-09-30 09:46:00, 325.2, 325.2, 324.95, 324.95, 3542
2016-09-30 09:47:00, 325, 325.1, 324.95, 325.1, 5047
2016-09-30 09:48:00, 325.1, 325.1, 324.6, 324.75, 7478
2016-09-30 09:49:00, 324.75, 324.75, 324.5, 324.5, 4864
2016-09-30 09:50:00, 324.5, 324.65, 324.5, 324.6, 2142
2016-09-30 09:51:00, 324.65, 324.65, 324.55, 324.55, 1978
2016-09-30 09:52:00, 324.55, 324.65, 324.5, 324.6, 4911
2016-09-30 09:53:00, 324.6, 324.75, 324.5, 324.7, 5714
2016-09-30 09:54:00, 324.7, 324.7, 324.5, 324.5, 1626
2016-09-30 09:55:00, 324.55, 324.6, 324.45, 324.55, 2696
2016-09-30 09:56:00, 324.55, 324.55, 324.45, 324.5, 2457
2016-09-30 09:57:00, 324.5, 324.55, 324.25, 324.25, 4238
2016-09-30 09:58:00, 324.25, 324.4, 324.25, 324.35, 3817
2016-09-30 09:59:00, 324.35, 324.45, 324.35, 324.4, 2342
2016-09-30 10:00:00, 324.4, 324.55, 324.4, 324.4, 3081
2016-09-30 10:01:00, 324.4, 324.45, 324.3, 324.3, 4696
2016-09-30 10:02:00, 324.25, 324.3, 324.1, 324.1, 10777
2016-09-30 10:03:00, 324.1, 324.15, 324, 324.05, 8452
2016-09-30 10:04:00, 324.05, 324.05, 323.8, 323.85, 9633
2016-09-30 10:05:00, 323.85, 323.95, 323.8, 323.8, 5603
2016-09-30 10:06:00, 323.8, 324, 323.8, 323.9, 3421
