Date,Open,High,Low,Close,Volume
2016-09-30 09:15:00, 975, 980, 972.15, 974.85, 2656
2016-09-30 09:16:00, 974.85, 974.85, 973.65, 974, 2467
2016-09-30 09:17:00, 974, 974, 971.6, 972, 1805
2016-09-30 09:18:00, 972, 972.35, 972, 972, 1131
2016-09-30 09:19:00, 972, 972, 970.45, 970.6, 371
2016-09-30 09:20:00, 970.6, 971.6, 968.1, 970.4, 2646
2016-09-30 09:21:00, 968.7, 968.85, 964.25, 964.35, 1109
2016-09-30 09:22:00, 964.35, 964.35, 960.05, 961.5, 3270
2016-09-30 09:24:00, 962, 962.45, 960.75, 961.7, 1507
2016-09-30 09:23:00, 961.1, 963.95, 961.1, 962.8, 598
2016-09-30 09:26:00, 963, 965.8, 963, 965.8, 743
2016-09-30 09:25:00, 961.6, 963, 961.5, 963, 853
2016-09-30 09:27:00, 965.8, 967, 964.25, 966, 1563
2016-09-30 09:28:00, 966, 967.8, 966, 967.8, 204
2016-09-30 09:29:00, 967.8, 968.8, 967.8, 968.65, 591
2016-09-30 09:30:00, 968.65, 968.65, 965.25, 965.25, 379
2016-09-30 09:31:00, 965.25, 966.35, 965.15, 966.35, 354
2016-09-30 09:32:00, 966.35, 966.75, 965.9, 966.75, 858
2016-09-30 09:33:00, 966.75, 966.75, 965.7, 965.75, 159
2016-09-30 09:34:00, 965.75, 965.75, 965.2, 965.25, 348
2016-09-30 09:35:00, 965.25, 965.5, 964.95, 965.45, 766
2016-09-30 09:36:00, 965.45, 966.2, 965.45, 966.2, 486
2016-09-30 09:37:00, 966.25, 966.75, 966.25, 966.75, 163
2016-09-30 09:38:00, 966.75, 967, 966.3, 966.95, 584
2016-09-30 09:39:00, 966.95, 968.1, 966.95, 967.7, 841
2016-09-30 09:40:00, 967.7, 968.4, 967.55, 967.55, 196
2016-09-30 09:41:00, 967.55, 967.8, 967.55, 967.8, 173
2016-09-30 09:42:00, 967.8, 968.5, 967.7, 967.75, 159
2016-09-30 09:43:00, 967.75, 967.75, 966.2, 966.35, 762
2016-09-30 09:44:00, 966.95, 966.95, 966.95, 966.95, 9
2016-09-30 09:45:00, 966.95, 967.35, 966.95, 967.35, 84
2016-09-30 09:46:00, 967.35, 968.05, 967.35, 968.05, 230
2016-09-30 09:47:00, 968.05, 968.1, 967.35, 967.55, 199
2016-09-30 09:48:00, 967.55, 968.05, 967.55, 968.05, 63
2016-09-30 09:49:00, 968.05, 968.2, 967.65, 967.75, 235
2016-09-30 09:50:00, 967.75, 970.55, 967.7, 970.55, 2252
2016-09-30 09:51:00, 970.55, 970.75, 970.35, 970.75, 179
2016-09-30 09:52:00, 970.55, 970.95, 970.4, 970.8, 519
2016-09-30 09:53:00, 970.8, 971, 970.05, 970.05, 271
2016-09-30 09:54:00, 970.05, 970.05, 969.6, 970, 192
2016-09-30 09:55:00, 970, 970, 969.65, 969.65, 194
2016-09-30 09:56:00, 969.65, 970, 969.65, 970, 179
2016-09-30 09:57:00, 970, 970, 969.15, 969.15, 270
2016-09-30 09:58:00, 969.15, 970, 969.15, 969.95, 128
2016-09-30 09:59:00, 969.95, 969.95, 968.2, 968.85, 1446
2016-09-30 10:00:00, 968.85, 969.15, 968.5, 968.95, 108
2016-09-30 10:01:00, 968.95, 968.95, 967.45, 967.45, 984
2016-09-30 10:02:00, 967.45, 968.9, 967.45, 968.45, 162
2016-09-30 10:03:00, 968.45, 968.45, 965.05, 965.05, 717
2016-09-30 10:04:00, 965.1, 965.1, 965, 965, 565
2016-09-30 10:05:00, 965, 965, 964.2, 965, 341
2016-09-30 10:06:00, 965, 965.15, 965, 965.15, 190
2016-09-30 10:07:00, 965.15, 967.9, 965.15, 967, 1005
2016-09-30 10:08:00, 967, 967, 967, 967, 176
2016-09-30 10:09:00, 967, 967.45, 967, 967.45, 102
2016-09-30 10:10:00, 967.45, 967.6, 967.45, 967.45, 358
2016-09-30 10:11:00, 967.45, 967.75, 967, 967, 377
2016-09-30 10:12:00, 967, 967, 966.65, 967, 50
2016-09-30 10:13:00, 966.65, 966.65, 966, 966, 583
2016-09-30 10:14:00, 966, 966, 964.9, 965.25, 266
2016-09-30 10:15:00, 965.25, 965.6, 965.25, 965.6, 188
2016-09-30 10:16:00, 966, 966.8, 966, 966.25, 197
2016-09-30 10:17:00, 966.25, 966.25, 965.8, 965.8, 164
2016-09-30 10:18:00, 965.8, 965.95, 965.6, 965.95, 74
2016-09-30 10:19:00, 965.95, 966.8, 965.85, 966.75, 380
2016-09-30 10:20:00, 966.75, 966.75, 965.85, 965.85, 260
2016-09-30 10:21:00, 965.85, 965.9, 965.55, 965.9, 88
2016-09-30 10:22:00, 965.55, 965.95, 965.55, 965.95, 140
2016-09-30 10:23:00, 965.95, 966.7, 965.95, 966.7, 190
2016-09-30 10:24:00, 966.7, 967, 966.7, 967, 39
2016-09-30 10:25:00, 967, 967.7, 966.95, 967.7, 28
2016-09-30 10:26:00, 967.7, 968.9, 967.7, 968.8, 644
2016-09-30 10:27:00, 968.8, 971.95, 968.8, 970.95, 1223
2016-09-30 10:28:00, 970.95, 970.95, 969.75, 969.75, 330
2016-09-30 10:29:00, 969.75, 970.65, 969.75, 970.65, 26
2016-09-30 10:30:00, 970.65, 971.2, 970.3, 970.3, 1253
2016-09-30 10:31:00, 970.25, 970.3, 970.25, 970.25, 340
2016-09-30 10:32:00, 970.25, 971, 970.25, 970.95, 71
2016-09-30 10:33:00, 970.95, 970.95, 970.4, 970.4, 133
2016-09-30 10:34:00, 969.75, 970, 969.75, 970, 103
2016-09-30 10:35:00, 970, 970.5, 970, 970.4, 209
2016-09-30 10:36:00, 970.4, 970.4, 969.95, 969.95, 216
2016-09-30 10:37:00, 969.95, 970.25, 969.5, 969.55, 262
2016-09-30 10:38:00, 969.55, 969.55, 969.5, 969.5, 100
2016-09-30 10:39:00, 969.45, 969.5, 969.45, 969.45, 69
2016-09-30 10:40:00, 969.85, 970, 969.85, 970, 46
2016-09-30 10:41:00, 969.9, 970, 969.9, 969.9, 462
2016-09-30 10:42:00, 969.6, 969.9, 969.6, 969.9, 91
2016-09-30 10:43:00, 969.9, 969.9, 969.6, 969.7, 101
2016-09-30 10:44:00, 969.7, 969.9, 969.65, 969.65, 41
2016-09-30 10:45:00, 969.65, 969.9, 969.65, 969.9, 98
2016-09-30 10:46:00, 969.65, 969.65, 969.65, 969.65, 10
2016-09-30 10:47:00, 969.65, 969.9, 969.45, 969.45, 677
2016-09-30 10:48:00, 969.45, 969.75, 969.45, 969.75, 146
2016-09-30 10:49:00, 969.75, 969.75, 969.7, 969.75, 67
2016-09-30 10:50:00, 969.85, 970, 969.85, 970, 274
2016-09-30 10:51:00, 970.25, 970.25, 970, 970, 325
2016-09-30 10:52:00, 970, 970.2, 970, 970.2, 732
2016-09-30 10:53:00, 970.95, 971, 970.95, 971, 581
2016-09-30 10:54:00, 971, 972.35, 971, 971.85, 1904
2016-09-30 10:55:00, 972.05, 972.05, 971.4, 971.55, 422
2016-09-30 10:56:00, 971.55, 971.55, 971.25, 971.55, 92
2016-09-30 10:57:00, 971.55, 971.8, 971.55, 971.8, 431
2016-09-30 10:58:00, 971.8, 972.75, 970.85, 972.25, 2027
2016-09-30 10:59:00, 972.25, 973, 972.25, 972.65, 650
2016-09-30 11:00:00, 972.65, 973, 972.5, 973, 639
2016-09-30 11:01:00, 973, 973, 972.2, 972.9, 896
2016-09-30 11:02:00, 972.9, 972.9, 972.85, 972.85, 96
2016-09-30 11:03:00, 972.85, 972.85, 972.85, 972.85, 103
2016-09-30 11:04:00, 972.85, 972.85, 972.75, 972.8, 216
2016-09-30 11:05:00, 972.8, 973.8, 972.75, 973.75, 1589
2016-09-30 11:06:00, 973.75, 973.75, 972.4, 973, 831
2016-09-30 11:07:00, 973, 973.5, 972.4, 973.5, 108
2016-09-30 11:08:00, 973.5, 973.5, 973.5, 973.5, 513
2016-09-30 11:09:00, 973.5, 973.5, 973.1, 973.1, 498
2016-09-30 11:10:00, 973.05, 973.5, 973.05, 973.3, 138
2016-09-30 11:11:00, 973.3, 973.3, 973.2, 973.2, 527
2016-09-30 11:12:00, 973.2, 973.25, 973.15, 973.25, 148
2016-09-30 11:13:00, 973.2, 973.45, 973, 973.45, 253
2016-09-30 11:14:00, 973.45, 973.8, 973.3, 973.5, 1137
2016-09-30 11:15:00, 973.5, 973.5, 973.5, 973.5, 291
2016-09-30 11:16:00, 973.5, 973.5, 973.5, 973.5, 155
2016-09-30 11:17:00, 973.5, 973.5, 973.45, 973.5, 166
2016-09-30 11:18:00, 973.5, 973.5, 973, 973.5, 377
2016-09-30 11:19:00, 973.5, 973.5, 973, 973, 328
2016-09-30 11:20:00, 973, 973, 972.5, 973, 26
2016-09-30 11:21:00, 973, 973, 972.05, 972.95, 1118
2016-09-30 11:22:00, 972.95, 972.95, 971.8, 972.05, 543
2016-09-30 11:23:00, 972.8, 972.8, 972, 972.55, 75
2016-09-30 11:24:00, 972.55, 972.55, 972, 972, 933
2016-09-30 11:25:00, 972, 972, 971.6, 971.6, 562
2016-09-30 11:26:00, 971.55, 971.95, 971.5, 971.95, 204
2016-09-30 11:27:00, 971.95, 972, 971.7, 972, 166
2016-09-30 11:28:00, 972, 972, 971.8, 972, 375
2016-09-30 11:29:00, 972, 972.5, 972, 972.25, 1230
2016-09-30 11:30:00, 972.25, 972.75, 972.25, 972.75, 1476
2016-09-30 11:31:00, 972.75, 972.75, 972.35, 972.55, 2541
2016-09-30 11:32:00, 972.9, 974, 972.45, 973.95, 3879
2016-09-30 11:33:00, 973.95, 973.95, 972.8, 973.55, 3787
2016-09-30 11:34:00, 973.55, 973.55, 972.5, 973.5, 2036
2016-09-30 11:35:00, 973.5, 973.5, 973, 973, 615
2016-09-30 11:36:00, 973, 973, 972.7, 972.75, 44
2016-09-30 11:37:00, 972.75, 973, 972.75, 973, 64
2016-09-30 11:38:00, 973, 973, 973, 973, 372
2016-09-30 11:39:00, 973, 973.5, 973, 973.5, 200
2016-09-30 11:40:00, 973.5, 973.5, 972.5, 973.5, 855
2016-09-30 11:41:00, 973.5, 973.5, 973.45, 973.45, 20
2016-09-30 11:42:00, 973.4, 973.4, 973, 973, 2460
2016-09-30 11:43:00, 973, 974.2, 972.95, 973.9, 2693
2016-09-30 11:44:00, 973.9, 973.9, 973.45, 973.45, 108
2016-09-30 11:45:00, 973.45, 974, 973.45, 974, 72
2016-09-30 11:46:00, 974, 974, 974, 974, 2
2016-09-30 11:47:00, 974, 974, 973.9, 974, 570
2016-09-30 11:48:00, 974, 974.45, 973.95, 974.45, 37
2016-09-30 11:49:00, 974.45, 974.45, 974.1, 974.1, 144
2016-09-30 11:50:00, 974.1, 974.4, 974.1, 974.4, 136
