Date,Open,High,Low,Close,Volume
2016-09-30 09:15:00, 74.8, 74.8, 74, 74.05, 14575
2016-09-30 09:16:00, 74.1, 74.5, 74.05, 74.35, 17127
2016-09-30 09:17:00, 74.45, 74.6, 74.3, 74.6, 22619
2016-09-30 09:18:00, 74.55, 74.9, 74.5, 74.8, 26189
2016-09-30 09:19:00, 74.95, 75.05, 74.85, 74.85, 10108
2016-09-30 09:21:00, 74.1, 74.1, 73.6, 73.9, 22789
2016-09-30 09:20:00, 74.85, 74.95, 74.2, 74.25, 21094
2016-09-30 09:23:00, 73.85, 74.3, 73.8, 74.1, 6253
2016-09-30 09:22:00, 74, 74, 73.65, 73.85, 15192
2016-09-30 09:24:00, 74.25, 74.3, 74.1, 74.2, 30061
2016-09-30 09:27:00, 74.35, 74.4, 74.25, 74.4, 2008
2016-09-30 09:25:00, 74.2, 74.45, 74, 74.15, 25333
2016-09-30 09:26:00, 74.15, 74.35, 74.15, 74.35, 4185
2016-09-30 09:28:00, 74.4, 74.45, 74.25, 74.3, 3227
2016-09-30 09:29:00, 74.3, 74.5, 74.2, 74.45, 7386
2016-09-30 09:30:00, 74.5, 74.55, 74.45, 74.5, 12091
2016-09-30 09:31:00, 74.5, 74.55, 74.4, 74.4, 3444
2016-09-30 09:33:00, 74.45, 74.55, 74.4, 74.4, 4899
2016-09-30 09:32:00, 74.4, 74.55, 74.4, 74.4, 5762
2016-09-30 09:34:00, 74.3, 74.5, 74.3, 74.5, 400
2016-09-30 09:35:00, 74.5, 74.75, 74.5, 74.75, 4032
2016-09-30 09:36:00, 74.8, 75.2, 74.8, 75.2, 21667
2016-09-30 09:37:00, 75.2, 75.25, 75.05, 75.05, 15102
2016-09-30 09:38:00, 75, 75.6, 75, 75.6, 6292
2016-09-30 09:39:00, 75.6, 75.6, 75.2, 75.35, 2864
2016-09-30 09:40:00, 75.35, 75.5, 75.3, 75.4, 3459
2016-09-30 09:41:00, 75.4, 75.5, 75.1, 75.1, 9383
2016-09-30 09:42:00, 75.1, 75.15, 75, 75.05, 3715
2016-09-30 09:43:00, 75.05, 75.1, 75, 75.05, 3182
2016-09-30 09:44:00, 75.05, 75.15, 75.05, 75.15, 4143
2016-09-30 09:45:00, 75.15, 75.15, 75.05, 75.15, 4051
2016-09-30 09:46:00, 75.1, 75.15, 75.05, 75.1, 1416
2016-09-30 09:47:00, 75.05, 75.15, 75.05, 75.15, 2886
2016-09-30 09:48:00, 75.05, 75.2, 75.05, 75.2, 3476
2016-09-30 09:49:00, 75.1, 75.2, 75.1, 75.15, 3269
2016-09-30 09:50:00, 75.15, 75.2, 75.1, 75.2, 1161
2016-09-30 09:51:00, 75.1, 75.2, 75, 75, 9042
2016-09-30 09:52:00, 75.05, 75.15, 75, 75, 3889
2016-09-30 09:53:00, 75, 75.1, 75, 75.05, 3645
2016-09-30 09:54:00, 75.05, 75.05, 74.9, 75, 7140
2016-09-30 09:55:00, 75, 75, 74.85, 74.85, 5159
