Date,Open,High,Low,Close,Volume
2016-09-30 09:15:00, 90.9, 90.9, 90.2, 90.4, 42886
2016-09-30 09:16:00, 90.4, 91.85, 90.4, 91.85, 39105
2016-09-30 09:17:00, 91.85, 92, 91.1, 91.35, 82629
2016-09-30 09:18:00, 91.3, 91.85, 91.15, 91.85, 13787
2016-09-30 09:19:00, 91.8, 91.8, 91.55, 91.6, 42041
2016-09-30 09:20:00, 91.65, 91.65, 90.8, 90.8, 119460
2016-09-30 09:22:00, 90.8, 90.95, 90.3, 90.9, 61792
2016-09-30 09:23:00, 91, 91.2, 90.8, 90.95, 45105
2016-09-30 09:21:00, 90.65, 90.8, 90.3, 90.75, 79521
2016-09-30 09:24:00, 90.95, 91, 90.75, 91, 9013
2016-09-30 09:25:00, 91.15, 91.25, 91, 91.1, 12592
2016-09-30 09:27:00, 91.25, 91.65, 91.2, 91.5, 28656
2016-09-30 09:26:00, 91.2, 91.25, 91.1, 91.25, 6426
2016-09-30 09:28:00, 91.6, 91.95, 91.6, 91.9, 41202
2016-09-30 09:29:00, 91.8, 91.9, 91.8, 91.9, 41495
2016-09-30 09:30:00, 92, 92.5, 92, 92.3, 67590
2016-09-30 09:32:00, 92.35, 92.5, 92.05, 92.1, 21306
2016-09-30 09:31:00, 92.3, 92.4, 92.3, 92.4, 56781
2016-09-30 09:33:00, 92.1, 92.2, 91.95, 92, 9332
2016-09-30 09:34:00, 92, 92, 91.95, 92, 10930
2016-09-30 09:35:00, 92, 92.2, 91.95, 92.15, 6371
2016-09-30 09:36:00, 92.15, 92.5, 92.15, 92.45, 17167
2016-09-30 09:37:00, 92.45, 92.5, 92.3, 92.3, 6591
2016-09-30 09:38:00, 92.3, 92.4, 92.15, 92.4, 8350
2016-09-30 09:39:00, 92.4, 92.45, 92.25, 92.25, 15192
2016-09-30 09:40:00, 92.25, 92.4, 92.25, 92.4, 5309
2016-09-30 09:42:00, 92.4, 92.5, 92.35, 92.45, 12364
2016-09-30 09:41:00, 92.4, 92.45, 92.3, 92.4, 14082
2016-09-30 09:43:00, 92.45, 92.5, 92.2, 92.2, 8986
2016-09-30 09:44:00, 92.2, 92.5, 92.2, 92.5, 10957
2016-09-30 09:45:00, 92.5, 92.5, 92.4, 92.45, 3196
2016-09-30 09:46:00, 92.45, 92.5, 92.4, 92.4, 13121
2016-09-30 09:47:00, 92.45, 92.5, 92.3, 92.35, 19304
2016-09-30 09:48:00, 92.35, 92.5, 92.35, 92.4, 11489
2016-09-30 09:49:00, 92.4, 92.5, 92.3, 92.4, 4782
2016-09-30 09:50:00, 92.4, 92.4, 92.2, 92.2, 9300
2016-09-30 09:51:00, 92.2, 92.25, 92.15, 92.25, 13614
2016-09-30 09:52:00, 92.1, 92.1, 91.95, 91.95, 20475
