Date,Open,High,Low,Close,Volume
2016-09-30 09:15:00, 3127.95, 3128.15, 3114.05, 3121.2, 2541
2016-09-30 09:16:00, 3121.2, 3127.95, 3115.1, 3127.95, 808
2016-09-30 09:17:00, 3127.95, 3129, 3125.85, 3126, 1166
2016-09-30 09:19:00, 3121.9, 3125, 3109.05, 3109.05, 2234
2016-09-30 09:18:00, 3126, 3126, 3121.9, 3121.9, 1296
2016-09-30 09:20:00, 3109.05, 3109.05, 3074.8, 3075.15, 2579
2016-09-30 09:21:00, 3072.05, 3077.9, 3069.95, 3076.9, 6204
2016-09-30 09:22:00, 3077.95, 3077.95, 3060.55, 3071.1, 2402
2016-09-30 09:23:00, 3071.75, 3081.75, 3071.75, 3074.9, 1586
2016-09-30 09:24:00, 3075.45, 3093.35, 3075, 3093.35, 1521
2016-09-30 09:25:00, 3093.35, 3094.95, 3083.05, 3083.65, 1457
2016-09-30 09:27:00, 3098.05, 3100, 3097.2, 3099, 785
2016-09-30 09:26:00, 3083.65, 3099, 3083.1, 3099, 985
2016-09-30 09:28:00, 3099, 3099, 3097, 3097, 630
2016-09-30 09:29:00, 3097, 3099.95, 3090.6, 3096.65, 938
2016-09-30 09:30:00, 3096.65, 3098, 3094.1, 3095.9, 901
2016-09-30 09:31:00, 3095.9, 3096.35, 3093.7, 3096.35, 325
2016-09-30 09:32:00, 3096.35, 3099.95, 3096, 3096.1, 682
2016-09-30 09:33:00, 3096.1, 3097.4, 3092.5, 3097, 936
2016-09-30 09:34:00, 3097, 3100.35, 3097, 3100.35, 681
2016-09-30 09:35:00, 3100, 3102.4, 3099.95, 3100, 1319
2016-09-30 09:36:00, 3100, 3104, 3100, 3104, 1148
2016-09-30 09:37:00, 3104, 3106.25, 3104, 3105.05, 2408
2016-09-30 09:38:00, 3105.05, 3110, 3105.05, 3110, 2060
2016-09-30 09:39:00, 3110, 3111.6, 3110, 3110, 1463
2016-09-30 09:40:00, 3110.05, 3111.7, 3107.2, 3110, 1394
2016-09-30 09:41:00, 3110, 3112.15, 3106.05, 3106.4, 2275
2016-09-30 09:42:00, 3106.8, 3108.1, 3106.8, 3108.1, 2299
2016-09-30 09:43:00, 3108.1, 3111.95, 3108.1, 3111.1, 825
2016-09-30 09:44:00, 3110.7, 3113.05, 3110, 3110.15, 704
2016-09-30 09:45:00, 3110.15, 3113, 3110, 3113, 1577
2016-09-30 09:46:00, 3113, 3120, 3113, 3118.7, 3655
2016-09-30 09:47:00, 3118.85, 3126.9, 3118.85, 3120.85, 2704
2016-09-30 09:48:00, 3120.95, 3121.95, 3116.65, 3116.65, 453
2016-09-30 09:49:00, 3116.65, 3117.85, 3116, 3116, 287
2016-09-30 09:50:00, 3116, 3116.05, 3115, 3115.15, 394
2016-09-30 09:51:00, 3115.15, 3115.15, 3115, 3115, 2841
2016-09-30 09:52:00, 3115, 3115.2, 3115, 3115, 1391
2016-09-30 09:53:00, 3115, 3115, 3110.55, 3111, 1163
2016-09-30 09:54:00, 3110.95, 3110.95, 3109, 3109.05, 1059
2016-09-30 09:55:00, 3109.05, 3110.5, 3108, 3108, 523
2016-09-30 09:56:00, 3108, 3108, 3105.55, 3105.7, 1669
2016-09-30 09:57:00, 3105.7, 3109.45, 3105.05, 3105.05, 597
2016-09-30 09:58:00, 3105.05, 3105.05, 3102.1, 3102.2, 504
2016-09-30 09:59:00, 3103.95, 3103.95, 3101.25, 3101.25, 419
2016-09-30 10:00:00, 3101.3, 3101.4, 3099.95, 3099.95, 915
2016-09-30 10:01:00, 3099.95, 3102.1, 3098.1, 3102, 1554
2016-09-30 10:02:00, 3103, 3103, 3100, 3100.05, 382
2016-09-30 10:03:00, 3100.1, 3104.1, 3100, 3104, 1315
2016-09-30 10:04:00, 3104, 3110.85, 3104, 3107.1, 348
2016-09-30 10:05:00, 3107.2, 3110.6, 3105.05, 3105.65, 204
2016-09-30 10:06:00, 3105.65, 3109.9, 3105.05, 3108.05, 258
2016-09-30 10:07:00, 3108.1, 3108.1, 3105, 3105, 342
2016-09-30 10:08:00, 3105.05, 3105.05, 3105, 3105, 296
2016-09-30 10:09:00, 3105, 3106, 3105, 3105, 477
2016-09-30 10:10:00, 3105, 3105.15, 3100.8, 3102.65, 693
2016-09-30 10:11:00, 3102.7, 3102.7, 3098.05, 3099.9, 673
2016-09-30 10:12:00, 3099.9, 3100, 3098.1, 3099.95, 90
2016-09-30 10:13:00, 3099, 3102.5, 3097.9, 3100, 758
2016-09-30 10:14:00, 3100.1, 3100.65, 3099, 3099.95, 237
2016-09-30 10:15:00, 3099.95, 3100, 3096.8, 3097.3, 373
2016-09-30 10:16:00, 3097.3, 3099.95, 3095, 3099.95, 545
2016-09-30 10:17:00, 3099.95, 3106.85, 3097.8, 3099.9, 890
2016-09-30 10:18:00, 3099.9, 3105, 3098, 3098, 686
2016-09-30 10:19:00, 3098, 3102.75, 3098, 3100, 423
2016-09-30 10:20:00, 3100, 3100, 3097.7, 3099.95, 256
2016-09-30 10:21:00, 3099.95, 3104.95, 3098.3, 3098.85, 126
2016-09-30 10:22:00, 3098.3, 3100, 3097.65, 3100, 568
2016-09-30 10:23:00, 3100, 3101.6, 3098.55, 3100, 261
2016-09-30 10:24:00, 3100, 3102.1, 3098.1, 3100, 261
2016-09-30 10:25:00, 3100, 3100.05, 3099.95, 3100, 68
2016-09-30 10:26:00, 3100, 3100, 3099, 3099, 162
2016-09-30 10:27:00, 3099, 3101.05, 3099, 3100, 216
2016-09-30 10:28:00, 3100, 3102, 3100, 3102, 226
2016-09-30 10:29:00, 3100.3, 3102.45, 3100, 3100.1, 449
2016-09-30 10:30:00, 3100.1, 3101.95, 3100.1, 3101, 225
2016-09-30 10:31:00, 3101.1, 3104.5, 3100.1, 3103.8, 195
2016-09-30 10:32:00, 3103.6, 3104.6, 3101.15, 3102.1, 256
2016-09-30 10:33:00, 3102.1, 3103.4, 3102, 3102, 218
2016-09-30 10:34:00, 3102, 3103.9, 3101, 3101.05, 217
2016-09-30 10:35:00, 3101.15, 3103.35, 3100.95, 3101.55, 308
2016-09-30 10:36:00, 3101.5, 3103.4, 3100.9, 3101.3, 178
2016-09-30 10:37:00, 3101.45, 3102.75, 3101.15, 3101.15, 372
2016-09-30 10:38:00, 3101.35, 3102.8, 3101.15, 3101.15, 210
2016-09-30 10:39:00, 3101.15, 3102.45, 3101.15, 3102, 428
2016-09-30 10:40:00, 3102, 3104.75, 3101.2, 3102.15, 242
2016-09-30 10:41:00, 3102.15, 3104.95, 3102.15, 3102.5, 391
2016-09-30 10:42:00, 3102.5, 3103.15, 3101.25, 3101.65, 391
2016-09-30 10:43:00, 3101.6, 3104.95, 3101.6, 3104.25, 600
2016-09-30 10:44:00, 3104.3, 3104.3, 3103, 3103, 160
2016-09-30 10:45:00, 3103, 3104.55, 3103, 3103.1, 353
2016-09-30 10:46:00, 3103.1, 3104.75, 3102.2, 3102.4, 1711
2016-09-30 10:47:00, 3102.4, 3102.45, 3099.2, 3100.3, 734
2016-09-30 10:48:00, 3100.25, 3101.7, 3100, 3100, 237
2016-09-30 10:49:00, 3100, 3100.1, 3099.1, 3099.1, 165
