Date,Open,High,Low,Close,Volume
2016-09-30 09:15:00, 25149.45, 25225, 25001.55, 25107.35, 958
2016-09-30 09:16:00, 25107.35, 25321.05, 25063.1, 25299.9, 724
2016-09-30 09:18:00, 25126.75, 25247.55, 25126.75, 25247.55, 554
2016-09-30 09:17:00, 25285.05, 25308.85, 25103.8, 25129.85, 486
2016-09-30 09:19:00, 25247.6, 25247.6, 25066.05, 25181.55, 473
2016-09-30 09:20:00, 25181.55, 25238.8, 25056.2, 25060.4, 284
2016-09-30 09:21:00, 25046.9, 25047.4, 24943.1, 25036.6, 644
2016-09-30 09:22:00, 25010.35, 25036.55, 25000, 25000.4, 268
2016-09-30 09:23:00, 25000.4, 25052.65, 25000, 25052.65, 520
2016-09-30 09:24:00, 25048.8, 25048.8, 24980.05, 24983.05, 379
2016-09-30 09:25:00, 24999.5, 25027.1, 24983.2, 25027.1, 308
2016-09-30 09:26:00, 25027.1, 25140, 25027.1, 25106.05, 206
2016-09-30 09:27:00, 25106.05, 25136, 25076.5, 25093.9, 208
2016-09-30 09:28:00, 25093.9, 25094, 25070, 25070, 310
2016-09-30 09:29:00, 25069.95, 25070, 25020, 25049.9, 348
2016-09-30 09:30:00, 25049.9, 25077.8, 25028.3, 25036.8, 89
2016-09-30 09:32:00, 25076.05, 25094, 25070.2, 25088, 162
2016-09-30 09:31:00, 25036.8, 25080, 25030.8, 25076.05, 107
2016-09-30 09:33:00, 25088, 25094, 25072.15, 25094, 121
2016-09-30 09:34:00, 25094, 25094, 25074.1, 25094, 151
2016-09-30 09:35:00, 25094, 25139.9, 25091.3, 25139.9, 336
2016-09-30 09:36:00, 25139.9, 25139.9, 25104.5, 25124.9, 63
2016-09-30 09:37:00, 25124.75, 25124.9, 25115.8, 25115.8, 80
2016-09-30 09:38:00, 25123.95, 25125, 25115.85, 25125, 76
2016-09-30 09:39:00, 25125, 25125, 25100.5, 25115, 124
2016-09-30 09:40:00, 25115, 25118.7, 25107, 25107.05, 89
2016-09-30 09:41:00, 25107.05, 25140, 25107, 25140, 283
2016-09-30 09:42:00, 25140, 25208.05, 25133.1, 25194.3, 161
2016-09-30 09:43:00, 25194.3, 25217.1, 25149.7, 25171.65, 202
2016-09-30 09:44:00, 25171.65, 25200, 25153.85, 25180.1, 214
2016-09-30 09:46:00, 25213.45, 25219.85, 25200.25, 25200.25, 179
2016-09-30 09:45:00, 25180.1, 25213.45, 25178.2, 25213.45, 317
2016-09-30 09:47:00, 25200.25, 25227.3, 25200.25, 25200.35, 216
2016-09-30 09:48:00, 25200.35, 25209.3, 25178.2, 25178.2, 78
2016-09-30 09:49:00, 25178.2, 25189.7, 25178.15, 25187.9, 71
2016-09-30 09:50:00, 25187.9, 25200, 25187.75, 25195.5, 146
2016-09-30 09:51:00, 25195.45, 25250, 25187.8, 25234.9, 283
2016-09-30 09:52:00, 25234.9, 25280, 25211.2, 25276.1, 1359
2016-09-30 09:53:00, 25276.1, 25276.1, 25250, 25253.65, 732
2016-09-30 09:54:00, 25253.65, 25259.95, 25253.65, 25254.2, 129
2016-09-30 09:55:00, 25254.2, 25269.6, 25250, 25250, 120
2016-09-30 09:56:00, 25250, 25254.05, 25233.9, 25233.9, 757
2016-09-30 09:57:00, 25233.9, 25239, 25211, 25238, 141
2016-09-30 09:58:00, 25238, 25241.55, 25217.05, 25223.3, 90
2016-09-30 09:59:00, 25223.3, 25224.95, 25203.05, 25218.4, 85
2016-09-30 10:00:00, 25218.4, 25218.4, 25200.05, 25200.05, 68
2016-09-30 10:01:00, 25200.05, 25200.05, 25154.55, 25179.15, 188
2016-09-30 10:02:00, 25179.15, 25194.85, 25172.2, 25183.85, 117
2016-09-30 10:03:00, 25183.8, 25183.8, 25151.3, 25151.3, 84
2016-09-30 10:04:00, 25151.3, 25164.9, 25138.25, 25163.9, 143
2016-09-30 10:05:00, 25163.9, 25219.95, 25163.9, 25206.05, 113
2016-09-30 10:06:00, 25206.05, 25240, 25206.05, 25240, 104
2016-09-30 10:07:00, 25240, 25250, 25230.45, 25242.1, 144
2016-09-30 10:08:00, 25242.1, 25283.5, 25242.05, 25283.5, 166
2016-09-30 10:09:00, 25283.5, 25297, 25273.3, 25281.9, 135
2016-09-30 10:10:00, 25281.9, 25281.9, 25244, 25249.95, 107
2016-09-30 10:11:00, 25249.95, 25256.8, 25234.2, 25248.95, 54
2016-09-30 10:12:00, 25248.95, 25269.9, 25237, 25269.9, 50
2016-09-30 10:13:00, 25270, 25388, 25266.15, 25388, 429
2016-09-30 10:14:00, 25383.35, 25488, 25383.35, 25450.3, 836
2016-09-30 10:15:00, 25441.45, 25442, 25339.45, 25351.5, 221
2016-09-30 10:16:00, 25349.7, 25402, 25300.9, 25402, 196
2016-09-30 10:17:00, 25420, 25443.1, 25420, 25423.5, 248
2016-09-30 10:18:00, 25422.2, 25449.95, 25400.05, 25422.05, 141
2016-09-30 10:19:00, 25422.05, 25480, 25406.4, 25465, 199
2016-09-30 10:20:00, 25470.8, 25470.8, 25400, 25400.05, 147
2016-09-30 10:21:00, 25400.05, 25479.65, 25400.05, 25465.2, 174
2016-09-30 10:22:00, 25465.2, 25479.7, 25450, 25479.7, 168
2016-09-30 10:23:00, 25479.7, 25490, 25478, 25484.8, 125
2016-09-30 10:24:00, 25484.8, 25535, 25480.9, 25535, 255
2016-09-30 10:25:00, 25535.05, 25550, 25520, 25538, 610
2016-09-30 10:26:00, 25538, 25550, 25516.15, 25550, 270
2016-09-30 10:27:00, 25550, 25550, 25526.05, 25533.95, 289
2016-09-30 10:28:00, 25533.75, 25550, 25520.55, 25537.7, 629
2016-09-30 10:29:00, 25537.7, 25545, 25510.4, 25529.95, 101
2016-09-30 10:30:00, 25529.95, 25547.55, 25525.5, 25543.7, 56
2016-09-30 10:31:00, 25543.7, 25543.7, 25516.25, 25516.3, 99
2016-09-30 10:32:00, 25516.2, 25517.8, 25472, 25485, 154
2016-09-30 10:33:00, 25475, 25489.95, 25461.4, 25469.9, 103
2016-09-30 10:34:00, 25469.9, 25471.95, 25435.15, 25457.1, 174
2016-09-30 10:35:00, 25457.1, 25538.6, 25457.1, 25522.6, 144
2016-09-30 10:36:00, 25521.2, 25529.55, 25475, 25484.55, 123
2016-09-30 10:37:00, 25484.55, 25484.55, 25464.8, 25480, 40
2016-09-30 10:38:00, 25480, 25492.65, 25470, 25472.6, 179
2016-09-30 10:39:00, 25472.6, 25509.8, 25462.05, 25480.05, 140
2016-09-30 10:40:00, 25493.85, 25493.85, 25460, 25460, 53
2016-09-30 10:41:00, 25460, 25467.85, 25460, 25467.85, 58
2016-09-30 10:42:00, 25467.85, 25467.85, 25425.1, 25435, 649
2016-09-30 10:43:00, 25435, 25435, 25401.85, 25424.1, 110
2016-09-30 10:44:00, 25424.1, 25424.1, 25400, 25400, 189
2016-09-30 10:45:00, 25389.95, 25389.95, 25350, 25360.4, 138
2016-09-30 10:46:00, 25360.4, 25389.95, 25360.4, 25360.45, 120
2016-09-30 10:47:00, 25360.45, 25399.95, 25360.45, 25399.95, 286
2016-09-30 10:48:00, 25399.95, 25399.95, 25344.45, 25347, 306
2016-09-30 10:49:00, 25347, 25349.75, 25275.25, 25275.25, 288
2016-09-30 10:50:00, 25275.25, 25309.95, 25265.1, 25279.9, 216
2016-09-30 10:51:00, 25279.9, 25279.9, 25193.8, 25219, 451
2016-09-30 10:52:00, 25219, 25254.55, 25219, 25234.95, 674
2016-09-30 10:53:00, 25234.95, 25234.95, 25190, 25205.2, 359
2016-09-30 10:54:00, 25205.2, 25225.75, 25198, 25210.15, 73
2016-09-30 10:55:00, 25210.15, 25223.9, 25197.95, 25205, 105
2016-09-30 10:56:00, 25214.5, 25217.95, 25190, 25207.7, 292
2016-09-30 10:57:00, 25207.7, 25207.7, 25171, 25178.9, 171
2016-09-30 10:58:00, 25178.9, 25199.85, 25175.15, 25193.85, 132
2016-09-30 10:59:00, 25193.85, 25198.45, 25180.05, 25192.85, 46
2016-09-30 11:00:00, 25192.85, 25192.85, 25182, 25190, 86
2016-09-30 11:01:00, 25190, 25231.5, 25180, 25213.65, 85
2016-09-30 11:02:00, 25213.65, 25276.05, 25213.55, 25276.05, 291
2016-09-30 11:03:00, 25276.05, 25291.3, 25258.1, 25289.7, 94
2016-09-30 11:04:00, 25289.7, 25299.95, 25277, 25288, 104
2016-09-30 11:05:00, 25288, 25298.95, 25225.15, 25225.15, 55
2016-09-30 11:06:00, 25225.1, 25258.1, 25216.5, 25257.9, 255
2016-09-30 11:07:00, 25237.85, 25249.9, 25218, 25224.95, 66
2016-09-30 11:08:00, 25224.95, 25224.95, 25200, 25200, 61
2016-09-30 11:09:00, 25216, 25247.65, 25200.05, 25247.35, 106
2016-09-30 11:10:00, 25247.35, 25247.35, 25222.85, 25237.9, 13
2016-09-30 11:11:00, 25237.9, 25237.9, 25205, 25230.85, 28
2016-09-30 11:12:00, 25230.85, 25230.85, 25206, 25229.95, 89
2016-09-30 11:13:00, 25229.95, 25229.95, 25206, 25216, 34
2016-09-30 11:14:00, 25216, 25216.85, 25200.05, 25209.9, 26
2016-09-30 11:15:00, 25214.8, 25216.85, 25201.05, 25216.85, 35
2016-09-30 11:16:00, 25216.85, 25216.85, 25202.9, 25216.85, 29
2016-09-30 11:17:00, 25216.85, 25216.85, 25202.9, 25216.85, 34
2016-09-30 11:18:00, 25216.85, 25216.85, 25201.05, 25211.9, 43
2016-09-30 11:19:00, 25211.9, 25211.9, 25201.05, 25204.1, 29
2016-09-30 11:20:00, 25204.1, 25216.85, 25201, 25201.05, 39
2016-09-30 11:21:00, 25201.05, 25216.85, 25200, 25216.85, 43
2016-09-30 11:22:00, 25216.1, 25216.4, 25214.85, 25214.85, 22
2016-09-30 11:23:00, 25214.85, 25214.85, 25195, 25200.9, 43
2016-09-30 11:24:00, 25200.9, 25200.9, 25175, 25199, 143
2016-09-30 11:25:00, 25199, 25199, 25174.9, 25174.9, 85
2016-09-30 11:26:00, 25165, 25169.7, 25080, 25080, 316
2016-09-30 11:27:00, 25080, 25088, 25055.05, 25055.15, 420
2016-09-30 11:28:00, 25062.2, 25080, 25022, 25062, 247
