Date,Open,High,Low,Close,Volume
2016-09-30 09:15:00, 243.95, 243.95, 238.8, 240.2, 2717
2016-09-30 09:16:00, 240.2, 240.2, 239.5, 239.8, 3225
2016-09-30 09:17:00, 239.8, 240.75, 239.8, 240.35, 7703
2016-09-30 09:18:00, 240.1, 240.5, 240, 240.5, 2979
2016-09-30 09:20:00, 239.45, 239.55, 238.25, 238.25, 3434
2016-09-30 09:19:00, 240.5, 240.5, 239.35, 239.45, 6885
2016-09-30 09:21:00, 238.25, 239.4, 238.05, 239.4, 8102
2016-09-30 09:23:00, 238.45, 239.1, 238.35, 238.45, 3220
2016-09-30 09:22:00, 239.3, 239.3, 238.3, 238.55, 4732
2016-09-30 09:25:00, 238.4, 239.05, 238.4, 238.8, 7883
2016-09-30 09:24:00, 238.45, 238.75, 237.55, 238, 5880
2016-09-30 09:26:00, 238.8, 239.5, 238.8, 239.5, 981
2016-09-30 09:28:00, 240.25, 240.95, 240, 240.5, 2973
2016-09-30 09:27:00, 239.5, 240.25, 239.5, 240.25, 883
2016-09-30 09:29:00, 240.5, 241.2, 240.5, 241.2, 972
2016-09-30 09:30:00, 240.95, 241.6, 240.95, 241.6, 2041
2016-09-30 09:31:00, 241.6, 241.6, 240.65, 240.95, 2937
2016-09-30 09:34:00, 240.9, 241.2, 240.9, 241.2, 611
2016-09-30 09:32:00, 240.95, 241.35, 240.95, 240.95, 5265
2016-09-30 09:33:00, 240.95, 241, 240.65, 240.9, 454
2016-09-30 09:35:00, 241, 241.15, 240.85, 241.1, 911
2016-09-30 09:36:00, 241.1, 242.45, 241.1, 242.45, 2505
2016-09-30 09:37:00, 242.45, 242.5, 242.05, 242.3, 1380
2016-09-30 09:39:00, 243.5, 243.7, 243.25, 243.7, 1143
2016-09-30 09:38:00, 242.05, 243.8, 242.05, 243.5, 9521
2016-09-30 09:40:00, 243.7, 243.85, 243.5, 243.65, 927
2016-09-30 09:41:00, 243.75, 243.95, 243.5, 243.95, 5454
2016-09-30 09:42:00, 243.6, 244.05, 243.6, 243.95, 1760
2016-09-30 09:43:00, 243.95, 243.95, 243.7, 243.9, 824
2016-09-30 09:44:00, 243.9, 244.7, 243.9, 244.7, 1946
2016-09-30 09:45:00, 244.7, 244.8, 244.4, 244.4, 2128
2016-09-30 09:46:00, 244.4, 244.45, 244.05, 244.4, 1643
2016-09-30 09:47:00, 244.2, 245.95, 244.2, 245.85, 2683
2016-09-30 09:48:00, 245.85, 246, 244.85, 245.65, 8654
2016-09-30 09:49:00, 245.65, 245.7, 245.35, 245.45, 605
2016-09-30 09:50:00, 245.45, 245.65, 245.35, 245.45, 2078
2016-09-30 09:51:00, 245.45, 245.55, 245, 245, 304
2016-09-30 09:52:00, 244.95, 244.95, 244.7, 244.7, 581
2016-09-30 09:53:00, 244.45, 244.45, 243.6, 243.8, 4693
2016-09-30 09:54:00, 243.65, 243.7, 242, 242, 3337
2016-09-30 09:55:00, 242.05, 242.95, 242.05, 242.95, 1252
2016-09-30 09:56:00, 242.95, 243.35, 242.75, 243.35, 768
2016-09-30 09:57:00, 243.35, 243.5, 243.1, 243.1, 1074
2016-09-30 09:58:00, 243.1, 243.2, 242.8, 242.8, 1228
2016-09-30 09:59:00, 242.8, 242.9, 242.2, 242.25, 5072
2016-09-30 10:00:00, 242.25, 242.25, 242.05, 242.05, 1785
2016-09-30 10:01:00, 242.05, 242.15, 241.7, 241.75, 2413
2016-09-30 10:02:00, 241.75, 242, 241.75, 241.75, 154
2016-09-30 10:03:00, 241.75, 241.75, 241.55, 241.7, 608
2016-09-30 10:04:00, 241.6, 241.85, 241.55, 241.85, 1283
2016-09-30 10:05:00, 241.8, 242.7, 241.8, 242.35, 6328
2016-09-30 10:06:00, 242.3, 243.35, 242.25, 243.35, 10371
2016-09-30 10:07:00, 243.4, 243.4, 243.05, 243.05, 122
2016-09-30 10:08:00, 243.05, 243.35, 243.05, 243.35, 382
2016-09-30 10:09:00, 243.35, 243.35, 243.05, 243.05, 1142
2016-09-30 10:10:00, 243.25, 243.35, 243, 243, 4051
2016-09-30 10:11:00, 243, 243.1, 242.9, 242.9, 1919
2016-09-30 10:12:00, 243.05, 243.1, 243.05, 243.1, 265
2016-09-30 10:13:00, 243, 243.2, 243, 243.2, 750
2016-09-30 10:14:00, 243, 243, 243, 243, 2250
2016-09-30 10:15:00, 243, 243.4, 242.9, 243, 2896
2016-09-30 10:16:00, 243, 243, 242.8, 242.8, 120
2016-09-30 10:17:00, 242.8, 242.9, 242.8, 242.9, 459
2016-09-30 10:18:00, 242.9, 243.5, 242.9, 243.4, 2094
2016-09-30 10:19:00, 243.4, 243.4, 243, 243.25, 125
2016-09-30 10:20:00, 243.3, 243.35, 243.1, 243.25, 332
2016-09-30 10:21:00, 243.25, 243.95, 243.25, 243.55, 2702
2016-09-30 10:22:00, 243.8, 244, 243.35, 244, 2048
2016-09-30 10:23:00, 244, 244.6, 244, 244.6, 632
2016-09-30 10:24:00, 244.35, 245, 244.35, 244.8, 3131
2016-09-30 10:25:00, 244.8, 244.8, 244.5, 244.75, 141
2016-09-30 10:26:00, 244.75, 244.75, 244.35, 244.35, 458
2016-09-30 10:27:00, 244.35, 244.65, 244.35, 244.4, 710
2016-09-30 10:28:00, 244.65, 244.7, 244.65, 244.7, 717
2016-09-30 10:29:00, 244.7, 244.85, 244.5, 244.85, 1300
2016-09-30 10:30:00, 244.85, 245.3, 244.85, 245, 3874
2016-09-30 10:31:00, 245, 245, 244.4, 244.4, 4004
2016-09-30 10:32:00, 244.4, 244.6, 244.35, 244.6, 958
2016-09-30 10:33:00, 244.6, 244.6, 244.6, 244.6, 2225
2016-09-30 10:34:00, 244.6, 244.65, 244.6, 244.6, 915
2016-09-30 10:35:00, 244.65, 245.1, 244.6, 244.9, 3190
2016-09-30 10:36:00, 244.9, 245.2, 244.85, 245.2, 2712
2016-09-30 10:37:00, 245.2, 245.2, 245, 245, 2477
2016-09-30 10:38:00, 245, 245.5, 244.9, 245.4, 5541
2016-09-30 10:39:00, 245.4, 245.4, 245.05, 245.3, 910
2016-09-30 10:40:00, 245.3, 245.65, 245.05, 245.65, 4547
2016-09-30 10:41:00, 245.65, 245.95, 245.5, 245.7, 3278
2016-09-30 10:42:00, 245.7, 246.9, 245.7, 246.45, 7224
2016-09-30 10:43:00, 246.45, 246.5, 245.2, 245.2, 1215
2016-09-30 10:44:00, 245.2, 245.75, 245.1, 245.45, 1182
2016-09-30 10:45:00, 245.45, 245.45, 244.8, 244.8, 7286
2016-09-30 10:46:00, 244.8, 245.05, 244.8, 244.8, 7133
2016-09-30 10:47:00, 244.8, 245.25, 244.6, 245, 1813
2016-09-30 10:48:00, 245, 245.25, 245, 245.25, 270
2016-09-30 10:49:00, 245.25, 245.25, 245, 245, 3734
2016-09-30 10:50:00, 245, 245, 244.75, 245, 1142
2016-09-30 10:51:00, 245, 245, 245, 245, 1016
2016-09-30 10:52:00, 245, 245.05, 245, 245.05, 3707
2016-09-30 10:53:00, 245.05, 245.15, 245.05, 245.05, 543
2016-09-30 10:54:00, 245.05, 245.05, 245, 245, 50
2016-09-30 10:55:00, 245.15, 245.15, 245.15, 245.15, 200
2016-09-30 10:56:00, 245.15, 245.2, 245, 245.2, 581
2016-09-30 10:57:00, 245.2, 245.2, 245, 245.2, 616
2016-09-30 10:58:00, 245.2, 245.25, 245, 245.25, 254
2016-09-30 10:59:00, 245.25, 245.3, 245, 245.3, 208
2016-09-30 11:00:00, 245.3, 245.3, 245.05, 245.3, 95
2016-09-30 11:01:00, 245.3, 245.3, 245.3, 245.3, 51
2016-09-30 11:02:00, 245.3, 245.3, 245.2, 245.3, 162
2016-09-30 11:03:00, 245.3, 245.4, 245.2, 245.4, 7318
2016-09-30 11:04:00, 245.4, 245.7, 245.4, 245.7, 3368
2016-09-30 11:05:00, 245.7, 245.7, 245.5, 245.7, 451
2016-09-30 11:06:00, 245.7, 245.8, 245.7, 245.8, 821
2016-09-30 11:07:00, 245.7, 246, 245.6, 245.9, 220
