Date,Open,High,Low,Close,Volume
2016-09-30 09:15:00, 70.2, 71.4, 70.2, 71.15, 113386
2016-09-30 09:16:00, 71.3, 71.75, 71.3, 71.7, 113572
2016-09-30 09:18:00, 71.5, 71.8, 71.5, 71.5, 51218
2016-09-30 09:19:00, 71.5, 71.5, 70.7, 70.75, 70997
2016-09-30 09:20:00, 70.65, 70.75, 70.2, 70.25, 33775
2016-09-30 09:17:00, 71.7, 71.7, 71.45, 71.5, 70558
2016-09-30 09:21:00, 70.25, 70.35, 70.1, 70.25, 87397
2016-09-30 09:22:00, 70.25, 70.25, 69.6, 69.85, 85276
2016-09-30 09:23:00, 69.95, 70.35, 69.95, 70.3, 64717
2016-09-30 09:24:00, 70.25, 70.35, 70.1, 70.35, 24044
2016-09-30 09:25:00, 70.4, 70.6, 70.35, 70.45, 39694
2016-09-30 09:26:00, 70.4, 70.95, 70.4, 70.95, 52595
2016-09-30 09:27:00, 70.9, 71, 70.75, 71, 26880
2016-09-30 09:28:00, 71, 71.15, 70.85, 70.85, 41557
2016-09-30 09:29:00, 70.85, 71.05, 70.8, 70.8, 48052
2016-09-30 09:30:00, 70.8, 70.9, 70.7, 70.75, 20252
2016-09-30 09:31:00, 70.65, 70.75, 70.5, 70.75, 32663
2016-09-30 09:33:00, 70.6, 70.8, 70.55, 70.7, 25910
2016-09-30 09:32:00, 70.65, 70.95, 70.6, 70.6, 35932
2016-09-30 09:34:00, 70.7, 71.1, 70.7, 71, 42110
2016-09-30 09:35:00, 71.05, 71.15, 71, 71.05, 44718
2016-09-30 09:36:00, 71, 71.2, 70.8, 71.2, 38743
2016-09-30 09:37:00, 71.2, 71.3, 71.1, 71.3, 28761
2016-09-30 09:38:00, 71.3, 71.5, 71.3, 71.4, 32572
2016-09-30 09:39:00, 71.4, 71.5, 71.3, 71.45, 54679
2016-09-30 09:40:00, 71.45, 71.55, 71.25, 71.25, 70415
2016-09-30 09:41:00, 71.35, 71.45, 71.3, 71.4, 21326
2016-09-30 09:42:00, 71.4, 71.5, 71.3, 71.5, 11732
2016-09-30 09:43:00, 71.5, 71.5, 71.4, 71.45, 7225
2016-09-30 09:44:00, 71.35, 71.5, 71.35, 71.4, 27690
2016-09-30 09:45:00, 71.4, 71.55, 71.4, 71.5, 25017
2016-09-30 09:46:00, 71.4, 71.5, 71.4, 71.45, 14410
2016-09-30 09:47:00, 71.45, 71.6, 71.45, 71.55, 19970
2016-09-30 09:48:00, 71.55, 71.6, 71.45, 71.5, 13156
2016-09-30 09:49:00, 71.5, 71.65, 71.5, 71.5, 28556
2016-09-30 09:50:00, 71.5, 71.7, 71.5, 71.65, 17940
2016-09-30 09:51:00, 71.65, 71.7, 71.6, 71.7, 12429
2016-09-30 09:52:00, 71.7, 71.7, 71.45, 71.45, 18216
2016-09-30 09:53:00, 71.45, 71.45, 71.3, 71.4, 21342
2016-09-30 09:54:00, 71.4, 71.4, 71.2, 71.25, 16951
2016-09-30 09:55:00, 71.25, 71.4, 71.2, 71.25, 19679
2016-09-30 09:56:00, 71.3, 71.3, 71.2, 71.25, 6138
2016-09-30 09:57:00, 71.25, 71.3, 71, 71, 36916
2016-09-30 09:58:00, 71, 71.3, 71, 71.1, 7406
2016-09-30 09:59:00, 71.1, 71.25, 71, 71.1, 8826
2016-09-30 10:00:00, 71.1, 71.2, 71.1, 71.2, 10530
2016-09-30 10:01:00, 71.15, 71.2, 71, 71.15, 26634
2016-09-30 10:02:00, 71.15, 71.25, 71.15, 71.15, 6119
2016-09-30 10:03:00, 71.15, 71.25, 71, 71.15, 14175
2016-09-30 10:04:00, 71.2, 71.25, 71.1, 71.1, 4197
2016-09-30 10:05:00, 71.1, 71.35, 71.1, 71.3, 14777
2016-09-30 10:06:00, 71.3, 71.5, 71.3, 71.35, 7312
2016-09-30 10:07:00, 71.4, 71.5, 71.35, 71.45, 12824
2016-09-30 10:08:00, 71.45, 71.5, 71.35, 71.35, 4743
2016-09-30 10:09:00, 71.35, 71.45, 71.35, 71.45, 2770
