Date,Open,High,Low,Close,Volume
2016-09-30 09:15:00, 905.75, 911.9, 900.05, 911.8, 2670
2016-09-30 09:17:00, 913.5, 914.9, 909.55, 911.3, 7212
2016-09-30 09:16:00, 910.1, 916.35, 909.15, 914.45, 7450
2016-09-30 09:18:00, 911.95, 916, 910.05, 916, 2252
2016-09-30 09:19:00, 916, 917.4, 912.4, 913.45, 3434
2016-09-30 09:20:00, 912.4, 913.45, 909.5, 909.5, 1049
2016-09-30 09:21:00, 909, 910.8, 906.55, 908.75, 4266
2016-09-30 09:22:00, 908.75, 908.75, 898.55, 899.25, 6937
2016-09-30 09:23:00, 899.25, 900.6, 898.8, 900.6, 1026
2016-09-30 09:24:00, 900.95, 903.45, 900.15, 903.45, 816
2016-09-30 09:25:00, 903.45, 905, 903, 903.65, 736
2016-09-30 09:26:00, 903.65, 907.45, 903.2, 907.15, 1129
2016-09-30 09:27:00, 907.15, 911, 907.15, 911, 2307
2016-09-30 09:28:00, 911, 911.05, 909, 909.4, 1770
2016-09-30 09:31:00, 911.05, 912, 909.2, 911.95, 658
2016-09-30 09:29:00, 909.4, 911, 909, 909.65, 3534
2016-09-30 09:30:00, 909.65, 912, 909.65, 911.05, 1132
2016-09-30 09:32:00, 911.95, 914.25, 911.95, 912.25, 669
2016-09-30 09:33:00, 912.6, 913.35, 911.75, 912.5, 1168
2016-09-30 09:34:00, 912.5, 914.45, 912.5, 914.45, 535
2016-09-30 09:35:00, 914.45, 915, 913.25, 915, 1026
2016-09-30 09:36:00, 915, 916, 914.6, 916, 440
2016-09-30 09:37:00, 916, 916.5, 915.15, 915.25, 516
2016-09-30 09:38:00, 915.25, 916.9, 915.25, 916.5, 447
2016-09-30 09:39:00, 916.5, 916.6, 915.5, 916.2, 756
2016-09-30 09:40:00, 916.2, 916.45, 915.45, 915.45, 953
2016-09-30 09:41:00, 915.45, 916.2, 915.3, 916, 1833
2016-09-30 09:42:00, 916, 916.35, 915.45, 916, 345
2016-09-30 09:43:00, 916, 916.4, 915.45, 916, 1188
2016-09-30 09:44:00, 916, 917, 915.55, 916.6, 1116
2016-09-30 09:45:00, 916.6, 921, 916.55, 921, 6475
2016-09-30 09:46:00, 920.2, 921.1, 919.15, 919.7, 534
2016-09-30 09:47:00, 919.7, 919.75, 919.05, 919.65, 807
2016-09-30 09:48:00, 919.65, 919.95, 919.25, 919.35, 1958
2016-09-30 09:49:00, 919.35, 919.8, 917.45, 917.45, 1083
2016-09-30 09:50:00, 917.45, 918.35, 917.45, 918.15, 420
2016-09-30 09:51:00, 918.15, 919, 917.4, 919, 635
2016-09-30 09:52:00, 918.2, 919.2, 916.6, 916.6, 2008
2016-09-30 09:53:00, 916.6, 917.85, 916.25, 916.95, 303
2016-09-30 09:54:00, 916.45, 916.95, 915.9, 915.9, 350
2016-09-30 09:55:00, 915.9, 916.7, 914.4, 914.75, 1599
2016-09-30 09:56:00, 914.75, 915.95, 914.55, 915.45, 884
2016-09-30 09:57:00, 915.05, 916.15, 915, 915, 953
2016-09-30 09:58:00, 914.95, 915.45, 914.95, 915.45, 1226
2016-09-30 09:59:00, 915.45, 915.45, 914.1, 914.9, 1052
2016-09-30 10:00:00, 914.35, 914.9, 914.1, 914.25, 320
2016-09-30 10:01:00, 914.25, 914.25, 913.25, 913.5, 2445
2016-09-30 10:02:00, 913.5, 913.75, 910.05, 911, 1260
2016-09-30 10:03:00, 911, 911.25, 909.45, 909.75, 439
2016-09-30 10:04:00, 909.75, 911.05, 909.75, 910.95, 605
2016-09-30 10:05:00, 911.05, 914.05, 911.05, 914.05, 1092
2016-09-30 10:06:00, 913.65, 914.8, 913.65, 914.05, 899
2016-09-30 10:07:00, 914.05, 916, 914.05, 915.15, 753
2016-09-30 10:08:00, 915.15, 915.15, 914.7, 914.7, 102
2016-09-30 10:09:00, 914.7, 914.7, 913.55, 913.9, 80
2016-09-30 10:10:00, 913.5, 913.5, 911.35, 912.3, 405
2016-09-30 10:11:00, 912.3, 912.8, 911.6, 912.55, 1045
2016-09-30 10:12:00, 911.35, 911.35, 910.25, 910.7, 264
2016-09-30 10:13:00, 910.7, 910.7, 909.95, 910.5, 763
2016-09-30 10:14:00, 910.5, 910.5, 909.55, 910.1, 310
