Date,Open,High,Low,Close,Volume
2016-09-30 09:15:00, 411.05, 412.25, 410, 412.25, 2098
2016-09-30 09:16:00, 412.25, 414.5, 412.25, 414.5, 239
2016-09-30 09:17:00, 414.5, 415, 414.2, 414.5, 2434
2016-09-30 09:18:00, 414.5, 414.6, 413.8, 414.35, 680
2016-09-30 09:19:00, 414.35, 414.35, 413.4, 413.5, 635
2016-09-30 09:20:00, 413.5, 413.5, 412.3, 412.3, 535
2016-09-30 09:21:00, 412.3, 412.3, 411, 411.4, 1517
2016-09-30 09:22:00, 411.4, 411.4, 410.1, 410.9, 799
2016-09-30 09:23:00, 410.3, 411, 410.3, 410.8, 1578
2016-09-30 09:24:00, 410.8, 410.85, 410.55, 410.85, 174
2016-09-30 09:25:00, 410.9, 411, 410.65, 411, 397
2016-09-30 09:26:00, 411, 414.15, 410.95, 414.15, 3814
2016-09-30 09:27:00, 413.8, 414.15, 413.8, 414.1, 507
2016-09-30 09:28:00, 414.1, 414.65, 414.05, 414.4, 279
2016-09-30 09:29:00, 414.4, 415.45, 414.4, 415.45, 3361
2016-09-30 09:31:00, 416.65, 416.75, 415.9, 416.5, 4929
2016-09-30 09:30:00, 415.45, 416.65, 415.35, 416.55, 1937
2016-09-30 09:32:00, 416.5, 417, 416.5, 416.55, 2446
2016-09-30 09:33:00, 416.55, 416.9, 416.25, 416.9, 4785
2016-09-30 09:34:00, 416.9, 418, 416.9, 418, 5157
2016-09-30 09:35:00, 418, 418.7, 417.65, 418.5, 4063
2016-09-30 09:36:00, 418.5, 418.5, 418, 418.1, 2883
2016-09-30 09:37:00, 418.1, 418.15, 417.95, 418.05, 3062
2016-09-30 09:38:00, 418.35, 419.35, 418.35, 418.75, 157
2016-09-30 09:39:00, 418.75, 419, 418.05, 418.45, 299
2016-09-30 09:41:00, 418.45, 418.45, 418, 418.3, 547
2016-09-30 09:40:00, 418.55, 418.6, 418.1, 418.45, 189
2016-09-30 09:42:00, 418.3, 418.7, 418.1, 418.5, 702
2016-09-30 09:43:00, 418.5, 418.95, 418.2, 418.35, 1471
2016-09-30 09:44:00, 418.35, 419.15, 418.35, 419.15, 289
2016-09-30 09:46:00, 419.4, 419.9, 419.4, 419.4, 210
