Date,Open,High,Low,Close,Volume
2016-09-30 09:15:00, 111.9, 112.25, 111.6, 112, 25275
2016-09-30 09:16:00, 112.15, 112.4, 111.75, 112.25, 17349
2016-09-30 09:17:00, 112.35, 113.5, 112.2, 113.5, 15045
2016-09-30 09:18:00, 113.25, 113.55, 113, 113, 26451
2016-09-30 09:19:00, 112.95, 112.95, 112.1, 112.1, 10816
2016-09-30 09:20:00, 112.15, 112.15, 110, 110, 31899
2016-09-30 09:21:00, 110.35, 110.5, 110.1, 110.5, 23432
2016-09-30 09:22:00, 110.5, 111, 110.25, 110.5, 24724
2016-09-30 09:23:00, 110.5, 111.45, 110.45, 111.45, 13255
2016-09-30 09:24:00, 111.5, 111.55, 110.95, 110.95, 17641
2016-09-30 09:25:00, 111.2, 111.45, 111.1, 111.4, 6142
2016-09-30 09:26:00, 111.5, 111.9, 111.35, 111.65, 12184
2016-09-30 09:27:00, 111.65, 112, 111.65, 111.9, 5863
2016-09-30 09:28:00, 112, 112.25, 112, 112.05, 4969
2016-09-30 09:29:00, 112.2, 112.2, 111.85, 112.1, 10954
2016-09-30 09:30:00, 112.1, 112.4, 112, 112.35, 9054
2016-09-30 09:31:00, 112.45, 112.5, 112.3, 112.5, 4966
2016-09-30 09:32:00, 112.5, 112.85, 112.35, 112.6, 7992
2016-09-30 09:33:00, 112.65, 112.85, 112.5, 112.6, 5976
2016-09-30 09:34:00, 112.85, 113.15, 112.85, 113.05, 13165
2016-09-30 09:35:00, 113.05, 113.2, 113, 113.2, 5159
2016-09-30 09:36:00, 113.25, 113.65, 113.15, 113.6, 8733
2016-09-30 09:37:00, 113.6, 113.8, 113.6, 113.75, 11898
2016-09-30 09:38:00, 113.8, 113.95, 113.7, 113.8, 5723
2016-09-30 09:39:00, 113.85, 113.9, 113.7, 113.75, 5806
2016-09-30 09:40:00, 113.75, 113.75, 113.3, 113.3, 7297
2016-09-30 09:41:00, 113.35, 113.55, 112.9, 113, 6616
2016-09-30 09:42:00, 112.9, 113.25, 112.9, 113.2, 4108
2016-09-30 09:43:00, 113.2, 113.2, 113.1, 113.1, 7857
2016-09-30 09:44:00, 113.1, 113.4, 113.1, 113.4, 1822
2016-09-30 09:45:00, 113.5, 113.9, 113.5, 113.9, 6055
2016-09-30 09:46:00, 113.9, 114.1, 113.85, 113.9, 5615
2016-09-30 09:47:00, 113.9, 114, 113.85, 114, 1669
2016-09-30 09:48:00, 113.9, 114, 113.75, 113.95, 3574
2016-09-30 09:49:00, 113.95, 113.95, 113.75, 113.8, 12146
2016-09-30 09:50:00, 113.8, 113.95, 113.75, 113.95, 4371
2016-09-30 09:51:00, 113.95, 114, 113.85, 113.85, 3262
2016-09-30 09:52:00, 113.8, 113.85, 113.7, 113.7, 4396
2016-09-30 09:53:00, 113.65, 113.8, 113.5, 113.6, 3749
2016-09-30 09:54:00, 113.55, 113.6, 113.15, 113.25, 15596
2016-09-30 09:55:00, 113.25, 113.35, 113.15, 113.35, 1600
2016-09-30 09:56:00, 113.35, 113.45, 113.2, 113.2, 5408
2016-09-30 09:57:00, 113.3, 113.4, 113.15, 113.15, 3497
2016-09-30 09:58:00, 113.2, 113.45, 113.2, 113.45, 3001
2016-09-30 09:59:00, 113.45, 113.45, 113.2, 113.3, 6965
2016-09-30 10:00:00, 113.4, 113.45, 113.3, 113.3, 1778
2016-09-30 10:01:00, 113.3, 113.45, 113.3, 113.4, 2108
2016-09-30 10:02:00, 113.4, 113.45, 113.15, 113.25, 6942
2016-09-30 10:03:00, 113.25, 113.4, 113.1, 113.1, 2938
2016-09-30 10:04:00, 113.1, 113.3, 113, 113, 4953
2016-09-30 10:05:00, 113.2, 113.4, 113.15, 113.4, 6581
2016-09-30 10:06:00, 113.25, 113.45, 113.25, 113.4, 2092
2016-09-30 10:07:00, 113.4, 113.4, 113.35, 113.4, 2202
2016-09-30 10:08:00, 113.4, 113.45, 113.3, 113.45, 2259
2016-09-30 10:09:00, 113.45, 113.5, 113.2, 113.2, 3495
2016-09-30 10:10:00, 113.2, 113.3, 113.1, 113.25, 3689
2016-09-30 10:11:00, 113.25, 113.5, 113.25, 113.35, 2660
2016-09-30 10:12:00, 113.35, 113.75, 113.3, 113.75, 1545
2016-09-30 10:13:00, 113.75, 113.75, 113.6, 113.7, 282
2016-09-30 10:14:00, 113.7, 113.9, 113.7, 113.8, 2369
