Date,Open,High,Low,Close,Volume
2016-09-30 09:15:00, 4708, 4738.95, 4707.6, 4738.95, 758
2016-09-30 09:16:00, 4738.95, 4770.05, 4738.95, 4770, 1222
2016-09-30 09:17:00, 4770, 4779, 4770, 4779, 492
2016-09-30 09:18:00, 4779, 4779, 4770, 4770, 596
2016-09-30 09:19:00, 4770, 4770, 4756.35, 4765, 363
2016-09-30 09:20:00, 4765, 4765, 4745.65, 4745.75, 792
2016-09-30 09:21:00, 4745.75, 4749.65, 4735.25, 4749.5, 672
2016-09-30 09:22:00, 4756.6, 4756.9, 4741.65, 4751.4, 422
2016-09-30 09:24:00, 4753, 4753, 4748.7, 4751.3, 197
2016-09-30 09:23:00, 4751.4, 4752.3, 4750, 4750, 241
2016-09-30 09:26:00, 4756.05, 4765.7, 4755.65, 4765.7, 195
2016-09-30 09:25:00, 4753.2, 4755, 4748.9, 4751.65, 419
2016-09-30 09:27:00, 4765.7, 4773.05, 4762.35, 4773.05, 663
2016-09-30 09:29:00, 4769.45, 4783.2, 4769.45, 4781.95, 1254
2016-09-30 09:28:00, 4773.05, 4779, 4770.05, 4770.05, 585
2016-09-30 09:30:00, 4781.95, 4789, 4774.7, 4774.7, 579
2016-09-30 09:31:00, 4774.7, 4777.95, 4770, 4777.95, 357
2016-09-30 09:32:00, 4777.95, 4792.95, 4775.65, 4781, 818
2016-09-30 09:33:00, 4781, 4784.25, 4777.1, 4784.2, 260
2016-09-30 09:34:00, 4784.2, 4787.95, 4781.05, 4786.2, 71
2016-09-30 09:35:00, 4786.2, 4790, 4786.2, 4790, 101
2016-09-30 09:36:00, 4790, 4798, 4788, 4798, 596
2016-09-30 09:37:00, 4798, 4813.65, 4797.9, 4808.15, 890
2016-09-30 09:38:00, 4805.55, 4808.2, 4804.4, 4804.4, 225
2016-09-30 09:40:00, 4808.1, 4808.1, 4801.35, 4803, 190
2016-09-30 09:39:00, 4806.85, 4810, 4801.6, 4808.1, 551
2016-09-30 09:41:00, 4803, 4803, 4790, 4790.75, 491
2016-09-30 09:42:00, 4790.75, 4803.4, 4790.75, 4803.4, 237
2016-09-30 09:43:00, 4803.4, 4805.95, 4800, 4800.95, 220
2016-09-30 09:44:00, 4800.95, 4807.3, 4800.95, 4806.75, 360
2016-09-30 09:46:00, 4812.1, 4819, 4812.1, 4817.4, 334
2016-09-30 09:45:00, 4808, 4814.4, 4808, 4812.1, 482
2016-09-30 09:47:00, 4818, 4822.95, 4816.1, 4820.8, 1051
2016-09-30 09:48:00, 4820.8, 4822, 4811.55, 4812.55, 354
2016-09-30 09:49:00, 4817.45, 4819.4, 4815.05, 4815.05, 275
2016-09-30 09:50:00, 4815.05, 4815.05, 4810.45, 4814, 165
2016-09-30 09:51:00, 4814, 4814, 4804.35, 4805.7, 165
2016-09-30 09:52:00, 4805.7, 4806.9, 4795, 4795, 438
2016-09-30 09:53:00, 4795, 4795.65, 4787.65, 4789.15, 569
2016-09-30 09:54:00, 4789.15, 4792.75, 4785.9, 4786.45, 379
2016-09-30 09:55:00, 4787.75, 4799.8, 4787.75, 4799.45, 162
2016-09-30 09:56:00, 4799.45, 4802, 4796.35, 4801, 285
2016-09-30 09:57:00, 4796.8, 4807, 4796.8, 4804.75, 238
2016-09-30 09:58:00, 4804.75, 4808, 4802.2, 4803.9, 176
2016-09-30 09:59:00, 4803.9, 4809.9, 4802.4, 4802.65, 157
2016-09-30 10:00:00, 4802.65, 4804.95, 4797.9, 4797.9, 286
2016-09-30 10:01:00, 4797.9, 4799.9, 4794.7, 4799.85, 382
2016-09-30 10:02:00, 4799.85, 4799.85, 4795.3, 4797.3, 169
2016-09-30 10:03:00, 4797.3, 4797.3, 4793, 4794, 399
2016-09-30 10:04:00, 4794, 4794, 4788, 4793.95, 281
2016-09-30 10:05:00, 4794.6, 4805, 4793.6, 4805, 467
2016-09-30 10:06:00, 4805, 4813, 4805, 4809.4, 511
2016-09-30 10:07:00, 4809.4, 4813, 4808.3, 4810, 458
2016-09-30 10:08:00, 4811.6, 4811.95, 4803.6, 4803.6, 729
2016-09-30 10:09:00, 4803.6, 4810.95, 4803.6, 4810, 336
2016-09-30 10:10:00, 4809.95, 4809.95, 4807, 4807, 171
2016-09-30 10:11:00, 4807, 4809.95, 4805, 4806.5, 361
2016-09-30 10:12:00, 4806.5, 4808.95, 4806, 4806, 274
2016-09-30 10:13:00, 4806, 4809, 4806, 4809, 905
2016-09-30 10:14:00, 4809, 4810, 4807, 4807, 196
2016-09-30 10:15:00, 4807, 4807, 4792.15, 4792.15, 181
2016-09-30 10:16:00, 4792.2, 4795, 4787.15, 4794.1, 313
2016-09-30 10:17:00, 4795, 4797, 4794.1, 4796.25, 239
2016-09-30 10:18:00, 4793.75, 4807.2, 4793.75, 4804.6, 243
2016-09-30 10:19:00, 4804.6, 4810.9, 4803.05, 4810.9, 234
2016-09-30 10:20:00, 4810.9, 4814, 4806.85, 4808.9, 961
2016-09-30 10:21:00, 4808.9, 4816.6, 4808.9, 4813.9, 390
2016-09-30 10:22:00, 4813.9, 4817, 4813.9, 4814.75, 101
2016-09-30 10:23:00, 4814.75, 4816.9, 4814.5, 4814.5, 113
2016-09-30 10:24:00, 4814.5, 4816, 4814.5, 4815.95, 158
2016-09-30 10:25:00, 4815.95, 4818.55, 4815.95, 4817.45, 192
2016-09-30 10:26:00, 4817.45, 4819, 4817.45, 4819, 79
2016-09-30 10:27:00, 4819, 4820, 4819, 4820, 575
2016-09-30 10:28:00, 4820, 4820.5, 4819.95, 4819.95, 496
2016-09-30 10:29:00, 4819.95, 4819.95, 4815.6, 4817.8, 154
2016-09-30 10:30:00, 4817.8, 4817.9, 4816.5, 4817.6, 102
2016-09-30 10:31:00, 4817.6, 4817.6, 4813, 4816.9, 425
2016-09-30 10:32:00, 4816.9, 4817, 4816.65, 4816.65, 132
2016-09-30 10:33:00, 4816.65, 4816.8, 4813.9, 4813.9, 47
2016-09-30 10:34:00, 4813.9, 4814.2, 4810.1, 4813, 52
2016-09-30 10:35:00, 4813, 4817.9, 4812, 4817.9, 378
2016-09-30 10:36:00, 4817.9, 4820.75, 4817.9, 4820.75, 418
2016-09-30 10:37:00, 4820.95, 4821, 4819.65, 4819.65, 382
2016-09-30 10:38:00, 4818.25, 4819.65, 4818.25, 4819.25, 40
2016-09-30 10:39:00, 4817.15, 4819.5, 4817.15, 4819.5, 183
2016-09-30 10:40:00, 4819.5, 4822.9, 4819.25, 4822.9, 150
2016-09-30 10:41:00, 4822.9, 4823.95, 4819.5, 4820.7, 157
2016-09-30 10:42:00, 4820.7, 4823, 4820.4, 4823, 125
2016-09-30 10:43:00, 4823, 4823, 4817.45, 4819.8, 122
2016-09-30 10:44:00, 4819.8, 4819.95, 4815.15, 4815.15, 130
2016-09-30 10:45:00, 4815.15, 4817.95, 4812.2, 4815.3, 203
2016-09-30 10:46:00, 4815.3, 4815.3, 4805.85, 4810, 308
2016-09-30 10:47:00, 4811.3, 4814.5, 4804.25, 4811, 141
2016-09-30 10:48:00, 4811.55, 4814.95, 4811.55, 4813.5, 55
2016-09-30 10:49:00, 4813.5, 4814, 4811, 4811, 421
2016-09-30 10:50:00, 4811, 4813.7, 4809.45, 4811.25, 591
2016-09-30 10:51:00, 4811.2, 4813.45, 4811.2, 4813, 176
2016-09-30 10:52:00, 4813, 4814, 4813, 4813, 30
2016-09-30 10:53:00, 4813, 4815, 4812, 4814.3, 201
2016-09-30 10:54:00, 4814.3, 4814.65, 4814.3, 4814.6, 162
2016-09-30 10:55:00, 4814.6, 4816, 4814.6, 4816, 219
2016-09-30 10:56:00, 4816, 4820.3, 4815.85, 4817.65, 217
2016-09-30 10:57:00, 4817.65, 4820.5, 4816.75, 4819.95, 235
2016-09-30 10:58:00, 4819.95, 4821, 4819.7, 4821, 76
2016-09-30 10:59:00, 4821, 4829.85, 4821, 4825.95, 1208
2016-09-30 11:00:00, 4825.95, 4828.85, 4823.7, 4828.6, 218
2016-09-30 11:01:00, 4828.6, 4829.4, 4824.1, 4825.15, 356
2016-09-30 11:02:00, 4825.15, 4825.15, 4818, 4822.1, 164
2016-09-30 11:03:00, 4822.1, 4823, 4820, 4823, 38
2016-09-30 11:04:00, 4820, 4823, 4820, 4822.9, 293
2016-09-30 11:05:00, 4822.9, 4822.95, 4820, 4820, 592
2016-09-30 11:06:00, 4820, 4821.25, 4813.65, 4821.25, 212
2016-09-30 11:07:00, 4821.25, 4821.25, 4820, 4820, 35
2016-09-30 11:08:00, 4820, 4821.15, 4820, 4820, 30
2016-09-30 11:09:00, 4820, 4822, 4820, 4822, 53
2016-09-30 11:10:00, 4822, 4822, 4820.95, 4821.5, 22
2016-09-30 11:11:00, 4821.5, 4822, 4820, 4820, 28
2016-09-30 11:12:00, 4820, 4821.95, 4820, 4820, 186
2016-09-30 11:13:00, 4820, 4820.6, 4819.25, 4820, 554
2016-09-30 11:14:00, 4821.2, 4823.9, 4820, 4823.9, 411
2016-09-30 11:15:00, 4823.9, 4823.9, 4820, 4820, 207
2016-09-30 11:16:00, 4820, 4823.65, 4820, 4820, 235
2016-09-30 11:17:00, 4820, 4823.55, 4819.45, 4820, 1760
2016-09-30 11:18:00, 4820, 4821.95, 4815.65, 4816.35, 1158
2016-09-30 11:19:00, 4816.35, 4816.9, 4812.7, 4813.45, 322
2016-09-30 11:20:00, 4811.75, 4814.95, 4811.75, 4814.95, 435
2016-09-30 11:21:00, 4813.4, 4816.3, 4811.1, 4815.4, 414
2016-09-30 11:22:00, 4815.4, 4815.9, 4811.15, 4813, 631
2016-09-30 11:23:00, 4813, 4813.75, 4813, 4813.5, 240
2016-09-30 11:24:00, 4813.25, 4813.7, 4813, 4813.7, 166
2016-09-30 11:25:00, 4813.7, 4815.7, 4813.7, 4815.45, 152
2016-09-30 11:26:00, 4815.45, 4815.65, 4815.45, 4815.6, 207
2016-09-30 11:27:00, 4815.6, 4815.6, 4813, 4813.45, 485
2016-09-30 11:28:00, 4813.45, 4823.85, 4813.45, 4819.95, 551
2016-09-30 11:29:00, 4819.95, 4821.5, 4814.1, 4814.1, 145
2016-09-30 11:30:00, 4814.1, 4817.4, 4813, 4813.55, 908
2016-09-30 11:31:00, 4815.3, 4818.15, 4813.2, 4816.15, 484
2016-09-30 11:32:00, 4818, 4824.75, 4817, 4824.35, 407
2016-09-30 11:33:00, 4823.6, 4824.85, 4818.15, 4820.85, 281
2016-09-30 11:34:00, 4820.85, 4821.7, 4820, 4820.5, 87
2016-09-30 11:35:00, 4820.5, 4820.9, 4816.3, 4818.9, 708
2016-09-30 11:36:00, 4818.4, 4820.05, 4813, 4820.05, 759
2016-09-30 11:37:00, 4820.05, 4822.5, 4820, 4820.7, 118
2016-09-30 11:38:00, 4820.7, 4825, 4820, 4821.3, 582
2016-09-30 11:39:00, 4821.3, 4823.95, 4820, 4821.15, 25
2016-09-30 11:40:00, 4821.15, 4821.95, 4818.4, 4819.2, 145
2016-09-30 11:41:00, 4819.2, 4821.75, 4818.35, 4820.5, 609
2016-09-30 11:42:00, 4820.5, 4821, 4819, 4819.5, 104
2016-09-30 11:43:00, 4819.5, 4823.3, 4819, 4820.5, 194
2016-09-30 11:44:00, 4820.5, 4820.95, 4818, 4818.15, 33
2016-09-30 11:45:00, 4819.3, 4823.4, 4819.3, 4820.1, 203
2016-09-30 11:46:00, 4821.75, 4823.2, 4820.1, 4821.5, 26
2016-09-30 11:47:00, 4821.5, 4822.45, 4820.2, 4821.15, 292
2016-09-30 11:48:00, 4821.15, 4821.9, 4820.15, 4820.95, 25
2016-09-30 11:49:00, 4820.95, 4823.4, 4820.95, 4822.55, 230
2016-09-30 11:50:00, 4822.55, 4825, 4820.75, 4821.85, 567
