Date,Open,High,Low,Close,Volume
2016-09-30 09:15:00, 406.95, 407, 406.2, 407, 2755
2016-09-30 09:17:00, 409.85, 412.65, 409.85, 411.8, 18058
2016-09-30 09:16:00, 407, 410.2, 406.65, 409.85, 7853
2016-09-30 09:18:00, 411.8, 411.8, 411, 411, 2634
2016-09-30 09:19:00, 410.9, 411, 409.1, 409.1, 8382
2016-09-30 09:20:00, 409.1, 409.1, 407.1, 407.4, 8570
2016-09-30 09:21:00, 407.25, 408.3, 407.25, 408, 5271
2016-09-30 09:22:00, 408.15, 408.15, 407.1, 408.1, 3988
2016-09-30 09:23:00, 408.15, 409, 408.05, 408.05, 2146
2016-09-30 09:24:00, 408.45, 408.55, 407.75, 408.55, 1845
2016-09-30 09:25:00, 408.65, 408.8, 408.4, 408.45, 1011
2016-09-30 09:26:00, 408.45, 408.9, 408.3, 408.9, 568
2016-09-30 09:27:00, 408.85, 409.9, 408.85, 409.9, 1700
2016-09-30 09:28:00, 409.9, 410.6, 409.75, 410.6, 1715
2016-09-30 09:29:00, 410.6, 410.7, 410.25, 410.25, 2190
2016-09-30 09:30:00, 410.25, 411, 409.95, 411, 8139
2016-09-30 09:31:00, 411, 411, 410.4, 410.9, 2058
2016-09-30 09:32:00, 410.9, 411.4, 410.85, 410.95, 1969
2016-09-30 09:33:00, 410.95, 411.45, 410.95, 411.25, 1047
2016-09-30 09:34:00, 411.4, 411.6, 411.2, 411.4, 1223
2016-09-30 09:35:00, 411.3, 412, 411.3, 411.8, 8572
2016-09-30 09:36:00, 411.8, 412.35, 411.75, 412.35, 638
2016-09-30 09:37:00, 412.35, 412.5, 411.7, 411.9, 4955
2016-09-30 09:38:00, 411.9, 412.35, 411.75, 412.35, 2599
2016-09-30 09:39:00, 412.35, 412.6, 411.95, 412.35, 1159
2016-09-30 09:40:00, 412.3, 412.65, 412.1, 412.55, 1031
2016-09-30 09:41:00, 412.05, 412.55, 412.05, 412.3, 1616
2016-09-30 09:42:00, 412.3, 412.5, 412.15, 412.5, 1315
2016-09-30 09:43:00, 412.5, 412.65, 412.35, 412.65, 335
2016-09-30 09:44:00, 412.65, 412.65, 412.5, 412.65, 180
2016-09-30 09:45:00, 412.65, 413.8, 412.65, 413.75, 4805
2016-09-30 09:46:00, 413.85, 414, 413.35, 413.8, 7433
2016-09-30 09:47:00, 413.8, 414, 413.8, 414, 630
2016-09-30 09:48:00, 413.9, 414, 413.3, 413.5, 4613
2016-09-30 09:49:00, 413.5, 413.7, 413.25, 413.35, 1505
2016-09-30 09:50:00, 413.5, 413.65, 413.25, 413.4, 951
2016-09-30 09:51:00, 413.4, 413.6, 413.1, 413.1, 582
2016-09-30 09:52:00, 413, 413.1, 412.4, 412.55, 3290
2016-09-30 09:53:00, 412.55, 412.55, 411.4, 411.55, 4560
2016-09-30 09:54:00, 411.6, 412.15, 411.2, 411.75, 7610
2016-09-30 09:55:00, 411.75, 412.85, 411.45, 411.55, 1196
2016-09-30 09:56:00, 411.55, 411.6, 411.05, 411.05, 765
2016-09-30 09:57:00, 411.3, 411.45, 410.65, 410.85, 2706
2016-09-30 09:58:00, 410.85, 411.55, 410.85, 411.35, 647
2016-09-30 09:59:00, 411.35, 411.35, 410.8, 410.9, 1039
2016-09-30 10:00:00, 410.9, 411.2, 410.7, 410.95, 724
2016-09-30 10:01:00, 410.7, 410.95, 410.05, 410.95, 2642
2016-09-30 10:02:00, 411.5, 411.5, 410.4, 410.4, 948
2016-09-30 10:03:00, 410.4, 410.65, 410.4, 410.65, 678
2016-09-30 10:04:00, 410.65, 410.75, 410.5, 410.75, 838
2016-09-30 10:05:00, 410.75, 411.9, 410.75, 411.9, 236
2016-09-30 10:06:00, 411.9, 412.65, 411.9, 412.6, 1485
2016-09-30 10:07:00, 412.6, 413.35, 412.4, 413.1, 1910
2016-09-30 10:08:00, 413.1, 413.1, 412.35, 412.9, 2065
2016-09-30 10:09:00, 412.9, 412.9, 412.4, 412.55, 691
2016-09-30 10:10:00, 412.55, 412.85, 412.55, 412.85, 203
2016-09-30 10:11:00, 412.85, 412.9, 412.05, 412.9, 2582
2016-09-30 10:12:00, 412.9, 412.95, 412.65, 412.9, 1724
2016-09-30 10:13:00, 412.9, 412.9, 412.6, 412.6, 602
2016-09-30 10:14:00, 412.7, 413, 412.6, 412.7, 1540
2016-09-30 10:15:00, 412.8, 413.5, 412.8, 412.95, 2774
2016-09-30 10:16:00, 412.95, 413.8, 412.75, 413.7, 3257
2016-09-30 10:17:00, 413.7, 415.4, 413.7, 415, 8772
2016-09-30 10:18:00, 415, 415.15, 414, 414.4, 3237
2016-09-30 10:19:00, 414.4, 415, 414.15, 414.65, 847
2016-09-30 10:20:00, 414.65, 415, 414, 414, 1562
2016-09-30 10:21:00, 414.2, 414.9, 413.95, 414.85, 1507
2016-09-30 10:22:00, 415, 417, 414.75, 416.5, 28273
2016-09-30 10:23:00, 416.6, 416.6, 416.15, 416.15, 991
2016-09-30 10:24:00, 416.5, 416.9, 416.15, 416.75, 2057
2016-09-30 10:25:00, 416.75, 417.25, 416.4, 416.45, 5471
2016-09-30 10:26:00, 416.45, 416.7, 416.2, 416.7, 1043
2016-09-30 10:27:00, 416.5, 416.75, 416.3, 416.5, 983
2016-09-30 10:28:00, 416.5, 416.65, 416.15, 416.65, 1402
2016-09-30 10:29:00, 416.7, 416.7, 416.3, 416.35, 1648
2016-09-30 10:30:00, 416.35, 416.75, 416.25, 416.75, 1616
2016-09-30 10:31:00, 416.8, 416.8, 416.35, 416.7, 1061
2016-09-30 10:32:00, 416.7, 416.7, 416.3, 416.6, 1020
2016-09-30 10:33:00, 416.6, 416.8, 416.25, 416.55, 3499
2016-09-30 10:34:00, 416.55, 416.55, 416, 416.45, 1072
2016-09-30 10:35:00, 416.45, 416.5, 416.2, 416.5, 648
2016-09-30 10:36:00, 416.5, 416.5, 416.3, 416.45, 932
2016-09-30 10:37:00, 416.25, 416.5, 416.2, 416.45, 941
2016-09-30 10:38:00, 416.45, 416.5, 416.3, 416.45, 1185
2016-09-30 10:39:00, 416.45, 416.75, 416.3, 416.45, 779
2016-09-30 10:40:00, 416.45, 416.8, 416.3, 416.7, 953
2016-09-30 10:41:00, 416.7, 416.85, 416.5, 416.85, 847
2016-09-30 10:42:00, 416.85, 417, 416.6, 417, 1329
2016-09-30 10:43:00, 417, 417.55, 416.9, 417.4, 2486
2016-09-30 10:44:00, 417.4, 418.25, 417.4, 417.85, 3314
2016-09-30 10:45:00, 417.95, 417.95, 417.3, 417.85, 3837
2016-09-30 10:46:00, 417.85, 417.85, 417.35, 417.65, 2476
2016-09-30 10:47:00, 417.65, 417.85, 416.95, 417.35, 3100
2016-09-30 10:48:00, 417.25, 417.65, 416.85, 416.85, 1074
2016-09-30 10:49:00, 416.95, 417.5, 415.8, 416.9, 5513
2016-09-30 10:50:00, 416.9, 417, 416.45, 416.9, 1401
2016-09-30 10:51:00, 416.9, 416.9, 416.1, 416.55, 5842
