Date,Open,High,Low,Close,Volume
2016-09-30 09:15:00, 76.6, 77.8, 76.25, 77.8, 108342
2016-09-30 09:16:00, 77.7, 78.25, 77.7, 78.2, 185254
2016-09-30 09:17:00, 78.35, 78.35, 77.75, 77.8, 186087
2016-09-30 09:18:00, 77.85, 78.05, 77.8, 77.9, 101590
2016-09-30 09:19:00, 77.9, 77.9, 77.55, 77.6, 96055
2016-09-30 09:20:00, 77.55, 77.65, 76.6, 76.65, 143607
2016-09-30 09:21:00, 76.55, 77.2, 76.35, 77.2, 157367
2016-09-30 09:22:00, 77.1, 77.1, 76.55, 76.95, 237859
2016-09-30 09:24:00, 76.95, 77, 76.7, 77, 89146
2016-09-30 09:23:00, 77, 77.1, 76.7, 76.95, 89616
2016-09-30 09:25:00, 77, 77.15, 76.9, 77, 64088
2016-09-30 09:26:00, 77.05, 77.5, 76.95, 77.35, 61462
2016-09-30 09:27:00, 77.35, 77.85, 77.2, 77.65, 110725
2016-09-30 09:28:00, 77.75, 78, 77.65, 77.8, 114006
2016-09-30 09:29:00, 77.8, 78.1, 77.55, 77.75, 100747
2016-09-30 09:30:00, 77.85, 78, 77.5, 77.5, 130100
2016-09-30 09:32:00, 77.75, 78.2, 77.75, 78.1, 104820
2016-09-30 09:31:00, 77.6, 77.95, 77.5, 77.8, 66009
2016-09-30 09:33:00, 78.1, 78.3, 78, 78.2, 93743
2016-09-30 09:34:00, 78.15, 78.3, 78.15, 78.25, 33532
2016-09-30 09:35:00, 78.2, 78.5, 78.2, 78.4, 77650
2016-09-30 09:36:00, 78.4, 78.45, 78.2, 78.35, 78496
2016-09-30 09:37:00, 78.35, 78.35, 78.05, 78.35, 65792
2016-09-30 09:38:00, 78.4, 78.8, 78.35, 78.7, 133187
2016-09-30 09:39:00, 78.8, 78.8, 78.45, 78.55, 85535
2016-09-30 09:40:00, 78.55, 78.9, 78.45, 78.45, 56481
2016-09-30 09:41:00, 78.5, 78.8, 78.35, 78.65, 92035
2016-09-30 09:42:00, 78.65, 78.95, 78.65, 78.8, 115308
2016-09-30 09:43:00, 78.8, 78.85, 78.55, 78.7, 83133
2016-09-30 09:44:00, 78.7, 79.2, 78.7, 79.15, 93182
2016-09-30 09:45:00, 79.15, 79.2, 78.85, 78.85, 76936
2016-09-30 09:46:00, 78.85, 78.95, 78.75, 78.75, 32768
2016-09-30 09:47:00, 78.9, 79.2, 78.9, 79, 64462
2016-09-30 09:48:00, 79.1, 79.2, 78.95, 79, 55769
2016-09-30 09:49:00, 79, 79.05, 78.85, 78.85, 72954
2016-09-30 09:50:00, 78.8, 78.95, 78.75, 78.9, 33636
2016-09-30 09:51:00, 78.9, 78.9, 78.65, 78.65, 39334
2016-09-30 09:52:00, 78.7, 78.8, 78.5, 78.5, 72997
2016-09-30 09:53:00, 78.5, 78.6, 78.3, 78.35, 63086
2016-09-30 09:54:00, 78.35, 78.5, 78.25, 78.5, 49702
2016-09-30 09:55:00, 78.5, 78.6, 78.35, 78.4, 84495
2016-09-30 09:56:00, 78.4, 78.75, 78.3, 78.7, 62821
2016-09-30 09:57:00, 78.6, 78.8, 78.25, 78.3, 114580
2016-09-30 09:58:00, 78.35, 78.6, 78.35, 78.6, 31466
2016-09-30 09:59:00, 78.6, 78.7, 78.4, 78.4, 41130
2016-09-30 10:00:00, 78.4, 78.5, 78.35, 78.4, 19937
2016-09-30 10:01:00, 78.35, 78.5, 78.3, 78.4, 29831
2016-09-30 10:02:00, 78.4, 78.4, 78.15, 78.35, 33554
2016-09-30 10:03:00, 78.3, 78.3, 77.9, 78.15, 73477
2016-09-30 10:04:00, 78.15, 78.35, 78.1, 78.3, 32425
2016-09-30 10:05:00, 78.3, 78.5, 78.3, 78.4, 48839
2016-09-30 10:06:00, 78.45, 78.55, 78.3, 78.4, 41823
2016-09-30 10:07:00, 78.4, 78.5, 78.2, 78.2, 43423
2016-09-30 10:08:00, 78.2, 78.4, 78.1, 78.4, 26795
2016-09-30 10:09:00, 78.4, 78.45, 78.25, 78.3, 16893
2016-09-30 10:10:00, 78.25, 78.3, 78.2, 78.3, 25704
2016-09-30 10:11:00, 78.3, 78.4, 78.2, 78.35, 11887
2016-09-30 10:12:00, 78.35, 78.4, 78.2, 78.25, 18065
2016-09-30 10:13:00, 78.25, 78.35, 78.2, 78.35, 12221
2016-09-30 10:14:00, 78.3, 78.3, 78.2, 78.3, 26962
2016-09-30 10:15:00, 78.3, 78.3, 78.1, 78.1, 16536
2016-09-30 10:16:00, 78.1, 78.45, 77.95, 78.4, 40108
2016-09-30 10:17:00, 78.5, 78.5, 78.25, 78.3, 11014
2016-09-30 10:18:00, 78.3, 78.55, 78.2, 78.35, 30061
2016-09-30 10:19:00, 78.35, 78.5, 78.25, 78.5, 18287
2016-09-30 10:20:00, 78.4, 78.45, 78.2, 78.4, 29402
2016-09-30 10:21:00, 78.4, 78.55, 78.3, 78.45, 74220
2016-09-30 10:22:00, 78.45, 78.45, 78.3, 78.45, 33963
2016-09-30 10:23:00, 78.45, 78.45, 78.4, 78.45, 5969
2016-09-30 10:24:00, 78.45, 78.55, 78.3, 78.45, 35100
2016-09-30 10:25:00, 78.45, 78.65, 78.45, 78.6, 26554
2016-09-30 10:26:00, 78.6, 78.85, 78.55, 78.75, 59768
2016-09-30 10:27:00, 78.75, 79, 78.75, 78.8, 94492
2016-09-30 10:28:00, 78.75, 78.8, 78.65, 78.8, 27366
2016-09-30 10:29:00, 78.75, 78.85, 78.75, 78.85, 8382
2016-09-30 10:30:00, 78.85, 79.4, 78.85, 79.25, 183140
2016-09-30 10:31:00, 79.2, 79.3, 79.15, 79.2, 54279
2016-09-30 10:32:00, 79.2, 79.3, 79.1, 79.1, 31334
2016-09-30 10:33:00, 79.1, 79.2, 78.8, 78.85, 46210
2016-09-30 10:34:00, 78.85, 78.9, 78.7, 78.7, 22065
2016-09-30 10:35:00, 78.7, 78.9, 78.7, 78.9, 7219
2016-09-30 10:36:00, 78.9, 79.15, 78.9, 79.1, 64233
2016-09-30 10:37:00, 79.1, 79.2, 79.05, 79.15, 26850
2016-09-30 10:38:00, 79.15, 79.15, 79, 79, 18604
2016-09-30 10:39:00, 79, 79, 78.85, 78.95, 13585
2016-09-30 10:40:00, 78.95, 78.95, 78.85, 78.95, 8032
2016-09-30 10:41:00, 78.95, 79, 78.95, 78.95, 10325
2016-09-30 10:42:00, 78.95, 79.05, 78.95, 78.95, 21433
2016-09-30 10:43:00, 79, 79.1, 78.95, 79.05, 19483
2016-09-30 10:44:00, 78.95, 79, 78.85, 78.85, 9298
2016-09-30 10:45:00, 78.9, 78.9, 78.55, 78.55, 44304
2016-09-30 10:46:00, 78.55, 78.6, 78.45, 78.5, 53319
2016-09-30 10:47:00, 78.5, 78.6, 78.3, 78.5, 64965
2016-09-30 10:48:00, 78.5, 78.55, 78.35, 78.45, 30413
2016-09-30 10:49:00, 78.45, 78.45, 78.3, 78.35, 14121
2016-09-30 10:50:00, 78.35, 78.55, 78.3, 78.55, 28137
