Date,Open,High,Low,Close,Volume
2016-09-30 09:15:00, 414.5, 415.6, 413.15, 415.4, 9983
2016-09-30 09:16:00, 415.3, 415.95, 414.45, 415.95, 14478
2016-09-30 09:18:00, 415.8, 416.4, 415.55, 415.9, 15949
2016-09-30 09:17:00, 415.95, 416.05, 415.35, 415.75, 10805
2016-09-30 09:19:00, 415.9, 415.9, 413.65, 413.65, 18305
2016-09-30 09:20:00, 414.05, 414.1, 411.95, 411.95, 16245
2016-09-30 09:21:00, 411.95, 412.2, 410.1, 412.1, 20579
2016-09-30 09:22:00, 412.1, 412.1, 410.3, 411.15, 8396
2016-09-30 09:23:00, 411.15, 412.45, 411.15, 411.55, 7279
2016-09-30 09:24:00, 411.45, 411.95, 410.35, 411.9, 10675
2016-09-30 09:25:00, 411.95, 411.95, 410.55, 410.75, 9910
2016-09-30 09:26:00, 410.75, 413.2, 410.7, 412.55, 6603
2016-09-30 09:27:00, 412.55, 413.75, 412.55, 413.65, 17969
2016-09-30 09:28:00, 413.65, 414.05, 413.15, 413.5, 15667
2016-09-30 09:29:00, 413.65, 414.9, 413.65, 414.55, 6028
2016-09-30 09:30:00, 414.6, 415.05, 414.3, 414.75, 9393
2016-09-30 09:31:00, 414.75, 414.75, 413.55, 414.1, 14275
2016-09-30 09:32:00, 414.1, 415.65, 414.1, 415.2, 5344
2016-09-30 09:33:00, 415.2, 416, 414.85, 415.05, 3271
2016-09-30 09:34:00, 415.3, 415.95, 415.1, 415.75, 2290
2016-09-30 09:35:00, 415.75, 417, 415.75, 416.2, 11456
2016-09-30 09:36:00, 416.2, 416.6, 415.2, 416, 40576
2016-09-30 09:37:00, 416, 416.4, 416, 416.1, 7991
2016-09-30 09:38:00, 416.1, 417.2, 416.1, 417.15, 4391
2016-09-30 09:39:00, 417, 417.6, 416.85, 417, 7674
2016-09-30 09:40:00, 417.3, 417.3, 416.9, 417.2, 5601
2016-09-30 09:41:00, 417.2, 417.6, 416.3, 416.6, 4367
2016-09-30 09:42:00, 416.4, 416.45, 415.75, 416.15, 1997
2016-09-30 09:43:00, 416.15, 416.35, 415.45, 415.65, 2100
2016-09-30 09:44:00, 415.65, 416.75, 415.25, 416.75, 4108
2016-09-30 09:45:00, 416.75, 417, 416, 416.5, 4486
2016-09-30 09:46:00, 416.5, 416.85, 416.45, 416.5, 3186
2016-09-30 09:47:00, 416.55, 417.95, 416.55, 417.65, 7032
2016-09-30 09:48:00, 417.8, 418.15, 417.55, 418.15, 8433
2016-09-30 09:49:00, 418.15, 418.3, 417.55, 417.75, 3683
2016-09-30 09:50:00, 417.55, 418.05, 417.45, 417.75, 4013
2016-09-30 09:51:00, 417.75, 417.75, 417.35, 417.45, 2054
2016-09-30 09:52:00, 417.7, 417.75, 417.3, 417.3, 3958
2016-09-30 09:53:00, 417.3, 417.4, 416.55, 416.8, 4334
2016-09-30 09:54:00, 416.8, 416.8, 415.4, 415.4, 2917
2016-09-30 09:55:00, 415.7, 416.2, 415.05, 415.05, 3921
2016-09-30 09:56:00, 415.05, 415.8, 415, 415.5, 2452
2016-09-30 09:57:00, 415.5, 415.9, 415.4, 415.45, 2825
2016-09-30 09:58:00, 415.45, 416.1, 415.45, 415.6, 2735
2016-09-30 09:59:00, 415.6, 415.9, 415.4, 415.4, 3905
2016-09-30 10:00:00, 415.4, 416, 415.05, 415.55, 2455
2016-09-30 10:01:00, 415.55, 415.6, 415, 415.4, 2715
2016-09-30 10:02:00, 415.4, 415.4, 414.85, 415.05, 2713
2016-09-30 10:03:00, 415.05, 415.05, 414.2, 414.3, 5921
2016-09-30 10:04:00, 414.3, 415.2, 414.3, 415.2, 2366
2016-09-30 10:05:00, 415.25, 416.9, 415.25, 416.85, 6613
2016-09-30 10:06:00, 416.85, 417, 416.5, 416.75, 5400
2016-09-30 10:07:00, 417, 417, 416.65, 416.7, 2081
2016-09-30 10:08:00, 416.2, 416.5, 415.8, 415.8, 618
2016-09-30 10:09:00, 415.8, 416.35, 415.8, 415.8, 1098
2016-09-30 10:10:00, 415.8, 416, 415.8, 415.9, 1913
2016-09-30 10:11:00, 415.9, 415.9, 415.5, 415.5, 760
2016-09-30 10:12:00, 415.75, 416.2, 415.45, 416.1, 1992
2016-09-30 10:13:00, 416.1, 416.1, 415.8, 415.8, 1299
2016-09-30 10:14:00, 415.8, 416.05, 415.5, 415.6, 2474
2016-09-30 10:15:00, 415.65, 415.65, 415.5, 415.55, 947
2016-09-30 10:16:00, 415.55, 416.1, 415.55, 415.6, 5695
2016-09-30 10:17:00, 415.6, 416, 415.35, 415.75, 3060
