Date,Open,High,Low,Close,Volume
2016-09-30 09:15:00, 85.2, 86.1, 85.2, 86.05, 151755
2016-09-30 09:16:00, 86.05, 87.15, 86.05, 87.15, 100127
2016-09-30 09:17:00, 87.3, 87.8, 87.15, 87.35, 292420
2016-09-30 09:18:00, 87.2, 87.45, 87.15, 87.3, 131433
2016-09-30 09:19:00, 87.3, 87.4, 87.2, 87.35, 86764
2016-09-30 09:20:00, 87.3, 87.35, 86.25, 86.25, 225599
2016-09-30 09:21:00, 86.3, 86.85, 85.85, 86.85, 180825
2016-09-30 09:22:00, 86.85, 86.95, 85.95, 86.3, 229048
2016-09-30 09:23:00, 86.3, 86.75, 86.15, 86.6, 68992
2016-09-30 09:24:00, 86.55, 86.55, 86.2, 86.3, 42669
2016-09-30 09:25:00, 86.3, 86.7, 86.3, 86.55, 58001
2016-09-30 09:26:00, 86.5, 87.15, 86.5, 87.1, 62596
2016-09-30 09:27:00, 87.05, 87.4, 87, 87.3, 71798
2016-09-30 09:28:00, 87.25, 87.5, 87, 87.2, 112185
2016-09-30 09:29:00, 87.2, 87.2, 86.8, 86.9, 64797
2016-09-30 09:30:00, 86.8, 87.15, 86.8, 87, 27491
2016-09-30 09:31:00, 86.9, 87.1, 86.75, 87.05, 61682
2016-09-30 09:33:00, 87, 87.5, 87, 87.5, 87045
2016-09-30 09:32:00, 87, 87.15, 86.95, 87, 33042
2016-09-30 09:34:00, 87.5, 87.6, 87.35, 87.55, 51231
2016-09-30 09:35:00, 87.5, 87.75, 87.5, 87.6, 82317
2016-09-30 09:36:00, 87.6, 87.6, 87.4, 87.55, 28039
2016-09-30 09:37:00, 87.55, 87.55, 87.25, 87.3, 25268
2016-09-30 09:38:00, 87.3, 87.9, 87.3, 87.85, 106810
2016-09-30 09:39:00, 87.85, 88, 87.55, 87.8, 169089
2016-09-30 09:40:00, 87.85, 88.3, 87.85, 88, 113580
2016-09-30 09:41:00, 88, 88.2, 87.7, 88.2, 67054
2016-09-30 09:42:00, 88.15, 88.15, 87.9, 88, 107375
2016-09-30 09:43:00, 87.95, 88.1, 87.7, 88, 60097
2016-09-30 09:44:00, 88.05, 88.6, 87.95, 88.5, 185789
2016-09-30 09:45:00, 88.55, 88.7, 88.3, 88.4, 125026
2016-09-30 09:46:00, 88.4, 88.4, 88, 88, 35724
2016-09-30 09:47:00, 88.15, 88.55, 88.15, 88.25, 55825
2016-09-30 09:48:00, 88.3, 88.85, 88.25, 88.8, 95496
2016-09-30 09:49:00, 88.8, 89, 88.4, 88.45, 145447
