Date,Open,High,Low,Close,Volume
2016-09-30 09:15:00, 248.1, 249.35, 248.1, 249.25, 111653
2016-09-30 09:16:00, 249.15, 249.25, 248.5, 249.15, 90682
2016-09-30 09:17:00, 249.2, 249.95, 248.9, 248.9, 125230
2016-09-30 09:18:00, 249.05, 249.45, 248.85, 249.05, 67524
2016-09-30 09:19:00, 249.05, 249.1, 248.7, 248.75, 61060
2016-09-30 09:20:00, 248.75, 248.8, 247.2, 247.2, 127351
2016-09-30 09:21:00, 247.2, 247.9, 246.95, 247.8, 140734
2016-09-30 09:22:00, 247.7, 247.75, 247.3, 247.65, 106851
2016-09-30 09:23:00, 247.85, 248.35, 247.65, 248, 93175
2016-09-30 09:24:00, 247.75, 247.9, 247.4, 247.6, 66846
2016-09-30 09:25:00, 247.7, 247.7, 247.3, 247.4, 116355
2016-09-30 09:26:00, 247.45, 248.75, 247.4, 248.55, 147423
2016-09-30 09:27:00, 248.45, 249.15, 248.45, 248.95, 87408
2016-09-30 09:28:00, 249.2, 249.8, 248.95, 249.2, 102437
2016-09-30 09:29:00, 249.3, 249.35, 249, 249, 63160
2016-09-30 09:30:00, 249.05, 249.75, 248.95, 249.1, 76780
2016-09-30 09:31:00, 249, 249.1, 248.1, 248.7, 46800
2016-09-30 09:32:00, 248.7, 249, 248.6, 248.8, 21000
2016-09-30 09:33:00, 248.8, 249.25, 248.75, 249, 50296
2016-09-30 09:34:00, 249, 249.2, 248.85, 248.9, 170710
2016-09-30 09:35:00, 249, 249, 248.75, 248.95, 72669
2016-09-30 09:36:00, 248.95, 249.2, 248.8, 249.2, 95192
2016-09-30 09:38:00, 249.2, 249.8, 249.2, 249.55, 57526
2016-09-30 09:37:00, 249.15, 249.35, 249.1, 249.15, 28978
2016-09-30 09:39:00, 249.55, 249.65, 249.2, 249.2, 52955
2016-09-30 09:40:00, 249.15, 249.7, 249, 249.15, 33537
2016-09-30 09:41:00, 249.35, 249.6, 249.05, 249.5, 36041
2016-09-30 09:42:00, 249.55, 249.65, 249.3, 249.65, 29838
2016-09-30 09:43:00, 249.65, 249.7, 249.45, 249.65, 16235
2016-09-30 09:44:00, 249.7, 249.95, 249.7, 249.9, 40415
2016-09-30 09:45:00, 249.9, 250.2, 249.55, 250, 51431
2016-09-30 09:46:00, 250, 250.2, 249.65, 250, 63130
2016-09-30 09:47:00, 250.05, 251, 250, 250.65, 80658
2016-09-30 09:48:00, 250.65, 251.2, 250.5, 250.7, 58239
2016-09-30 09:49:00, 250.55, 250.85, 250.55, 250.7, 22981
2016-09-30 09:50:00, 250.6, 250.9, 250.5, 250.55, 49728
2016-09-30 09:51:00, 250.55, 250.75, 250.45, 250.6, 24719
2016-09-30 09:52:00, 250.5, 250.6, 250.2, 250.3, 28447
2016-09-30 09:53:00, 250.3, 250.4, 249.65, 249.85, 43832
2016-09-30 09:54:00, 249.8, 249.9, 249.5, 249.6, 41320
2016-09-30 09:55:00, 249.6, 249.85, 249.6, 249.6, 16109
2016-09-30 09:56:00, 249.7, 249.7, 249.4, 249.45, 23106
2016-09-30 09:57:00, 249.35, 249.6, 249.1, 249.3, 43991
2016-09-30 09:58:00, 249.3, 249.4, 249.2, 249.3, 10929
2016-09-30 09:59:00, 249.3, 249.6, 249, 249.15, 18035
2016-09-30 10:00:00, 249.1, 249.2, 248.9, 248.9, 74985
2016-09-30 10:01:00, 248.8, 249.1, 248.5, 248.85, 86831
2016-09-30 10:02:00, 249, 249, 248.7, 249, 34235
2016-09-30 10:03:00, 249, 249, 248.6, 248.85, 44436
2016-09-30 10:04:00, 248.85, 249, 248.75, 249, 28657
2016-09-30 10:05:00, 249, 249.65, 248.9, 249.55, 96707
2016-09-30 10:06:00, 249.55, 250.25, 249.55, 250.15, 62724
2016-09-30 10:07:00, 250.25, 250.45, 250.15, 250.15, 52614
2016-09-30 10:08:00, 250.15, 250.15, 249.95, 250.1, 21445
2016-09-30 10:09:00, 250.1, 250.1, 249.9, 249.9, 18270
2016-09-30 10:10:00, 249.9, 249.95, 249.5, 249.8, 23135
2016-09-30 10:11:00, 249.8, 249.8, 249.65, 249.7, 22199
2016-09-30 10:12:00, 249.75, 249.75, 249.6, 249.7, 19009
2016-09-30 10:13:00, 249.7, 249.8, 249.65, 249.75, 11975
2016-09-30 10:14:00, 249.75, 249.8, 249.6, 249.6, 17228
2016-09-30 10:15:00, 249.6, 249.6, 249.35, 249.5, 30970
2016-09-30 10:16:00, 249.5, 249.85, 249.45, 249.85, 33946
2016-09-30 10:17:00, 249.85, 250.35, 249.8, 250.05, 93255
2016-09-30 10:18:00, 249.85, 250.5, 249.85, 250.05, 54053
2016-09-30 10:19:00, 250, 250.65, 250, 250.65, 41281
2016-09-30 10:20:00, 250.6, 250.6, 249.8, 250.3, 57405
2016-09-30 10:21:00, 250.3, 250.8, 250.25, 250.55, 45931
2016-09-30 10:22:00, 250.55, 250.9, 250.5, 250.9, 40112
2016-09-30 10:23:00, 251, 251.75, 250.8, 251.35, 115974
2016-09-30 10:24:00, 251.35, 251.75, 251.25, 251.6, 58417
2016-09-30 10:25:00, 251.65, 252.2, 251.65, 252.05, 120386
2016-09-30 10:26:00, 252, 252.25, 252, 252.25, 75248
2016-09-30 10:27:00, 252.25, 253, 252.2, 252.4, 134777
2016-09-30 10:28:00, 252.4, 252.75, 252.3, 252.6, 67091
2016-09-30 10:29:00, 252.55, 252.9, 252.5, 252.85, 55159
2016-09-30 10:30:00, 252.85, 252.95, 252.7, 252.7, 46153
2016-09-30 10:31:00, 252.75, 253.3, 252.7, 253, 103766
2016-09-30 10:32:00, 253, 253.1, 252.8, 252.9, 86040
2016-09-30 10:33:00, 252.8, 252.95, 252.65, 252.7, 64215
2016-09-30 10:34:00, 252.7, 252.9, 252.55, 252.7, 40107
2016-09-30 10:35:00, 252.55, 253.2, 252.55, 253.2, 65430
2016-09-30 10:36:00, 253.2, 253.2, 252.9, 253.05, 27959
2016-09-30 10:37:00, 253.05, 253.1, 252.8, 252.9, 17297
2016-09-30 10:38:00, 252.9, 252.9, 252.75, 252.9, 9795
2016-09-30 10:39:00, 252.8, 252.9, 252.6, 252.9, 15278
2016-09-30 10:40:00, 252.75, 252.9, 252.7, 252.8, 9944
2016-09-30 10:41:00, 252.85, 252.9, 252.7, 252.8, 18689
2016-09-30 10:42:00, 252.8, 252.85, 252.7, 252.8, 23439
2016-09-30 10:43:00, 252.8, 252.8, 252.6, 252.7, 26261
2016-09-30 10:44:00, 252.7, 252.85, 252.3, 252.35, 41158
2016-09-30 10:45:00, 252.35, 252.35, 252.25, 252.25, 35223
2016-09-30 10:46:00, 252.1, 252.2, 252, 252, 107971
2016-09-30 10:47:00, 252, 252, 251.6, 251.75, 30258
2016-09-30 10:48:00, 251.75, 251.75, 251.5, 251.5, 35905
2016-09-30 10:49:00, 251.5, 251.55, 251.1, 251.1, 40042
2016-09-30 10:50:00, 251.1, 251.5, 251.1, 251.4, 30926
2016-09-30 10:51:00, 251.5, 251.5, 251.2, 251.25, 19150
2016-09-30 10:52:00, 251.25, 251.6, 251.2, 251.5, 31578
2016-09-30 10:53:00, 251.5, 251.9, 251.35, 251.7, 17060
