Date,Open,High,Low,Close,Volume
2016-09-30 09:15:00, 722.2, 725, 722.1, 723.75, 112
2016-09-30 09:16:00, 725, 725, 722.95, 722.95, 217
2016-09-30 09:17:00, 722.95, 729.7, 722.95, 729.7, 319
2016-09-30 09:18:00, 729.7, 729.85, 728.85, 729.1, 121
2016-09-30 09:19:00, 729.1, 736.7, 729.1, 736.5, 1096
2016-09-30 09:21:00, 731.05, 731.05, 727.35, 728.05, 1419
2016-09-30 09:20:00, 736.5, 736.5, 731, 731, 1031
2016-09-30 09:22:00, 728.05, 728.6, 725.05, 726, 1334
2016-09-30 09:24:00, 726.75, 726.85, 726.75, 726.75, 15
2016-09-30 09:23:00, 725, 726.75, 725, 726.75, 85
2016-09-30 09:25:00, 726.75, 726.75, 721.3, 721.75, 152
2016-09-30 09:26:00, 721.75, 724.7, 721.15, 724.7, 111
2016-09-30 09:27:00, 724.7, 724.7, 724.7, 724.7, 2
2016-09-30 09:28:00, 724.7, 725.8, 723.85, 725.8, 753
2016-09-30 09:29:00, 725.8, 726.85, 725.8, 726.85, 25
2016-09-30 09:30:00, 726.85, 726.95, 725.65, 726.95, 205
2016-09-30 09:31:00, 726.95, 728.95, 726.95, 727.6, 75
2016-09-30 09:32:00, 727.6, 728.35, 727.6, 728.35, 36
2016-09-30 09:33:00, 728.5, 728.65, 727.65, 727.65, 249
2016-09-30 09:34:00, 727.65, 728, 727.65, 728, 12
2016-09-30 09:36:00, 728.65, 729.15, 728.65, 729.15, 566
2016-09-30 09:35:00, 728, 728.65, 727.65, 728.65, 82
2016-09-30 09:37:00, 729.15, 729.95, 728.6, 728.7, 450
2016-09-30 09:38:00, 728.7, 729.25, 726.8, 726.8, 247
2016-09-30 09:39:00, 727, 729.7, 726.95, 729.7, 718
2016-09-30 09:40:00, 729.7, 729.7, 728.3, 728.3, 374
2016-09-30 09:41:00, 728.3, 729.6, 727.85, 729.6, 200
2016-09-30 09:42:00, 729.6, 731.3, 729, 731, 585
2016-09-30 09:43:00, 731, 731, 728.35, 728.5, 319
2016-09-30 09:44:00, 728.5, 729.1, 727.05, 727.05, 131
2016-09-30 09:45:00, 727.05, 728.6, 727.05, 728.6, 1
2016-09-30 09:46:00, 728.6, 728.6, 728.05, 728.05, 10
2016-09-30 09:47:00, 728.05, 728.05, 727, 727, 179
2016-09-30 09:48:00, 726.95, 727, 726.95, 727, 25
2016-09-30 09:49:00, 727, 727, 726, 726.95, 80
2016-09-30 09:50:00, 726, 726.85, 726, 726.85, 101
2016-09-30 09:51:00, 726.85, 728.6, 726.85, 728.6, 109
2016-09-30 09:52:00, 728.6, 728.75, 727.5, 727.5, 293
2016-09-30 09:53:00, 727.45, 727.45, 726.5, 726.75, 78
2016-09-30 09:54:00, 726.75, 726.75, 726.75, 726.75, 0
2016-09-30 09:55:00, 726.75, 726.75, 726.75, 726.75, 0
2016-09-30 09:56:00, 726.75, 726.85, 726.45, 726.85, 13
2016-09-30 09:57:00, 726.85, 726.9, 726, 726, 336
2016-09-30 09:58:00, 725.15, 726.05, 725.15, 726.05, 16
