Date,Open,High,Low,Close,Volume
2016-09-30 09:15:00, 78.45, 78.7, 78.4, 78.65, 99389
2016-09-30 09:16:00, 78.75, 79.1, 78.75, 79.05, 101655
2016-09-30 09:17:00, 79.05, 79.1, 79, 79, 73722
2016-09-30 09:18:00, 79.05, 79.35, 79, 79.35, 95831
2016-09-30 09:19:00, 79.3, 79.3, 79.15, 79.25, 57100
2016-09-30 09:21:00, 79, 79, 78.6, 78.95, 166555
2016-09-30 09:20:00, 79.15, 79.25, 78.9, 79, 45889
2016-09-30 09:22:00, 78.95, 78.95, 78.7, 78.9, 64543
2016-09-30 09:23:00, 79, 79, 78.7, 78.8, 34408
2016-09-30 09:24:00, 78.85, 78.85, 78.75, 78.8, 17101
2016-09-30 09:25:00, 78.85, 79, 78.85, 78.9, 79875
2016-09-30 09:26:00, 78.9, 78.95, 78.85, 78.95, 18856
2016-09-30 09:27:00, 78.95, 79.1, 78.9, 79.05, 44005
2016-09-30 09:28:00, 79.1, 79.45, 79.05, 79.45, 55173
2016-09-30 09:29:00, 79.4, 79.4, 79.2, 79.3, 56520
2016-09-30 09:30:00, 79.35, 79.45, 79.3, 79.45, 32502
2016-09-30 09:31:00, 79.45, 79.5, 79.35, 79.45, 19729
2016-09-30 09:32:00, 79.4, 79.5, 79.4, 79.5, 50056
2016-09-30 09:33:00, 79.5, 79.5, 79.3, 79.35, 28549
2016-09-30 09:34:00, 79.35, 79.4, 79.3, 79.4, 12916
2016-09-30 09:35:00, 79.4, 79.45, 79.35, 79.45, 18013
2016-09-30 09:36:00, 79.4, 79.5, 79.4, 79.45, 19835
2016-09-30 09:37:00, 79.4, 79.5, 79.4, 79.45, 29490
2016-09-30 09:38:00, 79.45, 79.5, 79.4, 79.45, 19048
2016-09-30 09:39:00, 79.5, 79.5, 79.4, 79.45, 14418
2016-09-30 09:40:00, 79.45, 79.5, 79.45, 79.5, 23644
2016-09-30 09:41:00, 79.5, 79.55, 79.45, 79.55, 21495
2016-09-30 09:42:00, 79.55, 79.8, 79.5, 79.75, 50950
2016-09-30 09:43:00, 79.75, 79.95, 79.75, 79.9, 40303
2016-09-30 09:44:00, 79.9, 80.55, 79.9, 80.55, 113567
2016-09-30 09:45:00, 80.6, 81.15, 80.6, 81, 182319
2016-09-30 09:46:00, 81, 81, 80.6, 80.7, 82459
2016-09-30 09:47:00, 80.7, 80.95, 80.7, 80.9, 36349
2016-09-30 09:48:00, 80.9, 80.95, 80.85, 80.95, 51393
2016-09-30 09:49:00, 80.95, 80.95, 80.8, 80.8, 37966
2016-09-30 09:50:00, 80.8, 80.9, 80.75, 80.9, 39830
2016-09-30 09:51:00, 80.85, 80.9, 80.7, 80.7, 22572
2016-09-30 09:52:00, 80.7, 80.75, 80.5, 80.55, 29988
2016-09-30 09:53:00, 80.6, 80.6, 80.4, 80.4, 54982
2016-09-30 09:54:00, 80.45, 80.5, 80.4, 80.45, 14530
2016-09-30 09:55:00, 80.45, 80.45, 80.4, 80.45, 19284
2016-09-30 09:56:00, 80.45, 80.45, 80.4, 80.45, 12165
2016-09-30 09:57:00, 80.4, 80.55, 80.4, 80.4, 49646
2016-09-30 09:58:00, 80.4, 80.45, 80.35, 80.45, 27981
2016-09-30 09:59:00, 80.45, 80.45, 80.3, 80.35, 25646
2016-09-30 10:00:00, 80.3, 80.35, 80.2, 80.2, 14883
2016-09-30 10:01:00, 80.2, 80.2, 80.05, 80.2, 32712
2016-09-30 10:02:00, 80.15, 80.2, 80, 80.05, 17636
2016-09-30 10:03:00, 80.05, 80.1, 80, 80.05, 13242
2016-09-30 10:04:00, 80.05, 80.1, 79.95, 80.05, 43806
2016-09-30 10:05:00, 80.05, 80.3, 80.05, 80.3, 54275
2016-09-30 10:06:00, 80.35, 80.6, 80.35, 80.5, 29294
2016-09-30 10:07:00, 80.5, 80.55, 80.4, 80.4, 44053
2016-09-30 10:08:00, 80.4, 80.5, 80.4, 80.5, 13922
2016-09-30 10:09:00, 80.5, 80.5, 80.35, 80.35, 16564
2016-09-30 10:10:00, 80.35, 80.5, 80.35, 80.45, 6727
2016-09-30 10:11:00, 80.4, 80.4, 80.3, 80.3, 8130
2016-09-30 10:12:00, 80.35, 80.5, 80.3, 80.5, 54901
2016-09-30 10:13:00, 80.5, 80.5, 80.45, 80.45, 46944
2016-09-30 10:14:00, 80.45, 80.5, 80.4, 80.45, 9223
2016-09-30 10:15:00, 80.45, 80.5, 80.4, 80.4, 8771
2016-09-30 10:16:00, 80.4, 80.4, 80.35, 80.35, 11161
2016-09-30 10:17:00, 80.35, 80.4, 80.3, 80.35, 6668
2016-09-30 10:18:00, 80.35, 80.45, 80.35, 80.35, 22678
2016-09-30 10:19:00, 80.35, 80.4, 80.3, 80.4, 2495
2016-09-30 10:20:00, 80.4, 80.4, 80.25, 80.35, 13648
2016-09-30 10:21:00, 80.35, 80.45, 80.3, 80.35, 25369
2016-09-30 10:22:00, 80.35, 80.5, 80.35, 80.45, 4707
2016-09-30 10:23:00, 80.45, 80.5, 80.4, 80.45, 12601
2016-09-30 10:24:00, 80.45, 80.5, 80.4, 80.5, 8042
2016-09-30 10:25:00, 80.5, 80.5, 80.45, 80.5, 6587
2016-09-30 10:26:00, 80.5, 80.5, 80.4, 80.4, 8037
2016-09-30 10:27:00, 80.4, 80.5, 80.4, 80.5, 2139
2016-09-30 10:28:00, 80.5, 80.5, 80.45, 80.5, 20301
2016-09-30 10:29:00, 80.5, 80.5, 80.45, 80.5, 13688
2016-09-30 10:30:00, 80.5, 80.5, 80.25, 80.25, 19394
2016-09-30 10:31:00, 80.3, 80.5, 80.2, 80.5, 77354
2016-09-30 10:32:00, 80.5, 80.5, 80.35, 80.35, 27566
2016-09-30 10:33:00, 80.35, 80.4, 80.3, 80.4, 32536
2016-09-30 10:34:00, 80.4, 80.4, 80.25, 80.3, 12052
2016-09-30 10:35:00, 80.3, 80.35, 80, 80.05, 86025
2016-09-30 10:36:00, 80.05, 80.2, 80.05, 80.1, 29000
2016-09-30 10:37:00, 80.15, 80.35, 80.05, 80.35, 52597
2016-09-30 10:38:00, 80.35, 80.4, 80.25, 80.25, 48739
2016-09-30 10:39:00, 80.25, 80.25, 80.1, 80.15, 12273
2016-09-30 10:40:00, 80.15, 80.3, 80.15, 80.25, 12000
2016-09-30 10:41:00, 80.25, 80.3, 80.25, 80.25, 2683
2016-09-30 10:42:00, 80.3, 80.35, 80.25, 80.3, 6357
2016-09-30 10:43:00, 80.3, 80.35, 80.3, 80.35, 5254
2016-09-30 10:44:00, 80.35, 80.35, 80.25, 80.3, 3169
2016-09-30 10:45:00, 80.3, 80.35, 80.25, 80.3, 9814
2016-09-30 10:46:00, 80.25, 80.3, 80.25, 80.25, 4227
2016-09-30 10:47:00, 80.25, 80.4, 80.2, 80.35, 27233
2016-09-30 10:48:00, 80.4, 80.4, 80.25, 80.3, 8653
2016-09-30 10:49:00, 80.3, 80.3, 80.15, 80.2, 7304
2016-09-30 10:50:00, 80.2, 80.3, 80.15, 80.3, 14383
2016-09-30 10:51:00, 80.25, 80.3, 80.15, 80.25, 2387
2016-09-30 10:52:00, 80.25, 80.25, 80.15, 80.15, 5415
2016-09-30 10:53:00, 80.15, 80.15, 80.1, 80.15, 947
2016-09-30 10:54:00, 80.15, 80.15, 80.1, 80.15, 2029
2016-09-30 10:55:00, 80.15, 80.2, 80.15, 80.2, 10324
2016-09-30 10:56:00, 80.2, 80.25, 80.15, 80.25, 5224
2016-09-30 10:57:00, 80.25, 80.25, 80.2, 80.25, 2724
2016-09-30 10:58:00, 80.25, 80.25, 80.2, 80.25, 1706
2016-09-30 10:59:00, 80.3, 80.3, 80.25, 80.25, 7274
2016-09-30 11:00:00, 80.25, 80.25, 80.2, 80.25, 470
2016-09-30 11:01:00, 80.25, 80.25, 80.2, 80.25, 2593
2016-09-30 11:02:00, 80.25, 80.25, 80.2, 80.25, 1554
2016-09-30 11:03:00, 80.25, 80.3, 80.25, 80.3, 11358
2016-09-30 11:04:00, 80.3, 80.3, 80.25, 80.3, 3626
2016-09-30 11:06:00, 80.2, 80.25, 80.2, 80.25, 4467
2016-09-30 11:05:00, 80.3, 80.3, 80.2, 80.2, 3536
2016-09-30 11:07:00, 80.25, 80.3, 80.15, 80.2, 8883
2016-09-30 11:08:00, 80.2, 80.2, 80.15, 80.2, 466
2016-09-30 11:09:00, 80.2, 80.2, 80.15, 80.2, 8915
2016-09-30 11:10:00, 80.2, 80.2, 80.15, 80.2, 5704
2016-09-30 11:11:00, 80.2, 80.2, 79.85, 80, 137281
2016-09-30 11:12:00, 80, 80.05, 80, 80.05, 7671
2016-09-30 11:13:00, 80.05, 80.1, 80.05, 80.1, 6820
2016-09-30 11:14:00, 80.1, 80.1, 80.05, 80.1, 3292
2016-09-30 11:15:00, 80.1, 80.1, 80.05, 80.1, 2016
2016-09-30 11:16:00, 80.05, 80.1, 80.05, 80.1, 1443
2016-09-30 11:17:00, 80.1, 80.1, 80.05, 80.1, 752
2016-09-30 11:18:00, 80.1, 80.1, 80, 80.05, 8525
2016-09-30 11:19:00, 80, 80.05, 80, 80.05, 2025
2016-09-30 11:20:00, 80.05, 80.1, 80.05, 80.05, 3160
2016-09-30 11:21:00, 80.05, 80.15, 80, 80, 42309
2016-09-30 11:22:00, 80, 80, 79.95, 79.95, 38980
2016-09-30 11:23:00, 79.9, 79.9, 79.8, 79.9, 32259
2016-09-30 11:24:00, 79.9, 79.95, 79.85, 79.9, 13060
2016-09-30 11:25:00, 79.9, 79.95, 79.9, 79.95, 10055
2016-09-30 11:26:00, 79.95, 80, 79.95, 80, 6811
2016-09-30 11:27:00, 80, 80, 79.95, 79.95, 1696
2016-09-30 11:28:00, 80, 80.05, 79.95, 80, 10726
