Date,Open,High,Low,Close,Volume
2016-09-30 09:15:00, 64, 65.35, 64, 65.25, 102496
2016-09-30 09:16:00, 65.25, 66.3, 65.1, 66.2, 246563
2016-09-30 09:17:00, 66.25, 66.85, 66.05, 66.2, 238387
2016-09-30 09:18:00, 66.35, 66.65, 66.25, 66.45, 264279
2016-09-30 09:19:00, 66.5, 66.5, 65.9, 66.1, 461014
2016-09-30 09:20:00, 65.9, 65.95, 65.5, 65.6, 138067
2016-09-30 09:21:00, 65.6, 65.65, 65.45, 65.55, 108387
2016-09-30 09:22:00, 65.4, 65.4, 64.95, 65.05, 140040
2016-09-30 09:23:00, 65.2, 65.45, 65.2, 65.35, 74372
2016-09-30 09:25:00, 65.05, 65.35, 65.05, 65.1, 38618
2016-09-30 09:24:00, 65.35, 65.35, 65.05, 65.05, 104283
2016-09-30 09:26:00, 65.1, 65.4, 65.05, 65.3, 29970
2016-09-30 09:27:00, 65.35, 65.75, 65.25, 65.6, 87618
2016-09-30 09:28:00, 65.6, 66, 65.6, 65.65, 76216
2016-09-30 09:29:00, 65.65, 65.65, 65.3, 65.3, 58361
2016-09-30 09:30:00, 65.3, 65.8, 65.25, 65.7, 106183
2016-09-30 09:31:00, 65.6, 66, 65.55, 65.9, 70299
2016-09-30 09:32:00, 65.9, 66.2, 65.85, 66.05, 210067
2016-09-30 09:34:00, 66.2, 66.25, 65.95, 66.05, 37212
2016-09-30 09:33:00, 66, 66.3, 65.95, 66.15, 70016
2016-09-30 09:35:00, 66.05, 66.25, 66, 66.2, 17437
2016-09-30 09:36:00, 66.2, 66.3, 66.1, 66.3, 101016
2016-09-30 09:37:00, 66.3, 66.3, 65.9, 65.9, 31384
2016-09-30 09:40:00, 66.3, 66.5, 66.2, 66.25, 51738
2016-09-30 09:38:00, 65.9, 66.35, 65.9, 66.2, 32933
2016-09-30 09:39:00, 66.2, 66.3, 66, 66.3, 42567
2016-09-30 09:41:00, 66.25, 66.4, 66.1, 66.3, 36537
2016-09-30 09:42:00, 66.45, 66.45, 66.25, 66.4, 12851
2016-09-30 09:43:00, 66.4, 66.5, 66.25, 66.45, 54930
2016-09-30 09:44:00, 66.45, 66.7, 66.35, 66.7, 53918
2016-09-30 09:45:00, 66.7, 66.7, 66.4, 66.55, 68523
2016-09-30 09:46:00, 66.6, 66.65, 66.4, 66.4, 49611
2016-09-30 09:47:00, 66.4, 66.6, 66.4, 66.55, 52954
2016-09-30 09:48:00, 66.5, 66.65, 66.4, 66.65, 52056
2016-09-30 09:49:00, 66.65, 66.75, 66.5, 66.55, 38680
2016-09-30 09:50:00, 66.55, 66.6, 66.5, 66.5, 8939
2016-09-30 09:51:00, 66.5, 66.55, 66.3, 66.4, 99744
2016-09-30 09:52:00, 66.3, 66.45, 66.25, 66.35, 45671
2016-09-30 09:53:00, 66.35, 66.35, 66.15, 66.15, 38628
2016-09-30 09:54:00, 66.15, 66.2, 66, 66, 39006
2016-09-30 09:55:00, 66.05, 66.25, 66.05, 66.15, 56300
2016-09-30 09:56:00, 66.15, 66.2, 66, 66, 38410
2016-09-30 09:57:00, 66.05, 66.15, 65.8, 65.8, 49285
2016-09-30 09:58:00, 65.8, 66, 65.65, 65.9, 61190
2016-09-30 09:59:00, 65.9, 66.1, 65.8, 66, 49327
2016-09-30 10:00:00, 66, 66, 65.8, 65.8, 23659
2016-09-30 10:01:00, 65.8, 65.9, 65.7, 65.8, 21818
2016-09-30 10:02:00, 65.8, 65.8, 65.55, 65.7, 35456
2016-09-30 10:03:00, 65.7, 65.9, 65.7, 65.9, 103335
2016-09-30 10:04:00, 65.85, 65.95, 65.8, 65.8, 14965
2016-09-30 10:05:00, 65.8, 66.25, 65.8, 66.2, 44730
2016-09-30 10:06:00, 66.2, 66.25, 66.15, 66.2, 11621
2016-09-30 10:07:00, 66.2, 66.2, 66.1, 66.1, 16565
2016-09-30 10:09:00, 66.15, 66.2, 66, 66.05, 31549
2016-09-30 10:08:00, 66.1, 66.15, 66, 66.15, 19634
2016-09-30 10:10:00, 66, 66.1, 65.9, 66.05, 27223
2016-09-30 10:11:00, 66.05, 66.05, 65.9, 66, 4552
2016-09-30 10:12:00, 66, 66.1, 65.9, 66.1, 23651
2016-09-30 10:13:00, 66.1, 66.3, 65.95, 66.15, 18417
2016-09-30 10:14:00, 66.15, 66.25, 66.05, 66.05, 12720
2016-09-30 10:15:00, 66.05, 66.1, 65.8, 66, 53099
2016-09-30 10:16:00, 66, 66.15, 65.95, 66.15, 15440
2016-09-30 10:17:00, 66.15, 66.15, 66, 66, 45738
2016-09-30 10:18:00, 66, 66.15, 66, 66.1, 7969
2016-09-30 10:19:00, 66.1, 66.25, 66.1, 66.15, 16953
2016-09-30 10:20:00, 66.15, 66.25, 66.05, 66.05, 12061
2016-09-30 10:21:00, 66.05, 66.15, 66, 66.1, 7951
2016-09-30 10:22:00, 66.1, 66.1, 66, 66.1, 1988
2016-09-30 10:23:00, 66.1, 66.1, 66, 66, 7208
2016-09-30 10:24:00, 66, 66.15, 66, 66.1, 35007
2016-09-30 10:25:00, 66.1, 66.25, 66.05, 66.1, 25771
2016-09-30 10:26:00, 66.1, 66.6, 66.1, 66.6, 131827
2016-09-30 10:27:00, 66.55, 66.6, 66.4, 66.55, 12710
2016-09-30 10:28:00, 66.5, 66.9, 66.5, 66.9, 173584
2016-09-30 10:29:00, 66.85, 66.9, 66.55, 66.55, 21415
2016-09-30 10:30:00, 66.55, 66.7, 66.55, 66.6, 53663
2016-09-30 10:31:00, 66.6, 66.7, 66.55, 66.55, 23608
2016-09-30 10:32:00, 66.55, 66.8, 66.55, 66.75, 54331
2016-09-30 10:33:00, 66.7, 66.85, 66.65, 66.8, 55434
2016-09-30 10:34:00, 66.8, 66.8, 66.65, 66.7, 16170
2016-09-30 10:35:00, 66.7, 67, 66.7, 67, 85742
2016-09-30 10:36:00, 67, 67, 66.8, 66.9, 74783
2016-09-30 10:37:00, 66.9, 67, 66.9, 66.95, 73655
2016-09-30 10:38:00, 66.95, 67, 66.9, 66.95, 35841
2016-09-30 10:39:00, 67, 67.2, 66.9, 67.1, 109577
2016-09-30 10:40:00, 67.1, 67.1, 66.9, 67.05, 59290
2016-09-30 10:41:00, 67.05, 67.1, 67, 67.05, 28468
2016-09-30 10:42:00, 67.05, 67.15, 67, 67.15, 17403
2016-09-30 10:43:00, 67.15, 67.15, 66.9, 66.95, 49305
2016-09-30 10:44:00, 66.95, 67.05, 66.7, 66.7, 82918
2016-09-30 10:45:00, 66.7, 66.75, 66.65, 66.75, 21194
2016-09-30 10:46:00, 66.75, 66.75, 66.5, 66.55, 47772
2016-09-30 10:47:00, 66.55, 66.6, 66.4, 66.6, 43861
2016-09-30 10:48:00, 66.6, 66.65, 66.4, 66.5, 15904
2016-09-30 10:49:00, 66.55, 66.55, 66.3, 66.3, 24234
2016-09-30 10:50:00, 66.3, 66.75, 66.3, 66.6, 49618
2016-09-30 10:51:00, 66.6, 66.65, 66.45, 66.45, 23011
2016-09-30 10:52:00, 66.45, 66.5, 66.3, 66.35, 21801
2016-09-30 10:53:00, 66.35, 66.65, 66.35, 66.6, 22029
2016-09-30 10:54:00, 66.6, 66.75, 66.55, 66.75, 34391
2016-09-30 10:55:00, 66.7, 66.85, 66.65, 66.75, 31576
2016-09-30 10:56:00, 66.75, 66.75, 66.6, 66.75, 17341
2016-09-30 10:57:00, 66.75, 66.75, 66.6, 66.65, 9116
2016-09-30 10:58:00, 66.65, 66.65, 66.6, 66.65, 3282
2016-09-30 10:59:00, 66.65, 66.75, 66.65, 66.65, 9294
2016-09-30 11:00:00, 66.75, 66.8, 66.7, 66.8, 14327
2016-09-30 11:01:00, 66.8, 66.9, 66.7, 66.85, 33620
2016-09-30 11:02:00, 66.85, 66.9, 66.7, 66.7, 5794
2016-09-30 11:03:00, 66.7, 66.8, 66.7, 66.7, 1563
2016-09-30 11:04:00, 66.7, 66.9, 66.7, 66.85, 14143
2016-09-30 11:05:00, 66.85, 66.9, 66.7, 66.75, 17382
2016-09-30 11:06:00, 66.75, 66.9, 66.75, 66.9, 25110
2016-09-30 11:07:00, 66.85, 66.9, 66.8, 66.9, 14234
2016-09-30 11:08:00, 66.9, 66.9, 66.8, 66.9, 30357
2016-09-30 11:09:00, 66.9, 66.95, 66.8, 66.9, 19410
2016-09-30 11:10:00, 66.9, 67.1, 66.85, 67.05, 62096
2016-09-30 11:11:00, 67.05, 67.35, 67, 67.3, 134193
2016-09-30 11:12:00, 67.3, 67.35, 67.2, 67.25, 44299
2016-09-30 11:13:00, 67.25, 67.25, 67.1, 67.15, 24806
2016-09-30 11:14:00, 67.15, 67.25, 66.9, 67, 26433
2016-09-30 11:15:00, 67, 67.1, 66.9, 67, 45959
2016-09-30 11:16:00, 66.9, 67, 66.85, 66.95, 29296
2016-09-30 11:17:00, 66.9, 67.05, 66.9, 67.05, 31936
2016-09-30 11:18:00, 67.05, 67.15, 66.95, 67.05, 55639
2016-09-30 11:19:00, 67.05, 67.15, 67, 67, 19891
2016-09-30 11:20:00, 67, 67.1, 67, 67.1, 45133
2016-09-30 11:21:00, 67.1, 67.1, 67.05, 67.05, 16502
2016-09-30 11:22:00, 67.05, 67.1, 67.05, 67.05, 12759
2016-09-30 11:23:00, 67.05, 67.1, 67.05, 67.05, 7466
2016-09-30 11:24:00, 67.05, 67.2, 67.05, 67.2, 13618
2016-09-30 11:25:00, 67.15, 67.2, 67.05, 67.1, 12703
2016-09-30 11:26:00, 67.1, 67.1, 66.95, 66.95, 24268
2016-09-30 11:27:00, 66.95, 67, 66.9, 67, 8800
2016-09-30 11:28:00, 67, 67, 66.9, 66.95, 7589
2016-09-30 11:29:00, 67, 67, 66.9, 67, 2264
2016-09-30 11:30:00, 67, 67, 66.9, 66.9, 13805
2016-09-30 11:31:00, 66.9, 66.95, 66.9, 66.9, 17713
