Date,Open,High,Low,Close,Volume
2016-09-30 09:15:00, 463, 469.8, 461, 468.9, 58721
2016-09-30 09:16:00, 468.55, 469, 464.95, 466.7, 45165
2016-09-30 09:17:00, 466.65, 467.65, 466.25, 467.5, 31910
2016-09-30 09:18:00, 467.15, 467.8, 466, 467.15, 25753
2016-09-30 09:19:00, 467.15, 469.95, 465.6, 465.9, 60709
2016-09-30 09:20:00, 466.2, 466.2, 459.75, 460.5, 44362
2016-09-30 09:21:00, 460.25, 460.25, 458.05, 459.4, 36971
2016-09-30 09:22:00, 459.4, 459.75, 456, 459.4, 46474
2016-09-30 09:23:00, 459.8, 460.5, 458.35, 459.8, 41536
2016-09-30 09:24:00, 459, 461, 458.5, 460.8, 15517
2016-09-30 09:25:00, 460.85, 462.6, 459.1, 461.8, 36481
2016-09-30 09:26:00, 462.15, 464.4, 462.15, 463.9, 22673
2016-09-30 09:27:00, 464.4, 467, 464.3, 466.5, 26247
2016-09-30 09:30:00, 467, 467.9, 466.7, 467.5, 18399
2016-09-30 09:29:00, 467.4, 467.9, 466.7, 467, 21874
2016-09-30 09:28:00, 466.55, 467.65, 466, 467.3, 23339
2016-09-30 09:31:00, 467.55, 469, 467.15, 469, 21242
2016-09-30 09:32:00, 469.5, 470.8, 468.9, 468.9, 27599
2016-09-30 09:33:00, 468.9, 470, 468.65, 469.8, 10862
2016-09-30 09:34:00, 469.5, 470, 469.1, 469.85, 14200
2016-09-30 09:35:00, 469.55, 470, 468.45, 469.1, 9022
2016-09-30 09:37:00, 475.15, 475.4, 472.45, 473.2, 39590
2016-09-30 09:36:00, 469, 475.5, 468.9, 475.5, 66589
2016-09-30 09:38:00, 473.35, 476, 473.35, 475.5, 39569
2016-09-30 09:39:00, 474.8, 476, 472.5, 473, 35201
2016-09-30 09:40:00, 473.1, 474, 472.1, 472.75, 23049
2016-09-30 09:41:00, 472.8, 474.8, 472.65, 473, 12432
2016-09-30 09:42:00, 473, 473.45, 472, 472.3, 15401
2016-09-30 09:43:00, 472.3, 473.7, 472.3, 473.05, 12900
2016-09-30 09:44:00, 473.1, 473.7, 473, 473.7, 6498
2016-09-30 09:45:00, 473.7, 474.8, 473.5, 473.7, 13025
2016-09-30 09:46:00, 473.9, 474.4, 473.45, 473.6, 8311
