Date,Open,High,Low,Close,Volume
2016-09-30 09:15:00, 74.9, 75.25, 74.7, 75.25, 126127
2016-09-30 09:17:00, 75.8, 76, 75.6, 75.65, 68235
2016-09-30 09:16:00, 75.3, 75.8, 75.3, 75.7, 57884
2016-09-30 09:18:00, 75.5, 75.65, 75.5, 75.65, 51809
2016-09-30 09:19:00, 75.65, 75.65, 75.25, 75.3, 38167
2016-09-30 09:20:00, 75.25, 75.3, 75, 75, 83479
2016-09-30 09:21:00, 75.05, 75.05, 74.8, 74.9, 122529
2016-09-30 09:22:00, 75, 75, 74.65, 74.7, 37543
2016-09-30 09:24:00, 75.05, 75.05, 74.9, 75.05, 24804
2016-09-30 09:23:00, 74.75, 75.1, 74.7, 75.05, 50826
2016-09-30 09:25:00, 75, 75.1, 75, 75.1, 16504
2016-09-30 09:26:00, 75.1, 75.45, 75, 75.4, 88260
2016-09-30 09:27:00, 75.45, 75.65, 75.3, 75.5, 37180
2016-09-30 09:28:00, 75.6, 75.9, 75.5, 75.5, 87843
2016-09-30 09:29:00, 75.55, 75.65, 75.45, 75.45, 45017
2016-09-30 09:30:00, 75.45, 75.7, 75.45, 75.65, 29205
2016-09-30 09:31:00, 75.6, 75.7, 75.55, 75.65, 18273
2016-09-30 09:32:00, 75.65, 75.85, 75.4, 75.55, 48488
2016-09-30 09:33:00, 75.55, 75.6, 75.45, 75.45, 66312
2016-09-30 09:34:00, 75.45, 75.7, 75.4, 75.7, 57529
2016-09-30 09:35:00, 75.85, 75.85, 75.6, 75.6, 57504
2016-09-30 09:36:00, 75.6, 75.7, 75.5, 75.6, 24950
2016-09-30 09:37:00, 75.6, 75.7, 75.45, 75.45, 28715
2016-09-30 09:38:00, 75.4, 75.55, 75.4, 75.55, 26241
2016-09-30 09:39:00, 75.55, 75.65, 75.5, 75.6, 28228
2016-09-30 09:40:00, 75.6, 75.65, 75.5, 75.55, 27726
2016-09-30 09:41:00, 75.55, 75.55, 75.4, 75.45, 7705
2016-09-30 09:42:00, 75.45, 75.65, 75.4, 75.55, 7461
2016-09-30 09:43:00, 75.6, 75.65, 75.55, 75.6, 8620
2016-09-30 09:44:00, 75.6, 75.75, 75.55, 75.7, 30386
2016-09-30 09:45:00, 75.7, 75.75, 75.6, 75.65, 19096
2016-09-30 09:46:00, 75.65, 75.7, 75.55, 75.65, 19686
2016-09-30 09:47:00, 75.65, 75.9, 75.65, 75.8, 35624
2016-09-30 09:48:00, 75.75, 75.9, 75.6, 75.6, 25167
2016-09-30 09:49:00, 75.6, 75.8, 75.6, 75.7, 17412
2016-09-30 09:50:00, 75.7, 75.8, 75.65, 75.75, 11347
2016-09-30 09:51:00, 75.75, 75.75, 75.65, 75.65, 20256
2016-09-30 09:52:00, 75.65, 75.7, 75.6, 75.65, 13152
2016-09-30 09:53:00, 75.65, 75.65, 75.05, 75.25, 113071
2016-09-30 09:54:00, 75.2, 75.35, 75.05, 75.15, 22006
2016-09-30 09:55:00, 75.15, 75.15, 75, 75.05, 115551
2016-09-30 09:56:00, 75.05, 75.2, 75.05, 75.15, 26916
2016-09-30 09:57:00, 75.1, 75.25, 75.1, 75.25, 32812
2016-09-30 09:58:00, 75.25, 75.25, 75.15, 75.2, 4494
2016-09-30 09:59:00, 75.2, 75.3, 75.1, 75.3, 8957
2016-09-30 10:00:00, 75.3, 75.3, 75.1, 75.2, 5745
2016-09-30 10:01:00, 75.05, 75.1, 75, 75.05, 22948
2016-09-30 10:02:00, 75.05, 75.15, 75, 75.05, 83174
2016-09-30 10:03:00, 75.1, 75.15, 75.1, 75.1, 13519
2016-09-30 10:04:00, 75.1, 75.15, 75.1, 75.15, 27298
2016-09-30 10:05:00, 75.15, 75.5, 75.1, 75.5, 8514
2016-09-30 10:06:00, 75.5, 75.55, 75.4, 75.5, 18858
2016-09-30 10:07:00, 75.5, 75.5, 75.35, 75.35, 4379
2016-09-30 10:08:00, 75.35, 75.5, 75.3, 75.45, 6168
2016-09-30 10:09:00, 75.45, 75.45, 75.35, 75.35, 3608
2016-09-30 10:10:00, 75.35, 75.4, 75.25, 75.3, 7305
2016-09-30 10:11:00, 75.3, 75.3, 75.15, 75.25, 10476
2016-09-30 10:12:00, 75.25, 75.3, 75.15, 75.25, 4932
2016-09-30 10:13:00, 75.25, 75.35, 75.2, 75.3, 10770
2016-09-30 10:14:00, 75.3, 75.3, 75.2, 75.3, 4668
2016-09-30 10:15:00, 75.3, 75.3, 75.05, 75.1, 8646
2016-09-30 10:16:00, 75.1, 75.15, 75, 75.1, 41720
2016-09-30 10:17:00, 75.2, 75.3, 75.15, 75.15, 6536
2016-09-30 10:18:00, 75.15, 75.3, 75.1, 75.2, 10460
