Date,Open,High,Low,Close,Volume
2016-09-30 09:15:00, 928.2, 935.1, 928.2, 930, 10956
2016-09-30 09:16:00, 930, 932.4, 927.75, 932.2, 8514
2016-09-30 09:17:00, 932.7, 934.75, 932.25, 932.25, 5330
2016-09-30 09:18:00, 932.25, 933.5, 929, 931.15, 6990
2016-09-30 09:20:00, 927.95, 928, 917.3, 917.3, 9654
2016-09-30 09:19:00, 931.4, 932.25, 927.05, 927.95, 6486
2016-09-30 09:22:00, 922.25, 922.25, 918, 919.7, 6129
2016-09-30 09:21:00, 916.9, 922.8, 916.5, 921.75, 9050
2016-09-30 09:23:00, 919.7, 924.8, 919.7, 922.25, 2998
2016-09-30 09:24:00, 922.25, 924.05, 921, 924.05, 4452
2016-09-30 09:25:00, 923.95, 924.7, 921.2, 921.55, 1524
2016-09-30 09:26:00, 921.5, 927.4, 921, 926.25, 7572
2016-09-30 09:28:00, 925.8, 929.4, 925.8, 927.85, 5782
2016-09-30 09:27:00, 926.15, 926.85, 924.3, 926, 2793
2016-09-30 09:29:00, 927.1, 928.8, 925.5, 928.8, 3702
2016-09-30 09:30:00, 928.05, 930.95, 927, 929, 8616
2016-09-30 09:31:00, 929.45, 930.45, 928.5, 930.1, 4704
2016-09-30 09:32:00, 930.1, 934.4, 930.1, 931.9, 11843
2016-09-30 09:33:00, 930.65, 933, 930.65, 933, 5978
2016-09-30 09:34:00, 933, 935.95, 932.6, 934.7, 5353
2016-09-30 09:35:00, 936.45, 940.45, 936, 938.9, 10070
2016-09-30 09:36:00, 938.25, 938.9, 934.9, 937.55, 4779
2016-09-30 09:37:00, 937.55, 937.55, 934.3, 937, 4686
2016-09-30 09:38:00, 936.6, 936.6, 934.4, 934.55, 2337
2016-09-30 09:39:00, 934.55, 935.25, 933.6, 933.6, 4131
2016-09-30 09:40:00, 933.8, 936.15, 933.4, 933.9, 3499
2016-09-30 09:41:00, 934.9, 936.55, 932.55, 934.55, 3361
2016-09-30 09:42:00, 934.25, 935.4, 932.9, 933.2, 2616
2016-09-30 09:43:00, 933.2, 934.5, 933.05, 933.65, 7496
2016-09-30 09:44:00, 933.3, 934, 933.05, 934, 1032
2016-09-30 09:45:00, 933.3, 934.75, 933, 933.7, 2319
2016-09-30 09:46:00, 933.8, 934, 932.5, 932.5, 882
2016-09-30 09:47:00, 932.9, 934.65, 932.35, 933.1, 1336
2016-09-30 09:48:00, 933.1, 934.5, 931.25, 934.5, 2505
2016-09-30 09:49:00, 934, 934.75, 933, 933, 2667
2016-09-30 09:50:00, 933, 933.85, 933, 933.35, 1415
2016-09-30 09:51:00, 933.3, 934.3, 932.35, 934.3, 2270
2016-09-30 09:52:00, 934.3, 934.3, 933.05, 933.4, 1004
2016-09-30 09:53:00, 932.3, 934.5, 930, 934.05, 8552
2016-09-30 09:54:00, 934.4, 934.5, 934, 934, 6125
2016-09-30 09:55:00, 934.05, 935.4, 934, 934.7, 2527
2016-09-30 09:56:00, 934.1, 934.4, 934, 934.4, 2849
2016-09-30 09:57:00, 934.4, 935.95, 934, 934.05, 2129
2016-09-30 09:58:00, 934.05, 934.15, 933.4, 933.4, 535
2016-09-30 09:59:00, 933.4, 933.4, 931.2, 931.85, 2210
2016-09-30 10:00:00, 931.85, 932.35, 930.4, 930.4, 1124
2016-09-30 10:01:00, 930.4, 931.1, 929.25, 931.1, 3537
2016-09-30 10:02:00, 931.9, 931.9, 929.7, 929.7, 1352
2016-09-30 10:03:00, 929.7, 931.9, 929.35, 930.6, 2986
2016-09-30 10:04:00, 930.6, 931.65, 930.6, 931.4, 1149
2016-09-30 10:05:00, 931.4, 933, 930.65, 933, 3338
2016-09-30 10:06:00, 933, 934, 932.65, 933.35, 1343
2016-09-30 10:07:00, 933.35, 933.4, 932, 932, 2381
2016-09-30 10:08:00, 932.15, 933, 931.35, 932.15, 994
2016-09-30 10:09:00, 932.15, 933, 932, 932.1, 725
2016-09-30 10:10:00, 932.35, 932.35, 930.8, 932, 3318
2016-09-30 10:11:00, 932, 932.75, 932, 932, 785
2016-09-30 10:12:00, 932, 933, 931.95, 933, 2079
2016-09-30 10:13:00, 933, 934.15, 933, 933.8, 1080
2016-09-30 10:14:00, 933.8, 934, 932, 932, 599
2016-09-30 10:15:00, 932, 932.6, 931.95, 932.1, 514
2016-09-30 10:16:00, 932.1, 934, 932, 933.1, 2328
2016-09-30 10:17:00, 933.1, 933.9, 932.6, 932.6, 638
2016-09-30 10:18:00, 932.05, 933.3, 932.05, 932.05, 737
2016-09-30 10:19:00, 932.05, 933.55, 932, 932.6, 681
2016-09-30 10:20:00, 932.6, 933, 932, 932.05, 347
2016-09-30 10:21:00, 932.05, 933, 932.05, 932.4, 784
2016-09-30 10:22:00, 932.4, 932.7, 932, 932.05, 842
2016-09-30 10:23:00, 932, 933.4, 932, 932.5, 1453
2016-09-30 10:24:00, 932.5, 934.55, 932.5, 933.3, 1594
2016-09-30 10:25:00, 933.3, 934.15, 933.25, 933.25, 310
2016-09-30 10:26:00, 933.35, 935, 933.2, 934.65, 1510
2016-09-30 10:27:00, 934.45, 936.6, 934.05, 935.95, 1983
2016-09-30 10:28:00, 935.45, 936.55, 935.2, 936.55, 2021
2016-09-30 10:29:00, 936.6, 936.7, 935.35, 936.05, 1174
2016-09-30 10:30:00, 936.05, 936.9, 936.05, 936.7, 1870
