Date,Open,High,Low,Close,Volume
2016-09-30 09:15:00, 422.95, 425, 422, 424.9, 19031
2016-09-30 09:16:00, 424.8, 426.5, 424.65, 426.45, 15345
2016-09-30 09:17:00, 426.6, 428.65, 426.6, 428.5, 17783
2016-09-30 09:18:00, 428.6, 431.6, 428.5, 431.6, 17879
2016-09-30 09:19:00, 432, 434.9, 431.55, 433.25, 26799
2016-09-30 09:20:00, 433.25, 433.25, 429.25, 429.25, 24324
2016-09-30 09:21:00, 429, 429.2, 427.2, 427.2, 23488
2016-09-30 09:22:00, 427.2, 427.45, 426.3, 427.45, 11597
2016-09-30 09:23:00, 427.45, 430.25, 427.45, 428.6, 18598
2016-09-30 09:24:00, 428.65, 429.45, 427.75, 427.8, 21902
2016-09-30 09:25:00, 428.3, 428.45, 427.6, 427.95, 8502
2016-09-30 09:26:00, 427.95, 429.5, 427.5, 428.3, 10001
2016-09-30 09:27:00, 428.3, 431.5, 428.3, 430.2, 21412
2016-09-30 09:28:00, 430.2, 432.1, 429.95, 430, 9329
2016-09-30 09:29:00, 430.3, 431, 430, 430.5, 8502
2016-09-30 09:30:00, 430.65, 431.25, 430, 431.25, 4468
2016-09-30 09:31:00, 431.25, 431.25, 430.15, 430.65, 9127
2016-09-30 09:32:00, 430.65, 431.9, 430.65, 431.1, 8051
2016-09-30 09:33:00, 431, 432.45, 430.8, 431.85, 6675
2016-09-30 09:34:00, 431.85, 432.25, 431.7, 432.2, 2214
2016-09-30 09:35:00, 432.2, 434.5, 432.2, 434.5, 16342
2016-09-30 09:36:00, 434.4, 434.6, 433.6, 434, 8788
2016-09-30 09:37:00, 434, 434, 433.05, 433.4, 7267
2016-09-30 09:38:00, 433.15, 435.2, 433.15, 435.1, 20402
2016-09-30 09:39:00, 435.3, 435.95, 435, 435.25, 15303
2016-09-30 09:40:00, 435.25, 437, 435.25, 435.75, 17225
2016-09-30 09:42:00, 434.95, 435.8, 434.95, 435.4, 8069
2016-09-30 09:41:00, 436, 436.55, 434.5, 434.9, 8121
2016-09-30 09:43:00, 435.4, 435.8, 434.9, 435.55, 5964
2016-09-30 09:44:00, 435.5, 435.55, 434.35, 434.9, 8449
2016-09-30 09:45:00, 434.85, 435, 434.5, 434.7, 4868
2016-09-30 09:46:00, 434.8, 434.8, 434.25, 434.5, 3543
2016-09-30 09:47:00, 434.5, 435.4, 434.5, 435.4, 7142
2016-09-30 09:48:00, 435.25, 436.45, 435.25, 436.45, 5408
2016-09-30 09:49:00, 436.4, 436.5, 435.6, 435.8, 2580
2016-09-30 09:50:00, 435.8, 435.8, 435.05, 435.4, 1526
2016-09-30 09:51:00, 435.45, 435.65, 434.9, 434.95, 5613
2016-09-30 09:52:00, 434.55, 434.65, 434.1, 434.15, 6014
2016-09-30 09:53:00, 434.15, 434.25, 433.45, 433.45, 5943
2016-09-30 09:54:00, 433.45, 433.85, 432.95, 433.25, 5672
2016-09-30 09:55:00, 433.25, 433.25, 432, 432.4, 12145
2016-09-30 09:56:00, 432.4, 432.8, 431.4, 431.45, 6095
2016-09-30 09:57:00, 431.65, 432.4, 431.3, 432.4, 5200
2016-09-30 09:58:00, 432.4, 433.25, 432, 432.7, 2904
2016-09-30 09:59:00, 432.4, 432.6, 431.5, 431.6, 2325
2016-09-30 10:00:00, 431.5, 431.55, 431, 431.45, 4636
2016-09-30 10:01:00, 431.1, 433, 430.5, 432.45, 8436
2016-09-30 10:02:00, 432.45, 433, 431, 431.6, 3351
2016-09-30 10:03:00, 431.7, 432, 430.6, 431, 7883
2016-09-30 10:04:00, 431, 431.2, 430.85, 430.9, 2860
2016-09-30 10:05:00, 431.1, 433.55, 430.85, 433.2, 13346
2016-09-30 10:06:00, 433.2, 433.55, 431.15, 431.2, 3946
2016-09-30 10:07:00, 431.45, 431.75, 431.05, 431.4, 4560
2016-09-30 10:08:00, 431.35, 431.85, 431.15, 431.75, 4255
2016-09-30 10:09:00, 431.75, 431.85, 431.45, 431.75, 2829
2016-09-30 10:10:00, 431.75, 431.75, 431, 431.05, 4065
2016-09-30 10:11:00, 431.05, 431.5, 430.95, 431.3, 4434
2016-09-30 10:12:00, 431.3, 431.45, 430.8, 431, 7992
2016-09-30 10:13:00, 431, 431.5, 431, 431.5, 1153
2016-09-30 10:14:00, 431.5, 431.5, 430.7, 430.7, 3542
2016-09-30 10:15:00, 430.7, 430.95, 430.1, 430.3, 8697
2016-09-30 10:16:00, 430.3, 431, 430, 431, 10215
2016-09-30 10:17:00, 430.85, 431, 430.65, 430.75, 4053
2016-09-30 10:18:00, 430.75, 431.4, 430.6, 431.35, 1603
2016-09-30 10:19:00, 431.35, 431.8, 431.3, 431.55, 2103
2016-09-30 10:20:00, 431.55, 431.55, 430.5, 431.4, 4144
2016-09-30 10:21:00, 431.4, 431.5, 430.6, 430.9, 16944
2016-09-30 10:22:00, 430.9, 431.85, 430.9, 431.25, 9675
2016-09-30 10:23:00, 431.25, 431.75, 431.25, 431.5, 939
2016-09-30 10:24:00, 431.3, 431.5, 431, 431.1, 3125
2016-09-30 10:25:00, 431.35, 431.8, 431.2, 431.2, 4898
2016-09-30 10:26:00, 431.2, 431.9, 431.2, 431.4, 1429
2016-09-30 10:27:00, 431.4, 431.5, 431, 431.15, 1826
2016-09-30 10:28:00, 431.5, 432, 430.75, 432, 4536
2016-09-30 10:29:00, 431.8, 432.5, 431.5, 432, 4253
2016-09-30 10:30:00, 432, 432, 431.5, 431.5, 1242
2016-09-30 10:31:00, 431.8, 431.8, 431.35, 431.5, 801
2016-09-30 10:32:00, 431.5, 431.5, 430.5, 430.7, 7648
2016-09-30 10:33:00, 430.75, 431.35, 430.75, 430.8, 2933
2016-09-30 10:34:00, 430.35, 430.8, 430.1, 430.25, 9728
2016-09-30 10:35:00, 430.2, 430.6, 430.1, 430.55, 810
2016-09-30 10:36:00, 430.55, 430.55, 430, 430, 6652
2016-09-30 10:37:00, 430, 430.4, 430, 430.4, 5106
2016-09-30 10:38:00, 430.4, 430.4, 429.6, 430, 2536
2016-09-30 10:39:00, 430.1, 430.35, 429.8, 430.05, 3085
2016-09-30 10:40:00, 430.25, 431.5, 429.8, 431.5, 10489
2016-09-30 10:41:00, 431.5, 431.5, 431, 431.45, 1587
2016-09-30 10:42:00, 431.05, 431.4, 430.1, 430.65, 1732
2016-09-30 10:43:00, 430.65, 431, 430.65, 430.9, 1769
2016-09-30 10:44:00, 430.9, 430.9, 430.7, 430.9, 1140
2016-09-30 10:45:00, 430.7, 430.9, 429.85, 429.85, 9768
2016-09-30 10:46:00, 430, 430.3, 429.7, 430.2, 4269
2016-09-30 10:47:00, 430.3, 430.7, 429.7, 430.4, 2511
2016-09-30 10:48:00, 430.4, 430.5, 429, 430.2, 3234
2016-09-30 10:49:00, 430.2, 430.95, 429.2, 430, 4303
2016-09-30 10:50:00, 430.5, 430.5, 430, 430.5, 894
2016-09-30 10:51:00, 430.5, 430.5, 429.25, 430.3, 4010
2016-09-30 10:52:00, 430.3, 430.3, 429.5, 429.6, 1515
2016-09-30 10:53:00, 429.2, 430.2, 429.2, 430, 2083
2016-09-30 10:54:00, 430, 430.5, 429.95, 430.5, 894
2016-09-30 10:55:00, 430.5, 430.5, 429.75, 430.25, 1631
2016-09-30 10:56:00, 430.25, 430.45, 429.5, 429.75, 699
2016-09-30 10:57:00, 429.75, 430.5, 429.65, 430.5, 2321
2016-09-30 10:58:00, 430.5, 430.5, 429.55, 430.4, 2948
2016-09-30 10:59:00, 430.4, 430.4, 429.5, 430.35, 4401
2016-09-30 11:00:00, 430.35, 430.5, 429.95, 429.95, 664
2016-09-30 11:01:00, 429.95, 430.4, 429.8, 430.4, 553
2016-09-30 11:02:00, 430.4, 430.4, 429.65, 430.4, 2582
2016-09-30 11:03:00, 430.4, 430.4, 429.5, 429.95, 2898
2016-09-30 11:04:00, 429.95, 430.4, 429.7, 429.7, 721
2016-09-30 11:05:00, 429.9, 429.9, 429.5, 429.8, 2959
2016-09-30 11:06:00, 429.8, 430.3, 429.7, 429.8, 2350
2016-09-30 11:07:00, 429.8, 430, 429.45, 429.45, 2778
2016-09-30 11:08:00, 429.5, 429.5, 429.2, 429.4, 1660
2016-09-30 11:09:00, 429.4, 429.7, 429.15, 429.45, 12404
2016-09-30 11:10:00, 429.45, 429.45, 428.75, 428.95, 2486
2016-09-30 11:11:00, 428.95, 429, 428.7, 428.7, 1623
2016-09-30 11:12:00, 428.7, 428.75, 428.55, 428.75, 2003
2016-09-30 11:13:00, 428.75, 428.75, 428, 428.3, 3694
2016-09-30 11:14:00, 428.2, 428.3, 428.05, 428.2, 2490
2016-09-30 11:15:00, 428.2, 428.7, 428.05, 428.7, 1554
2016-09-30 11:16:00, 428.8, 429, 427, 428.6, 20379
2016-09-30 11:17:00, 428.65, 428.65, 427.5, 427.55, 3646
2016-09-30 11:18:00, 427.35, 428, 427, 427.45, 7021
2016-09-30 11:19:00, 427.45, 427.7, 427, 427.1, 4505
2016-09-30 11:20:00, 427.1, 427.8, 427.1, 427.5, 3497
2016-09-30 11:21:00, 427.2, 428, 427, 427.95, 6029
2016-09-30 11:22:00, 427.95, 427.95, 427.45, 427.7, 1947
2016-09-30 11:23:00, 427.45, 427.7, 427, 427.6, 6504
2016-09-30 11:24:00, 427.6, 427.7, 427.25, 427.45, 643
2016-09-30 11:25:00, 427.45, 427.5, 426.7, 427.25, 1902
2016-09-30 11:26:00, 427.25, 427.25, 425.9, 425.95, 19563
2016-09-30 11:27:00, 425.85, 426.3, 425, 425.25, 15524
2016-09-30 11:28:00, 425.25, 426.8, 425.1, 426.4, 8946
2016-09-30 11:29:00, 426.4, 426.5, 425.6, 425.8, 6515
2016-09-30 11:30:00, 426.4, 426.8, 425.5, 425.8, 11039
2016-09-30 11:31:00, 425.95, 425.95, 425, 425.75, 8091
2016-09-30 11:32:00, 425.75, 426.8, 425.75, 426.5, 5983
2016-09-30 11:33:00, 426.45, 426.45, 425.45, 425.75, 2210
2016-09-30 11:34:00, 425.75, 426.45, 425.75, 425.9, 3052
2016-09-30 11:35:00, 425.5, 426, 425.1, 425.1, 4319
2016-09-30 11:36:00, 425.4, 426.3, 425.35, 426.05, 2686
2016-09-30 11:37:00, 426.05, 427.8, 426, 427.8, 3853
2016-09-30 11:38:00, 427.8, 429.95, 427.35, 429.2, 36384
2016-09-30 11:39:00, 429.2, 429.2, 427.75, 427.75, 2513
2016-09-30 11:40:00, 428, 428, 426.9, 427.45, 5224
2016-09-30 11:41:00, 427.45, 428.25, 427.25, 427.85, 1784
2016-09-30 11:42:00, 427.4, 427.9, 427.05, 427.4, 3068
2016-09-30 11:43:00, 427.4, 427.9, 426.8, 427.15, 9071
2016-09-30 11:44:00, 427.15, 427.35, 426.4, 426.4, 3343
2016-09-30 11:45:00, 426.4, 426.6, 425.5, 426.6, 5198
2016-09-30 11:46:00, 426.6, 426.6, 425.8, 425.95, 1643
2016-09-30 11:47:00, 425.95, 427.5, 425, 427.5, 10251
2016-09-30 11:48:00, 426.95, 427, 425.4, 426.6, 9217
2016-09-30 11:49:00, 426.6, 426.75, 425.6, 426.45, 8743
2016-09-30 11:50:00, 426.45, 426.95, 425.6, 426.95, 11144
2016-09-30 11:51:00, 426.95, 426.95, 426.6, 426.8, 3300
2016-09-30 11:52:00, 426.8, 427.2, 426.5, 426.6, 3528
2016-09-30 11:53:00, 426.6, 427, 425.8, 426.8, 6398
2016-09-30 11:54:00, 426.85, 426.9, 426, 426.25, 1987
2016-09-30 11:55:00, 426.5, 426.5, 425.2, 425.5, 15957
2016-09-30 11:56:00, 426, 426.4, 425.1, 426.15, 5930
2016-09-30 11:57:00, 426.2, 426.2, 425.1, 425.8, 3848
2016-09-30 11:58:00, 425.8, 425.85, 425.05, 425.7, 1307
2016-09-30 11:59:00, 425.7, 425.7, 425, 425.6, 5257
2016-09-30 12:00:00, 425.6, 426.2, 425.15, 426.2, 2964
2016-09-30 12:01:00, 426.2, 426.2, 425.8, 426.1, 3714
2016-09-30 12:02:00, 426.1, 426.2, 425.5, 425.95, 2767
2016-09-30 12:03:00, 425.95, 426, 425.5, 425.9, 509
2016-09-30 12:04:00, 425.9, 425.9, 425, 425.55, 7029
2016-09-30 12:05:00, 425.55, 425.7, 425, 425.35, 2016
2016-09-30 12:06:00, 425.35, 425.55, 425, 425.25, 10133
2016-09-30 12:07:00, 425.25, 425.4, 425, 425.3, 2267
2016-09-30 12:08:00, 425.4, 425.4, 425, 425.15, 2033
2016-09-30 12:09:00, 425.15, 425.25, 423.5, 424.25, 25113
2016-09-30 12:10:00, 424.25, 424.45, 422.85, 422.85, 5926
2016-09-30 12:11:00, 422.35, 423.9, 421.85, 423.9, 18552
2016-09-30 12:12:00, 423.6, 424, 422.6, 423.25, 8738
2016-09-30 12:13:00, 423.25, 423.5, 422.55, 423.4, 5856
2016-09-30 12:14:00, 423.4, 423.7, 421.8, 421.8, 9748
2016-09-30 12:15:00, 421.5, 422.35, 420.6, 422.35, 18794
2016-09-30 12:16:00, 422.35, 423, 421.9, 421.9, 9905
2016-09-30 12:17:00, 421.75, 422.5, 421.55, 422.4, 4258
2016-09-30 12:18:00, 422.4, 423.4, 422.3, 423, 4972
2016-09-30 12:19:00, 423, 423.35, 422.85, 423, 3071
2016-09-30 12:20:00, 423, 423.4, 422.25, 422.4, 6096
2016-09-30 12:21:00, 422.05, 422.85, 422, 422.45, 7144
2016-09-30 12:22:00, 422.7, 422.8, 421.65, 422, 6161
2016-09-30 12:23:00, 422, 422.7, 421.7, 422.2, 2227
2016-09-30 12:24:00, 422.15, 422.95, 421.75, 422.95, 5960
2016-09-30 12:25:00, 422.95, 425.3, 422.5, 425, 16044
2016-09-30 12:26:00, 425, 425.05, 423.75, 423.75, 7474
2016-09-30 12:27:00, 423.75, 424.4, 423.3, 423.4, 3293
2016-09-30 12:28:00, 423.4, 423.6, 423, 423.35, 4654
2016-09-30 12:29:00, 423.35, 423.6, 422.6, 423.35, 7674
2016-09-30 12:30:00, 423.35, 423.95, 422, 423.1, 8786
2016-09-30 12:31:00, 423.1, 424, 422.9, 423.85, 4662
2016-09-30 12:32:00, 423.85, 423.95, 423.4, 423.8, 2079
2016-09-30 12:33:00, 423.8, 423.9, 421.5, 421.5, 10278
2016-09-30 12:34:00, 422, 423.35, 422, 423.35, 13299
2016-09-30 12:35:00, 423.4, 423.95, 422.35, 423.95, 11296
2016-09-30 12:36:00, 423.95, 424, 422.85, 423, 10428
2016-09-30 12:37:00, 423, 423.8, 422.05, 423.5, 4575
2016-09-30 12:38:00, 423, 423.5, 422.5, 422.85, 5305
2016-09-30 12:39:00, 422.85, 423.45, 422.1, 422.7, 7225
2016-09-30 12:40:00, 422.5, 423.35, 422.25, 423.3, 2386
2016-09-30 12:41:00, 423.3, 423.4, 422.65, 422.95, 1479
2016-09-30 12:42:00, 422.95, 423.3, 422.6, 423.1, 468
2016-09-30 12:43:00, 423.1, 423.1, 422.05, 422.05, 2662
2016-09-30 12:44:00, 422.6, 422.9, 422, 422.6, 6470
2016-09-30 12:45:00, 422.9, 422.9, 422.1, 422.9, 1746
2016-09-30 12:46:00, 422.9, 423, 422.05, 422.3, 4773
2016-09-30 12:47:00, 422.7, 423.25, 421.6, 421.6, 3566
2016-09-30 12:48:00, 422, 422.75, 421.6, 422.7, 1936
2016-09-30 12:49:00, 422.75, 423, 421.85, 422.95, 6538
2016-09-30 12:50:00, 422.6, 422.8, 421.85, 421.9, 9399
2016-09-30 12:51:00, 421.9, 421.95, 421, 421.1, 8767
