Date,Open,High,Low,Close,Volume
2016-09-30 09:16:00, 350.6, 354.3, 350.6, 352.9, 1498
2016-09-30 09:15:00, 352.7, 352.7, 349.2, 350.6, 2032
2016-09-30 09:17:00, 354, 355.9, 354, 355, 1709
2016-09-30 09:18:00, 355, 355, 352.9, 353, 1079
2016-09-30 09:19:00, 353, 353.15, 351.6, 352.15, 5582
2016-09-30 09:20:00, 352.15, 352.15, 348.4, 348.4, 1232
2016-09-30 09:22:00, 347.9, 348.65, 346.25, 348.65, 4842
2016-09-30 09:21:00, 348.25, 348.25, 345.8, 347.9, 1778
2016-09-30 09:23:00, 349.1, 350, 347.65, 347.65, 1418
2016-09-30 09:24:00, 347.65, 348.05, 347.35, 347.4, 1180
2016-09-30 09:25:00, 347.4, 348, 346.45, 346.45, 4840
2016-09-30 09:26:00, 346.45, 349.85, 346, 349.7, 2504
2016-09-30 09:27:00, 349.7, 349.7, 348.7, 349.5, 3249
2016-09-30 09:28:00, 349.5, 353.5, 349.5, 353.45, 3327
2016-09-30 09:29:00, 353.45, 354.55, 353.45, 354, 2995
2016-09-30 09:30:00, 354, 354.35, 353.85, 354, 1494
2016-09-30 09:31:00, 354.3, 354.3, 353.6, 353.85, 1496
2016-09-30 09:32:00, 353.85, 353.85, 353, 353.15, 2201
2016-09-30 09:33:00, 353.15, 353.45, 353, 353.05, 2129
2016-09-30 09:34:00, 353.05, 353.4, 353.05, 353.1, 717
2016-09-30 09:35:00, 353.4, 353.95, 353.4, 353.95, 917
2016-09-30 09:36:00, 354, 354.35, 354, 354.35, 139
2016-09-30 09:37:00, 354.05, 354.05, 353.7, 353.7, 65
2016-09-30 09:38:00, 354.25, 354.55, 354.2, 354.55, 773
2016-09-30 09:39:00, 354.9, 356.1, 354.9, 355.3, 2567
2016-09-30 09:40:00, 355.3, 355.8, 354.9, 354.9, 894
2016-09-30 09:42:00, 354.2, 354.2, 354.05, 354.05, 485
2016-09-30 09:41:00, 354.05, 354.45, 354.05, 354.2, 220
