Date,Open,High,Low,Close,Volume
2016-09-30 09:15:00, 273, 273, 269.7, 269.7, 7382
2016-09-30 09:16:00, 270.15, 272.05, 270.15, 272.05, 6675
2016-09-30 09:17:00, 272.3, 273.25, 272.3, 273.25, 8260
2016-09-30 09:18:00, 273.25, 273.75, 273, 273.05, 6388
2016-09-30 09:19:00, 272.75, 272.8, 272.15, 272.55, 5486
2016-09-30 09:20:00, 272.55, 273.05, 272.15, 272.3, 9354
2016-09-30 09:21:00, 271.9, 272.05, 271.25, 272.05, 8327
2016-09-30 09:22:00, 272.05, 272.05, 270.7, 270.95, 5164
2016-09-30 09:23:00, 270.95, 271.55, 270.95, 271.15, 641
2016-09-30 09:25:00, 271, 271.7, 271, 271.45, 2964
2016-09-30 09:24:00, 271.2, 271.2, 270.8, 271.2, 639
2016-09-30 09:26:00, 271.45, 271.75, 271.2, 271.5, 1311
2016-09-30 09:27:00, 271.5, 272.2, 271.5, 271.55, 1122
2016-09-30 09:28:00, 271.55, 271.95, 271.4, 271.7, 4581
2016-09-30 09:29:00, 271.55, 271.75, 271.35, 271.5, 2235
2016-09-30 09:30:00, 271.5, 271.6, 271.2, 271.6, 5010
2016-09-30 09:31:00, 271.6, 271.6, 271.3, 271.5, 3284
2016-09-30 09:32:00, 271.5, 271.7, 271.3, 271.65, 1716
2016-09-30 09:33:00, 271.65, 271.65, 271.5, 271.5, 320
2016-09-30 09:34:00, 271.45, 272, 271.45, 272, 748
2016-09-30 09:35:00, 272, 272.2, 272, 272.1, 1036
2016-09-30 09:36:00, 272.2, 272.35, 272.15, 272.35, 159
2016-09-30 09:37:00, 272.35, 272.35, 272.2, 272.2, 779
2016-09-30 09:39:00, 272.5, 272.5, 272.35, 272.5, 1772
2016-09-30 09:38:00, 272.35, 272.5, 272.35, 272.5, 1138
2016-09-30 09:40:00, 272.5, 272.7, 272.5, 272.5, 1929
2016-09-30 09:41:00, 272.5, 272.8, 272.3, 272.55, 2305
2016-09-30 09:42:00, 272.7, 273, 272.7, 272.8, 471
2016-09-30 09:43:00, 272.8, 273, 272.5, 272.9, 2253
