Date,Open,High,Low,Close,Volume
2016-09-30 09:15:00, 5416, 5453.1, 5416, 5439.65, 11469
2016-09-30 09:16:00, 5438.9, 5442.95, 5428.95, 5441.95, 9780
2016-09-30 09:17:00, 5443.15, 5457.45, 5441.9, 5455, 12854
2016-09-30 09:19:00, 5452, 5452, 5443.45, 5443.45, 952
2016-09-30 09:18:00, 5455, 5455.25, 5449.55, 5452, 3438
2016-09-30 09:20:00, 5443.45, 5444.1, 5415.75, 5419.55, 3963
2016-09-30 09:21:00, 5419.9, 5441.05, 5419.9, 5435, 7910
2016-09-30 09:22:00, 5433.95, 5435.5, 5425.1, 5425.9, 4021
2016-09-30 09:24:00, 5423.35, 5424.95, 5418, 5424.95, 1993
2016-09-30 09:23:00, 5428.2, 5432.45, 5417.6, 5423.35, 3998
2016-09-30 09:25:00, 5421.8, 5429.9, 5421.65, 5429.75, 961
2016-09-30 09:26:00, 5428.3, 5435, 5426.35, 5433.5, 1723
2016-09-30 09:27:00, 5434, 5439, 5434, 5438, 1774
2016-09-30 09:28:00, 5439, 5444.95, 5438.95, 5440.7, 2326
2016-09-30 09:30:00, 5436.8, 5441.8, 5436.2, 5438.4, 1528
2016-09-30 09:29:00, 5439.3, 5439.4, 5434.15, 5436.8, 843
2016-09-30 09:31:00, 5437.05, 5440, 5433.05, 5440, 768
2016-09-30 09:32:00, 5440, 5443.9, 5436.9, 5442.4, 1270
2016-09-30 09:33:00, 5442.4, 5443.5, 5432, 5439.45, 927
2016-09-30 09:34:00, 5439.55, 5440.75, 5436.7, 5440, 906
2016-09-30 09:35:00, 5440, 5446.1, 5439.75, 5444.5, 1298
2016-09-30 09:36:00, 5446, 5478.9, 5444.35, 5475.5, 9478
2016-09-30 09:37:00, 5476.75, 5476.75, 5458.05, 5464.55, 1607
2016-09-30 09:38:00, 5463, 5467.45, 5453.95, 5456.7, 2753
2016-09-30 09:39:00, 5454, 5464.9, 5453.95, 5462.1, 752
2016-09-30 09:40:00, 5462.1, 5464.8, 5458.25, 5458.25, 1544
2016-09-30 09:41:00, 5461.45, 5461.65, 5457, 5460, 624
2016-09-30 09:42:00, 5458, 5463.35, 5455, 5462.1, 1346
2016-09-30 09:43:00, 5463.2, 5463.25, 5458, 5461.95, 661
2016-09-30 09:44:00, 5462.25, 5462.25, 5458.5, 5462.2, 671
2016-09-30 09:45:00, 5462.2, 5462.2, 5458.35, 5461.85, 670
2016-09-30 09:46:00, 5461.95, 5463.8, 5459, 5460.55, 794
2016-09-30 09:47:00, 5460.85, 5464.85, 5460.85, 5463.45, 961
2016-09-30 09:48:00, 5463.45, 5464, 5460, 5462.1, 592
2016-09-30 09:49:00, 5462.1, 5463.55, 5460, 5460, 282
2016-09-30 09:50:00, 5461.4, 5461.8, 5458, 5460.8, 960
2016-09-30 09:51:00, 5460.75, 5460.75, 5455, 5455, 690
2016-09-30 09:52:00, 5457.45, 5457.45, 5452.9, 5453, 888
2016-09-30 09:53:00, 5453.85, 5453.85, 5447.65, 5448, 1703
2016-09-30 09:54:00, 5448.45, 5449.95, 5445, 5445.9, 668
2016-09-30 09:55:00, 5445.9, 5449.9, 5443.6, 5445.75, 773
2016-09-30 09:56:00, 5447, 5449.45, 5444.35, 5446.6, 550
