Date,Open,High,Low,Close,Volume
2016-09-30 09:15:00, 169, 170.2, 168.9, 169, 7344
2016-09-30 09:16:00, 169, 169.7, 169, 169.55, 5927
2016-09-30 09:17:00, 169.55, 170.3, 169.4, 170.3, 16123
2016-09-30 09:18:00, 170.05, 170.6, 170, 170.6, 2322
2016-09-30 09:19:00, 170.7, 170.9, 170.05, 170.3, 7910
2016-09-30 09:20:00, 170.15, 170.4, 169.5, 169.5, 7358
2016-09-30 09:21:00, 169.25, 169.8, 168.7, 169.65, 15061
2016-09-30 09:23:00, 169.25, 169.3, 169.1, 169.1, 1496
2016-09-30 09:22:00, 169.65, 169.65, 169.05, 169.25, 3052
2016-09-30 09:24:00, 169.25, 169.25, 169, 169.1, 5377
2016-09-30 09:25:00, 169, 169.5, 169, 169.5, 7475
2016-09-30 09:26:00, 169.3, 170, 169.25, 170, 2015
2016-09-30 09:27:00, 170.05, 170.35, 169.9, 170.15, 3248
2016-09-30 09:28:00, 169.75, 169.9, 169.45, 169.6, 10247
2016-09-30 09:30:00, 170.1, 170.3, 170.1, 170.15, 2936
2016-09-30 09:29:00, 169.65, 170.3, 169.65, 170.1, 1867
2016-09-30 09:31:00, 170.2, 170.2, 169.95, 170.05, 2597
2016-09-30 09:32:00, 170.05, 170.2, 170, 170, 1756
2016-09-30 09:33:00, 170.2, 170.2, 169.75, 169.8, 618
2016-09-30 09:34:00, 169.8, 169.9, 169.8, 169.9, 725
2016-09-30 09:35:00, 169.9, 170.1, 169.8, 170, 516
2016-09-30 09:36:00, 170, 170.8, 170, 170.8, 1527
2016-09-30 09:37:00, 170.8, 170.95, 170.1, 170.6, 3065
2016-09-30 09:38:00, 170.6, 170.75, 170.6, 170.75, 694
2016-09-30 09:39:00, 170.75, 170.75, 170.5, 170.55, 1153
2016-09-30 09:40:00, 170.55, 170.8, 170.35, 170.8, 2245
2016-09-30 09:41:00, 170.8, 170.85, 170.45, 170.45, 1358
2016-09-30 09:42:00, 170.45, 170.7, 170.45, 170.7, 365
2016-09-30 09:43:00, 170.7, 170.7, 170.55, 170.65, 17
2016-09-30 09:44:00, 170.65, 170.7, 170.65, 170.65, 213
2016-09-30 09:45:00, 170.8, 170.95, 170.8, 170.95, 1333
2016-09-30 09:46:00, 170.95, 170.95, 170.75, 170.85, 1215
2016-09-30 09:47:00, 170.85, 171, 170.8, 171, 1769
