Date,Open,High,Low,Close,Volume
2016-09-30 09:15:00, 49345.65, 49699.85, 49022.5, 49494.4, 625
2016-09-30 09:16:00, 49479.55, 49814.2, 49479.55, 49698.9, 553
2016-09-30 09:17:00, 49700, 49900, 49655.75, 49702.5, 454
2016-09-30 09:18:00, 49702.5, 49750, 49689.05, 49749.9, 234
2016-09-30 09:19:00, 49720.05, 49774.05, 49600.45, 49656.45, 541
2016-09-30 09:20:00, 49656.25, 49679.95, 49216.15, 49216.15, 337
2016-09-30 09:21:00, 49216.15, 49388.75, 49169.9, 49365.95, 376
2016-09-30 09:22:00, 49365.6, 49365.6, 49020.1, 49125.75, 302
2016-09-30 09:23:00, 49140, 49400, 49103.3, 49143.95, 226
2016-09-30 09:24:00, 49143.95, 49266.05, 49080.05, 49266.05, 140
2016-09-30 09:25:00, 49300, 49470, 49300, 49400, 187
2016-09-30 09:26:00, 49400, 49459.2, 49370, 49425, 108
2016-09-30 09:27:00, 49425, 49678.95, 49425, 49640, 388
2016-09-30 09:28:00, 49664, 49743.9, 49626.45, 49646.9, 211
2016-09-30 09:29:00, 49601.15, 49601.15, 49500, 49528.75, 91
2016-09-30 09:30:00, 49501.05, 49687.85, 49501.05, 49591.9, 105
2016-09-30 09:31:00, 49591.9, 49599.95, 49536.3, 49549.15, 36
2016-09-30 09:32:00, 49565.05, 49650, 49559.9, 49587.95, 105
2016-09-30 09:33:00, 49587.95, 49650, 49551, 49630.85, 60
2016-09-30 09:34:00, 49630.85, 49700, 49625.05, 49690, 95
2016-09-30 09:35:00, 49690, 49795, 49690, 49775.5, 256
2016-09-30 09:36:00, 49775.5, 49798, 49620.05, 49696.4, 161
2016-09-30 09:37:00, 49699, 49701.85, 49635.7, 49635.7, 78
2016-09-30 09:38:00, 49635.7, 49700, 49635.7, 49695.65, 50
2016-09-30 09:39:00, 49680, 49700, 49600, 49645.15, 103
2016-09-30 09:40:00, 49649.95, 49780.8, 49645.05, 49768.6, 167
2016-09-30 09:41:00, 49768.6, 49871.5, 49753.1, 49800, 425
2016-09-30 09:42:00, 49800, 50235.35, 49800, 50175, 855
2016-09-30 09:43:00, 50174, 50174, 49962.85, 50066.1, 350
2016-09-30 09:44:00, 50066.05, 50172.8, 50007.75, 50150, 214
2016-09-30 09:45:00, 50150.65, 50198, 50100, 50120, 248
2016-09-30 09:46:00, 50100, 50145, 50010, 50010, 219
2016-09-30 09:47:00, 50010, 50169, 50010, 50150, 113
2016-09-30 09:48:00, 50150, 50150, 50034, 50098.8, 161
2016-09-30 09:49:00, 50098.8, 50115.5, 50011.2, 50011.2, 42
2016-09-30 09:50:00, 50011.2, 50180, 50011.2, 50170, 224
2016-09-30 09:51:00, 50175, 50175, 50000.4, 50049.9, 96
2016-09-30 09:52:00, 50055, 50093.5, 49980, 50080, 165
2016-09-30 09:53:00, 50080, 50091.1, 49600, 49671.6, 385
2016-09-30 09:54:00, 49606.25, 49871.05, 49606.25, 49803.1, 164
2016-09-30 09:55:00, 49803.1, 49949.2, 49798.15, 49847.2, 89
2016-09-30 09:56:00, 49847.2, 49899.95, 49807.1, 49888.9, 41
2016-09-30 09:57:00, 49888.9, 49888.9, 49755.65, 49755.65, 54
2016-09-30 09:58:00, 49749.95, 49822.15, 49731, 49780.1, 112
2016-09-30 09:59:00, 49780.1, 49780.1, 49730, 49754.95, 74
2016-09-30 10:00:00, 49754.95, 49754.95, 49700, 49701.15, 75
2016-09-30 10:01:00, 49701.15, 49720.4, 49651, 49662, 106
2016-09-30 10:02:00, 49662, 49669, 49650, 49650, 147
2016-09-30 10:03:00, 49650, 49650, 49529.95, 49570.1, 161
2016-09-30 10:04:00, 49570.1, 49700, 49563, 49667.9, 116
2016-09-30 10:05:00, 49667.9, 49754.95, 49615.25, 49750, 72
2016-09-30 10:06:00, 49750, 49770, 49721.65, 49749.5, 56
2016-09-30 10:07:00, 49749.5, 49798.45, 49747.9, 49798, 64
2016-09-30 10:08:00, 49777.45, 49799.95, 49777.45, 49785.05, 56
2016-09-30 10:09:00, 49785.05, 49785.05, 49701.85, 49730.25, 43
2016-09-30 10:10:00, 49730.25, 49772.7, 49730.2, 49770, 25
2016-09-30 10:11:00, 49770, 49779.85, 49750, 49753, 16
2016-09-30 10:12:00, 49753, 49778, 49730.2, 49778, 51
2016-09-30 10:13:00, 49775.1, 50000, 49775.1, 49991.15, 177
2016-09-30 10:14:00, 49990, 50000, 49893.15, 49938, 55
2016-09-30 10:15:00, 49938, 49938, 49902.3, 49902.3, 23
2016-09-30 10:16:00, 49900, 49938, 49873.15, 49890, 65
2016-09-30 10:17:00, 49890, 49890, 49850, 49850, 23
2016-09-30 10:18:00, 49850, 49876.55, 49830, 49830, 31
2016-09-30 10:19:00, 49864.75, 49938, 49864.75, 49938, 63
2016-09-30 10:20:00, 49938, 49938, 49889.75, 49889.75, 6
2016-09-30 10:21:00, 49888.65, 49888.65, 49865.45, 49865.45, 6
2016-09-30 10:22:00, 49865.45, 49900, 49850.05, 49900, 52
2016-09-30 10:23:00, 49900, 49923.85, 49865, 49892.8, 15
2016-09-30 10:24:00, 49892.8, 49974.95, 49870, 49960, 117
2016-09-30 10:25:00, 49960, 50000, 49956.35, 49980, 126
2016-09-30 10:26:00, 49980, 50000.1, 49950, 50000, 210
2016-09-30 10:27:00, 50000, 50049.95, 49995.4, 50049.9, 115
2016-09-30 10:28:00, 50049.9, 50076, 50000, 50000.1, 66
2016-09-30 10:29:00, 50000.1, 50062.3, 50000.1, 50040, 16
2016-09-30 10:30:00, 50040, 50040, 50000.15, 50014.5, 29
2016-09-30 10:31:00, 50000.1, 50012.9, 49971.05, 49991.9, 44
2016-09-30 10:32:00, 49991.9, 49991.9, 49921.85, 49930, 22
2016-09-30 10:33:00, 49930, 49930, 49779.3, 49799.6, 62
2016-09-30 10:34:00, 49799.6, 49920, 49765, 49920, 80
2016-09-30 10:35:00, 49920, 50000, 49907, 49995, 86
2016-09-30 10:36:00, 49982.2, 50040, 49982.15, 50014.95, 35
2016-09-30 10:37:00, 50014.95, 50014.95, 49970.1, 50000, 13
2016-09-30 10:38:00, 50000, 50000, 49975.15, 49998, 30
2016-09-30 10:39:00, 49998, 49998, 49952.2, 49993.75, 11
2016-09-30 10:40:00, 49993.75, 49993.75, 49945.35, 49970, 31
2016-09-30 10:41:00, 49970, 49970, 49930.3, 49930.3, 12
2016-09-30 10:42:00, 49930.3, 49979.5, 49930.3, 49979, 33
2016-09-30 10:43:00, 49980, 49980, 49957.2, 49975.4, 6
2016-09-30 10:44:00, 49975.4, 49975.4, 49940, 49940, 22
2016-09-30 10:45:00, 49940, 49940, 49902.95, 49903, 5
2016-09-30 10:46:00, 49903, 49920, 49852, 49852, 34
2016-09-30 10:47:00, 49852, 49900, 49852, 49880, 22
2016-09-30 10:48:00, 49880, 49930, 49857.55, 49930, 68
2016-09-30 10:49:00, 49930, 49930, 49871.25, 49878.55, 12
2016-09-30 10:50:00, 49898.95, 49906.25, 49876.1, 49901.1, 12
2016-09-30 10:51:00, 49901.1, 49901.1, 49901.1, 49901.1, 1
2016-09-30 10:52:00, 49901.1, 49924.85, 49877.3, 49901, 33
2016-09-30 10:53:00, 49901, 49910, 49877.35, 49897.05, 14
2016-09-30 10:54:00, 49897.05, 49909.95, 49871.35, 49871.35, 9
2016-09-30 10:55:00, 49871.35, 49910, 49871.35, 49899.25, 18
2016-09-30 10:56:00, 49899.25, 49900, 49875, 49899, 9
2016-09-30 10:57:00, 49899, 49950, 49899, 49927.25, 37
2016-09-30 10:58:00, 49927.25, 49927.25, 49892.15, 49892.15, 5
2016-09-30 10:59:00, 49892.15, 49924.95, 49892.15, 49924.95, 8
2016-09-30 11:00:00, 49924.95, 49945.65, 49894.05, 49929.7, 40
2016-09-30 11:01:00, 49929.7, 49946.95, 49920, 49946.95, 7
2016-09-30 11:02:00, 49946.95, 49946.95, 49926.25, 49944.95, 8
2016-09-30 11:03:00, 49944.95, 49956.35, 49922.6, 49956.35, 16
2016-09-30 11:04:00, 49956.35, 49970, 49910.25, 49910.25, 13
2016-09-30 11:05:00, 49910.25, 49956.6, 49910, 49910, 32
2016-09-30 11:06:00, 49910, 49955, 49910, 49955, 4
2016-09-30 11:07:00, 49955, 49970, 49900, 49925.65, 40
2016-09-30 11:08:00, 49925.65, 49959.85, 49906.05, 49949.9, 17
